frame,timestamp_sec,detected,used_roi,mean_visibility,n_low_visibility_landmarks
0,0.0,True,False,0.7208720131805448,10
1,0.03333333333333333,True,True,0.9897360747510736,0
2,0.06666666666666667,True,True,0.9874658765214862,0
3,0.1,True,True,0.9795296300541271,0
4,0.13333333333333333,True,True,0.946651552662705,0
5,0.16666666666666666,True,True,0.9079292506882639,0
6,0.2,True,True,0.8933489792274706,0
7,0.23333333333333334,True,True,0.8515913576790781,0
8,0.26666666666666666,True,True,0.8124381466345354,0
9,0.3,False,True,0.0,33
10,0.3333333333333333,True,True,0.8237358205246202,0
11,0.36666666666666664,True,True,0.8082881335056189,0
12,0.4,True,True,0.8139383485822966,0
13,0.43333333333333335,True,True,0.8090094544670798,0
14,0.4666666666666667,True,True,0.8084573429642301,5
15,0.5,True,True,0.8049395156629158,5
16,0.5333333333333333,True,True,0.7979964026899049,5
17,0.5666666666666667,True,True,0.8003566490881371,5
18,0.6,True,True,0.7883757217363878,5
19,0.6333333333333333,True,True,0.7986741382064242,5
20,0.6666666666666666,True,True,0.7856310100266428,5
21,0.7,True,True,0.7687270216869585,5
22,0.7333333333333333,True,True,0.728394217563398,7
23,0.7666666666666666,True,True,0.7314139812281637,7
24,0.8,True,True,0.7484804644729152,2
25,0.8333333333333334,True,True,0.7601460245522585,2
26,0.8666666666666667,False,True,0.0,33
27,0.9,True,True,0.7718692367727106,1
28,0.9333333333333333,True,True,0.7828713456789652,0
29,0.9666666666666667,True,True,0.7760335757876887,2
30,1.0,True,True,0.7706717379165419,2
31,1.0333333333333332,True,True,0.7932261969103958,0
32,1.0666666666666667,True,True,0.8052006345806699,0
33,1.1,True,True,0.8115625869144093,0
34,1.1333333333333333,True,True,0.810644886710427,0
35,1.1666666666666667,True,True,0.8135129574573401,0
36,1.2,True,True,0.8303805029753483,0
37,1.2333333333333334,True,True,0.833632129611391,0
38,1.2666666666666666,True,True,0.8332678964643767,0
39,1.3,True,True,0.842565655708313,0
40,1.3333333333333333,True,True,0.8346515442385818,0
41,1.3666666666666667,True,True,0.8380819053360911,0
42,1.4,True,True,0.8287734407367129,0
43,1.4333333333333333,True,True,0.8275079257560499,0
44,1.4666666666666666,True,True,0.8286506009824348,0
45,1.5,True,True,0.8307311318137429,0
46,1.5333333333333332,True,True,0.8275405421401515,0
47,1.5666666666666667,True,True,0.807246491764531,0
48,1.6,True,True,0.808892385526137,1
49,1.6333333333333333,True,True,0.8022260069847107,1
50,1.6666666666666667,True,True,0.7881784764203158,1
51,1.7,True,True,0.7942128073085438,3
52,1.7333333333333334,True,True,0.812241671663342,1
53,1.7666666666666666,True,True,0.8142390522089872,1
54,1.8,True,True,0.8132604017402186,0
55,1.8333333333333333,True,True,0.8131078824852452,0
56,1.8666666666666667,True,True,0.8289911891474868,0
57,1.9,True,True,0.8328681154684587,0
58,1.9333333333333333,True,True,0.8336158069697294,0
59,1.9666666666666666,True,True,0.8325344324111938,2
60,2.0,True,True,0.8338236185637388,1
61,2.033333333333333,True,True,0.8335784411791599,1
62,2.0666666666666664,True,True,0.8154975329384659,3
63,2.1,True,True,0.8009100529280576,2
64,2.1333333333333333,True,True,0.8169648087385929,1
65,2.1666666666666665,True,True,0.8308595527302135,1
66,2.2,True,True,0.8323639143596996,0
67,2.2333333333333334,True,True,0.8259274219021653,0
68,2.2666666666666666,True,True,0.8206880020372795,0
69,2.3,True,True,0.8180842453783209,0
70,2.3333333333333335,True,True,0.8277158014702074,0
71,2.3666666666666667,True,True,0.8263659477233887,0
72,2.4,True,True,0.8214745051933058,0
73,2.433333333333333,True,True,0.8127067206483899,1
74,2.466666666666667,True,True,0.806778222322464,1
75,2.5,True,True,0.8088129226005438,1
76,2.533333333333333,True,True,0.8103668274301471,1
77,2.5666666666666664,True,True,0.8213012868707831,1
78,2.6,True,True,0.8324483235677084,1
79,2.6333333333333333,True,True,0.8419774969418844,1
80,2.6666666666666665,True,True,0.8473961407488043,0
81,2.7,True,True,0.8532196084658304,1
82,2.7333333333333334,True,True,0.8199388240322922,1
83,2.7666666666666666,True,True,0.81231531049266,1
84,2.8,True,True,0.8016342285907629,4
85,2.8333333333333335,True,True,0.801654602542068,9
86,2.8666666666666667,True,True,0.7963023122512933,9
87,2.9,True,True,0.7936685717467106,9
88,2.933333333333333,True,True,0.7866154141498335,9
89,2.966666666666667,True,True,0.7985505082390525,6
90,3.0,True,True,0.8050284593394308,7
91,3.033333333333333,True,True,0.7927977641423544,9
92,3.0666666666666664,True,True,0.8066063297517372,7
93,3.1,True,True,0.7863653229944634,9
94,3.1333333333333333,True,True,0.75711692553578,10
95,3.1666666666666665,True,True,0.756292745922551,10
96,3.2,True,True,0.7367109213814591,10
97,3.2333333333333334,True,True,0.7577526117816116,9
98,3.2666666666666666,True,True,0.7534946257417853,10
99,3.3,True,True,0.7450083593527476,9
100,3.3333333333333335,True,True,0.7525192399819692,9
101,3.3666666666666667,True,True,0.7708269727952552,9
102,3.4,True,True,0.7826372917854425,5
103,3.433333333333333,True,True,0.7963076017119668,3
104,3.466666666666667,True,True,0.7722449058836157,7
105,3.5,True,True,0.7757841457020153,5
106,3.533333333333333,True,True,0.7609391356959487,8
107,3.5666666666666664,True,True,0.7473931095816873,9
108,3.6,True,True,0.7620037351593827,7
109,3.6333333333333333,True,True,0.7557073217449766,8
110,3.6666666666666665,True,True,0.7756775157018141,6
111,3.6999999999999997,True,True,0.7850964719598944,5
112,3.7333333333333334,True,True,0.787673291834918,5
113,3.7666666666666666,True,True,0.7880580244642316,6
114,3.8,True,True,0.8039815769051061,1
115,3.8333333333333335,True,True,0.8193137176109083,0
116,3.8666666666666667,True,True,0.8285896091750173,0
117,3.9,True,True,0.8286745024449897,0
118,3.933333333333333,True,True,0.8398593519673203,0
119,3.966666666666667,True,True,0.8484412106600675,0
120,4.0,True,True,0.8372922810641202,0
121,4.033333333333333,True,True,0.8237676665638433,1
122,4.066666666666666,True,True,0.8228885775262659,1
123,4.1,True,True,0.8370571100350582,0
124,4.133333333333333,True,True,0.8385695778962338,0
125,4.166666666666667,True,True,0.8462718797452522,0
126,4.2,True,True,0.8320033586386478,0
127,4.233333333333333,True,True,0.8258617583549384,1
128,4.266666666666667,True,True,0.8259495921207197,1
129,4.3,True,True,0.8357308588244698,1
130,4.333333333333333,True,True,0.833238445448153,1
131,4.366666666666666,True,True,0.8488442048881993,1
132,4.4,True,True,0.8612992853829355,0
133,4.433333333333334,True,True,0.8627401445851182,0
134,4.466666666666667,True,True,0.8637851241863135,0
135,4.5,True,True,0.8566081216841033,0
136,4.533333333333333,True,True,0.8441007408228788,0
137,4.566666666666666,True,True,0.8257384796937307,1
138,4.6,True,True,0.8051239017284277,2
139,4.633333333333333,True,True,0.7796642780303955,7
140,4.666666666666667,True,True,0.7878448800607161,4
141,4.7,True,True,0.7737242796204307,7
142,4.733333333333333,True,True,0.7610681662053773,10
143,4.766666666666667,True,True,0.7426426221023906,10
