frame,timestamp_sec,wx_0,wy_0,wz_0,wvis_0,wx_1,wy_1,wz_1,wvis_1,wx_2,wy_2,wz_2,wvis_2,wx_3,wy_3,wz_3,wvis_3,wx_4,wy_4,wz_4,wvis_4,wx_5,wy_5,wz_5,wvis_5,wx_6,wy_6,wz_6,wvis_6,wx_7,wy_7,wz_7,wvis_7,wx_8,wy_8,wz_8,wvis_8,wx_9,wy_9,wz_9,wvis_9,wx_10,wy_10,wz_10,wvis_10,wx_11,wy_11,wz_11,wvis_11,wx_12,wy_12,wz_12,wvis_12,wx_13,wy_13,wz_13,wvis_13,wx_14,wy_14,wz_14,wvis_14,wx_15,wy_15,wz_15,wvis_15,wx_16,wy_16,wz_16,wvis_16,wx_17,wy_17,wz_17,wvis_17,wx_18,wy_18,wz_18,wvis_18,wx_19,wy_19,wz_19,wvis_19,wx_20,wy_20,wz_20,wvis_20,wx_21,wy_21,wz_21,wvis_21,wx_22,wy_22,wz_22,wvis_22,wx_23,wy_23,wz_23,wvis_23,wx_24,wy_24,wz_24,wvis_24,wx_25,wy_25,wz_25,wvis_25,wx_26,wy_26,wz_26,wvis_26,wx_27,wy_27,wz_27,wvis_27,wx_28,wy_28,wz_28,wvis_28,wx_29,wy_29,wz_29,wvis_29,wx_30,wy_30,wz_30,wvis_30,wx_31,wy_31,wz_31,wvis_31,wx_32,wy_32,wz_32,wvis_32
0,0.0,0.05473814904689789,-0.6026512980461121,-0.299050897359848,0.9999951124191284,0.06739062815904617,-0.617381751537323,-0.2824772596359253,0.9999819993972778,0.06758958846330643,-0.6168749928474426,-0.2747276723384857,0.9999755620956421,0.06781661510467529,-0.6186989545822144,-0.2754986584186554,0.9999804496765137,0.04700164124369621,-0.6256977915763855,-0.30230221152305603,0.9999905824661255,0.04798101633787155,-0.6268890500068665,-0.31350621581077576,0.9999912977218628,0.0505036860704422,-0.6127551198005676,-0.29383254051208496,0.999991774559021,0.1297016590833664,-0.5919857621192932,-0.16945748031139374,0.99997878074646,-0.021785877645015717,-0.5502738952636719,-0.17879241704940796,0.9999692440032959,0.09114871919155121,-0.5817341804504395,-0.24874946475028992,0.9999619722366333,0.051180399954319,-0.5494269728660583,-0.28130820393562317,0.9999550580978394,0.21792253851890564,-0.4347260892391205,-0.015668131411075592,0.9999464750289917,-0.07579942047595978,-0.5001621842384338,-0.027463765814900398,0.9996612071990967,0.4047723710536957,-0.37727051973342896,0.0010206716833636165,0.9361074566841125,-0.2896224856376648,-0.38226082921028137,-0.08595150709152222,0.9376197457313538,0.5960634350776672,-0.31456252932548523,-0.017847374081611633,0.9552730321884155,-0.5281084775924683,-0.4185229241847992,-0.1969396024942398,0.9680492877960205,0.6387884020805359,-0.3238440155982971,-0.005555210169404745,0.9379427433013916,-0.5633071064949036,-0.44796130061149597,-0.23084424436092377,0.9477546811103821,0.6384868621826172,-0.32492825388908386,-0.04315086081624031,0.951968789100647,-0.5534406304359436,-0.4854709208011627,-0.2621394991874695,0.9562984704971313,0.6108717322349548,-0.29518598318099976,-0.037859957665205,0.949395477771759,-0.5422387719154358,-0.43089061975479126,-0.21963506937026978,0.9548811316490173,0.07938427478075027,0.03369644284248352,0.039006154984235764,0.9999704360961914,-0.07753506302833557,-0.03832842409610748,-0.03669333830475807,0.9998964071273804,0.0627591535449028,0.4269661605358124,-0.012440881691873074,0.9947940707206726,-0.13261555135250092,-0.13245128095149994,-0.152511328458786,0.8757829070091248,0.012506574392318726,0.7634709477424622,0.060933250933885574,0.9972956776618958,-0.11700645834207535,-0.13109004497528076,0.03512321040034294,0.4952443838119507,-0.01619219407439232,0.795903742313385,0.07406304031610489,0.9918608069419861,-0.11261014640331268,-0.14349409937858582,0.016252949833869934,0.5569545030593872,0.028701111674308777,0.8020597100257874,0.006001370493322611,0.9961106181144714,-0.09036437422037125,-0.21319659054279327,-0.0008604199392721057,0.7236812114715576
1,0.03333333333333333,0.013453464955091476,-0.603749692440033,-0.2995746433734894,0.9999876022338867,0.03475133329629898,-0.620072066783905,-0.28284651041030884,0.9999626874923706,0.03610857576131821,-0.6193819642066956,-0.2752411365509033,0.9999523162841797,0.03578082472085953,-0.6214694976806641,-0.27570149302482605,0.9999595880508423,0.014556149020791054,-0.63089519739151,-0.2997957170009613,0.9999815225601196,0.015984531491994858,-0.6319421529769897,-0.31039053201675415,0.9999845027923584,0.019671425223350525,-0.6198691725730896,-0.29052332043647766,0.9999850988388062,0.112335205078125,-0.5873190760612488,-0.17357079684734344,0.9999567270278931,-0.03297227621078491,-0.5564016103744507,-0.16796773672103882,0.9999505281448364,0.05230487883090973,-0.581230640411377,-0.2494429349899292,0.9999240636825562,0.015312492847442627,-0.551855742931366,-0.27817198634147644,0.9999263286590576,0.19912058115005493,-0.43023228645324707,-0.03402203693985939,0.9999043941497803,-0.10896630585193634,-0.5034174919128418,0.001034169807098806,0.9997503161430359,0.3826369643211365,-0.3822910189628601,-0.013164153322577477,0.963678240776062,-0.3377649188041687,-0.374003529548645,-0.04658614844083786,0.9498490691184998,0.5765361785888672,-0.32684314250946045,0.004447320010513067,0.9646058678627014,-0.5986677408218384,-0.35914891958236694,-0.1577533483505249,0.9764427542686462,0.625409722328186,-0.34152692556381226,0.0231404397636652,0.9376475811004639,-0.6398013830184937,-0.3819335997104645,-0.19265224039554596,0.9548747539520264,0.6257213950157166,-0.35054850578308105,-0.013605416752398014,0.9515474438667297,-0.6350210905075073,-0.4188937246799469,-0.22838950157165527,0.9632511138916016,0.5929882526397705,-0.31057852506637573,-0.014289024285972118,0.9497929215431213,-0.6138651967048645,-0.3687397539615631,-0.18382860720157623,0.9634139537811279,0.09229876846075058,0.026017993688583374,0.03324219956994057,0.9999699592590332,-0.09046199172735214,-0.031816523522138596,-0.03052830509841442,0.9999377727508545,0.06595944613218307,0.4273562431335449,-0.01471770741045475,0.9819923639297485,-0.13176178932189941,-0.0541277676820755,-0.24772772192955017,0.9630380868911743,0.004156891722232103,0.769951343536377,0.08395907282829285,0.9910248517990112,-0.08375151455402374,0.05656935274600983,-0.15657693147659302,0.8149176239967346,-0.027599574998021126,0.8060254454612732,0.09804453700780869,0.9708093404769897,-0.07819569855928421,0.054632626473903656,-0.18380892276763916,0.7603353261947632,-0.00552710983902216,0.8309595584869385,0.01833895593881607,0.9896630644798279,-0.057679302990436554,0.014511209912598133,-0.2396458238363266,0.9114330410957336
2,0.06666666666666667,0.006391795817762613,-0.5982325673103333,-0.34398749470710754,0.9999883770942688,0.027230359613895416,-0.6137140393257141,-0.3310380280017853,0.9999646544456482,0.02726019360125065,-0.6133068799972534,-0.3222626745700836,0.9999549388885498,0.02685273438692093,-0.6145628094673157,-0.3237740099430084,0.9999617338180542,0.005832059774547815,-0.6228808164596558,-0.34066396951675415,0.9999824166297913,0.007075758650898933,-0.6235712766647339,-0.351430207490921,0.9999852180480957,0.010549691505730152,-0.6095007061958313,-0.33201736211776733,0.9999857544898987,0.11132929474115372,-0.5847965478897095,-0.23480649292469025,0.999958872795105,-0.03487297520041466,-0.5495779514312744,-0.20366805791854858,0.9999525547027588,0.05037316307425499,-0.5771505832672119,-0.29787522554397583,0.9999290108680725,0.012930046766996384,-0.5466253161430359,-0.3180471956729889,0.9999303221702576,0.20543071627616882,-0.43360069394111633,-0.08978089690208435,0.9999086856842041,-0.10561101883649826,-0.49798938632011414,-0.04329269751906395,0.9997594356536865,0.39857256412506104,-0.4057634174823761,-0.0852101519703865,0.9642082452774048,-0.3332364559173584,-0.37399032711982727,-0.06991662085056305,0.952802836894989,0.5761764645576477,-0.33225908875465393,-0.08361229300498962,0.9624693393707275,-0.5889816880226135,-0.3386630415916443,-0.15884819626808167,0.9761546850204468,0.6214075684547424,-0.3404737412929535,-0.06880079954862595,0.933392345905304,-0.625085711479187,-0.34147360920906067,-0.19245651364326477,0.9523667097091675,0.6160587668418884,-0.3419162631034851,-0.1062539666891098,0.9478107690811157,-0.6132241487503052,-0.37012648582458496,-0.22821591794490814,0.9610509872436523,0.590263843536377,-0.3123595714569092,-0.10291105508804321,0.9457016587257385,-0.6009289026260376,-0.3416396975517273,-0.18453076481819153,0.9613025188446045,0.08929581195116043,0.026346106082201004,0.027902517467737198,0.9999621510505676,-0.08702078461647034,-0.03189034387469292,-0.025367969647049904,0.9999207854270935,0.04021747037768364,0.4294520914554596,-0.04721757024526596,0.9787667989730835,-0.12836991250514984,-0.024858588352799416,-0.05998238921165466,0.9118679165840149,-0.01997074857354164,0.7779669165611267,-0.0034040960017591715,0.9896427989006042,-0.1602892428636551,0.18513935804367065,0.2076081484556198,0.7495993971824646,-0.04749523103237152,0.8126925230026245,0.005500962026417255,0.9649069905281067,-0.16334761679172516,0.1973901242017746,0.19702064990997314,0.7030370235443115,-0.021508971229195595,0.8318514823913574,-0.07959019392728806,0.9880469441413879,-0.15011221170425415,0.20739874243736267,0.1851394921541214,0.8475041389465332
3,0.1,0.009100115858018398,-0.5959358811378479,-0.3846643567085266,0.9999893307685852,0.028888970613479614,-0.6083973050117493,-0.37115296721458435,0.9999673962593079,0.028066352009773254,-0.608134388923645,-0.3617634177207947,0.9999584555625916,0.02758929319679737,-0.6085467338562012,-0.3633926510810852,0.999964714050293,0.007227014284580946,-0.6168878078460693,-0.37969207763671875,0.9999837875366211,0.00831153430044651,-0.6173810362815857,-0.390710711479187,0.9999863505363464,0.011730821803212166,-0.6017472147941589,-0.37095704674720764,0.9999868273735046,0.11322034895420074,-0.5789585113525391,-0.27533701062202454,0.9999620318412781,-0.033049702644348145,-0.5391706824302673,-0.24485993385314941,0.999955952167511,0.05528783053159714,-0.5740295052528381,-0.33911657333374023,0.9999353289604187,0.01777224987745285,-0.5432295203208923,-0.3595311641693115,0.9999363422393799,0.21200375258922577,-0.43272972106933594,-0.14211595058441162,0.9999164938926697,-0.09714174270629883,-0.48193246126174927,-0.07342202961444855,0.9997792840003967,0.3985287547111511,-0.4138701558113098,-0.13939373195171356,0.9667343497276306,-0.31439077854156494,-0.3377077877521515,-0.07363554835319519,0.9567965269088745,0.567643404006958,-0.3478492200374603,-0.14120616018772125,0.9649437665939331,-0.5511897206306458,-0.2748740017414093,-0.16013485193252563,0.9781160950660706,0.6045939922332764,-0.3449241816997528,-0.12886874377727509,0.9370932579040527,-0.5798458456993103,-0.2645341157913208,-0.19234956800937653,0.9558598399162292,0.5978105068206787,-0.3426721394062042,-0.166203111410141,0.9506420493125916,-0.5584598779678345,-0.29194557666778564,-0.22844886779785156,0.9639080166816711,0.5779068470001221,-0.3256354331970215,-0.16042405366897583,0.9485507011413574,-0.5572360754013062,-0.2754024565219879,-0.18582157790660858,0.9640206098556519,0.08590977638959885,0.029980799183249474,0.01614091545343399,0.9999568462371826,-0.08366274833679199,-0.0349232517182827,-0.013579923659563065,0.9999093413352966,0.034747060388326645,0.45084458589553833,-0.06530507653951645,0.9764161109924316,-0.233530193567276,-0.030461376532912254,0.0716109424829483,0.8522657752037048,-0.027736753225326538,0.7953100204467773,-0.01423435565084219,0.9863415360450745,-0.43772396445274353,0.18195930123329163,0.35460200905799866,0.692005455493927,-0.053320348262786865,0.8290103673934937,-0.003519564401358366,0.9529081583023071,-0.456708699464798,0.1807686686515808,0.3451869487762451,0.6510313749313354,-0.035792700946331024,0.8518742918968201,-0.081019826233387,0.9846093654632568,-0.4576345384120941,0.16151109337806702,0.34242165088653564,0.7896241545677185
4,0.13333333333333333,0.012705602683126926,-0.5893916487693787,-0.3909052908420563,0.9999903440475464,0.03334575891494751,-0.5989402532577515,-0.3767288327217102,0.999970555305481,0.031370967626571655,-0.5987846255302429,-0.3667091429233551,0.9999624490737915,0.030722344294190407,-0.598689079284668,-0.3687919080257416,0.9999681115150452,0.01161832083016634,-0.6090998649597168,-0.3829951882362366,0.9999853372573853,0.011993126943707466,-0.6095157861709595,-0.3936630189418793,0.9999876618385315,0.015451669692993164,-0.5919675230979919,-0.3744330406188965,0.9999880790710449,0.12130890786647797,-0.5694449543952942,-0.2799689769744873,0.9999656677246094,-0.02937811054289341,-0.5353704690933228,-0.24803471565246582,0.9999598860740662,0.06169440597295761,-0.5673474669456482,-0.34576958417892456,0.9999415874481201,0.022179272025823593,-0.5377291440963745,-0.3632785677909851,0.999942421913147,0.219630628824234,-0.4293215572834015,-0.15161027014255524,0.9999242424964905,-0.09246579557657242,-0.4810353219509125,-0.07207023352384567,0.9997968077659607,0.4173366129398346,-0.4258071780204773,-0.13929331302642822,0.9694869518280029,-0.30269166827201843,-0.34089195728302,-0.07085511833429337,0.9596400856971741,0.574682891368866,-0.36484986543655396,-0.12431316822767258,0.9671723246574402,-0.5364614725112915,-0.2749832570552826,-0.13451531529426575,0.9784666299819946,0.6057502031326294,-0.3596890866756439,-0.11020214110612869,0.9400888681411743,-0.5633018612861633,-0.2624291777610779,-0.1553153395652771,0.9544522166252136,0.600483775138855,-0.3516866862773895,-0.14557203650474548,0.9528750777244568,-0.5471155643463135,-0.28954559564590454,-0.19247795641422272,0.9626233577728271,0.5814377665519714,-0.3425084352493286,-0.14316578209400177,0.9505670666694641,-0.5432583093643188,-0.2742592990398407,-0.16003938019275665,0.9626029133796692,0.08275233954191208,0.03015793114900589,0.007163372356444597,0.9999567270278931,-0.08016614615917206,-0.03491493687033653,-0.0047134882770478725,0.9999024271965027,0.03483077511191368,0.45027223229408264,-0.07810287922620773,0.9748730063438416,-0.22579915821552277,0.0035952068865299225,0.17452333867549896,0.7863814234733582,-0.03511843830347061,0.8066485524177551,-0.03477820008993149,0.9847443103790283,-0.2824743986129761,0.14224953949451447,0.5153812170028687,0.6268415451049805,-0.05833764746785164,0.8421531915664673,-0.025498434901237488,0.9442858099937439,-0.28726160526275635,0.14267268776893616,0.5108634829521179,0.5939708948135376,-0.033756110817193985,0.8595451712608337,-0.10510667413473129,0.9833847284317017,-0.27563294768333435,0.13420221209526062,0.5173279047012329,0.7198501825332642
5,0.16666666666666666,0.020178353413939476,-0.6018514037132263,-0.37788987159729004,0.9999885559082031,0.041731495410203934,-0.6111199855804443,-0.36193978786468506,0.9999593496322632,0.040170542895793915,-0.6104709506034851,-0.35247209668159485,0.9999480843544006,0.039420124143362045,-0.6100748777389526,-0.35413533449172974,0.9999563097953796,0.021679723635315895,-0.6204931735992432,-0.3727790117263794,0.9999790787696838,0.02208714745938778,-0.6207903027534485,-0.3833253085613251,0.9999825954437256,0.02529814839363098,-0.6031613945960999,-0.3640221059322357,0.9999833703041077,0.1271350085735321,-0.5765604376792908,-0.2599746286869049,0.9999565482139587,-0.016761645674705505,-0.5412912368774414,-0.2378636598587036,0.9999437928199768,0.06828127801418304,-0.5758096575737,-0.32965049147605896,0.9999358654022217,0.029272116720676422,-0.5470589995384216,-0.35157307982444763,0.9999339580535889,0.22532330453395844,-0.43013545870780945,-0.14096806943416595,0.9999289512634277,-0.07827401906251907,-0.4823554456233978,-0.06357055902481079,0.999803364276886,0.4157105088233948,-0.4289252460002899,-0.15770263969898224,0.9716187119483948,-0.2697596251964569,-0.3009563684463501,-0.040600910782814026,0.9581604599952698,0.5743394494056702,-0.37788450717926025,-0.1664748191833496,0.9682947993278503,-0.4838583171367645,-0.21017253398895264,-0.13161781430244446,0.9754842519760132,0.606538712978363,-0.3745938241481781,-0.16243433952331543,0.9408704042434692,-0.5061825513839722,-0.1925489604473114,-0.155252605676651,0.9490197896957397,0.6007601618766785,-0.3737807869911194,-0.19465985894203186,0.9532411694526672,-0.4869825541973114,-0.2230793833732605,-0.19487687945365906,0.9579645395278931,0.5813131928443909,-0.35705146193504333,-0.18473121523857117,0.950975775718689,-0.4880322813987732,-0.21114033460617065,-0.15742862224578857,0.9576610922813416,0.08165296912193298,0.038394469767808914,0.000985030783340335,0.9999563694000244,-0.07934781163930893,-0.042784176766872406,0.0018339474918320775,0.9999018907546997,0.011476012878119946,0.46141380071640015,-0.06931035220623016,0.9742838144302368,-0.3652925491333008,-0.032406825572252274,0.10319855809211731,0.7667932510375977,-0.051965173333883286,0.8162314295768738,0.02888200432062149,0.9799690842628479,-0.7709977626800537,0.039132311940193176,0.29926246404647827,0.63211989402771,-0.07578152418136597,0.8510617613792419,0.047532033175230026,0.9242638349533081,-0.8143584728240967,0.034534938633441925,0.28033071756362915,0.5865024924278259,-0.07776472717523575,0.8806743621826172,-0.02601165883243084,0.9770963788032532,-0.8438467383384705,-0.056128062307834625,0.24795092642307281,0.7192608118057251
6,0.2,0.029591690748929977,-0.6205565333366394,-0.3485996723175049,0.9999829530715942,0.05161815136671066,-0.628592312335968,-0.33697056770324707,0.9999414086341858,0.05028011277318001,-0.628336489200592,-0.326246440410614,0.9999289512634277,0.04941467568278313,-0.6275449991226196,-0.32855239510536194,0.9999374747276306,0.03215693309903145,-0.6372334361076355,-0.3443281948566437,0.9999692440032959,0.03249518573284149,-0.6375933885574341,-0.35506778955459595,0.9999749660491943,0.03557278960943222,-0.6205477118492126,-0.33566775918006897,0.9999754428863525,0.13117855787277222,-0.5910683870315552,-0.24803143739700317,0.999941349029541,-0.008184145204722881,-0.5551560521125793,-0.21821485459804535,0.9999253153800964,0.07437211275100708,-0.5930310487747192,-0.3050399720668793,0.9999257326126099,0.03625746816396713,-0.5649878978729248,-0.32429027557373047,0.9999220967292786,0.224872887134552,-0.444833904504776,-0.13201045989990234,0.9999308586120605,-0.06949087977409363,-0.48273852467536926,-0.03031427413225174,0.9997938275337219,0.382110059261322,-0.4390815496444702,-0.1657763421535492,0.972818911075592,-0.22912853956222534,-0.26897284388542175,0.000639463949482888,0.9542390704154968,0.509207546710968,-0.3972112834453583,-0.20810620486736298,0.9695161581039429,-0.4278542101383209,-0.16008315980434418,-0.09395214170217514,0.9738259315490723,0.5378332734107971,-0.39431729912757874,-0.21378739178180695,0.9431892037391663,-0.44776153564453125,-0.13821546733379364,-0.11933564394712448,0.9469420909881592,0.5280778408050537,-0.3957878053188324,-0.24101632833480835,0.9548906087875366,-0.43118029832839966,-0.16849026083946228,-0.1599811166524887,0.9561023712158203,0.5142343044281006,-0.37718626856803894,-0.22518648207187653,0.9524681568145752,-0.4312514364719391,-0.16170580685138702,-0.11869420856237411,0.955600380897522,0.08023436367511749,0.039105720818042755,-0.008937658742070198,0.9999518394470215,-0.07786211371421814,-0.043248992413282394,0.01196123007684946,0.9998920559883118,0.0009573963470757008,0.466161847114563,-0.09949058294296265,0.9752649664878845,-0.3550548255443573,-0.027431005612015724,0.10402418673038483,0.7583093047142029,-0.051072850823402405,0.8242480158805847,0.023032572120428085,0.978683590888977,-0.5835465788841248,0.07694514840841293,0.33755505084991455,0.6322682499885559,-0.0765577107667923,0.8590462803840637,0.042396947741508484,0.907372236251831,-0.6069429516792297,0.07687156647443771,0.3237079977989197,0.5786029696464539,-0.11546587944030762,0.8996473550796509,-0.027985988184809685,0.9737225770950317,-0.6336889863014221,0.01685943454504013,0.3186946213245392,0.7110670804977417
7,0.23333333333333334,0.03511383756995201,-0.6242363452911377,-0.32520055770874023,0.999975860118866,0.05582133308053017,-0.6319339871406555,-0.3123476207256317,0.9999231100082397,0.05485711246728897,-0.6319058537483215,-0.3012753427028656,0.999904453754425,0.0541033037006855,-0.6307094693183899,-0.3032824397087097,0.9999182820320129,0.03556051850318909,-0.6408716440200806,-0.32201087474823,0.9999585747718811,0.0355847030878067,-0.6409112215042114,-0.3333832919597626,0.9999648928642273,0.038615502417087555,-0.6240796446800232,-0.31394392251968384,0.9999671578407288,0.13067448139190674,-0.5983378887176514,-0.21238817274570465,0.9999186396598816,-0.009716028347611427,-0.5637564063072205,-0.19889511168003082,0.9998903274536133,0.07690230756998062,-0.5983358025550842,-0.27842292189598083,0.999908447265625,0.03774648904800415,-0.5706931948661804,-0.3013286590576172,0.9999015927314758,0.21931974589824677,-0.4580151438713074,-0.12212308496236801,0.9999328851699829,-0.0727270171046257,-0.4830474853515625,-0.012984272092580795,0.9997819662094116,0.33143046498298645,-0.43409958481788635,-0.15372954308986664,0.952564001083374,-0.19973310828208923,-0.22376611828804016,0.014485790394246578,0.9115994572639465,0.3709307312965393,-0.3890553414821625,-0.23293520510196686,0.9437392354011536,-0.3802809715270996,-0.10034812241792679,-0.0803474560379982,0.9414380788803101,0.3740929663181305,-0.3874216675758362,-0.2494913935661316,0.9160571694374084,-0.3964918851852417,-0.0765727087855339,-0.10997992753982544,0.9107808470726013,0.34998613595962524,-0.38978829979896545,-0.2726038694381714,0.9296420216560364,-0.38248148560523987,-0.10604740679264069,-0.14610669016838074,0.9229167699813843,0.3660050928592682,-0.3699914813041687,-0.24879920482635498,0.9228247404098511,-0.3844275176525116,-0.1020200103521347,-0.1026705801486969,0.9180247187614441,0.07865580916404724,0.03928210213780403,-0.010064682923257351,0.9999507665634155,-0.07631585747003555,-0.04325579106807709,0.013298244215548038,0.9998885989189148,-0.005725556518882513,0.4637952148914337,-0.09720060229301453,0.9732346534729004,-0.3287266492843628,-0.010821891017258167,0.16651998460292816,0.7050557732582092,-0.04865782707929611,0.823732852935791,0.023801136761903763,0.9717482924461365,-0.6373466849327087,0.07715730369091034,0.4161977767944336,0.6030827164649963,-0.07370192557573318,0.8598883152008057,0.04257329925894737,0.8704689145088196,-0.6712947487831116,0.07701639831066132,0.402762234210968,0.5431787371635437,-0.10845661163330078,0.9023323059082031,-0.027961451560258865,0.9627837538719177,-0.702636182308197,0.01281900517642498,0.39428430795669556,0.6752728223800659
8,0.26666666666666666,0.04386788234114647,-0.6224421262741089,-0.2664254903793335,0.9999642372131348,0.061220936477184296,-0.6317921280860901,-0.25454476475715637,0.9999075531959534,0.0623062327504158,-0.6316577792167664,-0.24271966516971588,0.9998863339424133,0.06180374324321747,-0.630757749080658,-0.24534431099891663,0.9999060034751892,0.04027196019887924,-0.6401329040527344,-0.26550745964050293,0.9999435544013977,0.04071807488799095,-0.6401106715202332,-0.27788886427879333,0.9999486804008484,0.04447280615568161,-0.624250054359436,-0.2586956024169922,0.999954879283905,0.13073204457759857,-0.6081932187080383,-0.14917175471782684,0.99989914894104,-0.011025233194231987,-0.5690001249313354,-0.14063596725463867,0.9998332262039185,0.08331221342086792,-0.5993995070457458,-0.214032381772995,0.9998722076416016,0.0430368110537529,-0.5694215893745422,-0.23844745755195618,0.9998501539230347,0.1780226081609726,-0.45575088262557983,-0.04660205543041229,0.9999328255653381,-0.041271671652793884,-0.5011982321739197,0.05126126483082771,0.999769389629364,0.14834076166152954,-0.2515961527824402,-0.052610378712415695,0.9416812658309937,-0.1251378059387207,-0.2383561134338379,0.062049154192209244,0.8729615807533264,0.13221751153469086,-0.03417089581489563,-0.06252525746822357,0.9373810291290283,-0.2750425636768341,-0.08936399966478348,-0.012055745348334312,0.9260876178741455,0.12802629172801971,0.0022574213799089193,-0.06864119321107864,0.9083612561225891,-0.2865881621837616,-0.06719403713941574,-0.049512747675180435,0.8937690854072571,0.10939184576272964,0.013416829518973827,-0.08321543782949448,0.922709047794342,-0.2740025520324707,-0.08721108734607697,-0.07645214349031448,0.9076762795448303,0.12744730710983276,-0.0023376010358333588,-0.06835746020078659,0.9122617840766907,-0.27647507190704346,-0.08800826221704483,-0.032059282064437866,0.8998264074325562,0.07276460528373718,0.027823619544506073,-0.009580845013260841,0.9999387264251709,-0.06957780569791794,-0.030656598508358,0.012529326602816582,0.9998788237571716,-0.010395011864602566,0.430319219827652,-0.05646798759698868,0.9628561735153198,-0.0826624184846878,0.29266852140426636,0.07038208842277527,0.7098449468612671,-0.03798840194940567,0.7990196943283081,0.07147485762834549,0.9652906060218811,-0.1677759289741516,0.6107513308525085,0.26229235529899597,0.6136565208435059,-0.05801462009549141,0.8398266434669495,0.09111081063747406,0.845685601234436,-0.17650562524795532,0.6368455290794373,0.24075616896152496,0.5238569974899292,-0.07995907217264175,0.8959046006202698,0.03715941309928894,0.9553686380386353,-0.17545495927333832,0.6787800192832947,0.1640300303697586,0.6770310997962952
9,0.3,0.04334761202335358,-0.6320616602897644,-0.2402832806110382,0.9999528527259827,0.059768423438072205,-0.6434342265129089,-0.2346041053533554,0.9998939633369446,0.0608825609087944,-0.6429636478424072,-0.2227853536605835,0.9998657703399658,0.06026114150881767,-0.6424328088760376,-0.2249971181154251,0.9998900890350342,0.03938852250576019,-0.6521914005279541,-0.23951132595539093,0.999937117099762,0.03994145616889,-0.6519761681556702,-0.2523137927055359,0.9999407529830933,0.0437314435839653,-0.6383059620857239,-0.2319544404745102,0.9999507069587708,0.13325224816799164,-0.6130585074424744,-0.15399198234081268,0.9998675584793091,0.0024665198288857937,-0.5838198661804199,-0.11280643194913864,0.9998089671134949,0.08299006521701813,-0.6080513596534729,-0.19740045070648193,0.9998329281806946,0.04192337393760681,-0.5799338817596436,-0.21207281947135925,0.9998238682746887,0.15775372087955475,-0.45660459995269775,-0.07462244480848312,0.9999256730079651,-0.005166738759726286,-0.5138227939605713,0.10143782198429108,0.9997820258140564,0.12719936668872833,-0.3076576590538025,-0.18734042346477509,0.9146069288253784,-0.09422463178634644,-0.25231289863586426,0.1316043734550476,0.8136225938796997,0.09933505952358246,-0.1445603221654892,-0.2401513308286667,0.9076956510543823,-0.25570306181907654,-0.11201523244380951,0.03868589177727699,0.9221900701522827,0.0963539108633995,-0.1578574776649475,-0.2567335367202759,0.882140576839447,-0.26535454392433167,-0.08961081504821777,0.00013264574226923287,0.8935628533363342,0.0850716233253479,-0.186842143535614,-0.2643974721431732,0.8980074524879456,-0.25081348419189453,-0.11155088990926743,-0.03579634055495262,0.9079058766365051,0.09873465448617935,-0.15081419050693512,-0.24465787410736084,0.8782995939254761,-0.2574509084224701,-0.11225748062133789,0.014410189352929592,0.8976206183433533,0.058883193880319595,0.020410217344760895,-0.028301909565925598,0.9999156594276428,-0.05572451651096344,-0.023489266633987427,0.03046431764960289,0.9998728036880493,-0.023126190528273582,0.41689902544021606,-0.06346522271633148,0.8926043510437012,-0.04538225755095482,0.32967567443847656,0.07395124435424805,0.648328959941864,-0.01438065618276596,0.7920392155647278,0.0669451653957367,0.9067152738571167,-0.07113593816757202,0.7058541178703308,0.24573257565498352,0.5708344578742981,-0.029756059870123863,0.8325549960136414,0.0849870964884758,0.7846779227256775,-0.07412873953580856,0.7358867526054382,0.23879022896289825,0.48657339811325073,-0.07045957446098328,0.8904111385345459,0.02912168949842453,0.9043470621109009,-0.09912814944982529,0.7731260061264038,0.14239709079265594,0.6340461373329163
