frame,timestamp_sec,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32,angle_right_elbow,angle_right_elbow_smooth,angular_velocity_deg_s,angular_acceleration_deg_s2
0,0.0,0.6877513849374015,0.40992296861879723,-0.0064501494507900325,0.9998754262924194,0.6851409890434956,0.3997395002480706,0.008250590391231069,0.9998225569725036,0.6839759646040017,0.3994202789032095,0.008113299694025003,0.9998087286949158,0.682776513244166,0.39916136824723414,0.008152717532533363,0.9998421669006348,0.6848599621743863,0.3995103454951083,-0.020129072688745937,0.9999181032180786,0.6835926912047642,0.39916142568443735,-0.02040593720633895,0.9999457597732544,0.6822884747476282,0.39884918187603774,-0.020556693354791045,0.9999552965164183,0.6726745858336937,0.4004685593373847,0.06517651008837123,0.9999045133590698,0.6718421419461563,0.3996696986935351,-0.059069147110549856,0.999919295310974,0.6828065781882314,0.4210207231117012,0.019869291556603868,0.9997887015342712,0.6822381890181335,0.42067802331664317,-0.019374182786454086,0.9998555183410645,0.6495235594836143,0.4571222424507139,0.15508929938077895,0.9999359846115112,0.652523058111017,0.43421238859494515,-0.13243843786644216,0.999996304512024,0.6629917011116485,0.5055833899613581,0.2783457915439748,0.0415292046964168,0.6874733935702925,0.5084407425287994,-0.18249470546390048,0.9985696077346802,0.7001247644424436,0.5247451505877752,0.32537821648698856,0.065456211566925,0.7393382603471926,0.5446962930939411,-0.15057062160110818,0.9911044836044312,0.712823539791685,0.5293129790912973,0.3497172808556847,0.0985417291522026,0.7506094166726774,0.5573995572147945,-0.17216077189553844,0.9858707785606384,0.7202852621222986,0.5260829119971301,0.3210951490384159,0.1006604582071304,0.754344352447625,0.5536137696468465,-0.15518315190618667,0.9825552701950072,0.7163612773924163,0.5229912557385182,0.3150800067366975,0.1196511760354042,0.7506367253534716,0.5501860015320051,-0.143626786316886,0.9637563824653624,0.5897062886844978,0.5695977875680631,0.07567071031891921,0.9999982118606568,0.5743121118256532,0.556444571596203,-0.07577684070124756,0.9999991655349731,0.6605726549119656,0.6436115391326669,-0.013257988914847326,0.9993921518325806,0.5039324941057144,0.6455986272205002,-0.1290272060217277,0.9999622106552124,0.6610976746588038,0.7676625360142099,0.015744866114674284,0.999647617340088,0.4330228937394687,0.6939179947881984,-0.13315233416629535,0.999959111213684,0.6532753272490065,0.795946410569277,0.015261280785004364,0.9992436170578004,0.42292761116316796,0.6937775507117759,-0.13575394731579385,0.9984583854675292,0.6949346809676195,0.7947449445724484,-0.036940383724868096,0.9996575117111206,0.40977361762162384,0.7404094244494578,-0.21750679828903854,0.9998743534088136,119.20703018523804,107.15008914503196,560.0042697672462,-2268.847123954972
1,0.0333333333333333,0.6756641378908443,0.39953654489733936,0.05175916964583304,0.9998058080673218,0.6722698166514887,0.3900494814822166,0.06802642611843146,0.9996261596679688,0.6712193106160017,0.3899217386137353,0.06789800366668979,0.999585509300232,0.6701398190223806,0.3899245291045215,0.06795542468175725,0.9996756911277772,0.6719605155063394,0.3898691057255773,0.04021854803643425,0.9998379945755004,0.6707812910730185,0.3896979295846185,0.039981859634545536,0.999880313873291,0.6695819047364316,0.3895526475075517,0.03985155250764239,0.9999096393585204,0.6613018953438959,0.39314188541788037,0.1266607779445068,0.9997344613075256,0.6605211277802782,0.392233079129999,-0.0004215599799698849,0.9998185634613036,0.6716797001434095,0.410376073103962,0.07534731533942789,0.9996495246887208,0.6711446532697386,0.4098576152866535,0.03731501435465865,0.999758780002594,0.640501165209394,0.4500778486331303,0.19845726440350187,0.9999123215675354,0.6466831767197807,0.42799176176389053,-0.0909317209639333,0.999992609024048,0.634751093026363,0.504165341547041,0.27193559272722756,0.0479580201208591,0.6748206647959618,0.5031843512347248,-0.16396387357151854,0.997014045715332,0.646652532617251,0.5356874828988852,0.2653028468742515,0.0738413035869598,0.7175377293066543,0.5463171357458285,-0.15709723808774426,0.987466037273407,0.6509923055316461,0.5429114825797803,0.278539785268632,0.1077400669455528,0.7278326935840373,0.5606743698770349,-0.18620265099135297,0.979832649230957,0.6566671841975413,0.5415782419118013,0.25321741025104666,0.1105151176452636,0.7311565807371426,0.5572115668744749,-0.16617729081348925,0.9751944541931152,0.6556893540151192,0.538120054656809,0.25516150663747933,0.1287327855825424,0.7274345360018986,0.5533775725147938,-0.15017126178876916,0.9501056671142578,0.5852212754162871,0.563203558054837,0.08330693204294538,0.9999945163726808,0.5736221286383536,0.5486508513941906,-0.08339844903711105,0.9999977350234984,0.6606100745273356,0.6466148398139256,-0.002417725572983427,0.9892310500144958,0.512175117478226,0.6322355998284886,-0.17059765354250397,0.9999091625213624,0.6759356133865585,0.7755159067385122,0.0002549469922528639,0.996573805809021,0.43346848767815177,0.6786828431216151,-0.16147688162146176,0.999841332435608,0.6688883196223865,0.8026452360731178,-0.00419731102883812,0.9934762120246888,0.42055178709102375,0.6799220883485041,-0.16218014305288125,0.9964566230773926,0.7126017418774688,0.8050162712732947,-0.06691498930255554,0.9968048930168152,0.41043070744384397,0.7170480148358774,-0.23971018199667754,0.9994516372680664,115.42008967708853,125.81689813727353,484.3760323020805,-3403.270685932437
2,0.0666666666666666,0.6624608385098443,0.3903565526653677,0.10167498350046653,0.9997066855430604,0.6584579300828826,0.3814813625631909,0.11817422641110609,0.9994301795959472,0.657448459858502,0.38150642978680577,0.11805205440624443,0.9993587732315063,0.6564166955875627,0.381709977094229,0.11812111127041101,0.999504029750824,0.6583566081214257,0.3813316908233609,0.09152161561242929,0.9997385740280152,0.657349305441885,0.3812899463362505,0.09131920541761612,0.9997979402542114,0.6563331575878767,0.38125861385167914,0.09120719002245296,0.9998522996902466,0.6487780217742507,0.3864063939103832,0.1734139921345234,0.999561846256256,0.6487144095557075,0.3853088711505326,0.04802449648550731,0.9996963143348694,0.6592500088018772,0.40089874019870464,0.12184244386561492,0.9994811415672302,0.6589548682495627,0.40021503658005664,0.0856051328894378,0.9996204972267152,0.6297177390618754,0.4435638474566595,0.2270580662148337,0.9998896718025208,0.6403337590880205,0.42201710981982093,-0.0551935078374623,0.9999874830245972,0.6083971013496444,0.5011664998350719,0.2605851171143127,0.0545185320079326,0.6624048962221514,0.497519702957822,-0.1450928856800128,0.994407832622528,0.5992526992445899,0.5415646149482559,0.21489877397621865,0.0849040746688842,0.6966220474088345,0.5461214236366799,-0.15699442204297606,0.979477882385254,0.5967965309625063,0.5507305119976852,0.21940913165867085,0.1197272017598152,0.7057829720891398,0.5613338864468909,-0.19092473596076417,0.9683193564414978,0.600854547121824,0.5507705220412381,0.1976147742659757,0.123315691947937,0.708598260265408,0.558276184503134,-0.16915078133473654,0.9611336588859558,0.6022491470430836,0.5471588047293875,0.20537787045944828,0.1409119814634323,0.7049547803608366,0.5541879465827693,-0.15026708341554387,0.9258268475532532,0.5805008843089591,0.5575650283526546,0.08734872983647622,0.9999932646751404,0.5730162594741552,0.5424725585943689,-0.08743112734256875,0.999997079372406,0.6579413831492005,0.6471850489641162,0.008480579299586117,0.9873708486557008,0.5217314637326573,0.6215755513478151,-0.198566667964577,0.9998883605003356,0.6845676021658496,0.7780480793802251,-0.009944533519608095,0.9959802031517028,0.44027958745822215,0.6677992681404211,-0.18342861092580848,0.999794065952301,0.678465154521909,0.8037435298100174,-0.017362627360437574,0.99153071641922,0.4256755476648156,0.6702399343381196,-0.18302233054008307,0.9950593113899232,0.7219830598408008,0.809113293318521,-0.08621724719359036,0.9960593581199646,0.4185823512541781,0.7001107657110532,-0.25533785921283586,0.9992318153381348,115.43164586430318,139.4418246318373,333.11955737175043,-3078.5283535553053
3,0.1,0.6481414867944013,0.3823829919228821,0.14329729211311043,0.9996233582496644,0.6437053293376773,0.3740351434909935,0.15869399126925496,0.999296486377716,0.6426634123315025,0.37417435242242086,0.15857545191268893,0.999248743057251,0.641607142939712,0.3745177122163565,0.15864977729849467,0.9994046092033386,0.6440482400196452,0.3738981007884591,0.13378013003923916,0.9996055960655212,0.6432967343113637,0.3739374759393334,0.13360610014287275,0.9996962547302246,0.6425422333019633,0.37396708090842007,0.13351021918964065,0.999746799468994,0.6351029651247578,0.3802620848148931,0.20543615265842102,0.9995013475418092,0.636421987272444,0.37889707475513584,0.08626902228588171,0.99949711561203,0.6455175041636346,0.39258872439592907,0.15935467713516496,0.9993735551834106,0.645668833957606,0.3917502871968528,0.12549617281788336,0.9994546175003052,0.6171732810410584,0.4375802389213016,0.2408917048147744,0.999896228313446,0.6334748052157361,0.41628843276273636,-0.02522379848702913,0.9999857544898988,0.5839297260814927,0.49658686482545067,0.24429436470523028,0.1075977310538292,0.6502260878488612,0.491446797698091,-0.12588174178938322,0.9936657547950744,0.5579252643244607,0.5423765467358872,0.1741659977928901,0.150458812713623,0.6765912146537333,0.5441091567664951,-0.15026217346680357,0.977134883403778,0.5502362160842654,0.5527700673450123,0.17232532002580128,0.1826647967100143,0.6844602521879848,0.5593781069243625,-0.18632702680377208,0.9653021693229676,0.5528473508951466,0.5536597523854407,0.15428724108320302,0.1858649551868438,0.6866693910324211,0.5568076225328237,-0.16410362346992854,0.9575258493423462,0.5560406564763098,0.5501075059562536,0.16572909820260434,0.1953958421945572,0.6831974584302857,0.5526171237359314,-0.14391425119721013,0.9171352982521056,0.5755451153625137,0.5526821984615159,0.08779610369951171,0.9999908208847046,0.572494504333058,0.5379096931967381,-0.08787487561762065,0.9999954104423524,0.6525665807775602,0.6453221665832385,0.019436925702861305,0.9821147918701172,0.5326015328690086,0.6136184817784792,-0.21293424928794677,0.9998602271080016,0.6869936409966769,0.7752590539393486,-0.014853575420908587,0.994921624660492,0.45345619307967977,0.6612672698446165,-0.19900752207933556,0.9995651841163636,0.6820058319475744,0.799241291779976,-0.02423466820979401,0.9888765215873718,0.43829889288454327,0.6647310886806224,-0.19828050977739925,0.9927290081977844,0.7230786348576153,0.8070360107081272,-0.09484715739797256,0.9952990412712096,0.4342285490526263,0.6895976770749853,-0.26438982993751353,0.9988153576850892,168.59111490972603,148.02486862872354,279.1408087317268,-4370.128453865835
4,0.1333333333333333,0.6327060827445149,0.37561586266988234,0.17662609548376465,0.9991174936294556,0.6280120144158722,0.36771082426562396,0.18958572069287782,0.998175323009491,0.6268641680350027,0.3679255065205804,0.18946819618602306,0.9982638955116272,0.6257111610788278,0.36834773447090363,0.1895414227660081,0.9985652565956116,0.6290354112009973,0.3675683356208714,0.16699409131686382,0.9986295104026794,0.6286235776814538,0.3676405183938669,0.16684254381031544,0.9989523887634276,0.6282091318786909,0.3676780486777742,0.16676064000920532,0.9990115761756896,0.6202767253954165,0.3747089581314098,0.2227272595161996,0.998898148536682,0.6236438609304873,0.37299768994380844,0.11431201742115324,0.9980002045631408,0.6304821862286811,0.3854460256956351,0.1878840151480779,0.998349905014038,0.6312865503938674,0.38446336713704143,0.1569881341399953,0.99797922372818,0.6028677911469422,0.4321270230270561,0.23995818020332388,0.9999035000801086,0.6261063151029272,0.41080573059263625,-0.0010225929126337161,0.9999829530715942,0.5613489672219074,0.49042643651817713,0.22306333549997992,0.1880551725625991,0.6382842396760906,0.4849656354555313,-0.1063304418996297,0.989992380142212,0.5226702278568625,0.5381232782617784,0.14310451832426552,0.2292519211769104,0.65744523104135,0.5402803351352734,-0.1369004923592267,0.964815318584442,0.5113113608969231,0.5490301486217606,0.1372883503700229,0.2570455372333526,0.6638645338805713,0.5548070313094491,-0.1724095235203765,0.9473106861114502,0.5126455955175087,0.5502459329444085,0.12323481070272828,0.2594888806343078,0.6653699730381812,0.5528058809635435,-0.15103581721906512,0.9362953305244446,0.5170638823147968,0.5469661583374066,0.13621518986694717,0.2639727890491485,0.6621625702102454,0.5486651039742796,-0.1311127651337677,0.8835618495941162,0.5703539685769506,0.5485550683814202,0.08464905363205175,0.999990463256836,0.5720568632150617,0.5349622552012977,-0.0847296938622667,0.9999947547912598,0.6444856674124143,0.6410261926712919,0.030451313636842135,0.9768072962760924,0.544785324887279,0.6083643911204804,-0.2137003975126131,0.999859094619751,0.6832137298790397,0.7671488304158816,-0.014472178711648609,0.9940308928489684,0.47299830454252434,0.6590868482342005,-0.20821361508204278,0.9993234276771544,0.6795103518993814,0.7891385219829927,-0.024813433576907393,0.9874199032783508,0.4584218227502065,0.6633955513760116,-0.20795468076482965,0.9917196035385132,0.7158884669279113,0.7987844234421129,-0.09280471991570205,0.994076371192932,0.45736930083918814,0.6855087489276728,-0.2668660941707103,0.9983043074607848,157.04233288888955,158.05121188061912,41.777660447361455,-8275.023211798607
5,0.1666666666666666,0.6166546383461387,0.36969727264854246,0.20515208313991462,0.9986394643783568,0.6119789112181881,0.36241568154070747,0.2131417504314217,0.997084617614746,0.6105952040973671,0.3627634849641225,0.21301929262422348,0.9971808791160583,0.6092360264811156,0.363255002281882,0.21308243887507006,0.997683048248291,0.6141700465957831,0.3623984280602751,0.19379860298200055,0.9975707530975342,0.6142407441552058,0.3626277117760145,0.1936656857046469,0.9981191754341124,0.6142924835671586,0.36274682559492216,0.19359493657172466,0.9981768131256104,0.6052395869127075,0.36954801694139205,0.2228442149244858,0.9983189702033995,0.6117752751746726,0.3677521260269787,0.13149455692659376,0.996052384376526,0.6146577679233625,0.37921145442244236,0.2097678743786623,0.99686461687088,0.6165991753210744,0.3782042695846387,0.18263323929209185,0.9958794116973876,0.5862096927382721,0.42779512490544935,0.2191446048098722,0.9999088644981384,0.6202034199392632,0.4057526739386763,0.013970237257547657,0.9999779462814332,0.5330215440942088,0.4802377542634024,0.20263947011072367,0.2658579647541046,0.6274748436816318,0.47885942381697744,-0.09831595488569936,0.9862819314002992,0.47329894779048365,0.522943449226808,0.15113732128432278,0.3052146732807159,0.6378231497554027,0.5366169749658338,-0.13319018417042033,0.9567930698394777,0.4579080336795734,0.5330325232181706,0.14592795619071797,0.3297673761844635,0.641324680604975,0.5487402271140698,-0.16599639489021112,0.9366859197616576,0.45593937973439363,0.5343164742250972,0.13788583626349743,0.3318815529346466,0.6425380170087269,0.5477980518495873,-0.1464712193388957,0.9238301515579224,0.46180647598716534,0.5316165027680327,0.1514590279041944,0.3348191082477569,0.6398380550987268,0.544362228412132,-0.12814109525703743,0.864359974861145,0.5654378770749798,0.5462485376374537,0.07947667480095627,0.999990165233612,0.5718182462118396,0.5360568003220985,-0.07955605689500689,0.9999939203262328,0.6319778293242178,0.6329485092844273,0.031518698803016026,0.9747586250305176,0.5610332566422294,0.6106619600093717,-0.210756791457211,0.9998428225517272,0.6709535421231083,0.7503831807153039,-0.01794907665162373,0.9932057857513428,0.5011157642453257,0.6694361745537092,-0.2428870149505083,0.9990689158439636,0.6687431779258686,0.7689847445591176,-0.02838728332577583,0.9873505234718324,0.4886096127621532,0.6741928215666757,-0.2461181533930102,0.9913728833198548,0.6953537257718824,0.7842107675808321,-0.08827574913555265,0.9925839304924012,0.4878493795147183,0.6986502718615832,-0.30046772363381935,0.9976205229759216,153.09707589436536,150.81004599188097,-272.52740538818034,-5699.190988071379
6,0.2,0.600402604707907,0.3635068027488076,0.2888797641574558,0.9981943964958192,0.5954190112037567,0.35714352853370385,0.2899890918107256,0.9957922101020812,0.5933807985091097,0.35776398101926316,0.28986666745050604,0.9960496425628662,0.5914161731670421,0.3584589849818831,0.28990680266381297,0.9967129826545716,0.5998023947079968,0.3565495814079841,0.2742484755233507,0.9963663816452026,0.6006794800231975,0.3566090890339437,0.27413815306701145,0.9972986578941344,0.6015269040287307,0.3565363654326562,0.2740880877618146,0.9973284006118774,0.5880822664473472,0.365424170251532,0.2608235719658076,0.99796861410141,0.6010553554281004,0.3613850772380824,0.18876769002607602,0.9943739771842957,0.5975775255527322,0.37303057661304173,0.28088852940570697,0.9952704906463624,0.6016121963401885,0.37119502512923513,0.25823266849373283,0.993758499622345,0.5642463719689994,0.42679415430341383,0.21947028810456684,0.9999151229858398,0.6184649949982044,0.39916126836429877,0.05853133872796436,0.9999741911888124,0.5096704394786382,0.47436220253700745,0.1974141659352167,0.3377341032028198,0.6231239718018147,0.4706703732798103,-0.06193063250900076,0.9743172526359558,0.43917535922743994,0.5104746845635493,0.16807038482133418,0.3737146854400635,0.6268167507338824,0.5282907175037244,-0.08976886928629806,0.94234436750412,0.42237536331791836,0.518564817193266,0.16498487574971574,0.3951071202754974,0.629953525283119,0.5383852428688107,-0.11560534556230986,0.9196470975875854,0.42077386327636124,0.5193862344795483,0.16374480395348012,0.3968380987644195,0.6287830232025733,0.5381570422288136,-0.09747400165442763,0.9044398665428162,0.42736099202395456,0.5174893389790598,0.16570319322409544,0.3982611894607544,0.626232150958213,0.5343571711670261,-0.08491840026567138,0.8420804142951965,0.5583405615963454,0.5480067812519148,0.06802820720310711,0.9999897480010986,0.5762772882655578,0.5354815522829683,-0.06814882882116793,0.9999925494194032,0.6164271960526826,0.632444809525559,0.054727358412948915,0.9717452526092528,0.5815291335056346,0.6051513810694467,-0.1620315786499479,0.9995852708816528,0.6512767920246363,0.7482680304225894,-0.014886550395648684,0.9914563298225404,0.5369462496016442,0.6582973475580083,-0.2094920603356833,0.997836172580719,0.6509322361512608,0.7644362318051314,-0.025244146738668996,0.9872543215751648,0.5256456625667993,0.6627495066944129,-0.2133985538180769,0.9899691939353944,0.6680843218580459,0.77835171485876,-0.06545887060173136,0.9887061715126038,0.5306641027266839,0.6851286612031771,-0.24363402261104383,0.9940502047538756,136.79843601396598,139.88271818807377,-338.16840542406385,1551.6561525568736
7,0.2333333333333333,0.5760389701886603,0.3623140001451809,0.2186165178170449,0.998311161994934,0.5718164916162359,0.35527928631543026,0.2160948681366905,0.9960486888885498,0.5699652339214878,0.35552768428604276,0.2159471299612158,0.9962977766990662,0.5681301790140401,0.35586199061179,0.21596922477086355,0.9969137907028198,0.5762575973163944,0.3549666916911215,0.20553822589643045,0.996586799621582,0.5773957405255463,0.3548660504095477,0.2054234009348982,0.997465193271637,0.5784814942192713,0.35465416570246433,0.2053750521176818,0.997484028339386,0.5658968573524831,0.36099689669939294,0.1830786741399143,0.9981181621551514,0.5791057430820539,0.3581439842393383,0.1370303429082614,0.9947193264961244,0.5740612304055838,0.37083495037380176,0.21107281802536576,0.9954838156700134,0.5779697357060065,0.36936010542886033,0.19522419359002763,0.9940685629844666,0.5491608579953504,0.4158232303666856,0.14935026669399024,0.9999226331710817,0.5957547809396462,0.3955391521577706,0.0433058214426298,0.9999716877937316,0.5050224897923401,0.4574424663147363,0.12170818551278195,0.40358766913414,0.5974296517186343,0.4616087015831103,-0.03223601079574129,0.966699719429016,0.46572790452928187,0.4886954679633625,0.08484815177205307,0.4360722303390503,0.5942494768600951,0.5106928165340829,-0.03156559763564941,0.9169659614562988,0.4545627067357424,0.4962661328253801,0.07924216530926799,0.4550389349460602,0.5953189026225688,0.5185485487376449,-0.0469120143130582,0.8874483108520508,0.45307950307796463,0.4966459038195665,0.07763527820765698,0.456532746553421,0.5923341086932583,0.518331198207227,-0.037366317252495354,0.8692514300346375,0.45696918285770266,0.4955623468537344,0.07763050041802505,0.4572338461875915,0.5910840310575634,0.5144238715822038,-0.029313922916172037,0.8046211004257202,0.5527438387210227,0.539150392596339,0.05052096915967527,0.9999903440475464,0.5688253814007804,0.5345295141269627,-0.0506617637367281,0.9999922513961792,0.6091980456789842,0.6126297797475533,0.060493547529852906,0.9727318286895752,0.5864509424089861,0.6031552253863504,-0.09990115699184907,0.99943745136261,0.6461818643978654,0.7199758982761588,0.0032427158867899975,0.9904056191444396,0.5568303763866417,0.6704083116023561,-0.13750948782736072,0.9956055879592896,0.6476461946706227,0.7287057284668916,-0.0029865188757965434,0.9870384335517884,0.5481774440575464,0.674089661924353,-0.1407523831409033,0.9871506094932556,0.6601114358220772,0.7334147451759923,-0.035602244729926,0.9855441451072692,0.5573242475718123,0.7034273230152203,-0.16748292063608805,0.9897447824478148,118.10004591720327,128.26548563027671,-169.08366188438876,9762.576702941586
8,0.2666666666666666,0.5504416805325125,0.3582804813271472,0.19459220321921533,0.9877769351005554,0.5462357524411494,0.3512264326279293,0.18767587021315743,0.9863301515579224,0.5445644743256747,0.3513761913621576,0.1875272742210526,0.9868518710136414,0.5428704745841741,0.3516204865463879,0.1875247561828396,0.989300549030304,0.5506576202906563,0.35067743837059273,0.18026645307417014,0.9881841540336608,0.5520001898854319,0.3503556001237972,0.18013713712042,0.991377055644989,0.5533161737444072,0.3499221926901759,0.18008435765902175,0.9930824041366576,0.5408920614750347,0.35590894875072243,0.1403056912736973,0.994233250617981,0.5545996086938032,0.35277385912932313,0.11175003815522938,0.9884189367294312,0.549533282652561,0.36622179870481564,0.18385697894798186,0.9856496453285216,0.5531810767206787,0.36487721042199517,0.172175023462865,0.9845743179321288,0.5253931700667254,0.4080980186596571,0.10240336597868874,0.9999216198921204,0.5754217104220279,0.3874573748865163,0.03878358649936585,0.9999591708183287,0.49090818086743804,0.4484940306706855,0.10610596145386282,0.4603044986724853,0.5800679825343087,0.4444798333046234,-0.0019614607402127305,0.892266035079956,0.4651106272166935,0.4716047692350488,0.10150800213153213,0.486261785030365,0.579184214016059,0.4845313934278688,0.012567426840012726,0.86539226770401,0.4563998568367642,0.4790745919400988,0.10153279430938472,0.4995334148406982,0.581584064862428,0.49152620659246005,0.005206451926670701,0.8341028094291687,0.45563230602256083,0.47725990633943827,0.09972961375981679,0.5003915429115295,0.5769831903311073,0.49131574388190197,0.01126541829873604,0.815293550491333,0.458880181049371,0.4763076963362749,0.09247540211651734,0.493566632270813,0.5756573348076304,0.487649921860013,0.014495869484645398,0.7481670379638672,0.5424893955131622,0.5306548841329872,0.036034070977384675,0.9999880790710448,0.5611729557380007,0.5249317038110833,-0.03619227440396788,0.999990701675415,0.5947765073218895,0.6004457090582158,0.05688166562709705,0.8941357731819153,0.5953264618332761,0.5874055396942857,-0.05284556865821144,0.9939371347427368,0.6272912585374072,0.6859998639785871,0.015156386766856874,0.919828474521637,0.5907724724187471,0.6507683804024856,-0.07604292486653173,0.9805975556373596,0.6299901271795288,0.7029343936350428,0.009797757572103362,0.9457668662071228,0.5838090537430396,0.6552193631857495,-0.07742083827396476,0.9797142148017884,0.6383435086254425,0.7082490900378197,-0.017689742551092427,0.8972327709197998,0.5953143057111013,0.6794580146347796,-0.09249894640275394,0.940747857093811,148.4616848001872,128.61047406244785,312.6700414387085,4356.607762300438
9,0.3,0.5208124057813117,0.35348420135386527,0.059979990189209555,0.9865586757659912,0.5173589797505045,0.34574276763639356,0.05418144566414156,0.9849565625190736,0.5165260288364436,0.3454445681788699,0.054013009840275746,0.9857548475265504,0.5156223892649523,0.34526038105353596,0.05400924229776694,0.9886407256126404,0.5198674356782584,0.34594234682264735,0.05042860860174349,0.9859713912010192,0.520740808991642,0.34573407206700435,0.05027023331943519,0.9894382357597352,0.5215741819117485,0.34542287376535874,0.050197508944061324,0.991117298603058,0.5147348463019243,0.3477014935377867,0.029034585792780884,0.9941081404685974,0.522696230834696,0.34763971745193734,0.019242494040495335,0.9843673706054688,0.5219545404374334,0.36018885330204264,0.05885199738013272,0.98116135597229,0.52362134614032,0.3600414359208304,0.05211141131398988,0.977552056312561,0.5120058762820761,0.3915779122284475,0.01734110667850025,0.9999248385429382,0.538842160980422,0.38194687025887575,-0.002048477030548699,0.9999025464057922,0.4888601346965469,0.4269735525438789,0.04227298923901138,0.5005806684494019,0.5433688344377452,0.43528051048646177,-0.003344166838438963,0.8144621849060059,0.48928627242773576,0.4446709614037429,0.032288967595471924,0.5252094864845276,0.5449187040845029,0.46732505562501486,0.004817886487681635,0.7880029678344727,0.48646231015007146,0.4523976731609982,0.030014746213630098,0.5351311564445496,0.5458102324308247,0.475270365739797,-0.00014280274437809565,0.7619752287864685,0.48621684957892275,0.44927102211233794,0.022068277678706366,0.5349758267402649,0.5404011387845647,0.4742476937574735,-0.002413683968043795,0.7436473965644836,0.48743878827466525,0.4479784417204004,0.01981756281414069,0.5198882222175598,0.5428204660291788,0.4702195549682099,0.003873092251390358,0.6815873980522156,0.5368076925411878,0.5128431869791693,0.021944521122019313,0.9999879598617554,0.5458303542880261,0.5142923331621914,-0.022097997366374057,0.9999868869781494,0.5906682956270317,0.5784167416426003,0.04177135350061694,0.9026986956596376,0.5851911087056767,0.5778535617378359,-0.03693248014655199,0.9732548594474792,0.633341064442803,0.6236508287392644,0.03430842435656685,0.925800919532776,0.6070804365011513,0.6604783562096673,-0.025785419783550922,0.9304178357124328,0.6377509424696743,0.6474047037430131,0.029939180804472932,0.949196994304657,0.6083367030857953,0.6663813616806284,-0.024575270204381466,0.954451024532318,0.6476507370090062,0.6452405669472425,-0.013990456996348481,0.8973230719566345,0.6200322537195107,0.6921736723158773,-0.054316159692548466,0.8670675754547119,113.2822621327027,149.11015505952395,121.35685560230712,-9792.362855925265
