Frame,Time,FPS,Landmark_ID,Visibility,Detection_OK,X_raw,Y_raw,Z_raw,X_clean,Y_clean,Z_clean
0,0.000000,30.000000,0,0.999995,True,0.013231,0.096951,-0.654436,-0.003268,0.092520,-0.655564
0,0.000000,30.000000,1,0.999998,True,-0.005827,0.062694,-0.681524,-0.022669,0.062021,-0.683217
0,0.000000,30.000000,2,0.999997,True,-0.002631,0.067991,-0.668482,-0.020064,0.066752,-0.670101
0,0.000000,30.000000,3,0.999998,True,-0.003782,0.062974,-0.664865,-0.020960,0.062061,-0.666540
0,0.000000,30.000000,4,0.999998,True,0.029946,0.077308,-0.687042,0.011605,0.072880,-0.689864
0,0.000000,30.000000,5,0.999997,True,0.030066,0.076223,-0.700014,0.011306,0.071629,-0.702817
0,0.000000,30.000000,6,0.999997,True,0.037833,0.061502,-0.672600,0.018759,0.058063,-0.675309
0,0.000000,30.000000,7,0.999999,True,0.002879,0.122005,-0.621661,-0.012011,0.121866,-0.620939
0,0.000000,30.000000,8,0.999995,True,0.044208,0.048310,-0.625164,0.022127,0.044677,-0.627254
0,0.000000,30.000000,9,0.999994,True,0.034534,0.150482,-0.604598,0.018456,0.144790,-0.605786
0,0.000000,30.000000,10,0.999992,True,0.055026,0.110817,-0.626244,0.036654,0.105187,-0.628637
0,0.000000,30.000000,11,0.999985,True,-0.063058,0.214406,-0.365612,-0.065857,0.217195,-0.367234
0,0.000000,30.000000,12,0.999829,True,0.096946,0.234200,-0.324899,0.080068,0.212226,-0.320530
0,0.000000,30.000000,13,0.846052,True,-0.202833,0.275625,-0.141699,-0.206731,0.267540,-0.144003
0,0.000000,30.000000,14,0.889014,True,0.057921,0.230522,-0.177043,0.040761,0.219506,-0.161698
0,0.000000,30.000000,15,0.661796,True,-0.098179,0.207529,0.196094,-0.107359,0.198903,0.188048
0,0.000000,30.000000,16,0.316974,True,-0.034377,0.192718,0.057622,-0.038528,0.189916,0.081426
0,0.000000,30.000000,17,0.636450,True,-0.086436,0.233678,0.278569,-0.093400,0.223970,0.268084
0,0.000000,30.000000,18,0.201228,False,-0.006347,0.207190,0.078769,0.085437,0.059905,-0.271751
0,0.000000,30.000000,19,0.623051,True,-0.056678,0.172762,0.281106,-0.062770,0.167784,0.269817
0,0.000000,30.000000,20,0.232554,False,-0.014406,0.196468,0.064862,0.102523,0.050914,-0.275684
0,0.000000,30.000000,21,0.672611,True,-0.068250,0.169253,0.210947,-0.078116,0.162311,0.203077
0,0.000000,30.000000,22,0.258864,False,-0.054972,0.184608,0.049547,0.103093,0.058171,-0.249765
0,0.000000,30.000000,23,0.999924,True,-0.019534,0.006572,0.051032,-0.019472,0.012928,0.049949
0,0.000000,30.000000,24,0.999806,True,0.021261,0.002938,-0.047326,0.021644,-0.003161,-0.046273
0,0.000000,30.000000,25,0.805033,True,-0.058714,-0.371140,0.144352,-0.057683,-0.323353,0.163533
0,0.000000,30.000000,26,0.398443,True,0.116036,-0.184097,0.166654,0.149598,-0.222045,0.144033
0,0.000000,30.000000,27,0.970581,True,-0.047838,-0.752998,0.310530,-0.053975,-0.711301,0.318064
0,0.000000,30.000000,28,0.745983,True,0.109384,-0.428653,0.488576,0.124015,-0.444802,0.430498
0,0.000000,30.000000,29,0.905183,True,-0.078931,-0.781785,0.329095,-0.109995,-0.734943,0.337729
0,0.000000,30.000000,30,0.490615,True,0.102446,-0.445635,0.496464,0.120188,-0.462375,0.435057
0,0.000000,30.000000,31,0.919727,True,-0.099682,-0.813747,0.338285,-0.159404,-0.755201,0.348745
0,0.000000,30.000000,32,0.466228,True,0.156007,-0.415135,0.518925,0.169932,-0.434580,0.452859
1,0.033333,30.000000,0,0.000000,False,,,,0.141054,0.025114,-0.602319
1,0.033333,30.000000,1,0.000000,False,,,,0.134480,0.007344,-0.625939
1,0.033333,30.000000,2,0.000000,False,,,,0.134257,0.008180,-0.613156
1,0.033333,30.000000,3,0.000000,False,,,,0.134467,0.006431,-0.611815
1,0.033333,30.000000,4,0.000000,False,,,,0.160131,0.009745,-0.636959
1,0.033333,30.000000,5,0.000000,False,,,,0.157615,0.008643,-0.650234
1,0.033333,30.000000,6,0.000000,False,,,,0.158354,0.000221,-0.623896
1,0.033333,30.000000,7,0.000000,False,,,,0.127968,0.035092,-0.563490
1,0.033333,30.000000,8,0.000000,False,,,,0.135348,0.007881,-0.576458
