frame,timestamp_sec,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32,angle_right_elbow,angle_right_elbow_smooth,angular_velocity_deg_s,angular_acceleration_deg_s2
0,0.00000000,0.53573394,0.37038431,-0.69875842,0.99991810,0.53308487,0.35649860,-0.72236609,0.99995589,0.53281683,0.35458919,-0.72262478,0.99991834,0.53877556,0.35556549,-0.72265887,0.99995780,0.53422672,0.36277163,-0.72831762,0.99997580,0.53462100,0.36447829,-0.72855973,0.99995756,0.53402221,0.36532176,-0.72892600,0.99997878,0.53742057,0.33712679,-0.67517149,0.99996555,0.53267819,0.34546614,-0.70280653,0.99997151,0.53357130,0.36213720,-0.66078395,0.99977201,0.53278869,0.36485460,-0.67000878,0.99986577,0.51138926,0.31341609,-0.47337848,0.99992085,0.53534818,0.33343905,-0.50961149,0.99993789,0.70560348,0.42330271,-0.36460736,0.01941868,0.39287579,0.26739490,-0.54630274,0.03433649,0.73960954,0.34269127,-0.47528172,0.00146104,0.36365098,0.21476732,-0.54372585,0.00041614,0.82284409,0.40422118,-0.50771809,0.00171828,0.34161183,0.21699639,-0.57283574,0.00026568,0.84943503,0.50204927,-0.50614578,0.00145242,0.33792856,0.21673550,-0.57846540,0.00026510,0.83909911,0.49583247,-0.46723500,0.00172841,0.34696972,0.21611607,-0.55173916,0.00027035,0.51873851,0.44250742,0.03497357,0.99984848,0.52294910,0.45821115,-0.03492496,0.99995363,0.51754802,0.64333922,-0.12506239,0.00013471,0.51692575,0.61756361,-0.02706825,0.01544280,0.49370781,0.86485517,-0.25980046,0.00069387,0.58169311,0.61284137,-0.06444062,0.11378597,0.48690474,0.86612964,0.05228924,0.00292207,0.63570774,0.55311799,0.14891957,0.03453978,0.48099807,0.93232173,-0.03931324,0.00051662,0.48555443,0.90822303,-0.05523153,0.01653524,168.02824234,164.60190000,-609.67078086,3166.04452328
1,0.03333333,0.57214153,0.38615516,-0.47409481,0.99923146,0.57310742,0.38158202,-0.49302754,0.99965131,0.57305515,0.38444522,-0.49328142,0.99941194,0.57313800,0.38721010,-0.49327773,0.99972969,0.57222617,0.37323651,-0.50946039,0.99986905,0.56977767,0.37117624,-0.50975221,0.99982595,0.56722754,0.36908901,-0.51007384,0.99992299,0.57450515,0.35285074,-0.45989496,0.99982208,0.55159271,0.34575874,-0.53706133,0.99992192,0.56395841,0.38083375,-0.44372115,0.99943471,0.55882853,0.37609228,-0.46744475,0.99973035,0.55147541,0.32583162,-0.31737620,0.99991345,0.50120229,0.33597964,-0.41932657,0.99994177,0.70560348,0.42330271,-0.36460736,0.01803179,0.39287579,0.26739490,-0.54630274,0.04955305,0.73960954,0.34269127,-0.47528172,0.00142429,0.36365098,0.21476732,-0.54372585,0.00077038,0.82284409,0.40422118,-0.50771809,0.00171271,0.34161183,0.21699639,-0.57283574,0.00045200,0.84943503,0.50204927,-0.50614578,0.00144722,0.33792856,0.21673550,-0.57846540,0.00041789,0.83909911,0.49583247,-0.46723500,0.00171035,0.34696972,0.21611607,-0.55173916,0.00038137,0.53011388,0.43889728,0.04312955,0.99986172,0.49274361,0.43900901,-0.04307425,0.99995804,0.51754802,0.64333922,-0.12506239,0.00013269,0.51692575,0.61756361,-0.02706825,0.03212643,0.49370781,0.86485517,-0.25980046,0.00068330,0.58169311,0.61284137,-0.06444062,0.16982290,0.48690474,0.86612964,0.05228924,0.00330642,0.63570774,0.55311799,0.14891957,0.06181136,0.48099807,0.93232173,-0.03931324,0.00057294,0.48555443,0.90822303,-0.05523153,0.03966814,149.01554887,144.27954064,-504.13596342,4749.06678492
2,0.06666667,0.61011153,0.38584566,-0.10891552,0.99924457,0.60722095,0.39297143,-0.12932880,0.99961990,0.60377038,0.40240887,-0.12934597,0.99935937,0.59936917,0.40803295,-0.12936175,0.99968028,0.61519128,0.38193148,-0.14016554,0.99986327,0.61759663,0.38031352,-0.14036801,0.99981844,0.61984783,0.37860182,-0.14037865,0.99991769,0.59012359,0.40602863,-0.17166844,0.99973959,0.61768109,0.37498686,-0.22598930,0.99990124,0.60171813,0.37892660,-0.11369820,0.99941510,0.60880786,0.37414396,-0.13067931,0.99971884,0.54241598,0.35831311,-0.18841483,0.99991947,0.58009732,0.34313726,-0.21486081,0.99994659,0.70560348,0.42330271,-0.36460736,0.06157998,0.39287579,0.26739490,-0.54630274,0.09390491,0.73960954,0.34269127,-0.47528172,0.02983158,0.36365098,0.21476732,-0.54372585,0.01751160,0.82284409,0.40422118,-0.50771809,0.04806390,0.34161183,0.21699639,-0.57283574,0.03014983,0.84943503,0.50204927,-0.50614578,0.04075556,0.33792856,0.21673550,-0.57846540,0.02528999,0.83909911,0.49583247,-0.46723500,0.04408060,0.34696972,0.21611607,-0.55173916,0.03059000,0.52918410,0.40303528,0.02531745,0.99987453,0.51600292,0.39649126,-0.02552012,0.99996215,0.51754802,0.64333922,-0.12506239,0.09475147,0.51692575,0.61756361,-0.02706825,0.12884527,0.49370781,0.86485517,-0.25980046,0.00978736,0.58169311,0.61284137,-0.06444062,0.25272721,0.48690474,0.86612964,0.05228924,0.04226785,0.63570774,0.55311799,0.14891957,0.15541974,0.48099807,0.93232173,-0.03931324,0.02750134,0.48555443,0.90822303,-0.05523153,0.13532239,103.52957242,130.99283578,-293.06632853,6577.16341766
3,0.10000000,0.61903387,0.47405818,-0.10097250,0.99931908,0.62664890,0.47237697,-0.13077240,0.99965733,0.62212312,0.47172436,-0.13098617,0.99942291,0.62085503,0.47152418,-0.13101305,0.99971181,0.62147623,0.47129598,-0.14627664,0.99987674,0.62151909,0.47009751,-0.14639838,0.99983639,0.62160099,0.46863517,-0.14643236,0.99992567,0.59818625,0.45805746,-0.19280486,0.99976552,0.60554755,0.45019707,-0.26743075,0.99991083,0.60475761,0.46404055,-0.10876469,0.99947321,0.60804355,0.45925868,-0.13176455,0.99974650,0.54820031,0.36957815,-0.21686442,0.99992752,0.56384259,0.37595041,-0.24653953,0.99995178,0.70560348,0.42330271,-0.36460736,0.14898290,0.39287579,0.26739490,-0.54630274,0.16757190,0.73960954,0.34269127,-0.47528172,0.11542065,0.36365098,0.21476732,-0.54372585,0.03899738,0.82284409,0.40422118,-0.50771809,0.13283604,0.34161183,0.21699639,-0.57283574,0.05461104,0.84943503,0.50204927,-0.50614578,0.12348365,0.33792856,0.21673550,-0.57846540,0.04327565,0.83909911,0.49583247,-0.46723500,0.12370547,0.34696972,0.21611607,-0.55173916,0.04669915,0.52157241,0.38880870,0.02630457,0.99988705,0.53926224,0.41568831,-0.02653039,0.99996591,0.51754802,0.64333922,-0.12506239,0.17956215,0.51692575,0.61756361,-0.02706825,0.21593094,0.49370781,0.86485517,-0.25980046,0.09990935,0.58169311,0.61284137,-0.06444062,0.32740778,0.48690474,0.86612964,0.05228924,0.13465258,0.63570774,0.55311799,0.14891957,0.23973243,0.48099807,0.93232173,-0.03931324,0.11740510,0.48555443,0.90822303,-0.05523153,0.22167683,150.58392272,124.74178541,-65.65840224,8106.44996708
4,0.13333333,0.56968093,0.44264665,-0.35460660,0.99934530,0.57823563,0.44280797,-0.38120088,0.99965882,0.57735944,0.44149294,-0.38145348,0.99944651,0.57153541,0.44097343,-0.38151467,0.99972278,0.57179433,0.44378194,-0.39057398,0.99986964,0.57089287,0.44327760,-0.39080757,0.99982911,0.57078177,0.44242573,-0.39087626,0.99991000,0.55973995,0.42032501,-0.40774336,0.99978262,0.55571282,0.42067614,-0.45310268,0.99987924,0.55801845,0.42958492,-0.34840113,0.99951619,0.56149894,0.42834350,-0.36310092,0.99975783,0.54149210,0.35516053,-0.33421218,0.99993473,0.51197630,0.40335110,-0.37669808,0.99995506,0.70560348,0.42330271,-0.36460736,0.23289707,0.39287579,0.26739490,-0.54630274,0.22635221,0.73960954,0.34269127,-0.47528172,0.20197311,0.36365098,0.21476732,-0.54372585,0.07326053,0.82284409,0.40422118,-0.50771809,0.21741329,0.34161183,0.21699639,-0.57283574,0.09271667,0.84943503,0.50204927,-0.50614578,0.20881909,0.33792856,0.21673550,-0.57846540,0.07892279,0.83909911,0.49583247,-0.46723500,0.20887944,0.34696972,0.21611607,-0.55173916,0.08367690,0.50641876,0.38100272,0.02676652,0.99989820,0.49687222,0.40529549,-0.02694958,0.99996918,0.51754802,0.64333922,-0.12506239,0.19350314,0.51692575,0.61756361,-0.02706825,0.29083997,0.49370781,0.86485517,-0.25980046,0.09485922,0.58169311,0.61284137,-0.06444062,0.39271078,0.48690474,0.86612964,0.05228924,0.14313652,0.63570774,0.55311799,0.14891957,0.30797976,0.48099807,0.93232173,-0.03931324,0.12360857,0.48555443,0.90822303,-0.05523153,0.29541674,114.02434048,126.61560896,247.36366927,6391.52077165
5,0.16666667,0.51769137,0.44010428,-0.31303993,0.99895191,0.52077776,0.44465709,-0.34989911,0.99941760,0.51875973,0.44434366,-0.35017389,0.99893540,0.51567972,0.44474110,-0.35017291,0.99947900,0.52312171,0.44263431,-0.35395166,0.99968010,0.52466941,0.44142389,-0.35415012,0.99965400,0.52643484,0.43987215,-0.35430658,0.99976754,0.51096219,0.42592159,-0.42123875,0.99970275,0.52104115,0.41753078,-0.44546321,0.99956596,0.50926179,0.42644441,-0.32240868,0.99920797,0.51571518,0.42298284,-0.33026248,0.99932396,0.49216402,0.35295171,-0.38582882,0.99994111,0.51388210,0.38748124,-0.43544835,0.99995804,0.70560348,0.42330271,-0.36460736,0.30512777,0.39287579,0.26739490,-0.54630274,0.29132986,0.73960954,0.34269127,-0.47528172,0.26023898,0.36365098,0.21476732,-0.54372585,0.09894284,0.82284409,0.40422118,-0.50771809,0.27617082,0.34161183,0.21699639,-0.57283574,0.10642126,0.84943503,0.50204927,-0.50614578,0.26280370,0.33792856,0.21673550,-0.57846540,0.08610155,0.83909911,0.49583247,-0.46723500,0.25122589,0.34696972,0.21611607,-0.55173916,0.08258288,0.48740914,0.38839370,0.02615600,0.99990821,0.48183855,0.37279347,-0.02651681,0.99997175,0.51754802,0.64333922,-0.12506239,0.19560297,0.51692575,0.61756361,-0.02706825,0.32810691,0.49370781,0.86485517,-0.25980046,0.13421465,0.58169311,0.61284137,-0.06444062,0.43014967,0.48690474,0.86612964,0.05228924,0.20803080,0.63570774,0.55311799,0.14891957,0.33847168,0.48099807,0.93232173,-0.03931324,0.16130735,0.48555443,0.90822303,-0.05523153,0.32728201,144.43929262,141.23269669,360.44298254,1347.77563533
6,0.20000000,0.53154987,0.35463238,-0.41629755,0.99905533,0.53172183,0.36772233,-0.44873101,0.99947518,0.52948493,0.36954531,-0.44892040,0.99904096,0.52831346,0.37166953,-0.44894981,0.99953043,0.53436267,0.36645073,-0.45595831,0.99971157,0.53531748,0.36805481,-0.45618707,0.99968815,0.53641808,0.36978298,-0.45651102,0.99979031,0.52071971,0.38457179,-0.45793384,0.99973214,0.53049845,0.38444263,-0.48794776,0.99960786,0.52528769,0.35781458,-0.35419622,0.99928629,0.52833658,0.35027656,-0.35670668,0.99939060,0.45900375,0.34825385,-0.45231774,0.99994695,0.54876065,0.36469093,-0.46960321,0.99996161,0.70560348,0.42330271,-0.36460736,0.37423164,0.39287579,0.26739490,-0.54630274,0.35436785,0.73960954,0.34269127,-0.47528172,0.33361670,0.36365098,0.21476732,-0.54372585,0.17494054,0.82284409,0.40422118,-0.50771809,0.34777567,0.34161183,0.21699639,-0.57283574,0.18521981,0.84943503,0.50204927,-0.50614578,0.33567679,0.33792856,0.21673550,-0.57846540,0.16579728,0.83909911,0.49583247,-0.46723500,0.32484099,0.34696972,0.21611607,-0.55173916,0.15528716,0.47494963,0.39492947,0.02687973,0.99991739,0.49180380,0.37859601,-0.02716832,0.99997455,0.51754802,0.64333922,-0.12506239,0.26592684,0.51692575,0.61756361,-0.02706825,0.38369295,0.49370781,0.86485517,-0.25980046,0.21914381,0.58169311,0.61284137,-0.06444062,0.48363367,0.48690474,0.86612964,0.05228924,0.28542411,0.63570774,0.55311799,0.14891957,0.39935118,0.48099807,0.93232173,-0.03931324,0.24311785,0.48555443,0.90822303,-0.05523153,0.38998798,142.07074135,150.64514113,337.21537829,-1849.91039811
7,0.23333333,0.49660498,0.42229784,-0.35334954,0.99907404,0.49547455,0.43585312,-0.39376447,0.99949598,0.49279034,0.43540022,-0.39396444,0.99907959,0.49201640,0.43430465,-0.39390844,0.99953943,0.49563470,0.43299004,-0.39381799,0.99972379,0.49533322,0.43081000,-0.39418975,0.99970490,0.49639168,0.42823458,-0.39440867,0.99980193,0.47315276,0.41756544,-0.46723372,0.99973726,0.50326824,0.40801239,-0.47042176,0.99963289,0.50158811,0.40206635,-0.36001942,0.99930793,0.50465769,0.39930829,-0.36160240,0.99941665,0.44980001,0.34573397,-0.45300266,0.99995184,0.54476315,0.38688207,-0.45666751,0.99996477,0.70560348,0.42330271,-0.36460736,0.43648311,0.39287579,0.26739490,-0.54630274,0.41628191,0.73960954,0.34269127,-0.47528172,0.39904734,0.36365098,0.21476732,-0.54372585,0.24405831,0.82284409,0.40422118,-0.50771809,0.41210368,0.34161183,0.21699639,-0.57283574,0.25335687,0.84943503,0.50204927,-0.50614578,0.40125594,0.33792856,0.21673550,-0.57846540,0.23822889,0.83909911,0.49583247,-0.46723500,0.39123467,0.34696972,0.21611607,-0.55173916,0.22591111,0.48026136,0.40091357,0.02423362,0.99992561,0.51986390,0.39555115,-0.02467106,0.99997699,0.51754802,0.64333922,-0.12506239,0.33221760,0.51692575,0.61756361,-0.02706825,0.43945464,0.49370781,0.86485517,-0.25980046,0.29421729,0.63850957,0.55202770,0.13009502,0.52606249,0.48690474,0.86612964,0.05228924,0.35423452,0.63570774,0.55311799,0.14891957,0.45305586,0.48099807,0.93232173,-0.03931324,0.31334174,0.48555443,0.90822303,-0.05523153,0.43584561,174.07586540,163.71372191,237.11562266,-2405.17302125
8,0.26666667,0.50749314,0.49579304,-0.40219694,0.99916369,0.51149404,0.49088135,-0.43434122,0.99953723,0.51276803,0.48886764,-0.43464020,0.99916399,0.51431155,0.48661935,-0.43460909,0.99957478,0.50337309,0.48689309,-0.43563622,0.99974805,0.50069267,0.48251411,-0.43592608,0.99973232,0.49848187,0.47839153,-0.43606654,0.99981934,0.48200515,0.46395805,-0.47244933,0.99975777,0.49784234,0.45285591,-0.47645026,0.99966657,0.51381898,0.48282540,-0.39754453,0.99936444,0.50642717,0.48091480,-0.40101850,0.99946851,0.50528502,0.40447342,-0.43128863,0.99995542,0.48349950,0.37365013,-0.43143216,0.99996805,0.70560348,0.42330271,-0.36460736,0.42052296,0.39287579,0.26739490,-0.54630274,0.46895102,0.73960954,0.34269127,-0.47528172,0.38393664,0.36365098,0.21476732,-0.54372585,0.31713533,0.82284409,0.40422118,-0.50771809,0.41577354,0.34161183,0.21699639,-0.57283574,0.32548153,0.84943503,0.50204927,-0.50614578,0.40529788,0.33792856,0.21673550,-0.57846540,0.31194338,0.83909911,0.49583247,-0.46723500,0.39018208,0.34696972,0.21611607,-0.55173916,0.30034021,0.53204787,0.40269658,0.02088496,0.99993175,0.48515403,0.40381995,-0.02132211,0.99997896,0.51754802,0.64333922,-0.12506239,0.30576399,0.51692575,0.61756361,-0.02706825,0.48019931,0.49370781,0.86485517,-0.25980046,0.29231060,0.48305136,0.70194912,0.02813535,0.56778723,0.48690474,0.86612964,0.05228924,0.36911210,0.48275322,0.82847569,0.03025526,0.48773986,0.48099807,0.93232173,-0.03931324,0.34083459,0.48555443,0.90822303,-0.05523153,0.48503068,174.33956415,166.45284931,176.87051021,-3475.10647485
9,0.30000000,0.50918007,0.48417217,-0.32646820,0.99923110,0.51234710,0.47985014,-0.35352677,0.99954098,0.51602966,0.47369549,-0.35386893,0.99920893,0.52001363,0.47192511,-0.35384277,0.99957460,0.50412178,0.48177716,-0.35568085,0.99975634,0.50140321,0.47897857,-0.35596472,0.99974823,0.49880087,0.47589484,-0.35610422,0.99982673,0.48635313,0.44866380,-0.38566768,0.99975592,0.50107962,0.44110629,-0.39743856,0.99968541,0.51301736,0.47057915,-0.32271823,0.99939793,0.50561029,0.46672404,-0.32783100,0.99950558,0.56077003,0.42181855,-0.32763031,0.99995804,0.47800952,0.36814508,-0.35220763,0.99997085,0.70560348,0.42330271,-0.36460736,0.39520738,0.39034325,0.25524113,-0.48891824,0.50449455,0.73960954,0.34269127,-0.47528172,0.36380112,0.36365098,0.21476732,-0.54372585,0.38141686,0.82284409,0.40422118,-0.50771809,0.40897769,0.34161183,0.21699639,-0.57283574,0.38977140,0.84943503,0.50204927,-0.50614578,0.40043768,0.33792856,0.21673550,-0.57846540,0.37784803,0.83909911,0.49583247,-0.46723500,0.38587639,0.34696972,0.21611607,-0.55173916,0.36732942,0.53698999,0.40356845,0.02165844,0.99993789,0.48382121,0.39743426,-0.02199570,0.99998093,0.51754802,0.64333922,-0.12506239,0.29044032,0.50074387,0.63254225,-0.02969561,0.52373868,0.49370781,0.86485517,-0.25980046,0.32683441,0.46632105,0.85187054,0.03456163,0.60880268,0.48690474,0.86612964,0.05228924,0.40848732,0.45981011,0.88892895,0.03859309,0.52718049,0.48099807,0.93232173,-0.03931324,0.39098710,0.47144893,0.92857701,-0.05999527,0.53359842,152.98102114,175.50508926,5.44185767,-12317.19660989
