frame,timestamp_sec,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32,angle_right_elbow,angle_right_elbow_smooth,angular_velocity_deg_s,angular_acceleration_deg_s2
0,0.00000000,0.49805659,0.66126865,0.26978737,0.99991667,0.49636602,0.66474795,0.27313492,0.99994016,0.49838063,0.66618037,0.27303413,0.99992716,0.50062871,0.66722751,0.27312562,0.99994683,0.49200612,0.66157126,0.26623249,0.99997389,0.49073282,0.65981340,0.26601249,0.99997544,0.48929086,0.65829700,0.26604915,0.99998283,0.51163357,0.67047799,0.26712179,0.99989569,0.49566096,0.65788597,0.23265404,0.99994195,0.51094007,0.66433090,0.26974213,0.99980956,0.50498825,0.65886366,0.25837523,0.99986207,0.55643171,0.67103159,0.18681088,0.99995840,0.51046968,0.66327417,0.20699948,0.99999344,0.69392884,0.36951548,-0.40095219,0.02811181,0.62884581,0.47663370,-0.40065524,0.07118827,0.49429244,0.42465219,-0.26061058,0.02925670,0.59359789,0.64587539,-0.41845024,0.21143205,0.48101717,0.43448365,-0.27439362,0.05083391,0.57809383,0.65868342,-0.46265551,0.23663232,0.52273929,0.47353718,-0.02104421,0.04364344,0.58534735,0.66484684,-0.49036667,0.21842608,0.52984214,0.47360405,-0.00083230,0.03536771,0.59182012,0.66174102,-0.43201303,0.20730758,0.60752118,0.61786669,-0.02335156,0.99999475,0.60779178,0.59222591,0.02298503,0.99999905,0.57900673,0.67010236,-0.13696787,0.91868937,0.65863729,0.54232907,-0.27592674,0.99123061,0.57570976,0.81084096,-0.28827435,0.88168818,0.69367212,0.44598716,-0.44180706,0.97199923,0.58221555,0.81574428,-0.30554461,0.96760565,0.69349378,0.42577466,-0.45849907,0.98530638,0.56656742,0.89891613,-0.38262114,0.95631623,0.72571075,0.43536231,-0.57234347,0.98462301,116.25562651,128.85509117,38.99493743,733.22958786
1,0.03333333,0.51073980,0.70598710,0.23009060,0.99992293,0.50489616,0.70176226,0.22894357,0.99994510,0.50545186,0.70155573,0.22881760,0.99993312,0.50632280,0.70106590,0.22893469,0.99995118,0.50322628,0.70023471,0.24450003,0.99997592,0.50238097,0.69757473,0.24429762,0.99997729,0.50135911,0.69512635,0.24431594,0.99998415,0.51172066,0.68622148,0.20199642,0.99990410,0.50182176,0.67952508,0.26270753,0.99994600,0.52108961,0.70573437,0.22102647,0.99982548,0.51658291,0.69478142,0.23995835,0.99987209,0.55023217,0.66613567,0.10458475,0.99995798,0.51364464,0.66325885,0.25128582,0.99999356,0.69392884,0.36951548,-0.40095219,0.06144753,0.62884581,0.47663370,-0.40065524,0.09976399,0.49429244,0.42465219,-0.26061058,0.11742406,0.59359789,0.64587539,-0.41845024,0.28869441,0.48101717,0.43448365,-0.27439362,0.13993241,0.57809383,0.65868342,-0.46265551,0.31150129,0.52273929,0.47353718,-0.02104421,0.13224261,0.58534735,0.66484684,-0.49036667,0.29510131,0.52984214,0.47360405,-0.00083230,0.11827453,0.59182012,0.66174102,-0.43201303,0.28442940,0.58759588,0.61935675,-0.04945595,0.99999422,0.60025197,0.59746373,0.04901372,0.99999905,0.57442003,0.69498515,-0.13405174,0.91140664,0.67173541,0.55214155,-0.21254747,0.99197620,0.58542246,0.81383568,-0.23349653,0.89076877,0.72908086,0.44598907,-0.30197832,0.97428393,0.59393096,0.81935501,-0.24772590,0.96985453,0.72705638,0.42641479,-0.31152135,0.98661256,0.58838642,0.89807010,-0.33732748,0.95944273,0.79075527,0.43477139,-0.41292194,0.98587978,147.45872480,130.15492242,63.43592369,1099.84438179
2,0.06666667,0.45797691,0.70857292,0.24265461,0.99989223,0.44998068,0.70344710,0.24629146,0.99992037,0.45032239,0.70325363,0.24621375,0.99991578,0.45088047,0.70302033,0.24638875,0.99994045,0.44959328,0.70212901,0.27620327,0.99993831,0.45225266,0.69906342,0.27610976,0.99993819,0.45273912,0.69642138,0.27616930,0.99994493,0.45891660,0.69725031,0.21343818,0.99990481,0.45500413,0.69275808,0.31551445,0.99989015,0.46704343,0.71095997,0.24240305,0.99982780,0.46591440,0.70746583,0.27389354,0.99984020,0.50678629,0.68686295,0.06506057,0.99996114,0.49231458,0.68214738,0.36100075,0.99998456,0.69392884,0.36951548,-0.40095219,0.15350646,0.62884581,0.47663370,-0.40065524,0.11153870,0.49429244,0.42465219,-0.26061058,0.20529465,0.59359789,0.64587539,-0.41845024,0.34765521,0.48101717,0.43448365,-0.27439362,0.22537337,0.57809383,0.65868342,-0.46265551,0.37114036,0.52273929,0.47353718,-0.02104421,0.21829401,0.58534735,0.66484684,-0.49036667,0.35610664,0.52984214,0.47360405,-0.00083230,0.20474242,0.59182012,0.66174102,-0.43201303,0.34446341,0.58883899,0.61931282,-0.09289908,0.99999213,0.61456639,0.58881789,0.09255582,0.99999845,0.59669280,0.74277102,-0.04483330,0.91937053,0.71215039,0.54677880,-0.01676379,0.99271274,0.61112106,0.86213229,0.04028841,0.90131825,0.79466575,0.44579485,-0.01921906,0.97679138,0.62216747,0.91281575,0.04766413,0.97254199,0.79602396,0.41724989,-0.01882855,0.98788804,0.60154045,0.94242448,0.00959823,0.96317911,0.86451948,0.43495554,-0.09412065,0.98722154,144.48682604,133.08415275,112.31789622,724.30888396
3,0.10000000,0.44645336,0.70885772,0.10347302,0.99990076,0.43951786,0.71360761,0.08197146,0.99992651,0.44026253,0.71532995,0.08180178,0.99992263,0.44118693,0.71708792,0.08169995,0.99994564,0.43825725,0.70782024,0.09751007,0.99994165,0.43832999,0.70538151,0.09737752,0.99994075,0.43803498,0.70304555,0.09740252,0.99994731,0.44867435,0.71442360,0.00747214,0.99991387,0.44354793,0.69807738,0.07623553,0.99989372,0.45798731,0.71198237,0.08420741,0.99984431,0.45555088,0.70547533,0.10256998,0.99985385,0.52110374,0.70549041,-0.09882987,0.99996459,0.48151672,0.68631047,0.17642929,0.99998051,0.69392884,0.36951548,-0.40095219,0.23673503,0.62884581,0.47663370,-0.40065524,0.14369461,0.49429244,0.42465219,-0.26061058,0.28427583,0.59359789,0.64587539,-0.41845024,0.40011606,0.48101717,0.43448365,-0.27439362,0.30178937,0.57809383,0.65868342,-0.46265551,0.42163807,0.52273929,0.47353718,-0.02104421,0.29535323,0.58534735,0.66484684,-0.49036667,0.40766296,0.52984214,0.47360405,-0.00083230,0.28215218,0.59182012,0.66174102,-0.43201303,0.39580718,0.62189478,0.61788464,-0.09110739,0.99998707,0.62912935,0.57241279,0.09085996,0.99999654,0.60860723,0.77556783,0.04138212,0.92212182,0.73335886,0.53678995,0.10657875,0.99280840,0.63509721,0.90786433,0.21108508,0.90998417,0.82732755,0.45748293,0.23745538,0.97863960,0.64552718,0.92066950,0.22454266,0.97331119,0.83113861,0.43027306,0.25052437,0.98797011,0.62214464,0.94852746,0.18348454,0.96554506,0.88167608,0.44899672,0.18148808,0.98739755,127.23695548,137.64278217,111.72318263,941.52179758
4,0.13333333,0.46949950,0.71639258,-0.09811989,0.99989927,0.46856749,0.72179091,-0.13286343,0.99992472,0.47145966,0.72323674,-0.13307904,0.99991900,0.47406274,0.72410870,-0.13307995,0.99994576,0.46194887,0.71622479,-0.11909719,0.99993956,0.45924971,0.71266633,-0.11935084,0.99993658,0.45664343,0.70953429,-0.11945732,0.99994743,0.48552158,0.71948200,-0.22645925,0.99991453,0.44955251,0.69778937,-0.16500269,0.99987900,0.47912768,0.71228665,-0.12113818,0.99985474,0.47151998,0.70529765,-0.10480893,0.99985856,0.56007743,0.69946623,-0.25259551,0.99996471,0.48825404,0.68178773,-0.07702886,0.99998033,0.69392884,0.36951548,-0.40095219,0.21924989,0.62884581,0.47663370,-0.40065524,0.14757381,0.49429244,0.42465219,-0.26061058,0.26299477,0.59359789,0.64587539,-0.41845024,0.41550645,0.48101717,0.43448365,-0.27439362,0.27794209,0.57809383,0.65868342,-0.46265551,0.43199155,0.52273929,0.47353718,-0.02104421,0.27195555,0.58534735,0.66484684,-0.49036667,0.41873565,0.52984214,0.47360405,-0.00083230,0.25836149,0.59182012,0.66174102,-0.43201303,0.40110362,0.65638071,0.61573470,-0.07069718,0.99996859,0.64901626,0.55026335,0.07035820,0.99999297,0.62777585,0.75760359,0.08681742,0.84484863,0.72327560,0.53693247,0.27794448,0.92337269,0.66198438,0.89747471,0.25299326,0.86698771,0.80124265,0.49802393,0.52232826,0.92971838,0.67503440,0.90912330,0.26758131,0.92189950,0.80859959,0.49550533,0.54712987,0.92097169,0.65882397,0.93663442,0.23551464,0.92199349,0.85002595,0.47866845,0.50638700,0.92357415,122.58619718,140.53236493,175.08601606,1790.08732957
5,0.16666667,0.59263206,0.66165894,-0.70764112,0.99953127,0.58273774,0.69885816,-0.72283912,0.99978828,0.57562321,0.69976277,-0.72325099,0.99968082,0.57331240,0.70017823,-0.72322124,0.99982113,0.58582807,0.67306697,-0.70912719,0.99985063,0.58494115,0.67588055,-0.70961463,0.99980623,0.58407646,0.67939496,-0.71002555,0.99987930,0.55827731,0.69379836,-0.67546350,0.99977767,0.49690202,0.68208939,-0.61399293,0.99962497,0.59246719,0.69331739,-0.67528075,0.99855429,0.52247635,0.65214014,-0.65954834,0.99870157,0.55968732,0.67482040,-0.52014858,0.99995124,0.51550890,0.65293020,-0.41438305,0.99995542,0.69392884,0.36951548,-0.40095219,0.19898070,0.62884581,0.47663370,-0.40065524,0.13291611,0.49429244,0.42465219,-0.26061058,0.23875193,0.59359789,0.64587539,-0.41845024,0.37398121,0.48101717,0.43448365,-0.27439362,0.25177699,0.57809383,0.65868342,-0.46265551,0.38881460,0.52273929,0.47353718,-0.02104421,0.24654642,0.58534735,0.66484684,-0.49036667,0.37688658,0.52984214,0.47360405,-0.00083230,0.23372540,0.59182012,0.66174102,-0.43201303,0.36101341,0.65689301,0.61221562,-0.01942789,0.99995792,0.65521467,0.56653857,0.01936453,0.99998152,0.64251722,0.71668600,0.17419517,0.76047039,0.63497490,0.52824829,-0.08576022,0.83273017,0.66127121,0.84029637,0.53195828,0.78044295,0.67987806,0.50646996,0.13002048,0.83906221,0.76328170,0.85223220,0.56506687,0.82994312,0.71531516,0.51250251,0.08587091,0.83074063,0.66182781,0.86732896,0.50501913,0.83011919,0.68067551,0.49509515,0.16645204,0.83595741,168.82202824,149.31518324,231.06233793,-1318.93609274
6,0.20000000,0.66082890,0.61854409,-0.68961218,,0.65814286,0.64469277,-0.69855441,,0.65339086,0.64458400,-0.69889749,,0.65199642,0.64419205,-0.69888829,,0.65805437,0.62340092,-0.69237790,,0.65654647,0.62688031,-0.69279471,,0.65504651,0.63132402,-0.69313207,,0.63580832,0.63464283,-0.63779765,,0.58879210,0.64383899,-0.61022166,,0.65666482,0.64819192,-0.65418983,,0.60511264,0.61274054,-0.64800965,,0.59648861,0.63186581,-0.49065148,,0.56361972,0.60688324,-0.46489501,,0.69392884,0.36951548,-0.40095219,,0.62884581,0.47663370,-0.40065524,,0.49429244,0.42465219,-0.26061058,,0.59359789,0.64587539,-0.41845024,,0.48101717,0.43448365,-0.27439362,,0.57809383,0.65868342,-0.46265551,,0.52273929,0.47353718,-0.02104421,,0.58534735,0.66484684,-0.49036667,,0.52984214,0.47360405,-0.00083230,,0.59182012,0.66174102,-0.43201303,,0.64891080,0.60749167,0.00434702,,0.63841659,0.56471888,-0.00441627,,0.65614699,0.65730086,0.14406138,,0.61968446,0.50914308,-0.18689352,,0.65901053,0.73299042,0.48264369,,0.64200686,0.51067915,0.00431189,,0.73630391,0.74639411,0.49180337,,0.66292898,0.52442391,-0.01103976,,0.66372160,0.73804482,0.43426905,,0.65016341,0.50657399,0.00326335,,,155.93652079,87.15694321,-6081.71371395
7,0.23333333,0.71136352,0.58057111,-0.65612986,,0.71749602,0.58124402,-0.65345423,,0.71740334,0.58056509,-0.65366958,,0.71824067,0.57985797,-0.65369852,,0.71249227,0.57106903,-0.66127208,,0.71010066,0.57137019,-0.66155771,,0.70773107,0.57205373,-0.66175846,,0.70937134,0.56885853,-0.56784678,,0.67832147,0.58378411,-0.60321787,,0.70458666,0.59458372,-0.61502098,,0.68208205,0.57891041,-0.62658066,,0.66857832,0.59027440,-0.43587116,,0.61224839,0.55194283,-0.49121785,,0.69392884,0.36951548,-0.40095219,,0.62884581,0.47663370,-0.40065524,,0.49429244,0.42465219,-0.26061058,,0.59359789,0.64587539,-0.41845024,,0.48101717,0.43448365,-0.27439362,,0.57809383,0.65868342,-0.46265551,,0.52273929,0.47353718,-0.02104421,,0.58534735,0.66484684,-0.49036667,,0.52984214,0.47360405,-0.00083230,,0.59182012,0.66174102,-0.43201303,,0.63408669,0.60199997,0.02102079,,0.60722017,0.55986107,-0.02112187,,0.66616113,0.60380679,0.08809864,,0.61239654,0.49003788,-0.24939621,,0.65502063,0.62390872,0.37360150,,0.61946857,0.51336115,-0.07578021,,0.68156779,0.63587111,0.35574258,,0.62380423,0.53144676,-0.06796402,,0.66470872,0.61179024,0.30287605,,0.63545694,0.51646363,-0.11236593,,,155.12564612,-174.38524300,-3533.53622687
8,0.26666667,0.73112249,0.54357946,-0.63810092,0.99957663,0.74217349,0.53046119,-0.62916952,0.99980825,0.74431264,0.53057075,-0.62931609,0.99971122,0.74623311,0.53088379,-0.62936556,0.99983805,0.73427320,0.52414745,-0.64452279,0.99986500,0.73127389,0.52129114,-0.64473778,0.99982494,0.72837174,0.51836687,-0.64486498,0.99989086,0.74367285,0.52328855,-0.53018093,0.99979889,0.71858883,0.51805252,-0.59944659,0.99966109,0.72373819,0.55016625,-0.59393007,0.99869668,0.71603781,0.54417181,-0.61504197,0.99882865,0.71848518,0.56971812,-0.40637407,0.99995601,0.64105678,0.50912756,-0.51206917,0.99995857,0.69392884,0.36951548,-0.40095219,0.27661791,0.62884581,0.47663370,-0.40065524,0.21452622,0.49429244,0.42465219,-0.26061058,0.31272963,0.59359789,0.64587539,-0.41845024,0.43553001,0.48101717,0.43448365,-0.27439362,0.32448086,0.57809383,0.65868342,-0.46265551,0.44883958,0.52273929,0.47353718,-0.02104421,0.32018635,0.58534735,0.66484684,-0.49036667,0.43815571,0.52984214,0.47360405,-0.00083230,0.30832648,0.59182012,0.66174102,-0.43201303,0.42285064,0.62610447,0.59617764,0.02730866,0.99994904,0.59042209,0.55286705,-0.02742892,0.99997211,0.67005563,0.58056241,0.05796485,0.69091350,0.59980023,0.48135370,-0.27078277,0.84410936,0.64911979,0.56140316,0.26318407,0.70503318,0.59418690,0.51722564,-0.10389180,0.79234129,0.63836920,0.56492531,0.28247908,0.75433517,0.59142727,0.53374833,-0.08656842,0.77694350,0.66499257,0.55157346,0.23212597,0.75933260,0.61025012,0.52812272,-0.15627752,0.79966372,140.75005585,144.31083792,-148.41213858,3492.91557598
9,0.30000000,0.73111826,0.50667739,-0.78100866,0.99961895,0.74283957,0.49814644,-0.78092700,0.99982738,0.74464953,0.50053412,-0.78118294,0.99974006,0.74638653,0.50319207,-0.78117657,0.99985421,0.73456389,0.48696509,-0.78038985,0.99987847,0.73139435,0.48230991,-0.78063846,0.99984241,0.72839075,0.47760856,-0.78079438,0.99990177,0.74540204,0.50299025,-0.68113512,0.99981898,0.71859038,0.46277195,-0.67553836,0.99969494,0.72409111,0.51955777,-0.73305553,0.99882692,0.71438038,0.50578135,-0.73259568,0.99894559,0.73205191,0.56753558,-0.54642433,0.99996036,0.64938492,0.48572394,-0.53270817,0.99996161,0.69392884,0.36951548,-0.40095219,0.34875295,0.62884581,0.47663370,-0.40065524,0.28869307,0.49429244,0.42465219,-0.26061058,0.38097751,0.59359789,0.64587539,-0.41845024,0.49054709,0.48101717,0.43448365,-0.27439362,0.39093706,0.57809383,0.65868342,-0.46265551,0.50212455,0.52273929,0.47353718,-0.02104421,0.38741019,0.58534735,0.66484684,-0.49036667,0.49265870,0.52984214,0.47360405,-0.00083230,0.37649190,0.59182012,0.66174102,-0.43201303,0.47830883,0.63628525,0.58946353,-0.00201410,0.99995345,0.60769922,0.53727424,0.00196589,0.99997425,0.63184869,0.58366078,0.34673715,0.65874165,0.56156594,0.50187320,-0.18480292,0.84990865,0.61941898,0.54583037,0.15305380,0.63949805,0.55775958,0.52498227,0.64317566,0.74576074,0.61960799,0.53863448,0.80077386,0.68213314,0.56489760,0.52796203,0.68701494,0.71405381,0.64142928,0.54775816,0.77034456,0.70171577,0.53492522,0.54490989,0.65152097,0.77012050,145.34864482,145.23150355,58.47579540,1996.18881631
