frame,timestamp_sec,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32,angle_right_elbow,angle_right_elbow_smooth,angular_velocity_deg_s,angular_acceleration_deg_s2
0,0.00000000,0.49044898,0.36837998,0.39602706,0.99994731,0.48867676,0.35833824,0.38873190,0.99998033,0.48717979,0.35993493,0.38858205,0.99997056,0.48573333,0.36130071,0.38856417,0.99998057,0.49392024,0.35398668,0.39800835,0.99999464,0.49669901,0.35258192,0.39781770,0.99999392,0.49955446,0.35156929,0.39783135,0.99999595,0.48737136,0.36450410,0.32199231,0.99997401,0.50457674,0.35659254,0.36524960,0.99997926,0.49051303,0.38484249,0.37334964,0.99989152,0.49627945,0.38085032,0.38422504,0.99992836,0.46156996,0.42491543,0.20660795,0.99999070,0.54742295,0.40913337,0.30029944,0.99996865,0.38675314,0.40885907,0.14716057,0.87063265,0.63510668,0.42364705,-0.11890057,0.03671082,0.32296550,0.38841698,0.14505455,0.94239199,0.58576089,0.39594850,-0.06462599,0.19413176,0.30429739,0.38216317,0.13200718,0.94484073,0.56980336,0.38548312,-0.08403885,0.24574400,0.30263814,0.37531969,0.14443891,0.93550086,0.57135516,0.38506669,-0.08571964,0.22542910,0.30883309,0.37751201,0.15113410,0.89952862,0.42478311,0.30736446,-0.45281804,0.19142322,0.56720561,0.53048098,-0.02550452,0.99999881,0.59870738,0.48934254,0.02481368,0.99999785,0.61524063,0.71322978,-0.09434985,0.99395281,0.65281445,0.39008698,-0.02644742,0.95091736,0.61863178,0.91032523,-0.30622515,0.99072611,0.73214287,0.29661581,-0.24165745,0.88223332,0.63308978,0.94692492,-0.32831961,0.99702591,0.73513961,0.29720974,-0.26155961,0.98686302,0.57226413,0.97174627,-0.40622041,0.98367232,0.76941234,0.27638438,-0.30658191,0.91978598,161.58440535,156.71485290,-434.54857242,2955.94435537
1,0.03333333,0.43318111,0.36865589,0.26553172,0.99772352,0.43151587,0.35942832,0.25039789,0.99746931,0.43025643,0.36118579,0.25015172,0.99705517,0.42889434,0.36281702,0.25008595,0.99769914,0.43676928,0.35438356,0.26730743,0.99847192,0.43924654,0.35281992,0.26703820,0.99859875,0.44170743,0.35166556,0.26698989,0.99897259,0.43372017,0.36704707,0.17797033,0.99904615,0.45082018,0.35641772,0.25466812,0.99850941,0.43406302,0.38487694,0.24231726,0.99772346,0.43955231,0.38036305,0.26280397,0.99808437,0.45008004,0.42470983,0.07051630,0.99998009,0.50329387,0.40305954,0.25950816,0.99989301,0.39091647,0.41263384,0.04103145,0.87416255,0.63510668,0.42364705,-0.11890057,0.03360060,0.33307463,0.39150307,0.09477527,0.92871445,0.58576089,0.39594850,-0.06462599,0.17486164,0.31669983,0.38469276,0.09113801,0.92999250,0.56980336,0.38548312,-0.08403885,0.22142595,0.31757605,0.37609392,0.10263664,0.91867983,0.57135516,0.38506669,-0.08571964,0.20311733,0.32321280,0.37878573,0.10203996,0.87653863,0.42478311,0.30736446,-0.45281804,0.17254707,0.58772588,0.49891353,-0.04550402,0.99999768,0.59965110,0.49547175,0.04502439,0.99999636,0.67404807,0.70066371,-0.13294476,0.99151087,0.60652524,0.41302160,-0.02626561,0.94782549,0.70150095,0.90119524,-0.11339368,0.96706647,0.68278867,0.29237449,-0.14304236,0.88789833,0.69661349,0.94177663,-0.11010050,0.97863692,0.61267030,0.28609945,-0.15598907,0.98037583,0.72164500,0.96039106,-0.13253032,0.94724584,0.76326123,0.27116397,-0.21117269,0.91321373,122.93990845,142.22990048,-336.01709391,4433.91653305
2,0.06666667,0.40659857,0.38334939,0.29339159,0.99794567,0.40271673,0.37254614,0.27413183,0.99772102,0.40207773,0.37320736,0.27399004,0.99734819,0.40126130,0.37398589,0.27399153,0.99792820,0.40734228,0.36706516,0.29823625,0.99862373,0.41014102,0.36379525,0.29796395,0.99873781,0.41284138,0.36073563,0.29797190,0.99907440,0.40783739,0.37473923,0.18136741,0.99914080,0.42253670,0.35995644,0.29108247,0.99865574,0.41226500,0.39448982,0.26364022,0.99794364,0.41628590,0.39141002,0.29361635,0.99826509,0.44222972,0.42500839,0.05521482,0.99998087,0.50164109,0.36346936,0.26680300,0.99988484,0.42534974,0.43173975,-0.14471814,0.88251066,0.63510668,0.42364705,-0.11890057,0.03229075,0.37586048,0.39764398,-0.29419571,0.93057799,0.58576089,0.39594850,-0.06462599,0.15860499,0.36147520,0.38979861,-0.33898100,0.93353206,0.56980336,0.38548312,-0.08403885,0.20124848,0.36317676,0.38282290,-0.31891203,0.92322862,0.57135516,0.38506669,-0.08571964,0.18467292,0.36819303,0.38721633,-0.28925309,0.88259655,0.42478311,0.30736446,-0.45281804,0.15720852,0.58834106,0.50452131,-0.05625962,0.99999785,0.60833430,0.48200628,0.05573571,0.99999660,0.60594732,0.69497954,-0.02871297,0.99183726,0.66805580,0.41629797,0.05107646,0.95238012,0.58620805,0.89770789,-0.03123383,0.96986985,0.66680509,0.28165607,0.09678053,0.89758509,0.59822065,0.93987989,-0.03202543,0.97989589,0.63678366,0.27309087,0.10687465,0.98165983,0.61744883,0.95620756,-0.08767944,0.95069361,0.74765765,0.25855297,0.10756055,0.91754699,154.81162724,134.31371330,-138.95413688,6776.59839686
3,0.10000000,0.38434193,0.38898462,0.09927142,0.99802083,0.38725311,0.37816665,0.07865432,0.99790776,0.38825077,0.37825191,0.07848612,0.99757838,0.38883871,0.37843141,0.07852226,0.99811256,0.39032686,0.37386295,0.10313954,0.99871665,0.39331052,0.37090462,0.10282440,0.99882042,0.39585420,0.36788914,0.10279673,0.99912506,0.39997664,0.37705150,0.01248680,0.99921781,0.40640911,0.36525285,0.12214676,0.99869668,0.39291871,0.39936417,0.08194634,0.99804717,0.39574558,0.39708015,0.11161485,0.99820668,0.44021952,0.43200138,-0.04872961,0.99997616,0.47060934,0.36015633,0.18195930,0.99964613,0.49220401,0.45784327,-0.16961354,0.85504884,0.63510668,0.42364705,-0.11890057,0.02911504,0.45051613,0.44283497,-0.24465720,0.89627004,0.58576089,0.39594850,-0.06462599,0.14277948,0.44000140,0.43972027,-0.26993236,0.91025704,0.56980336,0.38548312,-0.08403885,0.18119445,0.43690044,0.42649248,-0.25165015,0.89848322,0.57135516,0.38506669,-0.08571964,0.16627389,0.44165820,0.43172827,-0.23703057,0.85080254,0.42478311,0.30736446,-0.45281804,0.14157093,0.58478510,0.50795299,-0.06140729,0.99999750,0.60761344,0.46662396,0.06102432,0.99999529,0.58281022,0.69364709,0.00280816,0.98787659,0.72958636,0.35394940,0.04707229,0.95161462,0.55871713,0.89714867,-0.01662318,0.97032267,0.68524474,0.26746890,0.06648531,0.90427905,0.57207084,0.93960893,-0.01957902,0.97840261,0.66997772,0.25876808,0.07366391,0.98178792,0.50755417,0.95560992,-0.06659904,0.95187861,0.72687620,0.24221095,0.07507097,0.92028672,139.21275195,132.96629136,115.75613255,5811.76998006
4,0.13333333,0.38418016,0.40985221,0.02587187,0.99819648,0.38608998,0.39153281,0.00427695,0.99811018,0.38757107,0.39156339,0.00409643,0.99781537,0.38882554,0.39164600,0.00409425,0.99829674,0.38745728,0.38761491,0.03525947,0.99883872,0.39022964,0.38501787,0.03494054,0.99893373,0.39328906,0.38227144,0.03492009,0.99920690,0.40284523,0.38834190,-0.05912807,0.99929422,0.40753472,0.38034487,0.08094352,0.99881327,0.39409351,0.42241782,0.00945869,0.99820882,0.39495927,0.41999775,0.04816582,0.99832046,0.44153684,0.43925032,-0.10961918,0.99997622,0.46794888,0.38798526,0.14836425,0.99959892,0.50751716,0.44866589,-0.19455086,0.84490144,0.63510668,0.42364705,-0.11890057,0.02644240,0.54280275,0.43372118,-0.26148313,0.87317473,0.58576089,0.39594850,-0.06462599,0.12861714,0.56264818,0.43685168,-0.29165310,0.89608115,0.56980336,0.38548312,-0.08403885,0.16331227,0.55565941,0.42565244,-0.28971380,0.88366830,0.57135516,0.38506669,-0.08571964,0.14988172,0.55344594,0.42828685,-0.26067632,0.83463013,0.42478311,0.30736446,-0.45281804,0.12767546,0.58652532,0.50878119,-0.07460667,0.99999738,0.60815328,0.46856472,0.07438091,0.99999493,0.57337457,0.70088333,0.00772573,0.98860955,0.72779369,0.33693907,0.06037438,0.95524210,0.54581815,0.90404177,0.02354981,0.97285455,0.66685927,0.24330775,0.04011113,0.91311997,0.55687100,0.94524693,0.02288740,0.97970319,0.64591897,0.24215761,0.04222111,0.98326266,0.50090802,0.96618599,-0.02241065,0.95591688,0.69082481,0.21603861,0.03675846,0.92734712,116.31740293,142.03078881,248.49719512,3256.91742888
5,0.16666667,0.39297611,0.41365260,-0.17879675,0.99836493,0.39691460,0.39597306,-0.19734487,0.99828649,0.39862400,0.39575517,-0.19768319,0.99801737,0.40019318,0.39574075,-0.19767547,0.99845707,0.39719567,0.39352965,-0.16622859,0.99894464,0.39934450,0.39177758,-0.16657124,0.99903047,0.40196246,0.38978755,-0.16659562,0.99927932,0.41873997,0.39308998,-0.23848702,0.99935782,0.42141330,0.38711405,-0.09454785,0.99891639,0.40316972,0.42906651,-0.18917455,0.99837351,0.40372643,0.42705476,-0.14942972,0.99846977,0.48653138,0.43949482,-0.24631740,0.99997556,0.46592483,0.42429215,0.00486288,0.99963391,0.56045353,0.44317433,-0.20168842,0.82787228,0.63510668,0.42364705,-0.11890057,0.02395768,0.58103633,0.41586894,-0.12931672,0.80517268,0.58576089,0.39594850,-0.06462599,0.11589423,0.58054715,0.39501598,-0.14271408,0.82636583,0.56980336,0.38548312,-0.08403885,0.14728764,0.57828790,0.39447048,-0.14481336,0.81222534,0.57135516,0.38506669,-0.08571964,0.13519740,0.57832116,0.39505595,-0.12798691,0.76446521,0.42478311,0.30736446,-0.45281804,0.11525814,0.61679536,0.47871473,-0.07264998,0.99999619,0.59071755,0.51104933,0.07256842,0.99999464,0.72009242,0.50692154,-0.07212126,0.98927027,0.64216431,0.52132405,0.05615147,0.94803691,0.61476880,0.56776477,0.06685067,0.96417707,0.59403254,0.56713298,0.08753289,0.91605443,0.57897830,0.59982265,0.08316597,0.96485656,0.54787362,0.57978525,0.09148294,0.97306323,0.58908808,0.58256654,0.08208367,0.94734019,0.58619386,0.59603099,0.07560850,0.92688584,160.21981460,149.53277103,332.88396114,796.35797659
6,0.20000000,0.40088102,0.42411482,-0.28024185,0.99852026,0.40646616,0.40523562,-0.29284987,0.99845076,0.41559094,0.40502074,-0.29317242,0.99820763,0.42228106,0.40449652,-0.29313231,0.99860615,0.40801087,0.40339977,-0.27041033,0.99904287,0.41231295,0.40216580,-0.27073431,0.99912053,0.41642681,0.40085989,-0.27074954,0.99934578,0.44882146,0.39791489,-0.30178744,0.99941689,0.42484456,0.39508551,-0.19752139,0.99900848,0.41871721,0.43657476,-0.27777132,0.99852204,0.41032046,0.43729568,-0.24959278,0.99860108,0.52535641,0.43862313,-0.28364274,0.99997497,0.46777645,0.44086909,-0.08336469,0.99966383,0.58956105,0.44105771,-0.28495204,0.82596099,0.63510668,0.42364705,-0.11890057,0.02181577,0.63538647,0.42550167,-0.31729981,0.76086789,0.58576089,0.39594850,-0.06462599,0.10464503,0.64717710,0.41755721,-0.34447324,0.77654672,0.56980336,0.38548312,-0.08403885,0.13314407,0.64699817,0.42273116,-0.35469764,0.76097345,0.57135516,0.38506669,-0.08571964,0.12225077,0.64316630,0.42473432,-0.32114431,0.71028990,0.42478311,0.30736446,-0.45281804,0.10432882,0.61655688,0.46761245,-0.06987930,0.99999470,0.58242512,0.52522707,0.07069156,0.99999392,0.70587379,0.30379757,-0.08898898,0.98879063,0.55440599,0.70570904,0.00545669,0.94330233,0.60299319,0.22763439,0.03923333,0.93791336,0.53178465,0.89270872,0.01237064,0.91323268,0.57895768,0.24292506,0.05285918,0.93737257,0.53954631,0.91978467,0.01415803,0.95654505,0.58144790,0.19894709,0.04760747,0.92660189,0.50628257,0.97745079,-0.00573736,0.92110312,167.64084228,164.22305288,301.58772689,-6314.14670446
7,0.23333333,0.45839372,0.43353158,-0.60592395,0.99866778,0.46350688,0.41504794,-0.61191088,0.99860543,0.46727580,0.41443363,-0.61231405,0.99838662,0.47130790,0.41379583,-0.61232090,0.99874538,0.46129054,0.41408521,-0.59852695,0.99913830,0.46229786,0.41274017,-0.59886235,0.99920815,0.46338150,0.41103682,-0.59892178,0.99941087,0.49369252,0.40595797,-0.56823671,0.99947506,0.48118332,0.40371251,-0.50507396,0.99910605,0.47127768,0.44664523,-0.58191085,0.99866939,0.46574485,0.44695535,-0.56552249,0.99874008,0.56347090,0.44230038,-0.47492912,0.99997729,0.47644484,0.46131819,-0.32441044,0.99969506,0.64225799,0.43300161,-0.42957580,0.83999556,0.63510668,0.42364705,-0.11890057,0.02014561,0.70652485,0.42307201,-0.46520224,0.78045356,0.58576089,0.39594850,-0.06462599,0.09479111,0.72560394,0.40743682,-0.49808341,0.79015476,0.56980336,0.38548312,-0.08403885,0.12059588,0.72955227,0.42243558,-0.52060264,0.77593756,0.57135516,0.38506669,-0.08571964,0.11085868,0.72113031,0.41943499,-0.47427574,0.72568369,0.42478311,0.30736446,-0.45281804,0.09471523,0.62363791,0.45872658,-0.04052849,0.99999458,0.57504553,0.51837271,0.04062571,0.99999380,0.68183500,0.29318193,-0.09966428,0.98537636,0.55011344,0.70286393,0.00554043,0.93986213,0.56417805,0.22330904,0.06634771,0.91175044,0.52830356,0.89466310,0.06839905,0.91397268,0.54958647,0.22979565,0.08237737,0.91171175,0.53488266,0.92243648,0.07508101,0.93961889,0.52552396,0.20028783,0.03217370,0.91335857,0.51763415,0.97904211,0.01039863,0.91971570,174.82412325,169.63861949,-88.05915249,-8829.43466153
8,0.26666667,0.51164329,0.44346207,-0.66636258,0.99880069,0.51514620,0.42697203,-0.67115468,0.99874449,0.51796210,0.42644528,-0.67148697,0.99854749,0.52106434,0.42588118,-0.67153168,0.99887043,0.51291537,0.42622295,-0.66049629,0.99922419,0.51334608,0.42557663,-0.66084701,0.99928713,0.51335508,0.42504728,-0.66102809,0.99946958,0.54046148,0.41615465,-0.62608075,0.99952704,0.52866912,0.41802418,-0.57822663,0.99919456,0.52257890,0.45561960,-0.64289832,0.99880010,0.51830798,0.45499274,-0.63046688,0.99886435,0.60159945,0.43920818,-0.52321386,0.99997795,0.53504556,0.49623644,-0.45546767,0.99972492,0.68043262,0.42058715,-0.48482805,0.83672422,0.63510668,0.42364705,-0.11890057,0.09961890,0.77105045,0.41413730,-0.46919313,0.77253431,0.58576089,0.39594850,-0.06462599,0.17167391,0.79392916,0.39461872,-0.48005775,0.76330709,0.56980336,0.38548312,-0.08403885,0.18580544,0.79594433,0.40407249,-0.51814336,0.75112677,0.57135516,0.38506669,-0.08571964,0.18127793,0.78968865,0.40535477,-0.48373258,0.70845705,0.42478311,0.30736446,-0.45281804,0.16849042,0.63383973,0.43906379,-0.01336071,0.99995923,0.59393173,0.50936502,0.01296104,0.99997795,0.63370758,0.28554225,-0.05510358,0.94068050,0.55392480,0.60768712,-0.05294422,0.88313341,0.51272428,0.23900917,-0.13126835,0.84934831,0.53571713,0.65397698,-0.13793808,0.83734763,0.50236744,0.24002530,-0.14472730,0.88079858,0.54083276,0.67854112,-0.14518934,0.87019461,0.47096649,0.22949743,-0.19888002,0.88700634,0.50089258,0.59329790,-0.18959083,0.86082280,158.79367643,158.35244272,-287.04125054,-2250.63718486
9,0.30000000,0.56802350,0.43257272,-0.75205070,0.99891907,0.58129889,0.42055917,-0.75936401,0.99886978,0.58347201,0.42214790,-0.75970536,0.99869239,0.58557409,0.42390150,-0.75968230,0.99898320,0.57771069,0.41587737,-0.75773066,0.99930155,0.57744128,0.41411230,-0.75815028,0.99935818,0.57705146,0.41253337,-0.75842595,0.99952239,0.59429657,0.42879400,-0.68338287,0.99957418,0.57253993,0.41203070,-0.67703080,0.99927312,0.57031620,0.44853151,-0.70887530,0.99891639,0.56172395,0.44529021,-0.70923656,0.99897349,0.57110482,0.44213519,-0.47086099,0.99996537,0.57436967,0.44242972,-0.44552419,0.99955547,0.59604919,0.41984317,-0.28274360,0.79374170,0.63510668,0.42364705,-0.11890057,0.09564488,0.80139011,0.39813066,-0.15522927,0.73620361,0.58576089,0.39594850,-0.06462599,0.15655683,0.81308801,0.37750992,-0.15129046,0.72146374,0.56980336,0.38548312,-0.08403885,0.16961113,0.81427889,0.37252086,-0.17736728,0.71239632,0.57135516,0.38506669,-0.08571964,0.16557181,0.80586834,0.37613913,-0.16086338,0.67312670,0.42478311,0.30736446,-0.45281804,0.15453868,0.62346405,0.46645656,-0.00516750,0.99995738,0.59328598,0.45058963,0.00472380,0.99995768,0.56405908,0.28531881,-0.00837914,0.94447082,0.57523984,0.62440351,0.08356077,0.84691036,0.53358108,0.23887743,-0.01515833,0.86369008,0.47289526,0.72002171,0.09280999,0.81866062,0.52890849,0.24142750,-0.01807899,0.89068836,0.46592477,0.74706032,0.09524715,0.84209633,0.50662261,0.22709978,-0.15349826,0.89779162,0.42901167,0.20526125,0.02038308,0.85779631,140.98657334,150.50253612,-238.10163148,3451.13202562
