frame,timestamp_sec,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32,angle_right_elbow,angle_right_elbow_smooth,angular_velocity_deg_s,angular_acceleration_deg_s2
0,0.00000000,0.68527687,0.40486604,0.02706976,0.99987543,0.68257689,0.39601982,0.04074475,0.99982256,0.68143940,0.39628115,0.04058958,0.99980873,0.68031269,0.39648640,0.04061940,0.99984217,0.68248320,0.39582539,0.01318149,0.99991810,0.68121314,0.39602908,0.01291101,0.99994576,0.67987090,0.39616397,0.01275748,0.99995530,0.67134178,0.39779004,0.09535432,0.99990451,0.67043579,0.39756829,-0.03061815,0.99991930,0.68093675,0.41674840,0.05035710,0.99978870,0.68057710,0.41633621,0.01246091,0.99985552,0.64631152,0.45652705,0.17810056,0.99993598,0.65227646,0.43134275,-0.11707171,0.99999630,0.49645865,0.44994250,0.06770041,0.04152920,0.68660164,0.50558698,-0.19909431,0.99856961,0.45665535,0.47537372,0.08309299,0.06545621,0.73171437,0.53981483,-0.18888639,0.99110448,0.44881174,0.50864524,0.08808587,0.09854173,0.74208695,0.55262488,-0.21524511,0.98587078,0.44677046,0.50577211,0.08751719,0.10066046,0.74490571,0.54927081,-0.19477518,0.98255527,0.45035136,0.50455981,0.09484162,0.11965118,0.74147987,0.54578990,-0.18153310,0.96375638,0.58896339,0.57056105,0.08102069,0.99999821,0.57142115,0.55328894,-0.08112471,0.99999917,0.66190833,0.64613783,-0.05345110,0.99939215,0.50392866,0.63987553,-0.14122881,0.99996221,0.66900003,0.77490669,-0.04111798,0.99964762,0.42188677,0.68296319,-0.14957762,0.99995911,0.66093647,0.80146611,-0.04367158,0.99924362,0.40907517,0.68098652,-0.15202071,0.99845839,0.70431775,0.80499226,-0.10147738,0.99965751,0.38853592,0.72866875,-0.23867358,0.99987435,119.20703019,107.15008915,560.00426977,-2268.84712395
1,0.03333333,0.67370909,0.40101346,0.04911413,0.99980581,0.67001176,0.39081812,0.06479844,0.99962616,0.66882837,0.39024273,0.06468794,0.99958551,0.66762739,0.38992673,0.06474522,0.99967569,0.66974789,0.39060926,0.03701273,0.99983799,0.66859967,0.38998958,0.03679172,0.99988031,0.66749418,0.38952294,0.03667859,0.99990964,0.65851712,0.39327255,0.11988437,0.99973446,0.65796107,0.39179149,-0.00616852,0.99981856,0.66910666,0.41102371,0.07143936,0.99964952,0.66864276,0.41050115,0.03357234,0.99975878,0.63827586,0.44749919,0.18870023,0.99991232,0.64555794,0.42836669,-0.09280799,0.99999261,0.49645865,0.44994250,0.06770041,0.04795802,0.67131591,0.50333291,-0.14850540,0.99701405,0.45665535,0.47537372,0.08309299,0.07384130,0.71599859,0.54708570,-0.12020329,0.98746604,0.44881174,0.50864524,0.08808587,0.10774007,0.72637105,0.56160593,-0.14591867,0.97983265,0.44677046,0.50577211,0.08751719,0.11051512,0.73057240,0.55787575,-0.12828042,0.97519445,0.45035136,0.50455981,0.09484162,0.12873279,0.72671700,0.55408239,-0.11382315,0.95010567,0.58279026,0.55934733,0.08090976,0.99999452,0.57545018,0.54975510,-0.08100958,0.99999774,0.65951920,0.64526564,0.04450333,0.98923105,0.51735318,0.63217336,-0.15587676,0.99990916,0.67496973,0.77296180,0.04720290,0.99657381,0.44121873,0.67904735,-0.15023583,0.99984133,0.66892165,0.80036533,0.04331694,0.99347621,0.42886305,0.68092626,-0.15197082,0.99645662,0.70978099,0.80309308,-0.00893150,0.99680489,0.42904338,0.71519029,-0.21505111,0.99945164,115.42008968,125.81689814,484.37603230,-3403.27068593
2,0.06666667,0.66946864,0.40070069,0.06376487,0.99970669,0.66668600,0.39014620,0.08126093,0.99943018,0.66564012,0.38955528,0.08115447,0.99935877,0.66447198,0.38918123,0.08122250,0.99950403,0.66662049,0.38993391,0.05394087,0.99973857,0.66573173,0.38932058,0.05371067,0.99979794,0.66478944,0.38875890,0.05359171,0.99985230,0.65523362,0.39245927,0.14187203,0.99956185,0.65574986,0.39098448,0.01773659,0.99969631,0.66488290,0.41079384,0.08774162,0.99948114,0.66474390,0.41008881,0.05042443,0.99962050,0.63780707,0.44747174,0.20835906,0.99988967,0.64292294,0.42621815,-0.07009252,0.99998748,0.49645865,0.44994250,0.06770041,0.05451853,0.66891891,0.50109947,-0.12344721,0.99440783,0.45665535,0.47537372,0.08309299,0.08490407,0.71164924,0.54874790,-0.09095509,0.97947788,0.44881174,0.50864524,0.08808587,0.11972720,0.72135651,0.56395727,-0.11541227,0.96831936,0.44677046,0.50577211,0.08751719,0.12331569,0.72506100,0.55964476,-0.09774373,0.96113366,0.45035136,0.50455981,0.09484162,0.14091198,0.72129834,0.55565536,-0.08444162,0.92582685,0.58350587,0.55957150,0.08071660,0.99999326,0.57530367,0.54780734,-0.08081518,0.99999708,0.65825772,0.64524680,0.02818063,0.98737085,0.51822954,0.63039744,-0.15717252,0.99988836,0.67751288,0.77293080,0.03681974,0.99598020,0.44203749,0.67830670,-0.14362423,0.99979407,0.67121375,0.80037630,0.03331736,0.99153072,0.42932811,0.68112797,-0.14369787,0.99505931,0.71469480,0.80238312,-0.03233379,0.99605936,0.42370117,0.71413743,-0.21941118,0.99923182,115.43164586,139.44182463,333.11955737,-3078.52835356
3,0.10000000,0.65290391,0.38350511,0.08276587,0.99962336,0.64786977,0.37406534,0.09851131,0.99929649,0.64693081,0.37417546,0.09837978,0.99924874,0.64594412,0.37455285,0.09847091,0.99940461,0.64809251,0.37398884,0.07227722,0.99960560,0.64736617,0.37404749,0.07209573,0.99969625,0.64665532,0.37411970,0.07199340,0.99974680,0.63826782,0.38187799,0.14907461,0.99950135,0.64016199,0.38061571,0.02877939,0.99949712,0.65134639,0.39366865,0.10285535,0.99937356,0.65110093,0.39318430,0.06684288,0.99945462,0.61831093,0.43943140,0.19994999,0.99989623,0.63653761,0.42205653,-0.06887648,0.99998575,0.49645865,0.44994250,0.06770041,0.10759773,0.65398264,0.49506173,-0.14882222,0.99366575,0.45665535,0.47537372,0.08309299,0.15045881,0.68616116,0.55116236,-0.21468665,0.97713488,0.44881174,0.50864524,0.08808587,0.18266480,0.69624877,0.56577229,-0.25471756,0.96530217,0.44677046,0.50577211,0.08751719,0.18586496,0.69769591,0.56341326,-0.23331571,0.95752585,0.45035136,0.50455981,0.09484162,0.19539584,0.69360232,0.55941147,-0.20822044,0.91713530,0.57719064,0.55440909,0.08439353,0.99999082,0.57507312,0.54044932,-0.08445482,0.99999541,0.65198410,0.64310986,0.00453866,0.98211479,0.52940136,0.62094337,-0.22566059,0.99986023,0.67926091,0.77020812,-0.03079060,0.99492162,0.46071422,0.67377067,-0.19103941,0.99956518,0.67359251,0.79764950,-0.04175116,0.98887652,0.44916284,0.67922068,-0.18825199,0.99272901,0.71567702,0.79805022,-0.11802031,0.99529904,0.43718114,0.70188242,-0.25384757,0.99881536,168.59111491,148.02486863,279.14080873,-4370.12845387
4,0.13333333,0.62861574,0.37031484,0.20107412,0.99911749,0.62345862,0.36353543,0.21785873,0.99817532,0.62260062,0.36395413,0.21774906,0.99826390,0.62176275,0.36451241,0.21784936,0.99856526,0.62343556,0.36337075,0.19517514,0.99862951,0.62257069,0.36360273,0.19501360,0.99895239,0.62173212,0.36373091,0.19490887,0.99901158,0.61728752,0.37118292,0.25771177,0.99889815,0.61782151,0.36949384,0.15236051,0.99800020,0.62741780,0.38025832,0.21603879,0.99834991,0.62695593,0.37920609,0.18443678,0.99797922,0.60744745,0.43337023,0.26571786,0.99990350,0.62032849,0.40589347,0.03186986,0.99998295,0.49645865,0.44994250,0.06770041,0.18805517,0.63327253,0.48512849,-0.09043679,0.98999238,0.45665535,0.47537372,0.08309299,0.22925192,0.65117502,0.54476786,-0.13295485,0.96481532,0.44881174,0.50864524,0.08808587,0.25704554,0.65726370,0.55914921,-0.16971713,0.94731069,0.44677046,0.50577211,0.08751719,0.25948888,0.65922028,0.55842793,-0.14492857,0.93629533,0.45035136,0.50455981,0.09484162,0.26397279,0.65627480,0.55375445,-0.12504250,0.88356185,0.57632065,0.55051631,0.08670451,0.99999046,0.57105327,0.52968919,-0.08675925,0.99999475,0.64277709,0.64153856,0.02453269,0.97680730,0.54271197,0.60466158,-0.29417607,0.99985909,0.67822123,0.76299405,-0.01312914,0.99403089,0.48163843,0.66494447,-0.28047282,0.99932343,0.67363375,0.78350216,-0.02389583,0.98741990,0.46747005,0.67095959,-0.27867663,0.99171960,0.70974660,0.78779918,-0.10380241,0.99407637,0.47465816,0.69533020,-0.35462043,0.99830431,157.04233289,158.05121188,41.77766045,-8275.02321180
5,0.16666667,0.61321390,0.36130798,0.23763630,0.99863946,0.60805684,0.35632578,0.24941151,0.99708462,0.60684723,0.35703889,0.24928777,0.99718088,0.60567611,0.35786542,0.24935733,0.99768305,0.60958707,0.35614219,0.22864774,0.99757075,0.60944247,0.35661361,0.22852057,0.99811918,0.60931134,0.35697091,0.22845271,0.99817681,0.60205519,0.36520752,0.26655638,0.99831897,0.60681611,0.36297947,0.16992465,0.99605238,0.61153001,0.37129793,0.24468112,0.99686462,0.61318994,0.36990571,0.21573173,0.99587941,0.58304948,0.42354000,0.25835404,0.99990886,0.61727208,0.39911392,0.04033575,0.99997795,0.49645865,0.44994250,0.06770041,0.26585796,0.62504697,0.47424620,-0.10282262,0.98628193,0.45665535,0.47537372,0.08309299,0.30521467,0.62983346,0.53345931,-0.14487234,0.95679307,0.44881174,0.50864524,0.08808587,0.32976738,0.63370615,0.54641765,-0.19133942,0.93668592,0.44677046,0.50577211,0.08751719,0.33188155,0.63431203,0.54614139,-0.17142035,0.92383015,0.45035136,0.50455981,0.09484162,0.33481911,0.63183439,0.54245359,-0.14377728,0.86435997,0.55843377,0.54491609,0.08633319,0.99999017,0.56874073,0.53094584,-0.08638320,0.99999392,0.63554531,0.63834548,0.05706399,0.97475863,0.54818749,0.59987795,-0.22379939,0.99984282,0.67546022,0.75396198,0.03131081,0.99320579,0.49950853,0.65761822,-0.23431966,0.99906892,0.67284036,0.77153760,0.02441246,0.98735052,0.48921496,0.66520649,-0.23586689,0.99137288,0.70427310,0.78355587,-0.03563709,0.99258393,0.48911041,0.68254983,-0.30003300,0.99762052,153.09707589,150.81004599,-272.52740539,-5699.19098807
6,0.20000000,0.58945251,0.36794415,0.25474447,0.99819440,0.58523548,0.35976341,0.25063819,0.99579221,0.58309966,0.36007985,0.25049990,0.99604964,0.58105707,0.36052316,0.25049743,0.99671298,0.59030229,0.35970125,0.23811586,0.99636638,0.59140581,0.35981742,0.23801202,0.99729866,0.59240520,0.35983151,0.23796731,0.99732840,0.57915467,0.36545321,0.21347271,0.99796861,0.59246373,0.36344543,0.15146217,0.99437398,0.58633828,0.37710580,0.24222735,0.99527049,0.59096503,0.37592217,0.22458775,0.99375850,0.55670315,0.42003235,0.18742661,0.99991512,0.60844541,0.40119681,0.03308801,0.99997419,0.49645865,0.44994250,0.06770041,0.33773410,0.61251217,0.46823120,-0.06753768,0.97431725,0.45665535,0.47537372,0.08309299,0.37371469,0.61216456,0.51438677,-0.07835034,0.94234437,0.44881174,0.50864524,0.08808587,0.39510712,0.61316353,0.52621043,-0.09465165,0.91964710,0.44677046,0.50577211,0.08751719,0.39683810,0.61206502,0.52492929,-0.07930534,0.90443987,0.45035136,0.50455981,0.09484162,0.39826119,0.60989213,0.52105135,-0.07309519,0.84208041,0.55326909,0.53824645,0.06401108,0.99998975,0.56880385,0.53335595,-0.06419805,0.99999255,0.61150634,0.61870944,0.03509228,0.97174525,0.59171879,0.60196453,-0.08391430,0.99958527,0.66245967,0.73722816,-0.06207103,0.99145633,0.52763784,0.65998882,-0.15703474,0.99783617,0.66377789,0.75139534,-0.07584511,0.98725432,0.50726908,0.65978539,-0.16383179,0.98996919,0.68177038,0.77635050,-0.11121260,0.98870617,0.51656514,0.68806070,-0.18325971,0.99405020,136.79843601,139.88271819,-338.16840542,1551.65615256
7,0.23333333,0.59057885,0.36795384,0.22892584,0.99831116,0.58672887,0.36028469,0.22444394,0.99604869,0.58483499,0.36048970,0.22431427,0.99629778,0.58294278,0.36080077,0.22433513,0.99691379,0.59124875,0.35986257,0.21249191,0.99658680,0.59243971,0.35966501,0.21239151,0.99746519,0.59360629,0.35935315,0.21236759,0.99748403,0.57921016,0.36528206,0.19882804,0.99811816,0.59296846,0.36212018,0.13018321,0.99471933,0.58801681,0.37627923,0.21729165,0.99548382,0.59218264,0.37486312,0.20056559,0.99406856,0.55391222,0.42063734,0.15706408,0.99992263,0.60871458,0.39989650,0.02845343,0.99997169,0.49645865,0.44994250,0.06770041,0.40358767,0.60736346,0.46124282,-0.04798282,0.96669972,0.45665535,0.47537372,0.08309299,0.43607223,0.61148787,0.51169080,-0.03865461,0.91696596,0.44881174,0.50864524,0.08808587,0.45503893,0.61312032,0.51882470,-0.05136849,0.88744831,0.44677046,0.50577211,0.08751719,0.45653275,0.61188942,0.51690400,-0.03770816,0.86925143,0.45035136,0.50455981,0.09484162,0.45723385,0.60991865,0.51439053,-0.03329890,0.80462110,0.55767828,0.54092264,0.05804997,0.99999034,0.57312477,0.53888196,-0.05816358,0.99999225,0.62066406,0.62412131,0.02540896,0.97273183,0.59134567,0.60610312,-0.11487954,0.99943745,0.66159832,0.73813349,-0.05345850,0.99040562,0.52853143,0.64125305,-0.16563700,0.99560559,0.66304708,0.75490153,-0.06312107,0.98703843,0.52228361,0.64169401,-0.16997819,0.98715061,0.67276871,0.77494228,-0.10001483,0.98554415,0.51256168,0.66681463,-0.18123843,0.98974478,118.10004592,128.26548563,-169.08366188,9762.57670294
8,0.26666667,0.55765367,0.35912961,0.19573434,0.98777694,0.55326247,0.35209563,0.18976262,0.98633015,0.55113041,0.35200933,0.18963139,0.98685187,0.54901266,0.35194924,0.18966492,0.98930055,0.55866712,0.35179561,0.18076725,0.98818415,0.56022525,0.35134456,0.18062255,0.99137706,0.56175208,0.35072547,0.18054985,0.99308240,0.54688716,0.35759053,0.11985949,0.99423325,0.56384510,0.35335267,0.10910240,0.98841894,0.55567968,0.36685786,0.18883693,0.98564965,0.56033325,0.36549762,0.17229843,0.98457432,0.53116149,0.41654569,0.07293629,0.99992162,0.58761525,0.39054599,0.03284321,0.99995917,0.49645865,0.44994250,0.06770041,0.46030450,0.59265274,0.45851320,-0.01812024,0.89226604,0.45665535,0.47537372,0.08309299,0.48626179,0.59336829,0.51691085,-0.02365790,0.86539227,0.44689286,0.48301059,0.08496021,0.49953341,0.59327388,0.52024204,-0.03372159,0.83410281,0.44673464,0.48038900,0.08618240,0.50039154,0.59149152,0.52265036,-0.03122544,0.81529355,0.45007166,0.47996005,0.08578407,0.49356663,0.59011865,0.51996100,-0.02332309,0.74816704,0.54797244,0.54117614,0.03186944,0.99998808,0.57206446,0.53894949,-0.03199098,0.99999070,0.57702553,0.59376806,0.10993364,0.89413577,0.59960294,0.62037200,-0.11855260,0.99393713,0.58426207,0.66137844,0.11369734,0.91982847,0.56810260,0.61567674,-0.21079668,0.98059756,0.58654499,0.67303687,0.11271535,0.94576687,0.56618742,0.73585230,-0.21977700,0.97971421,0.58139455,0.67266417,0.09635787,0.89723277,0.56650674,0.63801082,-0.25838864,0.94074786,148.46168480,128.61047406,312.67004144,4356.60776230
9,0.30000000,0.52551109,0.34792030,0.28581825,0.98655868,0.52076596,0.34224725,0.27653265,0.98495656,0.51869369,0.34302440,0.27636138,0.98575485,0.51661134,0.34382057,0.27633217,0.98864073,0.52656335,0.34027922,0.27309981,0.98597139,0.52845043,0.33962891,0.27296975,0.98943824,0.53026795,0.33892277,0.27292398,0.99111730,0.51434582,0.34958184,0.20993561,0.99410814,0.53270000,0.34302700,0.19816963,0.98436737,0.52423596,0.35666609,0.26589453,0.98116136,0.52900809,0.35370058,0.26044047,0.97755206,0.50133723,0.40444607,0.14234596,0.99992484,0.55911934,0.37604260,0.11958990,0.99990255,0.47116449,0.43694144,0.14860006,0.50058067,0.56953919,0.42885172,0.07500487,0.81446218,0.45689932,0.44821358,0.14689416,0.52520949,0.56599766,0.47237178,0.08801728,0.78800297,0.45070404,0.45467123,0.15109508,0.53513116,0.57438856,0.47588493,0.08663283,0.76197523,0.45199034,0.45277071,0.14795743,0.53497583,0.56243223,0.49373909,0.09194328,0.74364740,0.45541525,0.45143700,0.10634258,0.51988822,0.56117862,0.47382345,0.08955352,0.68158740,0.53291798,0.53056842,0.01455162,0.99998796,0.56078047,0.50784665,-0.01481219,0.99998689,0.58661622,0.60582453,0.07012815,0.90269870,0.59514350,0.60105234,0.05695093,0.97325486,0.62107849,0.70622361,-0.01128434,0.92580092,0.60688394,0.58364088,0.13996725,0.93041784,0.62515938,0.72091955,-0.01635373,0.94919699,0.59977597,0.71708882,0.15111689,0.95445102,0.64078826,0.69874316,-0.03529393,0.89732307,0.62045181,0.60197935,0.16757579,0.86706758,113.28226213,149.11015506,121.35685560,-9792.36285593
