Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,Rotational_KE_J
0.0000,0.0000,-0.0588,31.5961,-11.3250,20.0606,-3.4048,20.3475,0.5384
1.0000,0.0333,0.8004,12.1481,-2.0895,20.1168,-2.3582,20.2546,0.0796
2.0000,0.0667,1.5354,15.0839,6.7383,19.2755,-0.9692,19.2998,0.1227
3.0000,0.1000,1.7812,37.3046,11.4896,17.4557,-0.3618,17.4594,0.7506
4.0000,0.1333,3.4777,82.2912,39.6002,14.7930,3.2072,15.1367,3.6523
5.0000,0.1667,8.0348,121.2537,77.7044,12.4073,8.2475,14.8984,7.9296
6.0000,0.2000,12.8131,404.0510,29.6098,11.2637,7.8667,13.7388,88.0510
7.0000,0.2333,23.5975,362.9599,-69.4830,10.3115,4.4281,11.2220,71.0525
8.0000,0.2667,56.7282,0.0000,-87.8453,8.1794,12.0114,14.5319,0.0000
9.0000,0.3000,4.2730,0.0000,-50.3593,1.3541,1.9519,2.3756,0.0000
10.0000,0.3333,-1.1046,0.0000,62.3652,-4.5142,-0.1783,4.5178,0.0000
11.0000,0.3667,-55.4504,0.0000,346.7474,-8.8998,-15.1271,17.5510,0.0000
12.0000,0.4000,-19.6618,1196.3905,516.1334,-11.6622,-2.8701,12.0101,771.9830
13.0000,0.4333,20.8894,2369.3176,191.4627,-16.2511,2.8603,16.5009,3027.6692
14.0000,0.4667,146.3714,2000.9704,-341.3613,-20.3737,13.0799,24.2110,2159.4502
15.0000,0.5000,172.5832,798.6822,-476.4258,-23.0776,6.9038,24.0881,344.0408
16.0000,0.5333,175.1158,26.3682,-234.4294,-25.3889,4.3840,25.7647,0.3750
17.0000,0.5667,178.6422,61.2242,-33.1549,-26.1561,-1.3321,26.1900,2.0217
18.0000,0.6000,181.7816,31.1498,18.3847,-26.4935,-10.6202,28.5428,0.5233
19.0000,0.6333,182.4143,20.6139,118.2243,-26.5998,-20.8435,33.7935,0.2292
20.0000,0.6667,182.5150,398.0706,298.9525,-26.1448,-36.4373,44.8467,85.4638
21.0000,0.7000,203.0994,1195.4698,313.3005,-23.8432,-50.3332,55.6950,770.7954
22.0000,0.7333,261.8010,1741.0134,47.7447,-20.9738,-46.0030,50.5587,1634.8056
23.0000,0.7667,327.0100,1410.7176,-266.5204,-19.6404,-28.5453,34.6494,1073.3516
24.0000,0.8000,358.9280,582.7844,-330.1779,-17.4646,-14.5152,22.7091,183.1798
25.0000,0.8333,360.0157,66.7900,-156.3898,-15.2243,-9.0024,17.6868,2.4059
26.0000,0.8667,360.4689,38.8737,-9.2656,-13.8948,-2.5607,14.1288,0.8150
27.0000,0.9000,364.5324,141.2365,-11.9458,-13.8191,10.2266,17.1916,10.7586
28.0000,0.9333,370.2157,6.2760,1.4232,-12.2247,22.7872,25.8592,0.0212
29.0000,0.9667,372.0374,13.8995,202.6047,-8.8078,14.5031,16.9681,0.1042
30.0000,1.0000,362.1431,686.2506,403.4241,-5.8989,1.2422,6.0282,253.9963
31.0000,1.0333,411.8644,1743.9603,288.4123,-4.9774,-4.6995,6.8454,1640.3445
32.0000,1.0667,485.1683,1954.1840,-6.7645,-5.7111,4.4103,7.2158,2059.6469
33.0000,1.1000,556.1052,1488.6651,-63.8060,-5.2353,-0.3502,5.2470,1195.2421
34.0000,1.1333,570.2412,1505.5989,24.9823,-4.2653,-4.3801,6.1138,1222.5889
35.0000,1.1667,646.1141,1890.7721,-146.5075,-1.9801,-3.9265,4.3975,1928.1473
36.0000,1.2000,708.4438,1126.3400,-384.5955,-0.3466,3.6038,3.6204,684.2281
37.0000,1.2333,734.0045,0.0000,-304.4298,2.2724,5.8223,6.2501,0.0000
38.0000,1.2667,647.5159,0.0000,-58.9289,3.0661,4.4985,5.4441,0.0000
39.0000,1.3000,575.0976,0.0000,25.3183,5.6926,-0.2561,5.6984,0.0000
40.0000,1.3333,534.1621,0.0000,5.6667,9.0753,-5.5238,10.6242,0.0000
41.0000,1.3667,542.7602,11.4810,5.2986,14.3094,-5.6722,15.3926,0.0711
42.0000,1.4000,540.8933,43.9968,1.1583,16.8528,-3.0612,17.1286,1.0440
