Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,21.1320,326.6909,-80.0114,3.7932,-14.8345,15.3118,4.8091,78.1747
1,0.0333,30.6534,191.5919,-52.0654,5.0405,-13.5839,14.4889,4.8978,27.3831
2,0.0667,37.5513,103.2690,-26.3909,5.5913,-12.6626,13.8421,3.2197,5.2297
3,0.1000,41.8256,71.9924,-2.9880,5.3610,-11.4168,12.6129,3.9357,3.1069
4,0.1333,41.7241,71.9924,18.1434,4.6835,-12.0712,12.9479,3.5220,2.7803
5,0.1667,36.9409,126.2375,41.5535,4.2778,-11.6471,12.4078,3.1984,7.7632
6,0.2000,44.2423,230.2284,58.5310,4.4061,-12.7785,13.5168,3.1295,25.2652
7,0.2333,58.9351,374.7764,70.6901,4.5793,-4.8235,6.6511,3.9386,84.2577
8,0.2667,77.4859,512.0201,76.0476,4.8450,5.5173,7.3427,3.0092,120.1591
9,0.3000,88.9796,639.8857,72.2259,4.1470,12.7429,13.4007,2.5813,160.9810
10,0.3333,116.5288,774.8969,56.9008,4.2715,13.1304,13.8077,2.6409,241.5304
11,0.3667,138.2613,877.4576,29.7903,4.6948,20.2360,20.7735,4.6250,542.3584
12,0.4000,171.5153,925.1168,-7.4178,5.3766,24.0906,24.6833,5.3681,699.7382
13,0.4333,208.6609,881.7482,-48.7340,5.0193,24.3015,24.8145,3.5189,416.7006
14,0.4667,238.8731,734.1984,-80.4319,5.1504,22.1811,22.7712,4.9348,405.1578
15,0.5000,252.2637,533.0217,-92.9278,5.4818,23.8282,24.4506,4.2677,184.6757
16,0.5333,271.0979,322.5818,-84.2949,5.4001,17.8856,18.6830,5.0738,80.4155
17,0.5667,276.2008,181.3973,-58.6435,4.6789,11.6630,12.5665,5.9213,29.6759
18,0.6000,278.6084,123.7900,-25.5489,4.3611,2.4011,4.9784,4.2598,9.9424
19,0.6333,283.9409,116.7639,6.9497,4.7195,0.4142,4.7377,5.4633,11.3449
20,0.6667,288.0839,156.7830,30.9306,5.3105,0.8252,5.3742,4.0591,15.1969
21,0.7000,292.9830,223.8116,42.5201,5.9233,5.1834,7.8711,4.3259,33.0038
22,0.7333,302.7980,318.5542,43.3128,5.1156,0.6972,5.1629,4.2456,65.6187
23,0.7667,316.5648,417.3190,32.6150,3.8201,-8.7477,9.5455,4.6164,122.4515
24,0.8000,327.6756,465.7639,14.8300,2.5797,-14.3990,14.6282,5.0961,168.3809
25,0.8333,345.0205,475.8610,-3.5018,2.5201,-12.1692,12.4274,3.1563,108.8604
26,0.8667,369.1953,435.9514,-18.4518,2.2306,-10.2389,10.4790,3.1145,90.1539
27,0.9000,375.3704,368.4555,-23.5947,2.5018,-13.1939,13.4290,3.2786,67.7929
28,0.9333,388.0863,339.1214,-19.7530,3.5696,-16.3565,16.7414,4.4921,78.6833
29,0.9667,398.0132,307.8497,-10.7440,4.3059,-14.8603,15.4716,3.5591,51.3743
30,1.0000,404.3735,297.2427,2.9131,4.2468,-12.4561,13.1601,4.2041,56.5738
31,1.0333,417.6849,328.6061,17.0250,3.4745,-9.3067,9.9341,3.0669,50.4406
32,1.0667,438.0777,357.0596,33.0799,2.7798,-3.7266,4.6492,1.9874,38.5909
33,1.1000,437.6606,432.1542,51.5671,2.3076,6.6483,7.0374,1.8499,52.6201
34,1.1333,456.5970,546.8625,61.7908,2.5529,11.2450,11.5311,3.3607,153.0781
35,1.1667,477.2390,663.3354,57.8868,3.3634,15.6296,15.9874,6.3699,426.8968
36,1.2000,499.4926,804.4869,37.7206,3.7597,19.8913,20.2435,3.9460,388.9707
37,1.2333,532.6546,878.5393,3.0794,3.8607,22.6075,22.9347,4.3360,509.7199
38,1.2667,563.7768,820.5047,-34.2479,3.7220,21.8338,22.1487,2.8033,287.4443
39,1.3000,586.4088,704.0867,-65.7175,3.5701,23.6168,23.8851,5.5029,415.4940
40,1.3333,611.3442,535.0831,-82.6361,3.6018,25.4375,25.6912,5.6646,247.0246
41,1.3667,625.1625,365.5139,-77.2786,3.7764,22.8386,23.1487,4.4523,90.5968
42,1.4000,630.1174,242.4690,-58.5784,3.6896,17.5209,17.9052,3.8194,34.2004
43,1.4333,638.5211,138.0030,-36.5371,3.8335,8.1897,9.0425,6.1513,17.8431
44,1.4667,642.5095,103.0986,-12.0658,4.1274,-0.1343,4.1296,5.6852,9.2041
45,1.5000,645.9365,128.5675,12.0748,4.8164,-2.1853,5.2890,5.8838,14.8131
46,1.5333,649.0617,144.8491,32.5831,5.3404,-0.0958,5.3412,3.1281,9.9962
47,1.5667,653.8646,205.5379,43.7175,5.0826,-3.3048,6.0625,5.0578,32.5437
48,1.6000,666.6809,324.3004,40.9020,3.9854,-9.1501,9.9804,8.1925,131.2311
49,1.6333,672.8470,418.5282,27.3343,2.8520,-11.6594,12.0031,6.1447,163.9366
50,1.6667,688.7842,465.2860,6.1162,2.3882,-8.9268,9.2408,2.9028,95.7158
51,1.7000,709.7164,441.1612,-14.1622,2.4342,-6.5616,6.9985,2.7998,82.9944
52,1.7333,727.1047,365.7350,-20.2944,2.7686,-8.4455,8.8877,2.2726,46.2994
53,1.7667,733.0661,300.8484,-13.5163,3.0202,-13.9254,14.2492,3.5222,48.5545
54,1.8000,744.0903,283.6309,-2.3874,3.1963,-16.4030,16.7115,4.4902,55.0176
55,1.8333,744.5758,336.9006,7.2997,3.4008,-14.6052,14.9959,2.6288,45.4443
56,1.8667,758.3861,392.3129,9.8021,3.3982,-12.1745,12.6399,3.7222,87.2554
57,1.9000,779.3179,390.7259,10.0041,2.9936,-5.5428,6.2996,2.2352,51.9751
58,1.9333,798.4777,388.3999,19.5615,2.0251,3.2382,3.8193,2.4645,56.6262
59,1.9667,807.3869,408.4405,41.5813,2.0056,10.8184,11.0028,2.2835,58.0210
60,2.0000,812.4740,476.2214,66.0464,2.6807,11.0504,11.3709,4.5830,158.3030
61,2.0333,827.9610,661.1949,73.4290,3.4953,13.4406,13.8877,6.0108,400.2366
62,2.0667,857.0402,868.4218,52.8896,3.3367,15.5667,15.9203,4.2586,489.1660
63,2.1000,891.5396,972.0450,8.9119,3.3153,19.0620,19.3482,2.4349,350.4168
64,2.1333,930.3952,919.0711,-46.1506,2.8158,21.1820,21.3684,3.1609,406.6600
65,2.1667,961.7949,728.9660,-88.2138,2.6700,22.0711,22.2320,4.4495,360.1264
66,2.2000,974.8033,495.8048,-98.2638,2.5657,22.7554,22.8996,4.0815,152.8156
67,2.2333,986.3545,295.4314,-81.7885,2.5953,20.4883,20.6520,4.4763,59.5050
68,2.2667,993.5382,171.8886,-52.5210,1.5161,14.9466,15.0233,4.1408,18.6339
69,2.3000,997.8843,158.3693,-20.4259,1.0236,5.6717,5.7633,7.0961,27.1074
70,2.3333,1004.0686,165.4801,7.6072,1.2272,-0.1364,1.2348,5.0514,21.0682
71,2.3667,1009.8942,160.4264,29.5146,2.3173,-2.4061,3.3405,7.2085,28.2568
72,2.4000,1016.3734,215.3831,44.2948,2.4021,-4.3966,5.0100,6.9449,49.0697
73,2.4333,1026.9575,325.5666,50.4813,1.6723,-6.8888,7.0889,9.4511,152.5758
74,2.4667,1031.3376,443.9098,44.4566,0.4686,-10.3969,10.4075,5.8958,176.9538
75,2.5000,1049.0745,545.6451,21.0011,-0.3357,-10.7161,10.7214,4.3746,198.3724
76,2.5333,1074.0652,565.7034,-12.0697,-0.6791,-10.0171,10.0401,3.4278,167.0779
77,2.5667,1096.5411,490.9655,-36.9879,-0.8000,-7.7777,7.8187,2.6554,97.4891
78,2.6000,1109.4319,367.4426,-45.6085,-1.0378,-11.5003,11.5470,2.9218,60.0830
79,2.6333,1121.1083,246.3554,-37.4120,-0.5630,-13.2713,13.2832,4.3698,40.3930
80,2.6667,1117.1861,205.8619,-16.4640,-0.3478,-14.2850,14.2892,2.3959,15.4648
81,2.7000,1125.2131,237.1658,5.3403,-0.4575,-13.2423,13.2502,4.4430,38.0635
82,2.7333,1138.0068,271.5353,22.1480,-1.2339,-10.8673,10.9371,2.7003,30.3239
83,2.7667,1151.6832,327.2333,36.6373,-1.6055,-1.5833,2.2548,1.7482,28.5125
84,2.8000,1163.7711,392.4433,51.0188,-2.7010,7.6507,8.1135,2.0676,48.5002
85,2.8333,1173.7998,462.6672,64.4025,-3.3522,13.9006,14.2991,4.0861,133.2206
86,2.8667,1184.9717,610.4843,67.5892,-3.2338,16.4571,16.7718,7.5404,428.0232
87,2.9000,1212.2654,781.6068,51.8094,-2.1470,16.8886,17.0245,4.5836,426.4920
88,2.9333,1240.9891,885.6318,18.0646,-1.6301,17.2059,17.2829,2.1334,254.8644
89,2.9667,1275.0932,886.0294,-27.3546,-1.6344,19.2338,19.3032,3.1076,371.5793
90,3.0000,1307.6376,760.1366,-67.7707,-1.9618,20.9929,21.0844,3.1856,280.3475
91,3.0333,1326.9273,562.7302,-86.0789,-2.0861,20.5024,20.6082,3.9771,191.8207
92,3.0667,1338.9946,370.6652,-83.2380,-2.2375,20.8198,20.9397,3.6838,77.0867
93,3.1000,1350.0281,224.0930,-66.6046,-2.5774,19.8423,20.0090,4.5753,34.9948
94,3.1333,1353.4457,161.1239,-40.8355,-3.2112,12.9005,13.2942,4.6221,18.2762
95,3.1667,1358.3333,128.9186,-11.9873,-3.7919,2.4586,4.5192,8.3359,21.1012
96,3.2000,1363.5832,90.3477,15.3694,-3.5593,-2.0800,4.1225,5.3002,6.5894
97,3.2333,1369.2567,122.1587,38.1236,-3.1842,-2.7290,4.1937,4.3593,9.9080
98,3.2667,1372.8584,235.3490,52.6646,-3.2155,-2.9504,4.3640,9.2645,78.1578
99,3.3000,1376.1025,368.5960,53.8052,-3.9962,-6.5881,7.7054,8.2690,171.1114
100,3.3333,1388.9152,486.1977,35.9516,-4.4042,-9.5171,10.4868,8.9658,322.8037
101,3.3667,1415.8307,541.7876,4.6779,-4.8869,-8.8730,10.1297,5.5292,247.1999
102,3.4000,1437.3008,504.0332,-22.9744,-5.0784,-3.0334,5.9154,2.0201,78.1656
103,3.4333,1452.3918,408.2225,-34.6324,-5.0885,-2.2022,5.5445,1.9158,48.6263
104,3.4667,1460.4738,306.7551,-29.1122,-4.3629,-7.3512,8.5484,2.9744,42.6292
105,3.5000,1464.4947,256.6629,-14.2318,-3.6676,-10.5012,11.1233,2.3809,23.8888
106,3.5333,1471.4887,279.9476,-2.1678,-3.4034,-10.6757,11.2051,2.3546,28.1061
107,3.5667,1489.0574,328.3939,1.8707,-3.3020,-11.8646,12.3155,3.8178,62.7091
108,3.6000,1499.4858,343.4305,3.7838,-2.9836,-11.2362,11.6256,2.7639,49.6509
109,3.6333,1510.7279,315.7525,12.2617,-2.9217,-0.2008,2.9285,1.8541,28.1544
110,3.6667,1521.9614,297.0348,32.1344,-2.8969,11.0142,11.3888,5.1169,68.7622
111,3.7000,1531.3524,368.8464,59.7453,-2.9783,13.2416,13.5724,4.7577,98.5858
112,3.7333,1539.5251,544.4222,80.5552,-2.2294,11.1651,11.3855,4.6954,211.9668
113,3.7667,1561.0428,748.7151,77.1073,-1.1977,15.9147,15.9597,4.2356,361.6358
114,3.8000,1589.6443,908.0990,42.7282,-0.4131,21.9323,21.9362,3.6342,456.4576
115,3.8333,1627.0199,959.5682,-11.6324,-0.6277,23.3615,23.3699,3.9022,547.2434
116,3.8667,1663.1372,864.0528,-63.4972,-0.8704,21.5807,21.5982,3.8040,432.5568
117,3.9000,1688.3744,655.9803,-95.4854,-0.5355,19.3855,19.3929,3.2680,214.1850
118,3.9333,1702.1747,422.0323,-100.4303,-0.1901,16.4677,16.4688,3.2615,88.4784
119,3.9667,1711.8520,233.7915,-82.8565,-0.0051,15.4620,15.4620,4.1594,34.6268
120,4.0000,1715.8541,127.4857,-54.0028,-0.6250,10.4073,10.4261,4.1775,10.3409
121,4.0333,1718.9264,72.6610,-22.1513,-0.7278,4.3438,4.4044,8.4004,6.7551
122,4.0667,1723.0915,71.9924,6.5360,-0.3337,-0.0351,0.3355,5.8516,4.6192
123,4.1000,1725.8801,71.9924,28.9191,0.9606,2.0776,2.2889,4.8012,3.7901
124,4.1333,1726.6243,143.1207,44.0355,2.0596,5.4384,5.8153,4.9214,15.3538
125,4.1667,1729.5932,259.2414,48.9799,1.9142,0.0667,1.9154,6.2236,63.7053
126,4.2000,1740.8005,372.3584,42.2393,0.6188,-6.1452,6.1763,9.8641,208.3083
127,4.2333,1756.8225,450.1004,25.2598,-0.6260,-8.0266,8.0510,3.0848,95.1865
128,4.2667,1777.4139,473.9146,5.8567,-0.8965,-4.0289,4.1274,3.8794,132.7055
129,4.3000,1793.4790,443.3647,-5.2406,-1.0001,-6.2114,6.2914,2.9035,86.9310
130,4.3333,1803.0913,403.5138,-6.7699,-1.0876,-7.4672,7.5460,2.3982,59.4744
131,4.3667,1815.0113,391.8289,-3.7796,-1.0774,-9.4626,9.5237,2.1007,49.1219
132,4.4000,1827.4730,415.2889,-2.4964,-0.8934,-10.5466,10.5844,3.0448,79.9793
133,4.4333,1843.1870,439.1059,-5.5561,-0.7342,-14.1335,14.1525,4.6159,135.5571
134,4.4667,1860.1455,427.8395,-7.0638,-0.8354,-5.5361,5.5988,4.4198,123.2228
135,4.5000,1875.8597,388.5157,1.9533,-1.8070,2.3722,2.9821,3.1616,72.6847
136,4.5333,1887.0960,361.5700,24.5926,-2.2844,9.4290,9.7018,1.8239,36.3167
137,4.5667,1896.2807,414.7430,53.6622,-2.0811,9.4341,9.6609,3.6436,95.4592
138,4.6000,1910.9692,574.0852,72.9743,-1.3718,12.9894,13.0616,5.1560,258.8137
139,4.6333,1928.5314,768.8457,67.6011,-1.2498,16.7513,16.7979,2.8600,257.4921
140,4.6667,1959.2185,916.9708,32.3552,-1.0316,22.1246,22.1486,4.5526,583.0411
141,4.7000,1997.7871,938.6338,-22.3131,-1.0520,25.2417,25.2636,4.9039,658.0449
142,4.7333,2032.5240,817.9405,-72.8972,-1.2218,24.1081,24.1391,4.6244,471.2243
143,4.7667,2053.5655,599.9315,-99.9142,-1.4815,22.7111,22.7594,4.9672,272.2961
144,4.8000,2069.6015,356.7539,-97.5721,-1.5419,22.3380,22.3912,4.2195,81.7952
145,4.8333,2071.9605,181.1374,-71.6358,-1.7807,16.8328,16.9267,3.5181,17.5810
146,4.8667,2077.0946,106.3562,-34.9724,-2.0380,8.0688,8.3221,5.9596,10.2675
147,4.9000,2080.3810,97.0189,-1.0392,-1.9005,0.1884,1.9098,6.0294,8.6439
148,4.9333,2085.6360,126.1684,21.8930,-1.1049,0.3701,1.1652,4.8516,11.7629
149,4.9667,2089.5881,182.4587,33.7058,-0.9157,1.8229,2.0400,2.0072,10.1774
150,5.0000,2097.5471,249.8750,37.6547,-1.4948,-2.5925,2.9925,7.4343,70.6984
151,5.0333,2104.6246,317.2519,35.6861,-2.1835,-8.1006,8.3897,9.9887,153.1242
152,5.0667,2116.9716,389.1673,28.6453,-2.3780,-9.0354,9.3431,4.6858,108.0896
153,5.1000,2133.6738,445.3016,18.6999,-2.5694,-4.4113,5.1050,4.3813,132.3236
154,5.1333,2148.3973,461.9885,8.6177,-2.4486,-3.3179,4.1236,2.7809,90.4012
155,5.1667,2162.5264,460.5093,-2.1025,-1.4251,-4.1382,4.3767,2.3168,74.8326
156,5.2000,2180.9971,442.0610,-12.4533,-0.3797,-5.6931,5.7058,1.8170,54.0802
157,5.2333,2191.4843,424.4344,-19.6028,-0.0767,-7.3552,7.3556,2.2189,60.8802
158,5.2667,2205.6593,393.0996,-22.7886,-0.3867,-10.0427,10.0502,3.6028,84.7949
159,5.3000,2220.4742,337.3230,-16.4849,-0.3407,-9.4268,9.4329,2.6246,45.4855
160,5.3333,2231.6296,304.1047,4.1227,-0.3094,-3.8902,3.9024,1.8644,26.2604
161,5.3667,2241.5357,309.7086,35.2386,0.2977,4.9004,4.9094,1.4068,20.5524
162,5.4000,2249.2987,390.0557,66.5986,1.0729,9.6942,9.7534,4.2096,97.5478
163,5.4333,2262.4614,578.2577,82.3097,1.8058,14.3838,14.4967,4.3585,221.9754
164,5.4667,2282.8675,781.2621,71.4155,1.7479,18.8588,18.9396,6.6325,616.5912
165,5.5000,2313.4030,920.8189,33.7342,1.8026,24.3098,24.3766,4.3613,563.2294
166,5.5333,2352.5549,942.1846,-20.4713,1.7704,24.1469,24.2117,4.4584,602.8078
167,5.5667,2386.4100,823.9856,-69.8239,1.9233,23.2002,23.2798,3.7930,392.2353
168,5.6000,2406.5886,618.8244,-96.5577,2.0407,23.2722,23.3615,4.8455,282.6142
169,5.6333,2423.3085,393.7631,-96.3985,2.4271,24.2726,24.3936,3.9079,92.2869
