Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,27.2825,213.1826,72.4077,1.2674,-35.4135,35.4361,6.5964,45.6600
1,0.0333,35.7811,313.6204,37.5810,1.6237,-36.4952,36.5313,7.4794,112.0465
2,0.0667,45.7849,379.4513,9.8851,1.7385,-36.7802,36.8212,7.4379,163.1127
3,0.1000,57.2939,410.6752,-10.6801,1.8025,-35.3731,35.4190,9.3169,239.3287
4,0.1333,74.2985,407.2921,-24.1145,0.7553,-36.8535,36.8613,10.4923,265.0983
5,0.1667,88.4783,371.0821,-41.6536,-0.6818,-37.9039,37.9100,11.2226,235.3731
6,0.2000,96.5343,255.4629,-40.6221,-2.0203,-37.9035,37.9573,8.3579,83.0765
7,0.2333,109.1634,116.5878,-18.9864,-2.0467,-33.5819,33.6442,9.3131,19.2809
8,0.2667,109.9707,100.2254,21.0843,-1.8406,-31.0157,31.0703,4.9557,7.5820
9,0.3000,111.2569,213.8304,67.1177,-1.2114,-29.3251,29.3501,5.5891,38.9231
10,0.3333,108.8367,394.2558,100.4662,-1.2137,-29.8333,29.8580,4.6100,109.1386
11,0.3667,132.3034,640.6281,102.0082,-0.7490,-26.1717,26.1824,6.7130,419.6157
12,0.4000,165.1587,845.8839,70.9430,-0.2089,-20.4538,20.4549,2.9787,324.6195
13,0.4333,195.0105,944.2835,23.4677,0.0962,-17.5818,17.5821,2.2320,303.1297
14,0.4667,227.5770,934.4667,-27.2515,-0.4105,-18.0524,18.0570,2.2641,301.1280
15,0.5000,257.1609,794.0950,-65.6363,-0.6230,-19.5968,19.6067,2.1937,210.6948
16,0.5333,274.5940,626.0746,-82.1226,-0.7487,-20.6943,20.7079,3.7899,226.2561
17,0.5667,301.3589,462.4176,-80.2621,-0.7802,-22.6469,22.6604,3.2224,104.9468
18,0.6000,315.0928,318.9322,-63.0800,-0.6133,-25.2523,25.2598,5.6285,87.2001
19,0.6333,314.1401,237.7452,-42.9814,-0.1590,-29.1580,29.1584,9.4974,81.7622
20,0.6667,323.4544,166.3770,-31.5630,-0.0858,-34.7664,34.7665,8.7214,36.7705
21,0.7000,327.8728,131.1500,-23.4110,-0.1766,-39.7124,39.7128,10.3980,27.2404
