Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,-19.0361,129.4539,-5463.1809,3.4710,4.8884,5.9953,6.3278,16.1514
1,0.0333,-26.2792,129.4539,-4534.8330,2.3610,12.1196,12.3474,4.4165,11.2729
2,0.0667,-33.0824,129.4539,-3679.8824,3.0605,14.3392,14.6622,4.7734,12.1838
3,0.1000,-39.4457,129.4539,-2898.3292,5.4965,15.0736,16.0445,3.0670,7.8282
4,0.1333,-25.1300,129.4539,-2190.1734,10.3265,-2.8784,10.7202,5.7378,14.6454
5,0.1667,-55.5433,129.4539,-1529.4733,14.2823,-22.4441,26.6031,15.5374,39.6582
6,0.2000,-110.3830,129.4539,-956.5826,16.2008,-36.1855,39.6467,15.7730,40.2596
7,0.2333,-172.7857,129.4539,-486.7868,16.2363,-39.4102,42.6237,15.4733,39.4946
8,0.2667,-215.2481,129.4539,-146.2223,16.0151,-35.9431,39.3496,15.8823,40.5387
9,0.3000,-225.8338,129.4539,51.6024,16.6630,-28.8060,33.2782,28.2913,72.2117
10,0.3333,-188.1873,477.4790,124.0307,17.5703,-23.1942,29.0979,10.6266,369.0009
11,0.3667,-165.3793,773.6324,109.8012,18.1043,-25.7562,31.4825,8.7652,799.0191
12,0.4000,-147.6267,843.8541,44.4922,17.8545,-26.9544,32.3315,8.9304,968.5683
13,0.4333,-124.3117,750.2854,-35.3556,18.1370,-29.1110,34.2987,7.4717,640.6171
14,0.4667,-101.7208,638.7391,-88.6088,18.7097,-21.1658,28.2497,7.2101,448.0362
15,0.5000,-75.0444,486.6615,-88.9679,19.0031,-7.8002,20.5417,5.0080,180.6506
16,0.5333,-56.1843,260.8796,-43.0513,17.5773,8.2879,19.4332,4.6081,47.7666
17,0.5667,-50.9324,156.9003,24.2308,15.8651,18.7975,24.5977,8.0571,30.2100
18,0.6000,-55.9187,272.4704,89.2329,16.5040,18.1648,24.5426,11.9083,134.6519
19,0.6333,-57.9751,592.2590,134.3637,18.2202,-4.9265,18.8745,2.7841,148.7404
20,0.6667,-28.3087,972.0699,137.6538,17.7598,-11.0103,20.8959,7.8536,1130.2810
21,0.7000,22.5931,1204.7746,95.5035,16.3369,-2.3093,16.4993,4.3673,965.4922
22,0.7333,77.7644,1293.2940,27.3744,16.2360,1.1093,16.2738,1.6316,415.6469
23,0.7667,120.8870,1258.3942,-39.8242,16.2496,-12.0090,20.2056,8.2852,1998.3101
24,0.8000,143.6316,1119.6708,-77.3375,15.5024,-15.2682,21.7588,4.5784,874.2191
25,0.8333,167.5939,950.3014,-78.5407,14.7501,-12.6636,19.4405,5.7570,791.8563
26,0.8667,217.8540,772.3802,-46.1170,14.6231,-18.5802,23.6444,4.7154,428.4558
27,0.9000,248.7685,695.1752,18.8994,12.8484,-24.4549,27.6247,10.3256,760.0296
28,0.9333,267.9989,793.7634,82.6710,8.7497,-29.2178,30.4998,7.6016,729.4729
29,0.9667,276.0065,981.2320,96.6053,5.3207,-30.7388,31.1959,6.2807,921.0341
30,1.0000,301.5447,1292.2990,37.0449,6.3745,-17.5075,18.6319,8.0002,2034.9510
31,1.0333,362.7656,1486.1586,-60.3725,9.2025,3.9754,10.0245,3.5750,1202.6297
32,1.0667,434.6594,1223.5463,-144.9030,10.3122,23.6275,25.7799,3.8434,876.3563
33,1.1000,475.7977,647.8434,-166.6251,8.8618,9.4859,12.9813,3.5052,224.0664
34,1.1333,498.0604,129.4539,-92.6783,8.1009,0.2633,8.1051,2.6065,6.6528
35,1.1667,455.4435,129.4539,40.4907,6.6345,-1.6585,6.8387,1.2584,3.2119
36,1.2000,430.4368,333.3678,152.3648,5.3278,15.3475,16.2460,0.7049,11.9320
37,1.2333,454.4356,1029.6286,174.2554,5.1775,-0.8951,5.2543,2.2897,369.7070
38,1.2667,517.0410,1461.1040,105.2801,6.0954,-13.9821,15.2530,12.3190,4005.5639
39,1.3000,597.2501,1494.1698,6.6322,6.5556,-31.2907,31.9700,3.6618,1245.1585
40,1.3333,673.6072,1196.4974,-65.2600,7.0992,-25.9005,26.8558,9.3001,2027.8452
41,1.3667,659.7950,878.0880,-71.5580,8.3731,-27.7968,29.0305,5.6131,659.1812
42,1.4000,656.4137,777.5578,-32.1764,8.8316,-18.7589,20.7339,5.6141,516.9774
43,1.4333,692.9474,881.7994,-10.2129,9.5482,-5.8437,11.1945,2.0383,241.3946
44,1.4667,746.5916,1080.8139,-23.2276,10.7283,10.8855,15.2837,3.6117,642.6010
45,1.5000,795.2827,1058.6672,-53.7720,11.5334,22.4717,25.2586,4.0842,697.1919
46,1.5333,835.5017,707.4201,-64.0861,11.8414,17.4280,21.0702,4.9483,377.1698
47,1.5667,832.9326,418.0187,-32.8634,11.7387,11.0414,16.1155,1.6855,44.8581
48,1.6000,834.0209,408.1949,29.6786,12.0594,7.3073,14.1005,7.7245,196.0339
49,1.6333,844.8566,664.9515,86.9737,11.5673,4.2240,12.3144,4.3473,292.7708
50,1.6667,879.3894,1019.4102,94.7223,10.8575,-8.7031,13.9150,1.5734,249.0379
51,1.7000,926.0859,1221.1366,49.2622,10.0532,-18.0041,20.6207,4.9698,1128.7375
52,1.7333,977.7307,1174.2493,-12.0978,10.9392,-16.0325,19.4089,3.0347,637.3160
53,1.7667,1016.3726,990.7246,-46.8798,11.8263,-9.8331,15.3803,3.5026,523.6249
54,1.8000,1033.3655,826.8075,-37.1169,12.7324,-1.9370,12.8789,3.0959,322.3407
55,1.8333,1054.8329,783.4767,-10.5235,12.7023,0.9404,12.7371,1.7966,167.9682
56,1.8667,1077.8465,845.2356,-6.2196,12.3259,7.4696,14.4126,4.9774,541.6009
57,1.9000,1113.5742,970.0321,-35.5086,11.6732,11.0629,16.0826,6.1403,880.0017
58,1.9333,1151.8728,919.1501,-76.6484,12.0406,22.1908,25.2469,5.2788,679.2536
59,1.9667,1183.1932,616.1350,-86.6383,10.5888,15.9415,19.1378,5.9065,341.5110
60,2.0000,1201.3024,307.5223,-44.2936,8.4836,9.5315,12.7602,1.3142,18.9292
61,2.0333,1213.5969,187.9519,32.0019,7.1456,7.2033,10.1463,1.2286,6.6105
62,2.0667,1192.6734,399.0072,100.3786,6.7042,7.3287,9.9325,2.0143,48.8444
63,2.1000,1203.6036,863.2938,111.7629,4.5263,-7.5797,8.8283,3.6046,409.1647
64,2.1333,1246.3856,1173.1764,57.2530,2.5831,-23.1367,23.2805,7.2229,1514.1371
65,2.1667,1305.5743,1159.6746,-20.5985,2.3719,-25.6963,25.8055,5.7576,1179.3411
66,2.2000,1368.7108,910.7396,-64.9748,2.7605,-19.9387,20.1288,5.3220,672.3366
67,2.2333,1391.5433,591.8447,-40.3167,2.7888,-15.9048,16.1475,2.3522,125.4900
68,2.2667,1362.3500,518.7077,27.2105,1.7190,-12.7337,12.8492,2.5295,103.6592
69,2.3000,1371.0714,762.3084,72.7098,0.6953,-5.5846,5.6277,1.4631,129.4947
70,2.3333,1415.1282,1130.9261,62.5927,0.0283,7.6905,7.6906,4.1894,816.0954
71,2.3667,1475.2636,1330.0113,4.5624,0.5061,20.4715,20.4777,4.3868,1181.9089
72,2.4000,1540.5809,1153.1678,-59.8186,0.7102,21.5506,21.5623,5.1583,1044.7505
73,2.4333,1573.0919,775.0799,-79.2341,0.5792,10.0513,10.0680,3.2978,301.7499
74,2.4667,1566.4940,543.4883,-43.2709,-1.0612,5.2794,5.3850,1.1850,53.3123
75,2.5000,1565.5122,557.5814,16.3204,-2.0581,13.4390,13.5957,2.8571,135.2912
76,2.5333,1596.8967,812.5122,55.7193,-1.9487,16.5213,16.6359,3.4334,345.2283
77,2.5667,1639.2822,1068.7366,51.2437,-0.9118,0.8727,1.2622,1.0929,190.1265
78,2.6000,1688.6851,1090.4679,17.0989,-0.5825,-11.7548,11.7692,2.4232,438.8652
79,2.6333,1723.5584,950.9389,-17.4302,0.6849,-10.9644,10.9857,1.7734,244.2521
80,2.6667,1749.9515,828.8949,-29.1576,1.9617,-5.4141,5.7586,2.4383,255.1611
81,2.7000,1751.9080,803.8135,-18.8298,3.1753,-19.9563,20.2074,2.1354,210.1441
82,2.7333,1788.6735,848.6399,-13.7668,4.1484,-15.0165,15.5789,13.0767,1434.4009
83,2.7667,1825.8907,882.6100,-25.9157,5.7172,-8.1527,9.9576,4.5530,540.2126
84,2.8000,1863.5327,842.0275,-38.6965,6.6969,0.0670,6.6972,2.1804,235.4591
85,2.8333,1886.0342,669.8360,-32.2042,7.1802,-9.5837,11.9750,1.4461,98.8205
86,2.8667,1903.2960,516.5735,-0.1457,7.7073,-4.0877,8.7242,1.0347,42.0522
87,2.9000,1911.0414,561.4867,46.9527,8.1302,5.9053,10.0485,1.3137,63.0806
88,2.9333,1931.3265,765.8892,84.5476,6.7920,-1.0722,6.8761,3.1751,283.6733
89,2.9667,1957.2633,1007.3310,66.1129,3.8677,-12.1352,12.7367,6.3907,987.6863
90,3.0000,2003.2838,1159.6433,-7.7072,2.7032,-11.7168,12.0246,3.8250,783.4400
91,3.0333,2044.4590,1125.4035,-80.1805,3.0311,13.1575,13.5021,2.1941,423.2485
92,3.0667,2084.2881,825.4598,-125.7197,3.4782,18.2594,18.5878,7.8325,812.8607
93,3.1000,2098.5251,270.2680,-133.0096,1.8735,15.2510,15.3657,2.7752,30.8747
