Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,68.1456,546.0536,-148.8329,-7.4132,-24.9775,26.0544,7.3984,335.9958
1,0.0333,82.0513,328.6731,-77.1095,-7.5817,-22.3058,23.5591,4.4603,73.3859
2,0.0667,94.2691,199.6226,-17.3474,-7.7002,-21.3263,22.6739,5.0078,30.3942
3,0.1000,104.7990,158.9021,30.4532,-7.7372,-22.8003,24.0774,7.4491,28.6476
4,0.1333,111.2775,206.5117,66.2924,-8.0319,-24.4457,25.7314,7.3940,48.0280
5,0.1667,115.5659,342.9210,113.5890,-7.3806,-23.8067,24.9245,8.2950,148.5695
6,0.2000,124.3148,618.7179,122.8627,-6.5509,-16.9227,18.1464,9.6713,563.8933
7,0.2333,147.1162,936.7746,87.9428,-5.7934,-8.1390,9.9903,5.9220,791.5236
8,0.2667,187.3206,1135.6857,22.1562,-5.7290,-1.8283,6.0136,2.2277,437.6299
9,0.3000,235.6319,1082.0882,-46.8066,-5.5063,3.3652,6.4532,3.2533,580.1968
10,0.3333,277.9395,824.3757,-84.2376,-5.7867,5.1870,7.7711,7.6934,796.3355
11,0.3667,299.4721,555.9701,-69.0782,-6.1361,2.8394,6.7612,4.8703,229.2873
12,0.4000,301.9630,434.8636,-13.9356,-6.6052,0.6423,6.6363,3.8948,112.1794
13,0.4333,301.4518,519.0387,42.8056,-5.0459,-5.5361,7.4906,3.7970,155.8002
14,0.4667,325.7415,743.4652,62.6434,-3.9049,-17.5752,18.0038,4.6632,392.5842
15,0.5000,365.4337,935.9932,33.6085,-4.2211,-21.5638,21.9730,7.7921,1039.7454
16,0.5333,405.8876,956.5787,-24.2973,-6.2619,-16.6313,17.7711,4.8676,678.3868
17,0.5667,437.7266,796.1993,-73.7300,-6.8723,-13.7252,15.3496,4.2218,407.6277
18,0.6000,455.2753,542.0159,-82.5969,-6.9019,-17.2525,18.5819,4.1814,187.0989
19,0.6333,462.5476,338.9786,-44.9251,-6.6196,-18.0572,19.2323,4.1645,72.8848
20,0.6667,474.1972,304.6283,19.0461,-5.7687,-16.4452,17.4276,3.2466,45.8881
21,0.7000,488.6590,458.7367,77.3586,-5.5569,-10.2353,11.6465,4.0122,128.5983
22,0.7333,499.0622,706.7584,98.1556,-5.3889,-3.7829,6.5842,3.1553,240.0506
23,0.7667,525.3457,924.1849,68.4808,-5.2679,-1.1738,5.3970,2.6548,345.3635
24,0.8000,565.0135,1040.5639,5.7660,-4.6140,2.0213,5.0374,1.9606,323.3294
25,0.8333,606.7353,985.2503,-55.8498,-4.3430,2.7098,5.1191,4.0826,603.6083
