Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,71.2620,87.2745,-65.5155,9.7267,8.1989,12.7212,5.6500,6.5546
1,0.0333,40.8589,87.2745,3.5009,8.4902,6.9773,10.9893,3.4586,4.0124
2,0.0667,23.7939,116.7366,48.1459,7.6117,4.5733,8.8800,3.1371,6.5113
3,0.1000,20.0668,574.4353,68.4192,7.1458,2.1673,7.4672,2.2145,111.2988
4,0.1333,29.7007,829.0927,64.3210,7.1037,-5.4803,8.9720,1.9150,200.4910
5,0.1667,58.7691,1020.5170,-25.8380,8.0291,-12.4478,14.8126,3.0750,487.7634
6,0.2000,125.8587,759.8375,-100.0791,8.9961,-24.5528,26.1490,4.5969,404.2312
7,0.2333,156.9217,252.1933,-109.2963,11.2957,-40.1647,41.7229,12.4974,121.0629
8,0.2667,153.1609,87.2745,-38.0301,12.8866,-48.4935,50.1765,18.5606,21.5323
9,0.3000,111.1395,87.2745,75.6781,13.3797,-45.4229,47.3524,15.0756,17.4894
10,0.3333,91.6115,408.9780,177.1084,13.6064,-39.2400,41.5320,13.6434,347.5750
11,0.3667,117.7048,950.5041,186.7149,15.3452,-39.2303,42.1247,13.6541,1878.8687
12,0.4000,206.5873,1341.2739,93.2173,17.3045,-33.0884,37.3401,13.2886,3641.1629
13,0.4333,267.1098,1488.3901,-27.8736,18.6270,-24.3629,30.6678,8.2920,2797.8155
14,0.4667,293.2562,1258.9943,-139.5207,19.2640,-17.3518,25.9266,5.0331,1215.0979
15,0.5000,293.2909,654.4263,-198.7909,19.1545,-13.9102,23.6725,4.7393,309.1446
16,0.5333,326.5948,87.2745,-196.4221,20.0091,-5.0599,20.6390,3.5995,4.1758
17,0.5667,335.7517,87.2745,-148.0378,21.2054,0.9629,21.2273,4.8672,5.6465
18,0.6000,299.7885,87.2745,-81.0640,20.2755,4.3364,20.7340,4.3795,5.0807
19,0.6333,203.1726,87.2745,-35.2766,17.3672,-12.9611,21.6705,2.2215,2.5772
20,0.6667,97.4638,87.2745,-24.8402,14.9758,-36.9964,39.9125,13.0761,15.1697
21,0.7000,11.0836,87.2745,-3.8544,14.2559,-46.0953,48.2494,16.9130,19.6210
22,0.7333,-20.0644,87.2745,17.9097,13.1838,-21.6052,25.3100,3.5133,4.0758
23,0.7667,-17.9809,87.2745,37.9230,11.4272,1.5430,11.5309,5.6219,6.5221
24,0.8000,-3.2923,204.1756,37.8798,9.8256,8.7402,13.1504,2.6564,16.8667
25,0.8333,-1.0054,300.6978,17.7096,8.6510,5.2210,10.1044,1.9307,26.5894
26,0.8667,5.5205,370.5897,-8.8497,8.1072,3.5163,8.8369,2.4312,50.8558
27,0.9000,4.8458,331.8294,-30.4601,7.7511,3.3730,8.4532,1.8183,30.4943
28,0.9333,11.3405,109.6709,-38.0577,6.4228,-0.8349,6.4768,1.5032,2.7537
29,0.9667,43.1059,87.2745,-28.7433,5.3039,-10.9955,12.2079,1.9212,2.2288
30,1.0000,39.9009,87.2745,50.0942,4.4538,-27.2984,27.6593,5.0052,5.8066
31,1.0333,-12.7271,87.2745,174.8154,4.5437,-35.2064,35.4984,10.8813,12.6235
32,1.0667,-46.9297,87.2745,270.9945,4.0173,-42.0432,42.2347,8.3744,9.7152
33,1.1000,-59.0633,853.9674,295.8488,3.1361,-46.7126,46.8178,17.3503,1927.1408
34,1.1333,-0.6768,1742.5765,219.7000,2.1773,-49.9964,50.0438,19.5154,9025.8250
35,1.1667,117.1625,2160.6119,55.1073,2.4940,-40.8195,40.8956,14.5730,10361.5918
36,1.2000,201.4632,2025.5611,-118.6495,3.6003,-27.0544,27.2929,10.1179,6322.7424
37,1.2333,233.1606,1451.0043,-255.5184,4.4616,-20.7269,21.2016,5.5011,1764.0672
38,1.2667,264.8661,551.1128,-280.4651,5.0273,-17.6723,18.3735,4.7328,218.9402
39,1.3000,258.6928,87.2745,-216.7679,5.9869,-12.5641,13.9177,2.6312,3.0525
40,1.3333,276.3752,87.2745,-94.1080,7.6526,0.3475,7.6605,2.0929,2.4280
41,1.3667,241.5431,87.2745,41.2721,9.5939,3.1711,10.1044,3.2733,3.7974
42,1.4000,210.9473,87.2745,119.5552,8.9351,-3.5986,9.6326,1.6305,1.8916
43,1.4333,200.2492,368.3687,121.6316,6.2928,-28.5199,29.2059,2.6019,53.7760
44,1.4667,235.1475,768.7578,89.1243,4.0756,-44.8363,45.0211,23.5878,2123.1985
45,1.5000,286.6023,984.4685,26.3899,4.2129,-37.4290,37.6654,10.1151,1493.1355
46,1.5333,341.8801,867.7923,-43.3443,5.0220,-8.1706,9.5906,1.3850,158.8575
47,1.5667,338.1988,595.6816,-90.0079,5.4483,6.4828,8.4682,6.1807,334.0365
48,1.6000,343.7648,344.6126,-85.4946,5.0237,7.6858,9.1820,5.8971,106.6660
49,1.6333,347.6594,218.5075,-38.4314,3.9613,3.5299,5.3058,3.5838,26.0615
50,1.6667,369.0654,286.7682,25.8021,3.6109,3.3272,4.9101,1.9789,24.7867
51,1.7000,387.7755,435.1198,85.6141,3.8136,2.6489,4.6433,2.2595,65.1569
