Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,-344.8663,6585.0518,-1406.8405,1.1854,-19.8795,19.9148,19.2194,126935.1361
1,0.0333,-146.3719,4169.7850,-1050.4636,2.9187,-15.5451,15.8168,10.1107,26775.1746
2,0.0667,-8.7210,2290.7372,-732.7898,3.2793,-14.6025,14.9662,5.2418,4189.4069
3,0.1000,68.0866,947.9083,-453.8191,3.0833,-16.2622,16.5519,5.1992,711.5338
4,0.1333,15.2785,141.2983,-213.5516,-1.6353,-24.1433,24.1986,10.0990,30.7099
5,0.1667,-33.0403,93.4752,66.3322,-3.8956,-33.6067,33.8318,13.3056,17.7073
6,0.2000,7.1589,389.9625,225.1582,-3.6259,-36.0774,36.2592,13.3467,309.1331
7,0.2333,58.7606,1229.9247,262.5653,-0.5182,-34.8673,34.8712,14.9021,3433.4426
8,0.2667,99.6178,1835.8625,199.9527,1.1692,-31.8851,31.9065,13.7743,7070.9207
9,0.3000,169.3722,1973.0979,82.2522,0.4085,-22.9164,22.9200,9.2520,5486.0421
10,0.3333,245.8767,1807.8767,-37.9924,0.0354,2.6878,2.6881,1.0161,505.8053
11,0.3667,274.8502,1626.6133,-105.3872,2.1366,7.3930,7.6956,5.3156,2142.1235
12,0.4000,359.6323,1429.9597,-111.6498,5.3593,12.1505,13.2800,1.7092,532.3017
13,0.4333,391.0888,1194.5899,-93.6786,5.6345,10.2971,11.7379,6.4232,1396.0829
14,0.4667,409.0531,1119.7572,-82.7147,7.4152,21.8002,23.0268,5.3775,1026.9610
15,0.5000,454.3431,972.2396,-92.7718,9.4995,4.2877,10.4223,4.6205,665.2135
16,0.5333,492.7879,757.4081,-100.0702,13.4050,-9.9187,16.6755,6.4662,564.9801
17,0.5667,507.9552,620.3862,-105.2682,13.7967,-19.0409,23.5140,6.7382,394.9945
18,0.6000,543.7263,326.9430,-98.4182,13.6434,-15.2936,20.4948,8.9636,145.9321
19,0.6333,526.6693,93.4752,-76.6689,11.4388,-13.9288,18.0238,9.8432,13.0995
20,0.6667,529.1133,93.4752,-53.5327,11.3697,-19.5368,22.6044,6.2905,8.3715
21,0.7000,527.3573,93.4752,-28.0373,10.9013,-24.1422,26.4893,12.9115,17.1828
22,0.7333,524.8342,93.4752,-9.5365,10.5268,-28.7320,30.5997,13.4814,17.9413
23,0.7667,524.1445,93.4752,-7.3841,10.4296,-29.7157,31.4928,10.6962,14.2347
24,0.8000,538.9996,93.4752,-2.1397,10.7777,-31.8984,33.6700,12.5360,16.6831
25,0.8333,525.0615,93.4752,-6.4318,9.8354,-21.4448,23.5927,13.3133,17.7175
26,0.8667,485.5722,93.4752,20.6629,9.0155,-7.8542,11.9569,5.9043,7.8575
27,0.9000,427.4428,93.4752,84.0677,8.6550,-9.3268,12.7240,5.6812,7.5606
28,0.9333,361.4821,93.4752,125.3519,9.7387,-24.1574,26.0465,12.3114,16.3842
29,0.9667,349.8017,323.9245,102.0948,9.7658,-30.9678,32.4711,12.2638,195.9912
30,1.0000,402.0873,941.5198,44.5674,10.9888,-29.0680,31.0758,12.0594,1628.1994
31,1.0333,456.0980,1012.8221,-26.2323,12.5995,-22.1200,25.4567,12.1514,1898.5231
