Frame,Time_s,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_cm,CoM_Z_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,5.1118,61.9653,-13.2561,19.1803,-3.2840,19.4594,6.4684,3.7829
1,0.0333,1.7118,61.9653,3.1444,19.2345,-2.2745,19.3685,5.0869,2.9749
2,0.0667,0.4277,73.6895,13.2303,18.4230,-0.9348,18.4467,5.1086,4.2251
3,0.1000,1.2594,154.4035,17.0016,16.6678,-0.3490,16.6714,5.5002,19.9719
4,0.1333,4.5947,195.2850,14.4584,14.0996,3.0934,14.4349,7.9595,46.2328
5,0.1667,7.1839,242.2017,-5.1265,11.7985,7.9549,14.2297,6.7272,60.1056
6,0.2000,16.5273,229.7867,-25.2644,10.6955,7.5876,13.1135,3.6386,29.2622
7,0.2333,41.7907,61.9653,-46.5362,9.7771,4.2710,10.6692,3.2263,1.8868
8,0.2667,23.0490,61.9653,-40.5739,7.7206,11.5852,13.9221,2.6296,1.5378
9,0.3000,28.0804,61.9653,13.3480,1.1375,1.8826,2.1996,3.1805,1.8600
10,0.3333,-1.7244,61.9653,94.0740,-4.5226,-0.1719,4.5259,5.1807,3.0298
11,0.3667,-23.4917,152.1091,153.9307,-8.7526,-14.5904,17.0144,2.7742,9.7761
12,0.4000,-10.8211,719.2761,155.7003,-11.4169,-2.7682,11.7478,5.8055,457.4650
13,0.4333,46.3017,1141.9485,93.0032,-15.8431,2.7588,16.0815,5.2423,1041.2227
14,0.4667,80.6138,1334.5592,-9.9630,-19.8194,12.6158,23.4940,4.6986,1274.5746
15,0.5000,147.7872,1084.0511,-112.8756,-22.4273,6.6588,23.3950,6.6826,1196.1018
16,0.5333,166.1595,586.4445,-134.8170,-24.6567,4.2285,25.0166,7.1274,373.3431
17,0.5667,175.0526,254.6372,-54.1234,-25.3966,-1.2848,25.4291,8.0799,79.7950
18,0.6000,176.5964,190.4382,65.6217,-25.7220,-10.2434,27.6866,9.4315,52.0972
19,0.6333,169.3124,551.0136,147.1871,-25.8246,-20.1040,32.7273,8.1073,374.9079
20,0.6667,194.0313,1157.0119,124.2573,-25.3857,-35.1445,43.3540,17.7005,3608.9999
21,0.7000,243.2674,1450.9449,22.5197,-23.1557,-48.5990,53.8335,19.4855,6247.9593
22,0.7333,308.7456,1299.6372,-94.9337,-20.4386,-44.1639,48.6641,13.6956,3523.3071
