frame,timestamp_sec,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32,angle_right_elbow,angle_right_elbow_smooth,angular_velocity_deg_s,angular_acceleration_deg_s2
0,0.00000000,0.47380307,0.32531559,-0.22667381,0.99999511,0.47567877,0.31563288,-0.20532367,0.99998200,0.47839737,0.31588656,-0.20552814,0.99997556,0.48169741,0.31637228,-0.20543511,0.99998045,0.46856129,0.31546119,-0.21049914,0.99999058,0.46532619,0.31570247,-0.21081156,0.99999130,0.46205118,0.31610644,-0.21094655,0.99999177,0.48694685,0.32097882,-0.09392273,0.99997878,0.45911306,0.32219675,-0.11755048,0.99996924,0.47775382,0.33623725,-0.18375009,0.99996197,0.46930915,0.33694229,-0.19202530,0.99995506,0.50993574,0.39252827,-0.01516212,0.99994648,0.43801430,0.39043778,-0.07580726,0.99966121,0.57637393,0.41481745,-0.01933115,0.93610746,0.36352324,0.40016019,-0.12586571,0.93761975,0.62235993,0.43171033,-0.14531784,0.95527303,0.30559778,0.39318663,-0.26039529,0.96804929,0.63861930,0.43294182,-0.16328147,0.93794274,0.28629816,0.39444056,-0.29243538,0.94775468,0.64237767,0.42297783,-0.20020288,0.95196879,0.28155550,0.39221168,-0.31837448,0.95629847,0.63707316,0.42090404,-0.16436370,0.94939548,0.28834081,0.39088008,-0.27649322,0.95488113,0.47778466,0.53946984,0.01894378,0.99997044,0.44273636,0.52280354,-0.01924252,0.99989641,0.47993448,0.65058023,-0.01451768,0.99479407,0.40837449,0.50001866,-0.15010796,0.87578291,0.45378974,0.75994813,0.04287857,0.99729568,0.42557830,0.50537813,-0.00879444,0.49524438,0.44506556,0.77644318,0.04301429,0.99186081,0.42668813,0.50769681,0.00410429,0.55695450,0.45830113,0.79221123,-0.07691298,0.99611062,0.42300895,0.48889869,-0.06229446,0.72368121,146.05580081,147.55788625,-212.52160948,-166.55584680
1,0.03333333,0.47167316,0.31320536,-0.28674817,0.99999440,0.47479567,0.30563810,-0.26664114,0.99997914,0.47774565,0.30587000,-0.26686695,0.99997246,0.48106736,0.30610505,-0.26675573,0.99997789,0.46693403,0.30540919,-0.26590663,0.99998879,0.46387717,0.30561751,-0.26622880,0.99998963,0.46075356,0.30590382,-0.26640171,0.99998987,0.48697451,0.31038660,-0.15328993,0.99997634,0.45814523,0.31170243,-0.14976895,0.99996459,0.47609562,0.32519960,-0.24315637,0.99996108,0.46685779,0.32535696,-0.24365360,0.99995244,0.51255125,0.37998787,-0.07080207,0.99994427,0.43696678,0.37822211,-0.08439047,0.99963784,0.58103645,0.39697844,-0.08503261,0.94067526,0.36275777,0.39002818,-0.12010343,0.93963671,0.62668788,0.40719315,-0.22510570,0.95754403,0.29925784,0.39312941,-0.25833687,0.96554339,0.63932472,0.42113015,-0.25005755,0.94006473,0.28030175,0.39393240,-0.29100165,0.94101363,0.64399862,0.40984443,-0.28310090,0.95348191,0.27684894,0.39161187,-0.31932014,0.95051241,0.63828206,0.40721294,-0.24253644,0.95063102,0.28313571,0.39071536,-0.27619591,0.94988281,0.48136672,0.53141230,0.00981486,0.99996161,0.44278184,0.51488423,-0.01010219,0.99987447,0.47689000,0.64822263,-0.02227927,0.99298149,0.41124272,0.51006454,-0.14674832,0.86814713,0.45153069,0.75990522,0.05607167,0.99689537,0.42548573,0.56234348,0.12412129,0.47589952,0.44369808,0.77632916,0.05738662,0.98877591,0.42773616,0.56732345,0.14968990,0.53139627,0.45759737,0.79199117,-0.08128190,0.99537039,0.42426741,0.58812773,0.07557697,0.69370383,139.91919469,140.47383260,-218.07347104,-249.83377020
2,0.06666667,0.47055116,0.29919529,-0.27411714,0.99999422,0.47438195,0.29152673,-0.25527179,0.99997854,0.47745740,0.29150355,-0.25549564,0.99997187,0.48077661,0.29151821,-0.25538337,0.99997735,0.46605995,0.29169708,-0.25349918,0.99998838,0.46309325,0.29191372,-0.25382352,0.99998921,0.45998958,0.29217198,-0.25397858,0.99998939,0.48698756,0.29580113,-0.14787515,0.99997610,0.45781171,0.29755923,-0.14035483,0.99996364,0.47539723,0.31072110,-0.23256548,0.99996173,0.46623948,0.31114310,-0.23173378,0.99995250,0.51724881,0.36019984,-0.07286792,0.99994487,0.43567780,0.36398828,-0.08051353,0.99963701,0.58683848,0.37322861,-0.10116912,0.94435054,0.36257944,0.38069791,-0.11372524,0.93914986,0.63116658,0.38388333,-0.24788553,0.95798957,0.29641083,0.39314091,-0.25839147,0.95634669,0.64274400,0.40020835,-0.27605790,0.93935484,0.27902502,0.39536202,-0.29112747,0.92423069,0.64466095,0.39738616,-0.30903023,0.95269102,0.27514264,0.39353174,-0.32285681,0.93587810,0.64070529,0.38666394,-0.26569727,0.94947416,0.28196487,0.39275286,-0.27686965,0.93681985,0.48444164,0.51972336,0.00634026,0.99996024,0.44342184,0.50688571,-0.00664907,0.99987161,0.46990085,0.64276779,-0.02576094,0.99180394,0.42347574,0.50856417,-0.13391143,0.85783011,0.44680816,0.76000977,0.04927158,0.99642819,0.43365496,0.54482108,0.10063899,0.45454207,0.44026560,0.77580684,0.04905266,0.98613924,0.43668568,0.54995775,0.12168439,0.50698352,0.45664409,0.79166490,-0.10324043,0.99464065,0.44033137,0.55814546,0.04561227,0.66645944,138.82158063,133.01965485,-229.17719416,-721.75369717
3,0.10000000,0.47035313,0.28204092,-0.33432829,0.99999470,0.47425708,0.27409166,-0.31766367,0.99998033,0.47724271,0.27420861,-0.31795350,0.99997425,0.48037925,0.27435651,-0.31784642,0.99997932,0.46603552,0.27390671,-0.31341338,0.99998933,0.46302423,0.27410299,-0.31371248,0.99999005,0.45991847,0.27427912,-0.31381601,0.99999017,0.48627061,0.27935588,-0.21207947,0.99997801,0.45737246,0.27985838,-0.18856204,0.99996537,0.47487864,0.29332343,-0.29269758,0.99996495,0.46595320,0.29421008,-0.28763512,0.99995613,0.51672417,0.34259081,-0.14484061,0.99994951,0.43405834,0.35069609,-0.09421902,0.99965721,0.58565605,0.35233337,-0.17107561,0.94854784,0.36388478,0.37657824,-0.09951469,0.93875504,0.63209486,0.36138931,-0.31379738,0.96047294,0.29713023,0.39776656,-0.22100055,0.94909942,0.64354050,0.36585352,-0.34940192,0.94180065,0.28052002,0.40300715,-0.24810705,0.90877956,0.64482808,0.36525959,-0.38033676,0.95455086,0.27801567,0.40258652,-0.28894171,0.92258066,0.64054245,0.36436102,-0.33093575,0.95093191,0.28534198,0.40202722,-0.24293062,0.92390984,0.48391768,0.50649902,-0.02147923,0.99995852,0.44390184,0.49571301,0.02102765,0.99985886,0.46594703,0.62662375,-0.09905751,0.98669088,0.41916835,0.47491652,0.15929359,0.78150445,0.44516957,0.74652863,-0.09094393,0.99423623,0.40232452,0.52847022,0.11084305,0.41247758,0.44025698,0.76046544,-0.09793022,0.97592795,0.41769981,0.50946301,0.48602349,0.46355492,0.45498905,0.78310627,-0.25911799,0.99283546,0.41221833,0.51708108,0.43372443,0.60876215,123.97694500,125.19535299,-266.19038418,-717.34647666
4,0.13333333,0.47041655,0.27872136,-0.35469779,0.99999511,0.47413790,0.27036637,-0.33986500,0.99998176,0.47698349,0.27025473,-0.34016517,0.99997604,0.48002282,0.27008864,-0.34007564,0.99998081,0.46608084,0.27040797,-0.33419999,0.99999011,0.46306428,0.27043861,-0.33451888,0.99999070,0.45995212,0.27047172,-0.33463639,0.99999082,0.48567006,0.27428949,-0.23987928,0.99997944,0.45732698,0.27637351,-0.20900266,0.99996698,0.47462100,0.28972957,-0.31474486,0.99996758,0.46604648,0.29030970,-0.30752310,0.99995923,0.51669210,0.33965489,-0.17112303,0.99995309,0.43249416,0.34725699,-0.11115514,0.99968380,0.58614832,0.35060322,-0.18474579,0.95129085,0.36384904,0.37688354,-0.09947563,0.94290572,0.63513488,0.36094800,-0.29994696,0.95937884,0.29789567,0.40088367,-0.20813741,0.95258415,0.64784008,0.36637715,-0.33137867,0.93795997,0.28063583,0.40564364,-0.23307863,0.91351706,0.65000325,0.36508730,-0.36252451,0.95106220,0.27865225,0.40551227,-0.27528244,0.92666680,0.64330590,0.36503649,-0.31645724,0.94681925,0.28571314,0.40534541,-0.23018730,0.92765337,0.48367983,0.49282581,-0.02984702,0.99995685,0.44389626,0.48268503,0.02936132,0.99985456,0.46527305,0.62185639,-0.10971121,0.98240328,0.40995291,0.48084611,0.21567701,0.71413887,0.44549382,0.74521285,-0.09886854,0.99165356,0.33339754,0.51216051,0.13851038,0.37431729,0.44013458,0.75941890,-0.10509566,0.96481788,0.35371109,0.50315656,0.41490324,0.42455500,0.45488331,0.78322601,-0.25433639,0.99054867,0.37697044,0.51258600,0.53862971,0.55544043,113.92225703,115.27362924,-277.00029260,1293.04807156
5,0.16666667,0.47045404,0.26619422,-0.39855397,0.99999326,0.47408828,0.25880033,-0.38461480,0.99997127,0.47686601,0.25880909,-0.38493469,0.99996436,0.47991911,0.25869349,-0.38487548,0.99997032,0.46611872,0.25860667,-0.37644750,0.99998420,0.46309242,0.25863624,-0.37676805,0.99998629,0.45994571,0.25866389,-0.37690857,0.99998611,0.48565677,0.26433715,-0.28338319,0.99997151,0.45707238,0.26537296,-0.24255034,0.99995118,0.47463441,0.27795902,-0.35830936,0.99996215,0.46598515,0.27697468,-0.34822541,0.99995273,0.51638716,0.32845795,-0.22461711,0.99995571,0.43095428,0.33700022,-0.11531026,0.99970371,0.58356643,0.33844864,-0.25012869,0.95529616,0.36668885,0.37861097,-0.10058197,0.94547498,0.63436460,0.34398654,-0.36766040,0.96202683,0.30622706,0.40932220,-0.22884281,0.95473826,0.64767927,0.34913218,-0.40402189,0.94057631,0.29076502,0.41675144,-0.24936241,0.91648662,0.64984888,0.34795567,-0.43404272,0.95298964,0.28793171,0.41570646,-0.30839303,0.92929929,0.64310020,0.34786722,-0.38368621,0.94897616,0.29483914,0.41433299,-0.25790790,0.92991817,0.48374978,0.47962749,-0.04583475,0.99995595,0.44240585,0.46860030,0.04538899,0.99985802,0.46437117,0.60973257,-0.09535706,0.98169625,0.34625870,0.47624037,0.12675394,0.70370722,0.44465786,0.72839522,0.00600886,0.98876828,0.26447056,0.49963199,0.17922370,0.42079678,0.44029143,0.73651689,0.01284623,0.94753134,0.26321872,0.50104207,0.31417423,0.45183060,0.44747994,0.77551132,-0.14958732,0.98679948,0.27883606,0.50094891,0.22529928,0.58538973,106.82694000,106.72866682,-179.98717941,1836.34286142
6,0.20000000,0.47035870,0.25316352,-0.34900966,0.99998885,0.47386053,0.24811789,-0.32645437,0.99995327,0.47656024,0.24840136,-0.32660916,0.99994230,0.47950029,0.24857381,-0.32645082,0.99995071,0.46613881,0.24748887,-0.36934701,0.99997485,0.46313298,0.24746132,-0.36963046,0.99997896,0.46002012,0.24734713,-0.37002322,0.99997902,0.48498514,0.25568965,-0.21147695,0.99995369,0.45716128,0.25463310,-0.15770330,0.99992782,0.47409615,0.26494387,-0.30015519,0.99994922,0.46595162,0.26342103,-0.31984010,0.99993926,0.51022196,0.32200706,-0.15063219,0.99995548,0.43110666,0.33079097,-0.02746428,0.99970984,0.56747049,0.33141643,-0.18317840,0.95732254,0.37751523,0.38054806,-0.01538526,0.93855172,0.61103952,0.33214182,-0.30881867,0.96247125,0.33005589,0.41763672,-0.17134228,0.95108968,0.61970031,0.33477831,-0.34488779,0.94008094,0.31543690,0.42858887,-0.19956519,0.91112238,0.61764461,0.33313653,-0.37139839,0.95218766,0.31194359,0.42720264,-0.24054132,0.92460895,0.61277640,0.33375257,-0.32334444,0.94799805,0.31946862,0.42430675,-0.19374011,0.92492545,0.47855207,0.47376350,-0.05035864,0.99995530,0.43977654,0.46066490,0.04996071,0.99986315,0.45611513,0.60040057,-0.10438701,0.98083788,0.34628621,0.47086716,0.06425160,0.70979542,0.44379857,0.72137338,0.02245205,0.98378748,0.23314011,0.49462470,0.22856572,0.46522650,0.44222504,0.73045290,0.03029894,0.91481596,0.21726698,0.50136274,0.26674923,0.47911009,0.43391920,0.77454907,-0.11775343,0.97865051,0.20460412,0.49003923,0.12972786,0.61289263,101.66301532,103.27448394,-154.57743517,2761.12690888
7,0.23333333,0.46974909,0.25624996,-0.32026452,0.99997598,0.47338909,0.24893168,-0.29921329,0.99992615,0.47597086,0.24924792,-0.29943535,0.99990767,0.47889048,0.24959399,-0.29932508,0.99992096,0.46598122,0.24840909,-0.33267736,0.99995720,0.46301073,0.24838053,-0.33312994,0.99996209,0.45987582,0.24824716,-0.33350211,0.99996632,0.48434606,0.25548711,-0.19624127,0.99991870,0.45677787,0.25409910,-0.14386569,0.99988168,0.47309354,0.26729074,-0.27500385,0.99989855,0.46540514,0.26641229,-0.30945569,0.99988544,0.50551605,0.32335302,-0.18899152,0.99994582,0.43128294,0.33169246,-0.01596818,0.99969769,0.51897758,0.33753824,-0.35092321,0.95034385,0.38886124,0.38972408,0.00024978,0.90201402,0.53119908,0.31526527,-0.55068231,0.94696426,0.34619868,0.43596959,-0.13819024,0.93828070,0.53509659,0.31103590,-0.61296010,0.91843718,0.33418006,0.45148206,-0.16661541,0.89728677,0.53323975,0.30444172,-0.61052310,0.92947936,0.32955161,0.45020649,-0.20210764,0.91138583,0.53025974,0.30720168,-0.55559677,0.91887331,0.33656791,0.44576666,-0.15778153,0.90893334,0.47292984,0.47214195,-0.06352571,0.99995190,0.43775412,0.46199998,0.06320782,0.99986506,0.45070508,0.59240484,-0.10129267,0.97762430,0.35139829,0.47686130,0.12814072,0.69761676,0.44270980,0.71939921,0.02748255,0.97597033,0.28874877,0.49772084,0.31871232,0.48082909,0.44292051,0.72963727,0.03489987,0.87345141,0.28440163,0.50339955,0.33535525,0.47754529,0.42663571,0.77257383,-0.10031448,0.96713161,0.25798416,0.49212921,0.25777164,0.61485547,101.57414686,96.42350447,4.08794785,2939.63315336
8,0.26666667,0.46886042,0.25918123,-0.21132018,0.99997300,0.47229651,0.25219688,-0.19449767,0.99992442,0.47472414,0.25231418,-0.19475788,0.99990511,0.47747356,0.25256166,-0.19471741,0.99991965,0.46552145,0.25229046,-0.18911982,0.99995506,0.46281248,0.25243852,-0.18940097,0.99995953,0.45983553,0.25249320,-0.18953556,0.99996471,0.48102865,0.25744653,-0.09860089,0.99991363,0.45675796,0.25733575,-0.06045043,0.99986655,0.47121817,0.26953793,-0.17287588,0.99988663,0.46508288,0.26964810,-0.16668643,0.99987179,0.48148206,0.32253033,-0.08709179,0.99994695,0.44315651,0.32862887,0.05416831,0.99971688,0.45723540,0.37013766,-0.10326438,0.92891794,0.41525784,0.39085466,0.07120953,0.88163334,0.46753615,0.37628426,-0.17970729,0.91880506,0.36972728,0.44143027,-0.07695822,0.93875593,0.46875572,0.38169515,-0.21075565,0.88679349,0.35669920,0.45899898,-0.10616647,0.90015185,0.46893770,0.37656204,-0.23067538,0.89952660,0.35237506,0.45894378,-0.14256625,0.91369337,0.46772394,0.37533194,-0.18818264,0.88358301,0.35991853,0.45260358,-0.09690610,0.90972739,0.46190494,0.46844569,-0.05281080,0.99994922,0.43886408,0.46529803,0.05252935,0.99987024,0.44868419,0.59000152,-0.08721777,0.97260809,0.42000750,0.51433373,0.06600974,0.69613361,0.44157451,0.71956736,0.00477380,0.97280794,0.36582291,0.54137303,0.17887366,0.50604045,0.44291168,0.73025334,0.00681843,0.85473680,0.36974451,0.56216113,0.18742304,0.48118252,0.42746669,0.77001309,-0.10967312,0.96256888,0.33644953,0.54577460,0.09846396,0.62843955,99.50416261,103.54701380,41.39810839,968.49145686
9,0.30000000,0.46783882,0.26036561,-0.22385278,0.99997008,0.47084552,0.25341910,-0.21028106,0.99992216,0.47305983,0.25351700,-0.21053448,0.99990124,0.47558159,0.25376740,-0.21048431,0.99991655,0.46498525,0.25353378,-0.19911423,0.99995375,0.46262491,0.25372681,-0.19938114,0.99995792,0.45982820,0.25383499,-0.19949223,0.99996406,0.47861654,0.25845891,-0.12126725,0.99990463,0.45676252,0.25844848,-0.06813557,0.99985707,0.46968329,0.27063638,-0.18823630,0.99987257,0.46479416,0.27071205,-0.17485125,0.99986029,0.47669974,0.32186955,-0.11532912,0.99994618,0.44580111,0.33065712,0.06264382,0.99973685,0.47483525,0.38263467,-0.16971755,0.89167601,0.41623628,0.39244461,0.08707105,0.84582263,0.46699691,0.43730325,-0.24917968,0.86122620,0.36992690,0.44349211,-0.07274876,0.93727481,0.46745086,0.45235440,-0.30080369,0.83149004,0.35819569,0.46060106,-0.10194766,0.90177101,0.46732977,0.44868237,-0.28905648,0.84537131,0.35401440,0.46058223,-0.14097483,0.91501689,0.46719867,0.44346219,-0.22841233,0.82512558,0.36055851,0.45480865,-0.09419946,0.90935260,0.45920298,0.46926242,-0.07094160,0.99994683,0.43892115,0.46653533,0.07069355,0.99987698,0.44883999,0.58913082,-0.09720756,0.96559393,0.42513964,0.55905378,0.08286965,0.67512482,0.44168007,0.72018987,-0.00971854,0.96863341,0.37456888,0.61497432,0.22672117,0.52119923,0.44315428,0.72976232,-0.00735062,0.83264369,0.37753460,0.62662703,0.23656963,0.47920093,0.42774683,0.76806045,-0.12778263,0.95748037,0.34974647,0.63735938,0.14420730,0.63552207,92.80441725,99.18337836,68.65404497,4961.96869454
