frame,timestamp_sec,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32,angle_right_elbow,angle_right_elbow_smooth,angular_velocity_deg_s,angular_acceleration_deg_s2
0,0.00000000,0.41697183,0.35939366,-0.28492150,0.99999928,0.42556661,0.35011494,-0.25772971,0.99999762,0.43047085,0.35103351,-0.25813493,0.99999762,0.43515769,0.35161412,-0.25806952,0.99999726,0.41251284,0.34894672,-0.26311773,0.99999869,0.40839309,0.34923661,-0.26343954,0.99999917,0.40354246,0.34949690,-0.26356760,0.99999845,0.43957424,0.35750484,-0.11770307,0.99999785,0.40165961,0.35503834,-0.14311212,0.99999487,0.42515761,0.37295836,-0.23217203,0.99999475,0.41048232,0.37173042,-0.24111326,0.99999261,0.47870851,0.43587470,-0.04422285,0.99998558,0.37332040,0.43529779,-0.13171054,0.99993885,0.57962096,0.44573545,-0.07228944,0.99262404,0.33366847,0.43837357,-0.46148637,0.94684178,0.66087121,0.45988828,-0.21753192,0.99750060,0.29765320,0.42481539,-0.88617945,0.99553490,0.68526530,0.46925634,-0.24282521,0.99756539,0.27333766,0.41912106,-0.97834867,0.99627823,0.68772423,0.46822289,-0.29714155,0.99835759,0.27353945,0.41880441,-0.98723984,0.99656844,0.67834592,0.46637675,-0.24431805,0.99812037,0.28360116,0.42306054,-0.90600842,0.99569148,0.44933179,0.61472559,0.00973185,0.99995255,0.39044124,0.61579323,-0.01014070,0.99988055,0.44991291,0.73203778,-0.07783840,0.94302529,0.37970737,0.73494565,0.00369321,0.54857355,0.42444006,0.86281002,-0.03186727,0.98464221,0.42944410,0.83168316,0.23725519,0.81640232,0.41385734,0.88039732,-0.04070861,0.94455200,0.44230524,0.86476696,0.25073442,0.72503406,0.43958959,0.88956344,-0.23145817,0.98789865,0.40420926,0.86912680,0.11195859,0.82158595,176.90653398,176.60626511,-1015.71652784,5566.95166196
1,0.03333333,0.41726515,0.35951409,-0.28140029,0.99999923,0.42585617,0.35011846,-0.25764522,0.99999744,0.43057135,0.35103089,-0.25803134,0.99999756,0.43538496,0.35162437,-0.25796717,0.99999720,0.41273218,0.34937593,-0.25249344,0.99999851,0.40853608,0.34985772,-0.25280693,0.99999905,0.40411776,0.35014603,-0.25289488,0.99999827,0.43988556,0.35760051,-0.13501249,0.99999785,0.40230164,0.35568076,-0.10211046,0.99999452,0.42578205,0.37334713,-0.23220611,0.99999470,0.41081196,0.37216970,-0.22716883,0.99999231,0.47870794,0.43545231,-0.10336439,0.99998581,0.37242585,0.43557522,0.00345312,0.99993360,0.57869464,0.44523376,-0.16553037,0.99331683,0.30506441,0.43829495,-0.11067901,0.95083839,0.66072834,0.45795920,-0.32072446,0.99770707,0.24915518,0.42313078,-0.23404489,0.99553406,0.68530142,0.46728551,-0.35428628,0.99770653,0.22722149,0.41911286,-0.39847606,0.99600017,0.68778557,0.46616253,-0.39467889,0.99844426,0.22703369,0.41842631,-0.43789600,0.99634540,0.67833281,0.46477857,-0.34207582,0.99822301,0.23700182,0.42179844,-0.38048609,0.99563825,0.44915375,0.61375463,-0.04458410,0.99995530,0.39132452,0.61543715,0.04426094,0.99988818,0.45101956,0.73278373,-0.12365057,0.94837230,0.37916729,0.73436427,0.00463722,0.59148461,0.42881855,0.86061656,-0.03098402,0.98598897,0.42978764,0.84439337,0.16287465,0.83383894,0.42505834,0.87755388,-0.03398150,0.94901788,0.44153783,0.86478782,0.17016716,0.75058556,0.43959156,0.88956177,-0.20321268,0.98892224,0.39483124,0.87612695,0.03990834,0.83859545,143.34787496,142.74904751,-830.15147244,8350.42749294
2,0.06666667,0.41749868,0.35979179,-0.29664087,0.99999923,0.42633808,0.35014588,-0.27825829,0.99999732,0.43092817,0.35103211,-0.27854192,0.99999750,0.43591267,0.35169536,-0.27846205,0.99999714,0.41323829,0.34967971,-0.26300853,0.99999845,0.40934473,0.35016415,-0.26332760,0.99999893,0.40506688,0.35041794,-0.26341015,0.99999821,0.44093946,0.35851377,-0.16787858,0.99999779,0.40350568,0.35586402,-0.10708981,0.99999452,0.42626980,0.37396222,-0.25301540,0.99999464,0.41122624,0.37260234,-0.23346555,0.99999225,0.47750753,0.43466488,-0.15348355,0.99998516,0.37232998,0.43571752,0.03112549,0.99993163,0.56411958,0.44495049,-0.24095227,0.99387515,0.28674737,0.43739429,0.04321366,0.95474392,0.63760209,0.45222446,-0.41695496,0.99774939,0.21064414,0.42097801,-0.09402669,0.99540359,0.66025203,0.45903111,-0.45793533,0.99749267,0.18498550,0.41774097,-0.11626133,0.99531192,0.66307884,0.45936131,-0.49096742,0.99824834,0.18335555,0.41506973,-0.16020289,0.99577874,0.65433288,0.45917276,-0.43600661,0.99802345,0.19411312,0.41775939,-0.12008577,0.99533266,0.45066413,0.60954821,-0.07254701,0.99995744,0.39755276,0.61185592,0.07223430,0.99989653,0.45078903,0.72926450,-0.12702316,0.95309019,0.37869045,0.73090798,0.07681977,0.62980640,0.44466359,0.85472572,0.00570285,0.98700392,0.42879200,0.84715050,0.18933515,0.84951270,0.44855371,0.87009835,0.01054856,0.95188421,0.43873540,0.86473697,0.20376298,0.77349740,0.43723965,0.88933158,-0.14711156,0.98969394,0.39384007,0.87932032,0.06346064,0.85394293,110.72296464,121.26283361,-459.02136165,11752.08762827
3,0.10000000,0.41895264,0.35676530,-0.29110533,0.99999928,0.42778969,0.34607941,-0.27411589,0.99999744,0.43281516,0.34698448,-0.27450287,0.99999762,0.43689251,0.34836420,-0.27444875,0.99999726,0.41509199,0.34629497,-0.25387579,0.99999851,0.41152644,0.34695804,-0.25412825,0.99999899,0.40799287,0.34763691,-0.25416979,0.99999827,0.44363287,0.35718811,-0.16233566,0.99999785,0.40631837,0.35383904,-0.08724742,0.99999487,0.42711085,0.37178648,-0.24818519,0.99999487,0.41266337,0.37046531,-0.22619237,0.99999273,0.47627598,0.43313149,-0.18252428,0.99998420,0.37621069,0.43423197,0.04745653,0.99993509,0.51841271,0.44343865,-0.44700307,0.99367130,0.28691679,0.43414333,0.05433632,0.95454025,0.58287925,0.44606075,-0.80451953,0.99698800,0.20362504,0.41717970,-0.04535579,0.99428076,0.60452437,0.44714817,-0.87633127,0.99677527,0.17809802,0.41498145,-0.06284387,0.99333060,0.60176933,0.44719648,-0.90144950,0.99768281,0.17560257,0.41174519,-0.09585789,0.99399841,0.59558445,0.44871199,-0.82591867,0.99718249,0.18622695,0.41395074,-0.06555961,0.99380875,0.44952425,0.60207063,-0.08613386,0.99995917,0.40104905,0.60330927,0.08582295,0.99990517,0.43534613,0.72310531,-0.17698988,0.95694321,0.38985285,0.72544342,0.08487879,0.65607822,0.45794979,0.84671402,-0.06601137,0.98766863,0.42894915,0.84675539,0.19563624,0.86198306,0.46539259,0.85911673,-0.06210240,0.95384437,0.43919256,0.86377430,0.20217410,0.79280370,0.43929651,0.88931352,-0.17284653,0.99027377,0.39300278,0.88197297,0.07601203,0.86688221,125.13866368,112.14762340,-46.67896389,14147.07839541
4,0.13333333,0.41919407,0.35583577,-0.29060373,0.99999928,0.42816612,0.34514153,-0.27181506,0.99999744,0.43339571,0.34606940,-0.27214783,0.99999762,0.43718964,0.34749031,-0.27207410,0.99999726,0.41541666,0.34576601,-0.25401703,0.99999851,0.41202527,0.34647757,-0.25427362,0.99999899,0.40858397,0.34692684,-0.25432688,0.99999833,0.44461051,0.35669070,-0.16560481,0.99999785,0.40689385,0.35310853,-0.09154933,0.99999517,0.42739001,0.37140101,-0.24767537,0.99999487,0.41284660,0.37002444,-0.22725438,0.99999297,0.47547194,0.43215933,-0.18410634,0.99998212,0.37826556,0.43331596,0.03455507,0.99993753,0.51704383,0.44340205,-0.44198504,0.99306703,0.28626987,0.43294990,0.03223621,0.95424587,0.57783371,0.44502348,-0.78915131,0.99554646,0.20270285,0.41567481,-0.07443694,0.99348587,0.59990764,0.44543320,-0.85942519,0.99555719,0.17696629,0.41349190,-0.09466394,0.99200672,0.59886473,0.44525507,-0.88409477,0.99673575,0.17501973,0.41000569,-0.12745562,0.99281812,0.59079164,0.44708574,-0.81019920,0.99590522,0.18556640,0.41198421,-0.09492038,0.99285853,0.44862381,0.60099089,-0.08370143,0.99995965,0.40242952,0.60099167,0.08339049,0.99991232,0.43103597,0.72126585,-0.16407482,0.95962179,0.39446554,0.72347176,0.09572527,0.67434937,0.45866320,0.84424150,-0.06012726,0.98775774,0.42869836,0.84720266,0.19971842,0.87184060,0.46575683,0.85574079,-0.05802150,0.95444500,0.43929425,0.86332899,0.20435059,0.80894727,0.43948507,0.88896799,-0.18923657,0.99045533,0.39294657,0.88354158,0.08082378,0.87754041,129.17720218,118.15090268,484.11719805,6109.84359949
5,0.16666667,0.41399562,0.34950957,-0.26594692,0.99998885,0.42440370,0.33815300,-0.26584563,0.99998146,0.42903349,0.33845115,-0.26612192,0.99997771,0.43298125,0.33895472,-0.26605341,0.99998266,0.41400599,0.33793923,-0.23431998,0.99998546,0.41123870,0.33781931,-0.23458926,0.99998283,0.40853345,0.33738798,-0.23466933,0.99998653,0.44441861,0.34526858,-0.20418127,0.99998158,0.41141081,0.34105012,-0.07818881,0.99995959,0.42202049,0.36295637,-0.24517967,0.99996161,0.41067097,0.36070687,-0.20570612,0.99995089,0.46169820,0.42212638,-0.28002942,0.99995589,0.39669058,0.41786617,0.09234316,0.99988705,0.43467003,0.43382943,-0.53380144,0.98302054,0.29913554,0.42346388,0.13117383,0.87332302,0.44982158,0.42648122,-0.77324772,0.97485626,0.22703506,0.41311345,0.02380973,0.93770754,0.45079427,0.42670318,-0.85141802,0.97681522,0.20176442,0.41178542,0.00736993,0.94308555,0.44917418,0.42414555,-0.84621531,0.97926265,0.20009731,0.40951693,-0.03340170,0.94575572,0.44622484,0.42522812,-0.77772981,0.96452212,0.21001963,0.41129276,0.00037090,0.94330132,0.44835067,0.58858889,-0.11508278,0.99996036,0.41284248,0.58507800,0.11482219,0.99991846,0.42372552,0.71650845,-0.16964105,0.94346714,0.40608513,0.71535832,0.11287832,0.64766908,0.46226946,0.84119254,-0.05759291,0.98072457,0.42989638,0.84620345,0.21634206,0.86232948,0.47437406,0.85144830,-0.05485456,0.93441027,0.44078851,0.85818428,0.21925469,0.80395645,0.44382808,0.89145708,-0.18949556,0.98375183,0.39327037,0.88367146,0.11633725,0.87240171,101.87324800,144.42210327,360.64394274,-10470.67284675
6,0.20000000,0.40270093,0.32815822,-0.15163814,0.99995488,0.41596346,0.31760059,-0.17531678,0.99995226,0.41818940,0.31813274,-0.17560016,0.99995524,0.42010865,0.31870268,-0.17557389,0.99996638,0.40967593,0.31581921,-0.13007972,0.99994469,0.40999284,0.31522853,-0.13032021,0.99994367,0.40853405,0.31451758,-0.13039568,0.99994171,0.43314633,0.33065101,-0.21880975,0.99997938,0.42176899,0.31996901,-0.02339271,0.99991506,0.41223889,0.34743278,-0.16588862,0.99994832,0.40469897,0.33976533,-0.10838487,0.99991381,0.43335640,0.40283996,-0.33342153,0.99995840,0.42686265,0.40131301,0.16857234,0.99981534,0.38030770,0.43138969,-0.58127189,0.98469609,0.36505383,0.45785370,0.41507727,0.78626764,0.28298309,0.42031455,-0.74274391,0.97734684,0.32324094,0.45247310,0.57668483,0.84520352,0.26011163,0.42646003,-0.81168091,0.97909015,0.30916002,0.45658091,0.61531752,0.85131496,0.25701115,0.42219943,-0.78990096,0.98129469,0.30537689,0.41394949,0.58176494,0.85378766,0.26315483,0.42133933,-0.73633826,0.96793181,0.30886919,0.41487359,0.56683427,0.85168773,0.44452149,0.57298338,-0.14361732,0.99996322,0.44113533,0.57055587,0.14349985,0.99992341,0.41485667,0.69981349,-0.18784249,0.94857192,0.42466241,0.69918990,0.15748061,0.64106309,0.46578652,0.83442092,-0.11052832,0.98242807,0.42370287,0.82699251,0.28440133,0.86949021,0.47970676,0.84552258,-0.10842445,0.93991721,0.43461528,0.83581716,0.29241005,0.81609005,0.44571766,0.89141428,-0.23809704,0.98514944,0.38981459,0.87394458,0.20356512,0.88123453,171.06092807,142.19383220,-213.92765840,-6998.40980545
7,0.23333333,0.40378341,0.30985397,0.16307037,0.99986458,0.40991545,0.30035967,0.13054051,0.99988335,0.41020939,0.30095246,0.13032563,0.99989164,0.41016066,0.30154899,0.13031907,0.99992394,0.41066447,0.29856443,0.16510509,0.99984568,0.41414109,0.29807305,0.16480392,0.99982917,0.41717666,0.29765129,0.16472217,0.99983591,0.42125136,0.31529911,0.00389687,0.99996632,0.43123764,0.30589494,0.16427293,0.99979037,0.40562806,0.32902589,0.12573496,0.99985665,0.40500072,0.32244781,0.16925481,0.99973977,0.39923009,0.38936993,-0.18839319,0.99995965,0.46134471,0.38691470,0.27618164,0.99975049,0.30575520,0.42182291,-0.23853607,0.98585337,0.45588335,0.45235854,0.47343683,0.70921355,0.21798278,0.42372766,-0.12014715,0.97740591,0.42808202,0.49183276,0.65643382,0.76092678,0.19350088,0.43144131,-0.13721952,0.97699827,0.42308620,0.50137639,0.70481092,0.76654297,0.19163775,0.42861524,-0.10583027,0.97869158,0.41734886,0.42370112,0.68522614,0.76874077,0.20136887,0.42803654,-0.10156788,0.96060932,0.41635662,0.42275143,0.65194064,0.76692796,0.42929128,0.55209070,-0.13469265,0.99996519,0.46493652,0.55392136,0.13448808,0.99992579,0.41162843,0.68908310,-0.20551118,0.94974518,0.43544739,0.68393254,0.17371082,0.60810280,0.46049997,0.82481474,-0.14471675,0.98122835,0.42071870,0.81151420,0.26859868,0.85351592,0.47586772,0.83598351,-0.13951690,0.93756270,0.42848274,0.82325077,0.27647999,0.80573136,0.44559124,0.88782173,-0.21147051,0.97961557,0.39041576,0.85389090,0.24196492,0.85596335,171.89942858,130.16025938,-105.91671096,-67.87885854
8,0.26666667,0.41394338,0.30808154,0.35152847,0.99973089,0.41619450,0.29851213,0.32790768,0.99967092,0.41272998,0.29844815,0.32765320,0.99968940,0.41491881,0.29835495,0.32762665,0.99979985,0.42433166,0.29802030,0.32943445,0.99961996,0.42846499,0.29768586,0.32931203,0.99961615,0.43205076,0.29742873,0.32933253,0.99962085,0.41451177,0.30565593,0.21567820,0.99990064,0.44391189,0.30647346,0.22351706,0.99922770,0.41409832,0.31927288,0.31813350,0.99963158,0.41941984,0.31943175,0.31834126,0.99922651,0.38085577,0.37843716,0.07360969,0.99996299,0.48049763,0.37780041,0.16478100,0.99969375,0.30284077,0.41490778,-0.00558635,0.98694962,0.52081913,0.42259896,0.17449324,0.64757025,0.23136152,0.42831486,-0.03346369,0.97848254,0.46745551,0.45090640,0.04942939,0.68570501,0.21066239,0.43545929,-0.05818272,0.97663242,0.45864081,0.46167475,0.03573642,0.69087601,0.20825879,0.43314531,-0.04598578,0.97803187,0.45358685,0.43345275,0.02032380,0.69273931,0.21737091,0.43274969,-0.02742259,0.95805925,0.45571169,0.43062926,0.03749436,0.69103336,0.41446301,0.53843653,-0.02043208,0.99996626,0.46811882,0.53891200,0.02021811,0.99992079,0.41604772,0.68481398,-0.05711099,0.93826491,0.45578527,0.65716493,-0.00114847,0.58704305,0.45014803,0.82127666,-0.13419022,0.96232641,0.42332298,0.78072649,0.00042767,0.79307926,0.45635518,0.84030533,-0.14669977,0.92755622,0.42347232,0.79606926,-0.00185998,0.76389128,0.43880704,0.87820539,-0.23453282,0.93536812,0.42522836,0.81151634,-0.05943262,0.78386796,75.67284816,135.13271814,-218.45291564,-4238.88123199
9,0.30000000,0.43405963,0.30775034,0.37985551,0.99967957,0.43010705,0.29726186,0.36025408,0.99960840,0.42520834,0.29673466,0.35998636,0.99962682,0.42288685,0.29625639,0.35989302,0.99975306,0.44801050,0.29780388,0.34892657,0.99960172,0.44884395,0.29780158,0.34866786,0.99960375,0.44906394,0.29778200,0.34860185,0.99960840,0.41865408,0.30248407,0.25736201,0.99988353,0.45169058,0.30522642,0.20680700,0.99921709,0.42949774,0.31830734,0.34929270,0.99946666,0.44566262,0.31884331,0.33261693,0.99908811,0.36106586,0.37329227,0.16333449,0.99996287,0.48360986,0.37344006,0.11849456,0.99970520,0.29688182,0.42015630,0.26707205,0.97250760,0.55340695,0.41680881,0.15259488,0.66512436,0.32830122,0.42632064,0.49180850,0.89520288,0.52975416,0.43661988,0.32866937,0.62599820,0.33636376,0.43593457,0.52941990,0.89101297,0.53281158,0.43791288,0.35270596,0.62907934,0.34542584,0.43293482,0.51955181,0.89190292,0.52158487,0.43788531,0.35183325,0.63037407,0.34711623,0.43170288,0.49450389,0.87307423,0.51875895,0.43421009,0.33083981,0.62830418,0.40142238,0.53401875,0.01622294,0.99996835,0.45854920,0.52907854,-0.01649231,0.99992645,0.41618031,0.68721771,0.02531363,0.94274926,0.50600278,0.62704754,-0.05808479,0.62608373,0.43718077,0.82390893,-0.10928380,0.96492088,0.43666816,0.74353760,-0.12683703,0.81068987,0.43605763,0.84093934,-0.12148006,0.93372047,0.42520636,0.75294638,-0.13246499,0.78341663,0.43213493,0.87099892,-0.16303594,0.93508255,0.43019488,0.79765815,-0.14475326,0.79194307,109.13245174,115.59673167,-388.50879309,2228.25239701
