Frame,Time_s,Theta_continuous_deg,Angular_Displacement_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,Rotational_KE_J
0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7407,30.7121,0.0000,30.7121,0.0000
1.0000,0.0333,-1.8332,-1.8332,2.5727,0.0449,14.0320,28.4302,-0.9099,28.4447,0.0036
2.0000,0.0667,-1.6465,-1.6465,47.4908,0.8289,23.8468,26.3576,-0.7576,26.3684,1.2264
3.0000,0.1000,0.5602,0.5602,98.7710,1.7239,30.1852,24.4820,0.2394,24.4832,5.3049
4.0000,0.1333,4.7867,4.7867,161.3567,2.8162,33.6069,22.7095,1.9017,22.7890,14.1578
5.0000,0.1667,11.0332,11.0332,224.9713,3.9265,32.4915,20.8924,4.0737,21.2859,27.5217
6.0000,0.2000,19.5043,19.5043,285.7991,4.9881,27.1591,18.8276,6.6688,19.9738,44.4164
7.0000,0.2333,30.1840,30.1840,332.8132,5.8087,16.6897,16.2966,9.4787,18.8527,60.2314
8.0000,0.2667,42.2951,42.2951,353.1209,6.1631,2.8333,11.9914,10.9094,16.2114,67.8060
9.0000,0.3000,54.8231,54.8231,342.9323,5.9853,-11.4664,8.5865,12.1826,14.9045,63.9497
10.0000,0.3333,66.7534,66.7534,307.2037,5.3617,-22.4635,5.8901,13.7118,14.9233,51.3186
11.0000,0.3667,77.0713,77.0713,254.6544,4.4446,-27.8547,3.6035,15.6977,16.1060,35.2634
12.0000,0.4000,84.7622,84.7622,198.1037,3.4576,-27.2985,1.6547,18.0497,18.1254,21.3406
13.0000,0.4333,88.8114,88.8114,148.8424,2.5978,-21.8423,0.4281,20.6353,20.6397,12.0469
14.0000,0.4667,91.6373,91.6373,114.1612,1.9925,-13.6431,-0.6757,23.6404,23.6500,7.0869
15.0000,0.5000,94.4347,94.4347,96.9832,1.6927,-5.3622,-2.1056,27.1498,27.2313,5.1146
16.0000,0.5333,98.2645,98.2645,95.2674,1.6627,0.7601,-4.5935,31.6243,31.9561,4.9353
17.0000,0.5667,102.0943,102.0943,102.4868,1.7887,3.5928,-7.4302,34.6756,35.4628,5.7116
18.0000,0.6000,105.9242,105.9242,111.0735,1.9386,3.5277,-10.3797,36.3799,37.8317,6.7088
19.0000,0.6333,109.7540,109.7540,115.9618,2.0239,2.0225,-13.1384,36.5855,38.8731,7.3123
20.0000,0.6667,113.5839,113.5839,116.9529,2.0412,0.5027,-15.4465,35.3828,38.6075,7.4378
21.0000,0.7000,117.4137,117.4137,116.4598,2.0326,-0.4101,-17.1372,33.0417,37.2215,7.3752
22.0000,0.7333,121.2436,121.2436,115.5829,2.0173,-0.8918,-18.3889,30.3116,35.4534,7.2646
23.0000,0.7667,125.0734,125.0734,113.9900,1.9895,-1.2199,-19.6392,27.9713,34.1774,7.0657
24.0000,0.8000,128.9033,128.9033,111.3950,1.9442,-1.1873,-20.1818,25.0086,32.1362,6.7477
25.0000,0.8333,132.7331,132.7331,108.7894,1.8987,-0.3644,-20.1479,21.8087,29.6910,6.4357
26.0000,0.8667,136.5630,136.5630,108.9105,1.9008,1.3711,-19.4700,18.4357,26.8134,6.4500
27.0000,0.9000,140.3928,140.3928,113.7678,1.9856,3.7422,-18.2580,15.1082,23.6983,7.0382
