Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,0.7492,352.7136,6.1560,3.6342,16.7412,0.2189,16.7426,0.6500,12.3164
1,0.0331,5.5394,359.5972,6.2762,3.6342,16.1559,1.5668,16.2317,0.6500,12.8018
2,0.0661,10.7258,366.4807,6.3963,3.6342,15.3595,2.9094,15.6326,0.6500,13.2966
3,0.0992,16.3085,373.3643,6.5164,3.6342,14.3439,4.1968,14.9452,0.6500,13.8008
4,0.1322,22.2875,380.2478,6.6366,3.6342,13.1111,5.3739,14.1697,0.6500,14.3143
5,0.1653,28.6627,387.1313,6.7567,3.6342,11.6755,6.3823,13.3060,0.6500,14.8373
6,0.1983,35.2541,394.0149,6.8769,3.6342,9.3889,6.6364,11.4975,0.6500,15.3696
7,0.2314,40.9294,400.8984,6.9970,3.6342,7.6630,6.6448,10.1428,0.6500,15.9113
8,0.2645,42.4688,407.7819,7.1171,3.6342,7.0263,6.4313,9.5253,0.6500,16.4624
9,0.2975,52.1689,414.6655,7.2373,3.6342,6.0350,7.7715,9.8396,0.6500,17.0229
10,0.3306,71.9427,421.5490,7.3574,3.6342,3.4024,10.4358,10.9764,0.6500,17.5928
11,0.3636,99.2089,428.4326,7.4776,3.6342,-2.0962,12.9295,13.0984,0.6500,18.1720
12,0.3967,130.4720,435.3161,7.5977,3.6342,-10.0127,11.7350,15.4261,0.6500,18.7606
13,0.4298,162.9326,448.7868,7.8328,1.8027,-16.0127,4.9162,16.7504,0.6500,19.9397
14,0.4628,193.6108,461.8670,8.0611,0.3183,-16.1841,-3.9186,16.6518,0.6500,21.1189
15,0.4959,219.3076,473.0699,8.2566,-1.0556,-11.7367,-9.6090,15.1685,0.6500,22.1559
16,0.5289,236.9679,480.7397,8.3905,-2.5371,-6.9258,-10.6518,12.7054,0.6500,22.8801
17,0.5620,244.0147,483.2303,8.4340,-4.2875,-4.3717,-8.9691,9.9778,0.6500,23.1178
18,0.5950,241.6597,479.6366,8.3712,-6.2715,-3.5424,-6.5678,7.4622,0.6500,22.7752
19,0.6281,242.3859,470.5037,8.2118,-8.1218,-2.6020,-4.9742,5.6137,0.6500,21.9161
20,0.6612,244.9605,455.5200,7.9503,-9.5147,-2.0337,-4.3535,4.8051,0.6500,20.5425
21,0.6942,253.4382,433.0871,7.5588,-9.9457,-1.5693,-5.2771,5.5055,0.6500,18.5690
22,0.7273,269.0177,408.2189,7.1248,-9.1032,-0.1264,-7.3707,7.3718,0.6500,16.4977
23,0.7603,289.7442,386.6436,6.7482,-7.0325,3.2473,-9.0475,9.6126,0.6500,14.7999
24,0.7934,312.9726,372.5400,6.5020,-4.0444,7.9523,-8.5360,11.6663,0.6500,13.7399
25,0.8264,336.4080,368.1325,6.4251,-0.5984,12.4358,-5.4310,13.5700,0.6500,13.4167
26,0.8595,357.7919,374.0699,6.5288,2.7826,15.4739,-0.5966,15.4854,0.6500,13.8530
27,0.8926,374.8045,389.2283,6.7933,5.5782,16.1721,4.2742,16.7274,0.6500,14.9985
28,0.9256,386.4433,410.5977,7.1663,7.3660,14.8039,7.3627,16.5337,0.6500,16.6906
29,0.9587,392.2624,433.4217,7.5646,7.9263,12.8519,8.1128,15.1984,0.6500,18.5977
30,0.9917,394.3981,451.6310,7.8824,7.3543,10.6124,7.2659,12.8614,0.6500,20.1932
31,1.0248,397.8977,460.5703,8.0385,6.1771,8.2605,6.4301,10.4682,0.6500,21.0005
32,1.0579,401.0166,462.0130,8.0636,4.8254,6.4941,5.6485,8.6069,0.6500,21.1323
33,1.0909,402.6784,456.4237,7.9661,3.5423,5.4686,5.0425,7.4386,0.6500,20.6241
34,1.1240,413.4662,445.9617,7.7835,2.3465,4.4685,6.0314,7.5063,0.6500,19.6894
35,1.1570,433.9456,434.7944,7.5886,1.3613,2.4266,8.4325,8.7747,0.6500,18.7157
36,1.1901,461.3320,426.1410,7.4376,0.5621,-2.2072,11.0140,11.2329,0.6500,17.9781
37,1.2231,492.3653,422.0236,7.3657,-0.1323,-9.5545,10.4762,14.1788,0.6500,17.6324
38,1.2562,524.4047,423.2915,7.3878,-0.8324,-15.8020,4.4106,16.4060,0.6500,17.7385
39,1.2893,554.3159,429.4380,7.4951,-1.6546,-16.5007,-4.2109,17.0295,0.6500,18.2574
40,1.3223,578.7797,438.4983,7.6532,-2.6643,-12.4992,-10.0423,16.0336,0.6500,19.0359
41,1.3554,594.8129,447.7671,7.8150,-3.8314,-8.0922,-11.4769,14.0429,0.6500,19.8492
42,1.3884,600.4729,453.9524,7.9230,-5.0361,-5.7396,-10.1336,11.6461,0.6500,20.4013
43,1.4215,599.5304,454.4029,7.9308,-6.1362,-4.8071,-8.1708,9.4800,0.6500,20.4419
44,1.4545,601.7193,449.0229,7.8369,-7.0103,-3.8352,-7.1286,8.0948,0.6500,19.9607
45,1.4876,603.6907,438.2696,7.6492,-7.2145,-3.3046,-6.6837,7.4561,0.6500,19.0161
46,1.5207,606.9509,421.0631,7.3489,-6.4768,-2.9847,-7.0147,7.6233,0.6500,17.5522
47,1.5537,617.0060,398.9715,6.9634,-5.3159,-2.0004,-8.6690,8.8969,0.6500,15.7588
48,1.5868,632.5544,377.6596,6.5914,-3.6693,0.4666,-10.4584,10.4688,0.6500,14.1201
