Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,17.4193,406.8063,7.1001,1.6907,43.5796,13.6732,45.6743,0.6500,16.3838
1,0.0331,39.7956,410.0087,7.1560,1.6907,35.9198,29.9226,46.7503,0.6500,16.6427
2,0.0661,59.3431,413.2111,7.2119,1.6907,24.1439,40.7327,47.3506,0.6500,16.9037
3,0.0992,76.0616,416.4135,7.2678,1.6907,11.4358,46.0774,47.4752,0.6500,17.1667
4,0.1322,89.9513,419.6159,7.3237,1.6907,0.0401,47.1241,47.1241,0.6500,17.4318
5,0.1653,101.0120,422.8183,7.3796,1.6907,-8.8435,45.4449,46.2973,0.6500,17.6989
6,0.1983,103.6291,426.0207,7.4355,1.6907,-10.6188,43.7955,45.0645,0.6500,17.9680
7,0.2314,106.4052,429.2231,7.4914,1.6907,-12.1749,41.3530,43.1080,0.6500,18.2391
8,0.2645,108.7846,432.4255,7.5472,1.6907,-13.1135,38.5546,40.7237,0.6500,18.5123
9,0.2975,113.0295,435.6279,7.6031,1.6907,-14.7850,34.7815,37.7935,0.6500,18.7875
10,0.3306,122.4531,438.8303,7.6590,1.6907,-18.6708,29.3603,34.7940,0.6500,19.0648
11,0.3636,140.5288,442.0327,7.7149,1.6907,-24.6345,20.2864,31.9123,0.6500,19.3440
12,0.3967,166.2685,445.2351,7.7708,1.6907,-28.5202,6.9691,29.3593,0.6500,19.6253
13,0.4298,196.8955,439.0995,7.6637,0.2344,-26.3678,-8.0089,27.5573,0.6500,19.0882
14,0.4628,229.3066,436.6401,7.6208,-1.3091,-17.4235,-20.2614,26.7227,0.6500,18.8749
15,0.4959,259.7844,437.8904,7.6426,-2.7828,-4.8063,-26.6707,27.1003,0.6500,18.9832
16,0.5289,284.7255,442.4133,7.7216,-4.0941,7.3422,-27.9362,28.8849,0.6500,19.3774
17,0.5620,301.6134,449.2301,7.8405,-5.2119,16.7151,-27.1557,31.8877,0.6500,19.9791
18,0.5950,310.4854,456.5202,7.9678,-6.2052,23.0505,-27.0025,35.5030,0.6500,20.6328
19,0.6281,315.3463,460.2107,8.0322,-6.7684,27.7770,-27.4433,39.0474,0.6500,20.9677
20,0.6612,319.4947,458.3649,8.0000,-7.0579,32.1371,-27.4527,42.2663,0.6500,20.7999
21,0.6942,325.5240,449.7660,7.8499,-6.9515,36.7677,-25.2471,44.6013,0.6500,20.0268
22,0.7273,330.8947,434.7309,7.5875,-6.2717,40.1392,-22.3460,45.9402,0.6500,18.7102
23,0.7603,336.7067,414.0244,7.2261,-5.2092,42.9142,-18.4759,46.7224,0.6500,16.9703
24,0.7934,345.7029,390.7111,6.8192,-4.0320,45.6320,-11.6290,47.0905,0.6500,15.1130
25,0.8264,359.2525,370.6842,6.4697,-2.5242,47.4402,-0.6190,47.4443,0.6500,13.6034
26,0.8595,376.6633,358.4812,6.2567,-0.6593,46.1916,13.8259,48.2164,0.6500,12.7225
27,0.8926,396.8446,356.7478,6.2264,1.4128,39.3438,29.4807,49.1635,0.6500,12.5997
28,0.9256,418.5780,365.8181,6.3847,3.4596,25.9922,42.5455,49.8569,0.6500,13.2486
29,0.9587,440.2888,383.8639,6.6997,5.2980,8.4228,49.2174,49.9329,0.6500,14.5879
30,0.9917,459.1964,407.1864,7.1067,6.8226,-7.8998,48.7940,49.4294,0.6500,16.4144
31,1.0248,473.3186,431.1031,7.5242,7.9413,-19.0637,44.2259,48.1597,0.6500,18.3993
32,1.0579,481.2918,451.2171,7.8752,8.3463,-24.0686,39.5987,46.3396,0.6500,20.1562
33,1.0909,485.7699,465.0463,8.1166,7.8719,-25.8606,35.8963,44.2416,0.6500,21.4107
34,1.1240,489.5369,474.0189,8.2732,6.8751,-26.5073,32.1138,41.6405,0.6500,22.2448
35,1.1570,490.3929,480.6303,8.3886,6.1811,-24.9599,29.3352,38.5169,0.6500,22.8697
36,1.1901,492.1369,486.0242,8.4827,6.1357,-23.7703,26.2731,35.4303,0.6500,23.3859
37,1.2231,505.3226,491.2142,8.5733,6.6692,-26.6123,18.4117,32.3606,0.6500,23.8880
38,1.2562,528.4171,496.9181,8.6729,7.4177,-28.9514,5.9339,29.5533,0.6500,24.4460
39,1.2893,558.4262,503.4045,8.7861,7.9520,-25.8116,-8.5995,27.2065,0.6500,25.0884
40,1.3223,591.5264,510.3074,8.9065,7.8123,-16.1895,-20.3722,26.0217,0.6500,25.7811
41,1.3554,624.2957,516.7613,9.0192,6.5810,-2.6297,-26.3262,26.4572,0.6500,26.4374
42,1.3884,653.1950,521.6638,9.1048,4.0058,11.3124,-26.4001,28.7216,0.6500,26.9414
43,1.4215,675.0104,524.7067,9.1579,0.3780,22.8973,-22.8890,32.3758,0.6500,27.2566
44,1.4545,686.5026,525.1873,9.1662,-3.8003,30.4909,-20.1795,36.5638,0.6500,27.3065
45,1.4876,690.4311,521.3221,9.0988,-7.9949,35.4826,-20.1315,40.7957,0.6500,26.9061
46,1.5207,697.4178,512.0451,8.9369,-11.7517,40.9561,-17.0334,44.3569,0.6500,25.9570
47,1.5537,714.1345,496.7966,8.6707,-14.8039,46.5455,-4.7817,46.7905,0.6500,24.4340
48,1.5868,735.4148,474.2197,8.2767,-16.7316,46.0107,12.6862,47.7277,0.6500,22.2637
49,1.6198,758.1642,442.9743,7.7314,-17.5236,37.5472,29.5088,47.7553,0.6500,19.4265
50,1.6529,779.6978,408.2777,7.1258,-17.2088,23.8659,40.8379,47.3002,0.6500,16.5025
51,1.6860,798.6757,376.5864,6.5727,-15.6705,9.2185,46.0322,46.9462,0.6500,14.0400
52,1.7190,813.4714,352.7342,6.1564,-13.0454,-2.8438,46.8793,46.9655,0.6500,12.3178
53,1.7521,823.0380,339.4453,5.9244,-9.6253,-10.6801,46.1210,47.3415,0.6500,11.4072
54,1.7851,827.6673,337.4152,5.8890,-5.7835,-14.5245,45.6011,47.8583,0.6500,11.2711
55,1.8182,832.8057,345.3379,6.0273,-1.8492,-18.8310,44.7846,48.5825,0.6500,11.8066
56,1.8512,839.4644,359.7992,6.2797,1.9332,-24.0992,42.6570,48.9938,0.6500,12.8162
57,1.8843,845.7753,375.1838,6.5482,5.4947,-28.6740,39.7937,49.0483,0.6500,13.9356
58,1.9174,851.9167,385.1984,6.7230,8.5751,-32.3830,36.0703,48.4740,0.6500,14.6895
59,1.9504,856.9628,389.0140,6.7896,10.9070,-34.7306,32.4289,47.5168,0.6500,14.9820
60,1.9835,860.4088,392.4145,6.8489,12.6533,-35.1165,29.0418,45.5696,0.6500,15.2450
61,2.0165,858.3102,399.8171,6.9781,14.0787,-31.8995,28.4112,42.7174,0.6500,15.8256
62,2.0496,862.1804,413.0630,7.2093,15.1464,-31.1394,24.1713,39.4198,0.6500,16.8916
63,2.0826,877.6627,432.2346,7.5439,15.7449,-33.3307,13.6953,36.0347,0.6500,18.4960
64,2.1157,902.3300,456.2592,7.9632,15.7205,-32.7825,-1.3339,32.8096,0.6500,20.6092
65,2.1488,932.9601,482.8145,8.4267,14.9493,-25.4241,-16.4855,30.3011,0.6500,23.0780
66,2.1818,966.2339,508.5584,8.8760,13.3663,-11.6792,-26.5229,28.9805,0.6500,25.6047
67,2.2149,999.0647,529.6709,9.2445,10.9444,4.6101,-28.8959,29.2613,0.6500,27.7748
68,2.2479,1027.6704,544.0832,9.4960,7.4795,19.0533,-24.6784,31.1778,0.6500,29.3068
69,2.2810,1047.9150,552.7739,9.6477,3.2978,28.9614,-18.1568,34.1823,0.6500,30.2505
70,2.3140,1054.5461,556.0057,9.7041,-1.2233,33.8817,-16.1273,37.5241,0.6500,30.6053
71,2.3471,1055.1191,553.9628,9.6685,-5.7505,37.0385,-17.1777,40.8280,0.6500,30.3808
72,2.3802,1065.3318,546.2080,9.5331,-9.9573,42.2958,-11.0710,43.7207,0.6500,29.5362
73,2.4132,1085.8768,531.8436,9.2824,-13.5164,45.8163,4.7159,46.0584,0.6500,28.0031
74,2.4463,1111.3634,507.4878,8.8573,-16.0318,40.5648,24.7253,47.5062,0.6500,25.4970
75,2.4793,1138.6902,476.5304,8.3170,-17.0940,25.0716,41.2196,48.2456,0.6500,22.4812
76,2.5124,1165.4267,445.6559,7.7782,-16.5487,3.8700,48.3810,48.5355,0.6500,19.6624
77,2.5455,1189.0236,420.2172,7.3342,-14.5319,-15.8849,46.0717,48.7332,0.6500,17.4818
78,2.5785,1207.0498,403.6399,7.0448,-11.4151,-29.3777,38.9152,48.7591,0.6500,16.1297
79,2.6116,1217.4496,397.4286,6.9364,-7.6935,-35.6810,32.7534,48.4347,0.6500,15.6371
80,2.6446,1220.3697,401.1977,7.0022,-3.9124,-36.6741,30.3722,47.6178,0.6500,15.9351
81,2.6777,1224.9623,412.4743,7.1990,-0.5214,-38.0510,26.6809,46.4732,0.6500,16.8435
82,2.7107,1230.7008,426.2536,7.4395,2.1924,-39.3368,22.0740,45.1071,0.6500,17.9876
83,2.7438,1237.2344,434.7451,7.5877,4.3256,-40.3727,16.9426,43.7836,0.6500,18.7114
84,2.7769,1243.4222,434.4599,7.5828,6.2434,-40.5944,12.0846,42.3550,0.6500,18.6869
85,2.8099,1248.2229,431.3023,7.5276,8.3082,-40.1253,8.3659,40.9882,0.6500,18.4163
86,2.8430,1247.0322,430.8839,7.5203,10.4400,-38.5123,8.8685,39.5202,0.6500,18.3806
87,2.8760,1251.5912,435.9272,7.6084,12.3939,-37.4585,5.5372,37.8655,0.6500,18.8133
88,2.9091,1267.5662,447.4410,7.8093,13.8472,-35.7500,-4.7486,36.0640,0.6500,19.8203
89,2.9421,1292.8027,464.8304,8.1128,14.4226,-28.5976,-18.4318,34.0228,0.6500,21.3908
90,2.9752,1323.8941,486.2791,8.4872,13.8574,-14.0995,-28.7732,32.0420,0.6500,23.4104
91,3.0083,1357.5490,508.8741,8.8815,12.0786,4.0484,-30.5484,30.8155,0.6500,25.6365
92,3.0413,1390.3342,528.3836,9.2220,9.1735,20.0158,-23.5732,30.9245,0.6500,27.6399
93,3.0744,1418.8371,540.9620,9.4416,5.5050,30.4179,-11.7757,32.6177,0.6500,28.9715
94,3.1074,1438.4650,547.6986,9.5591,1.4291,35.5076,-0.9515,35.5204,0.6500,29.6976
95,3.1405,1444.8906,549.4615,9.5899,-2.7267,39.0800,3.3439,39.2228,0.6500,29.8891
96,3.1736,1445.3668,546.2194,9.5333,-6.8056,42.8330,4.0239,43.0216,0.6500,29.5374
97,3.2066,1456.5366,537.5932,9.3828,-10.5787,44.4814,13.2069,46.4006,0.6500,28.6118
98,3.2397,1476.6901,522.6358,9.1217,-13.7780,39.2369,29.2357,48.9312,0.6500,27.0419
99,3.2727,1501.2070,497.8869,8.6898,-15.9890,24.2531,44.1291,50.3547,0.6500,24.5414
100,3.3058,1527.2625,467.4791,8.1590,-16.6454,2.4291,50.8028,50.8608,0.6500,21.6353
101,3.3388,1551.7211,437.7891,7.6409,-15.6675,-18.8166,47.2336,50.8437,0.6500,18.9744
102,3.3719,1572.8866,413.8194,7.2225,-13.2961,-34.6729,37.3299,50.9483,0.6500,16.9535
103,3.4050,1589.4518,398.8352,6.9610,-9.9352,-44.0350,25.9886,51.1321,0.6500,15.7480
104,3.4380,1599.0021,391.7815,6.8379,-6.5796,-47.6491,18.2887,51.0383,0.6500,15.1959
105,3.4711,1602.8128,393.0909,6.8607,-3.4847,-48.5038,15.0025,50.7710,0.6500,15.2976
106,3.5041,1608.7867,402.1033,7.0180,-0.6894,-49.3658,9.7866,50.3266,0.6500,16.0071
107,3.5372,1616.7429,416.6293,7.2716,2.1235,-49.3815,2.8102,49.4614,0.6500,17.1845
108,3.5702,1623.9112,432.9243,7.5560,5.6897,-47.8763,-3.2733,47.9881,0.6500,18.5550
109,3.6033,1630.1488,443.7010,7.7440,5.6897,-45.1825,-8.0879,45.9007,0.6500,19.4903
110,3.6364,1634.5014,454.4777,7.9321,5.6897,-41.6795,-10.7801,43.0511,0.6500,20.4486
111,3.6694,1632.9151,465.2544,8.1202,5.6897,-38.6493,-8.8626,39.6525,0.6500,21.4298
112,3.7025,1639.8670,476.0310,8.3083,5.6897,-34.0498,-12.3037,36.2046,0.6500,22.4341
