Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,-15.5143,931.8654,16.2641,-1.4744,32.5489,-9.0354,33.7797,0.6500,85.9695
1,0.0331,1.3516,929.0728,16.2154,-1.4744,30.2318,0.7133,30.2402,0.6500,85.4550
2,0.0661,21.5814,926.2803,16.1666,-1.4744,25.6011,10.1266,27.5311,0.6500,84.9421
3,0.0992,45.1752,923.4877,16.1179,-1.4744,18.0834,18.1943,25.6523,0.6500,84.4307
4,0.1322,72.1328,920.6952,16.0692,-1.4744,7.5488,23.4173,24.6039,0.6500,83.9208
5,0.1653,102.4542,917.9027,16.0204,-1.4744,-5.2590,23.8120,24.3858,0.6500,83.4125
6,0.1983,146.3815,915.1101,15.9717,-1.4744,-21.3662,14.2056,25.6576,0.6500,82.9058
7,0.2314,187.9408,912.3176,15.9229,-1.4744,-27.7484,-3.8706,28.0170,0.6500,82.4006
8,0.2645,220.5290,909.5251,15.8742,-1.4744,-23.2238,-19.8553,30.5545,0.6500,81.8969
9,0.2975,252.4658,906.7325,15.8255,-1.4744,-9.5394,-30.1922,31.6634,0.6500,81.3948
10,0.3306,282.2484,903.9400,15.7767,-1.4744,6.5990,-30.3972,31.1052,0.6500,80.8942
11,0.3636,304.1338,901.1474,15.7280,-1.4744,15.8651,-23.4029,28.2737,0.6500,80.3951
12,0.3967,330.7056,898.3549,15.6793,-1.4744,21.9900,-12.3374,25.2145,0.6500,79.8976
13,0.4298,366.0060,900.7089,15.7203,-2.7366,24.0134,2.5265,24.1460,0.6500,80.3169
14,0.4628,400.7712,897.1304,15.6579,-3.7291,18.7131,16.1363,24.7095,0.6500,79.6800
15,0.4959,427.6488,891.0279,15.5514,-3.8955,9.9682,24.2433,26.2126,0.6500,78.5997
16,0.5289,444.2982,882.1106,15.3957,-3.5481,2.7157,27.1997,27.3349,0.6500,77.0343
17,0.5620,464.8914,873.2536,15.2412,-2.4028,-7.1392,26.8472,27.7802,0.6500,75.4951
18,0.5950,486.9528,866.4282,15.1220,-0.4812,-16.3960,21.7956,27.2741,0.6500,74.3196
19,0.6281,519.5373,865.4293,15.1046,1.1372,-23.5609,8.7916,25.1478,0.6500,74.1483
20,0.6612,557.3907,869.0307,15.1674,2.1777,-20.9185,-6.5517,21.9205,0.6500,74.7667
21,0.6942,594.9397,874.0762,15.2555,2.8997,-10.1982,-14.5319,17.7533,0.6500,75.6374
22,0.7273,629.1079,880.7487,15.3720,3.3407,-0.2358,-15.1438,15.1456,0.6500,76.7966
23,0.7603,657.9493,887.2250,15.4850,3.3398,6.3685,-12.0031,13.5880,0.6500,77.9302
24,0.7934,685.4773,889.1220,15.5181,3.0565,11.0695,-7.6143,13.4354,0.6500,78.2638
25,0.8264,707.4504,885.2548,15.4506,1.8843,13.3951,-2.9818,13.7230,0.6500,77.5844
26,0.8595,728.1802,876.5307,15.2983,-0.9059,13.5647,1.9499,13.7041,0.6500,76.0628
27,0.8926,757.7945,864.7517,15.0928,-4.8068,10.2273,7.9315,12.9424,0.6500,74.0322
28,0.9256,783.5052,847.6151,14.7937,-9.2347,5.7651,11.5656,12.9228,0.6500,71.1272
29,0.9587,816.0447,822.0107,14.3468,-13.3147,-1.4877,14.0494,14.1279,0.6500,66.8949
30,0.9917,852.4647,792.2240,13.8269,-16.3457,-11.0161,12.0368,16.3168,0.6500,62.1347
31,1.0248,888.2439,761.3646,13.2883,-17.7256,-18.8633,3.9257,19.2675,0.6500,57.3883
32,1.0579,921.5182,734.4711,12.8189,-17.7587,-21.3193,-8.4057,22.9165,0.6500,53.4057
33,1.0909,952.5175,714.2186,12.4655,-16.8124,-15.9167,-20.7562,26.1565,0.6500,50.5011
34,1.1240,984.7451,700.4160,12.2246,-15.2421,-2.5306,-27.5152,27.6314,0.6500,48.5680
35,1.1570,1012.8013,689.2874,12.0303,-13.7011,10.7050,-25.4646,27.6232,0.6500,47.0369
36,1.1901,1033.5715,680.8737,11.8835,-11.6880,17.7084,-18.6142,25.6919,0.6500,45.8956
37,1.2231,1044.9290,675.6131,11.7917,-9.0890,17.8308,-12.5182,21.7863,0.6500,45.1892
38,1.2562,1048.8117,671.2430,11.7154,-5.7733,15.4000,-9.3223,18.0018,0.6500,44.6064
39,1.2893,1057.1090,667.0195,11.6417,-1.7326,13.0621,-5.5152,14.1788,0.6500,44.0469
40,1.3223,1063.4999,666.9921,11.6412,2.7169,11.4114,-3.3802,11.9015,0.6500,44.0433
