Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,46.3599,584.6975,10.2049,4.3728,20.5922,21.5936,29.8383,0.6500,33.8455
1,0.0331,48.6703,592.9799,10.3495,4.3728,20.0024,22.7445,30.2888,0.6500,34.8111
2,0.0661,54.8299,601.2624,10.4940,4.3728,17.2459,24.4747,29.9405,0.6500,35.7904
3,0.0992,64.8388,609.5449,10.6386,4.3728,12.2420,26.0614,28.7934,0.6500,36.7832
4,0.1322,78.6969,617.8274,10.7831,4.3728,5.2621,26.3268,26.8476,0.6500,37.7896
5,0.1653,96.4043,626.1099,10.9277,4.3728,-2.6885,23.9525,24.1029,0.6500,38.8096
6,0.1983,109.0542,634.3923,11.0722,4.3728,-6.3673,18.4352,19.5039,0.6500,39.8432
7,0.2314,135.2002,642.6748,11.2168,4.3728,-10.1574,10.0867,14.3148,0.6500,40.8903
8,0.2645,167.4926,650.9573,11.3613,4.3728,-8.8613,1.9657,9.0767,0.6500,41.9511
9,0.2975,201.7110,659.2398,11.5059,4.3728,-4.5852,-1.8257,4.9353,0.6500,43.0254
10,0.3306,233.3131,667.5223,11.6505,4.3728,-1.7565,-2.3576,2.9400,0.6500,44.1133
11,0.3636,255.4967,675.8047,11.7950,4.3728,-0.8332,-3.2209,3.3269,0.6500,45.2148
12,0.3967,274.9392,684.0872,11.9396,4.3728,0.5223,-6.0437,6.0662,0.6500,46.3299
13,0.4298,293.4329,702.8586,12.2672,2.3672,3.9512,-9.1163,9.9358,0.6500,48.9073
14,0.4628,309.0948,717.3391,12.5199,1.0487,8.8160,-10.8501,13.9802,0.6500,50.9433
15,0.4959,336.2379,725.7104,12.6660,-0.0865,15.9996,-7.0440,17.4816,0.6500,52.1392
16,0.5289,368.3396,726.2330,12.6752,-1.4979,20.1557,2.9546,20.3711,0.6500,52.2144
17,0.5620,400.4257,719.2802,12.5538,-3.2114,16.7562,14.2736,22.0115,0.6500,51.2194
18,0.5950,428.2394,709.2395,12.3786,-4.5214,8.1442,20.4027,21.9681,0.6500,49.7994
19,0.6281,444.0348,697.3268,12.1706,-4.3849,2.0930,20.0306,20.1396,0.6500,48.1405
20,0.6612,455.9605,688.4303,12.0154,-3.4120,-1.7929,17.1719,17.2653,0.6500,46.9200
21,0.6942,468.8056,684.4158,11.9453,-2.1567,-4.4431,13.0472,13.7830,0.6500,46.3744
22,0.7273,491.4365,684.8275,11.9525,-1.2087,-6.6167,7.4955,9.9982,0.6500,46.4302
23,0.7603,521.8014,685.9389,11.9719,-1.2194,-6.2163,2.0436,6.5436,0.6500,46.5810
24,0.7934,554.9725,685.5236,11.9646,-1.5253,-4.0940,-1.0949,4.2378,0.6500,46.5246
25,0.8264,586.9845,683.4306,11.9281,-1.7487,-2.6949,-2.8883,3.9503,0.6500,46.2410
26,0.8595,614.1667,680.3905,11.8751,-1.5376,-1.5604,-5.5023,5.7193,0.6500,45.8305
27,0.8926,632.7398,677.2816,11.8208,-0.2824,0.4322,-9.0324,9.0427,0.6500,45.4126
28,0.9256,641.9480,678.0084,11.8335,1.3812,2.6742,-12.6374,12.9173,0.6500,45.5101
29,0.9587,648.2560,683.5906,11.9309,2.8486,5.2092,-15.7918,16.6288,0.6500,46.2626
