Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,15.7974,807.0394,14.0855,1.5853,8.9101,2.5209,9.2598,0.6500,64.4804
1,0.0331,29.3541,810.0421,14.1379,1.5853,8.6381,4.8582,9.9105,0.6500,64.9611
2,0.0661,46.5781,813.0447,14.1903,1.5853,7.9210,8.3698,11.5237,0.6500,65.4436
3,0.0992,67.4696,816.0474,14.2427,1.5853,5.4026,13.0234,14.0995,0.6500,65.9278
4,0.1322,92.0284,819.0501,14.2951,1.5853,-0.6243,17.6267,17.6378,0.6500,66.4139
5,0.1653,120.2546,822.0528,14.3475,1.5853,-11.1544,19.1232,22.1386,0.6500,66.9018
6,0.1983,150.3714,825.0555,14.3999,1.5853,-26.3508,14.9867,30.3144,0.6500,67.3914
7,0.2314,188.1360,828.0582,14.4523,1.5853,-38.4946,-5.5033,38.8859,0.6500,67.8828
8,0.2645,229.9020,831.0608,14.5047,1.5853,-29.3574,-34.8655,45.5792,0.6500,68.3760
9,0.2975,272.0141,834.0635,14.5572,1.5853,1.7445,-49.6064,49.6371,0.6500,68.8710
10,0.3306,309.1722,837.0662,14.6096,1.5853,31.2782,-38.3888,49.5179,0.6500,69.3678
11,0.3636,337.9746,840.0689,14.6620,1.5853,42.2014,-17.0722,45.5238,0.6500,69.8663
12,0.3967,358.0554,843.0716,14.7144,1.5853,39.5278,-1.3421,39.5506,0.6500,70.3667
13,0.4298,377.9698,845.1089,14.7499,-0.3734,31.4567,10.2026,33.0699,0.6500,70.7072
14,0.4628,392.0705,839.2893,14.6484,-2.2908,22.8911,14.3432,27.0135,0.6500,69.7367
15,0.4959,386.2940,829.4337,14.4763,-3.4950,19.9977,9.8808,22.3055,0.6500,68.1085
16,0.5289,401.9602,819.1663,14.2971,-3.5170,14.5760,13.1060,19.6017,0.6500,66.4328
17,0.5620,429.6415,811.0009,14.1546,-2.2600,6.4679,17.4301,18.5915,0.6500,65.1150
18,0.5950,466.2985,806.4833,14.0758,0.0668,-5.4240,18.5504,19.3271,0.6500,64.3915
19,0.6281,508.8922,805.7946,14.0638,3.1318,-17.5616,10.5971,20.5111,0.6500,64.2816
20,0.6612,552.9309,806.5287,14.0766,5.3363,-20.4920,-4.7049,21.0252,0.6500,64.3988
21,0.6942,594.7837,812.6067,14.1827,6.7882,-12.1256,-17.1787,21.0271,0.6500,65.3731
22,0.7273,630.6691,826.4906,14.4250,7.6036,0.2213,-18.9474,18.9486,0.6500,67.6260
23,0.7603,659.8649,846.8093,14.7796,7.7427,8.2275,-14.3284,16.5226,0.6500,70.9920
24,0.7934,679.2292,871.3529,15.2080,7.5358,10.4477,-9.0090,13.7955,0.6500,75.1668
25,0.8264,681.6584,899.2874,15.6955,7.7925,8.5566,-6.7677,10.9095,0.6500,80.0636
26,0.8595,694.3227,929.9046,16.2299,8.3729,8.0282,-3.8598,8.9079,0.6500,85.6081
27,0.8926,716.6230,958.4817,16.7287,9.1155,9.4063,-0.5550,9.4226,0.6500,90.9506
28,0.9256,748.3534,976.7201,17.0470,11.1970,12.4681,6.7284,14.1678,0.6500,94.4449
29,0.9587,786.0159,987.1406,17.2289,13.0917,8.5072,19.1219,20.9289,0.6500,96.4709
30,0.9917,826.3336,988.6451,17.2551,13.4837,-8.2952,28.3055,29.4960,0.6500,96.7651
31,1.0248,866.2592,987.1813,17.2296,12.7370,-31.9811,21.3616,38.4591,0.6500,96.4788
32,1.0579,890.1005,985.8253,17.2059,10.7462,-44.7237,7.8051,45.3997,0.6500,96.2139
33,1.0909,922.4889,984.7551,17.1872,7.2451,-46.5056,-19.2527,50.3332,0.6500,96.0052
34,1.1240,962.5381,984.1228,17.1762,2.3991,-23.4200,-45.0626,50.7852,0.6500,95.8819
35,1.1570,1002.8719,983.1718,17.1596,-3.3106,10.0543,-43.9985,45.1327,0.6500,95.6967
36,1.1901,1044.6080,980.3144,17.1097,-9.3933,29.5127,-20.9674,36.2026,0.6500,95.1413
37,1.2231,1093.8836,972.0539,16.9655,-15.2104,25.5616,6.3181,26.3309,0.6500,93.5446
38,1.2562,1143.2364,952.9823,16.6327,-19.3675,8.0343,15.9304,17.8417,0.6500,89.9100
39,1.2893,1184.4267,926.9478,16.1783,-21.7968,-2.6996,10.4939,10.8356,0.6500,85.0646
40,1.3223,1219.6884,897.9973,15.6730,-22.5425,-4.7331,4.0156,6.2070,0.6500,79.8340
41,1.3554,1244.1683,869.7041,15.1792,-21.9464,-3.9393,1.1171,4.0947,0.6500,74.8826
42,1.3884,1252.4335,844.4866,14.7391,-20.3418,-4.1588,0.5524,4.1953,0.6500,70.6031
43,1.4215,1270.6579,823.0465,14.3649,-18.1195,-5.5807,-1.0502,5.6786,0.6500,67.0636
44,1.4545,1291.9303,805.8187,14.0642,-15.3844,-6.1433,-3.8284,7.2386,0.6500,64.2855
45,1.4876,1310.4987,787.5947,13.7461,-11.3410,-5.1982,-6.3056,8.1720,0.6500,61.4107
46,1.5207,1329.8570,769.2707,13.4263,-6.8288,-3.0548,-8.3282,8.8708,0.6500,58.5863
47,1.5537,1351.0959,751.6827,13.1193,-2.7027,0.1770,-9.2523,9.2540,0.6500,55.9380
48,1.5868,1372.6752,733.4297,12.8008,0.5805,3.5062,-8.3920,9.0950,0.6500,53.2543
49,1.6198,1391.7480,716.1853,12.4998,3.0553,5.5850,-6.2580,8.3878,0.6500,50.7796
50,1.6529,1409.7759,703.1050,12.2715,4.1751,6.8376,-3.9834,7.9133,0.6500,48.9416
51,1.6860,1431.7963,695.1643,12.1329,3.7308,8.8206,-1.2717,8.9118,0.6500,47.8424
52,1.7190,1458.6511,687.6150,12.0011,1.4063,11.2448,3.7955,11.8681,0.6500,46.8089
53,1.7521,1488.4660,683.9144,11.9366,-1.5695,11.6340,13.1341,17.5458,0.6500,46.3065
54,1.7851,1520.3558,684.5832,11.9482,-3.9828,4.1668,24.5206,24.8721,0.6500,46.3971
55,1.8182,1551.4015,686.3765,11.9795,-4.5656,-12.1515,31.0047,33.3009,0.6500,46.6405
56,1.8512,1583.6561,692.7079,12.0900,-3.8306,-33.5851,24.7104,41.6961,0.6500,47.5049
57,1.8843,1614.0438,704.0205,12.2875,-2.1876,-47.9038,4.9979,48.1638,0.6500,49.0692
58,1.9174,1638.9264,718.5426,12.5409,0.2238,-47.6818,-16.3496,50.4070,0.6500,51.1144
59,1.9504,1657.8790,735.6094,12.8388,3.1274,-37.4440,-29.1273,47.4389,0.6500,53.5714
60,1.9835,1669.7477,753.8552,13.1573,5.9925,-26.4719,-31.2673,40.9683,0.6500,56.2618
61,2.0165,1683.7186,770.0005,13.4390,8.1457,-14.2166,-28.7886,32.1076,0.6500,58.6976
62,2.0496,1698.5086,779.0934,13.5977,9.0621,-4.7721,-23.4738,23.9539,0.6500,60.0921
63,2.0826,1713.8347,785.1985,13.7043,9.9811,1.1842,-17.6673,17.7069,0.6500,61.0375
64,2.1157,1718.1635,789.3613,13.7770,10.7787,1.9904,-13.8752,14.0173,0.6500,61.6864
65,2.1488,1738.2245,792.6254,13.8339,11.1480,6.2219,-11.5919,13.1562,0.6500,62.1977
66,2.1818,1770.5640,796.1881,13.8961,10.9686,12.0190,-6.7823,13.8005,0.6500,62.7581
67,2.2149,1809.5036,800.2611,13.9672,9.9685,14.4147,2.4131,14.6153,0.6500,63.4018
68,2.2479,1852.4351,805.0374,14.0506,8.2159,8.8014,11.4433,14.4365,0.6500,64.1609
69,2.2810,1895.7102,811.5975,14.1650,5.6867,-1.1783,11.7838,11.8426,0.6500,65.2108
70,2.3140,1937.4036,819.0109,14.2944,2.3075,-6.4799,5.9578,8.8025,0.6500,66.4075
71,2.3471,1977.7876,823.0526,14.3650,-2.1246,-6.3544,0.2455,6.3592,0.6500,67.0646
72,2.3802,2012.9954,824.6891,14.3935,-6.5495,-5.7733,-3.7485,6.8835,0.6500,67.3315
73,2.4132,2037.2535,823.7157,14.3766,-9.9610,-5.8232,-9.0544,10.7653,0.6500,67.1727
74,2.4463,2046.7161,820.0662,14.3129,-12.4234,-6.8892,-16.0089,17.4283,0.6500,66.5788
75,2.4793,2071.0669,815.3360,14.2303,-13.5241,0.4883,-26.2220,26.2265,0.6500,65.8129
76,2.5124,2095.3628,811.2971,14.1598,-12.8350,14.7018,-31.0139,34.3221,0.6500,65.1625
77,2.5455,2118.3488,804.5702,14.0424,-9.5073,29.2103,-25.9808,39.0927,0.6500,64.0864
78,2.5785,2142.0937,798.9712,13.9447,-4.4838,37.7144,-12.1860,39.6343,0.6500,63.1976
79,2.6116,2163.8426,797.8263,13.9247,1.3647,35.7389,2.4005,35.8194,0.6500,63.0166
80,2.6446,2186.3528,801.6115,13.9908,7.1096,26.5840,13.1691,29.6670,0.6500,63.6159
81,2.6777,2210.7108,809.1197,14.1218,11.7471,14.3261,17.5098,22.6237,0.6500,64.8132
82,2.7107,2233.1015,823.1551,14.3668,15.5233,4.6077,15.1671,15.8515,0.6500,67.0813
83,2.7438,2245.6584,842.4222,14.7030,18.0291,0.8650,11.3933,11.4261,0.6500,70.2583
84,2.7769,2267.0738,864.6183,15.0904,18.6808,-2.7205,8.8574,9.2658,0.6500,74.0094
85,2.8099,2295.6357,887.5660,15.4909,17.5024,-7.3405,7.1794,10.2678,0.6500,77.9901
86,2.8430,2323.0738,906.6734,15.8244,14.9092,-11.7704,3.5820,12.3034,0.6500,81.3841
87,2.8760,2356.4608,916.6084,15.9978,11.9283,-13.2325,-3.9098,13.7981,0.6500,83.1775
88,2.9091,2397.1625,921.4360,16.0821,7.9376,-7.9858,-12.3738,14.7270,0.6500,84.0560
89,2.9421,2439.7908,921.9544,16.0911,3.3079,2.6107,-15.1291,15.3528,0.6500,84.1506
90,2.9752,2482.2327,917.8831,16.0201,-1.6693,11.4907,-8.9026,14.5358,0.6500,83.4090
91,3.0083,2525.1501,909.4564,15.8730,-6.8481,13.6295,1.2284,13.6847,0.6500,81.8845
92,3.0413,2563.5037,896.8942,15.6538,-11.7500,10.1954,9.6763,14.0562,0.6500,79.6380
93,3.0744,2593.1613,880.6324,15.3699,-16.1983,4.9179,16.2491,16.9770,0.6500,76.7763
94,3.1074,2631.3826,861.0092,15.0274,-20.1992,-7.8315,20.0015,21.4800,0.6500,73.3928
95,3.1405,2666.2571,837.0333,14.6090,-23.5611,-22.5739,15.0794,27.1472,0.6500,69.3623
96,3.1736,2693.7347,804.9530,14.0491,-25.5705,-33.7807,3.7087,33.9837,0.6500,64.1474
97,3.2066,2717.9470,767.9206,13.4027,-26.3430,-38.8742,-12.5913,40.8625,0.6500,58.3809
98,3.2397,2736.6603,727.6390,12.6997,-26.2560,-35.9891,-26.7867,44.8636,0.6500,52.4167
99,3.2727,2751.8444,685.6740,11.9673,-24.7855,-27.2372,-34.6675,44.0874,0.6500,46.5450
100,3.3058,2765.9340,646.1981,11.2783,-21.8545,-15.7520,-35.2702,38.6278,0.6500,41.3399
101,3.3388,2782.0866,613.0832,10.7003,-17.8246,-4.2506,-30.5797,30.8737,0.6500,37.2115
102,3.3719,2797.9752,587.4109,10.2523,-13.1194,3.2618,-23.2817,23.5090,0.6500,34.1603
103,3.4050,2813.2891,569.7240,9.9436,-8.0570,6.8796,-15.9827,17.4005,0.6500,32.1342
104,3.4380,2830.8505,559.3500,9.7625,-3.2999,8.3277,-9.6306,12.7318,0.6500,30.9746
105,3.4711,2848.7990,555.1647,9.6895,1.0608,8.9036,-5.3924,10.4093,0.6500,30.5128
106,3.5041,2865.5771,554.6979,9.6813,5.2808,10.7294,-2.7594,11.0785,0.6500,30.4615
107,3.5372,2880.3044,560.5091,9.7827,8.5480,13.4356,0.0714,13.4358,0.6500,31.1031
108,3.5702,2891.6109,571.7651,9.9792,10.7415,14.8820,3.0578,15.1929,0.6500,32.3648
109,3.6033,2904.5050,592.1102,10.3343,10.7415,14.7012,6.7013,16.1565,0.6500,34.7091
110,3.6364,2915.0463,612.4554,10.6894,10.7415,13.6951,9.6059,16.7281,0.6500,37.1353
111,3.6694,2930.9106,632.8005,11.0445,10.7415,10.1501,12.4944,16.0977,0.6500,39.6435
112,3.7025,2954.3086,653.1457,11.3995,10.7415,4.5552,16.2150,16.8426,0.6500,42.2336
113,3.7355,2982.8160,673.4908,11.7546,10.7415,-4.2198,18.5493,19.0233,0.6500,44.9057
114,3.7686,3012.0938,693.8360,12.1097,10.7415,-15.3064,16.9436,22.8335,0.6500,47.6597
115,3.8017,3042.4045,714.1811,12.4648,10.7415,-26.8185,8.5050,28.1348,0.6500,50.4957
116,3.8347,3068.7816,734.5263,12.8199,10.7415,-32.1000,-4.9588,32.4807,0.6500,53.4137
117,3.8678,3094.6974,754.8714,13.1750,10.7415,-30.7028,-21.2576,37.3436,0.6500,56.4136
118,3.9008,3120.1517,775.2166,13.5301,10.7415,-21.2638,-37.0561,42.7236,0.6500,59.4955
119,3.9339,3145.1446,795.5617,13.8852,10.7415,-4.1153,-48.4461,48.6206,0.6500,62.6593
120,3.9669,3169.6762,815.9069,14.2403,10.7415,18.5304,-51.8212,55.0346,0.6500,65.9051
