Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,-7.3284,527.6086,9.2085,7.1031,30.3515,-3.9034,30.6014,0.6500,27.5589
1,0.0331,33.3580,541.0625,9.4433,7.1031,22.9041,15.0784,27.4218,0.6500,28.9823
2,0.0661,69.3455,554.5163,9.6781,7.1031,9.0347,23.9672,25.6135,0.6500,30.4415
3,0.0992,100.6341,567.9702,9.9129,7.1031,-4.6460,24.7443,25.1767,0.6500,31.9366
4,0.1322,127.2238,581.4240,10.1478,7.1031,-15.7955,20.7919,26.1113,0.6500,33.4676
5,0.1653,149.1147,594.8779,10.3826,7.1031,-24.3877,14.5873,28.4174,0.6500,35.0343
6,0.1983,165.7337,608.3318,10.6174,7.1031,-31.5821,8.0304,32.5870,0.6500,36.6369
7,0.2314,174.0561,621.7856,10.8522,7.1031,-38.2976,3.9873,38.5046,0.6500,38.2754
8,0.2645,174.1952,635.2395,11.0870,7.1031,-44.6497,4.5391,44.8799,0.6500,39.9497
9,0.2975,180.1992,648.6933,11.3218,7.1031,-51.5750,-0.1793,51.5753,0.6500,41.6598
10,0.3306,197.3116,662.1472,11.5566,7.1031,-54.4425,-16.9690,57.0257,0.6500,43.4057
11,0.3636,223.3493,675.6011,11.7915,7.1031,-43.7584,-41.3070,60.1753,0.6500,45.1875
12,0.3967,254.8018,689.0549,12.0263,7.1031,-15.7467,-57.9645,60.0653,0.6500,47.0052
13,0.4298,288.7232,685.6668,11.9671,8.3296,18.2285,-53.7823,56.7874,0.6500,46.5441
14,0.4628,321.3962,686.5967,11.9834,8.3655,40.1864,-32.0848,51.4235,0.6500,46.6704
15,0.4959,347.4540,693.1907,12.0985,7.7535,44.3964,-9.8798,45.4824,0.6500,47.5711
16,0.5289,369.3213,704.8597,12.3021,6.6559,40.0461,6.5731,40.5819,0.6500,49.1862
17,0.5620,391.5203,719.1096,12.5508,4.9285,31.1594,19.1097,36.5525,0.6500,51.1951
18,0.5950,411.2101,734.8311,12.8252,2.8297,21.3516,26.5657,34.0827,0.6500,53.4581
19,0.6281,436.3817,751.2951,13.1126,0.8525,7.8703,32.4865,33.4263,0.6500,55.8804
20,0.6612,467.7706,765.4948,13.3604,-0.4836,-10.2517,31.9868,33.5895,0.6500,58.0126
