Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm,I_zz_kgm2,Rotational_KE_J
0,0.0000,-0.0000,217.8062,3.8014,15.4686,4.0461,-0.0000,4.0461,0.6500,4.6965
1,0.0331,9.8792,247.1050,4.3128,15.4686,4.5413,0.7909,4.6096,0.6500,6.0451
2,0.0661,19.7584,276.4038,4.8242,15.4686,5.1006,1.8322,5.4197,0.6500,7.5636
3,0.0992,29.6376,305.7026,5.3355,15.4686,5.6291,3.2026,6.4764,0.6500,9.2520
4,0.1322,39.5168,335.0014,5.8469,15.4686,6.0015,4.9502,7.7796,0.6500,11.1104
5,0.1653,49.3960,364.3002,6.3582,15.4686,6.0718,7.0831,9.3294,0.6500,13.1388
6,0.1983,59.5459,393.5989,6.8696,15.4686,5.6049,9.5326,11.0583,0.6500,15.3372
7,0.2314,63.1802,422.8977,7.3810,15.4686,5.9422,11.7534,13.1701,0.6500,17.7055
8,0.2645,72.5784,452.1965,7.8923,15.4686,4.6708,14.8848,15.6004,0.6500,20.2438
9,0.2975,89.9124,481.4953,8.4037,15.4686,0.0280,18.3214,18.3214,0.6500,22.9521
10,0.3306,112.9225,510.7941,8.9150,15.4686,-8.4083,19.8834,21.5882,0.6500,25.8303
11,0.3636,139.8310,540.0928,9.4264,15.4686,-19.2991,16.2911,25.2558,0.6500,28.8785
12,0.3967,168.4461,569.3916,9.9378,15.4686,-28.8140,5.8905,29.4099,0.6500,32.0967
13,0.4298,196.7036,602.8840,10.5223,16.3434,-32.3131,-9.6966,33.7367,0.6500,35.9837
14,0.4628,222.4397,634.6169,11.0762,16.4598,-27.9013,-25.5129,37.8073,0.6500,39.8714
15,0.4959,243.6890,662.7737,11.5676,15.6277,-18.2487,-36.9057,41.1710,0.6500,43.4879
16,0.5289,255.0818,690.2618,12.0473,14.6465,-11.3932,-42.7643,44.2560,0.6500,47.1700
17,0.5620,253.9752,718.9455,12.5480,14.0205,-12.9990,-45.2590,47.0888,0.6500,51.1717
18,0.5950,263.4867,746.7085,13.0325,13.4240,-5.6690,-49.6543,49.9769,0.6500,55.2001
19,0.6281,286.1270,774.0178,13.5092,13.0828,14.6218,-50.5690,52.6405,0.6500,59.3116
20,0.6612,317.0332,799.5012,13.9539,13.7280,39.6314,-36.9140,54.1598,0.6500,63.2814
21,0.6942,354.8075,824.5654,14.3914,15.1810,53.5577,-4.8671,53.7784,0.6500,67.3114
22,0.7273,393.8915,846.2116,14.7692,16.0310,42.9730,28.8675,51.7688,0.6500,70.8918
23,0.7603,433.4558,869.9262,15.1831,16.8445,13.7582,46.3155,48.3158,0.6500,74.9209
24,0.7934,468.3669,899.0394,15.6912,17.7591,-13.8449,41.6998,43.9381,0.6500,80.0194
25,0.8264,498.5838,934.1668,16.3043,18.5211,-29.7158,26.2130,39.6251,0.6500,86.3947
26,0.8595,523.1286,975.7192,17.0295,19.0738,-35.2382,10.6870,36.8231,0.6500,94.2514
27,0.8926,542.3900,1020.2783,17.8072,18.8909,-34.9576,-1.4590,34.9881,0.6500,103.0565
28,0.9256,572.8456,1062.0705,18.5366,17.3886,-28.6364,-18.4872,34.0854,0.6500,111.6721
29,0.9587,611.6919,1096.7641,19.1421,15.2021,-10.4806,-31.6755,33.3644,0.6500,119.0871
30,0.9917,645.3734,1115.7030,19.4727,12.7138,8.4845,-30.8588,32.0039,0.6500,123.2353
31,1.0248,682.4179,1121.3052,19.5705,9.9236,23.5258,-18.1056,29.6862,0.6500,124.4760
32,1.0579,723.8475,1115.7610,19.4737,6.2789,26.9776,1.8143,27.0386,0.6500,123.2482
33,1.0909,767.2209,1107.1805,19.3239,2.8000,16.5176,17.8504,24.3201,0.6500,121.3598
34,1.1240,794.0880,1099.2786,19.1860,-0.5309,6.0138,21.0947,21.9351,0.6500,119.6337
35,1.1570,835.2495,1093.4477,19.0843,-3.6675,-8.4768,17.9738,19.8725,0.6500,118.3679
36,1.1901,885.6261,1089.8721,19.0219,-6.7541,-17.6465,4.5223,18.2167,0.6500,117.5951
37,1.2231,938.3146,1086.2829,18.9592,-9.7668,-12.5502,-9.9168,15.9954,0.6500,116.8218
38,1.2562,994.8677,1079.4554,18.8401,-12.7410,1.1297,-13.2650,13.3131,0.6500,115.3579
39,1.2893,1044.2686,1065.0001,18.5878,-15.6593,8.5324,-6.1383,10.5110,0.6500,112.2890
40,1.3223,1079.8248,1037.8302,18.1136,-18.4886,6.8875,-0.0211,6.8876,0.6500,106.6328
41,1.3554,1111.7389,1000.4980,17.4620,-21.6017,3.2229,1.9935,3.7896,0.6500,99.0993
42,1.3884,1127.9038,960.0193,16.7555,-24.3480,2.1794,2.4123,3.2510,0.6500,91.2427
43,1.4215,1142.6648,918.6100,16.0328,-25.6043,3.1699,6.1324,6.9033,0.6500,83.5411
44,1.4545,1151.4847,880.5557,15.3686,-24.9677,4.3652,13.0346,13.7461,0.6500,76.7630
45,1.4876,1179.2420,849.0765,14.8192,-22.5544,-3.6069,22.1667,22.4582,0.6500,71.3726
46,1.5207,1212.6010,825.2892,14.4040,-18.7313,-21.5699,23.4563,31.8663,0.6500,67.4296
47,1.5537,1249.1595,803.6937,14.0271,-12.8437,-39.5845,7.5802,40.3037,0.6500,63.9469
48,1.5868,1285.6474,786.7286,13.7310,-6.2890,-41.2805,-19.8203,45.7922,0.6500,61.2757
49,1.6198,1318.7946,774.7768,13.5224,-0.4400,-24.6247,-40.6514,47.5280,0.6500,59.4280
50,1.6529,1345.3308,764.9902,13.3516,3.4732,-3.6608,-44.8220,44.9713,0.6500,57.9362
51,1.6860,1361.9860,754.2650,13.1644,4.0288,8.4004,-39.5682,40.4501,0.6500,56.3230
52,1.7190,1365.4899,746.3262,13.0259,2.5993,9.6566,-34.8445,36.1578,0.6500,55.1437
53,1.7521,1364.6939,739.5318,12.9073,0.2966,8.4361,-32.1704,33.2581,0.6500,54.1442
54,1.7851,1377.3293,734.2921,12.8158,-2.4930,14.3446,-27.7573,31.2448,0.6500,53.3797
55,1.8182,1401.3116,727.8540,12.7034,-4.4283,23.8412,-19.0925,30.5439,0.6500,52.4477
56,1.8512,1436.1902,720.3064,12.5717,-5.2037,30.6070,-2.0382,30.6748,0.6500,51.3656
57,1.8843,1477.6693,709.7091,12.3868,-4.3113,25.0800,19.3626,31.6846,0.6500,49.8653
58,1.9174,1521.0468,700.9454,12.2338,-2.9753,5.0629,32.1359,32.5323,0.6500,48.6414
59,1.9504,1562.6093,694.4459,12.1204,-1.9295,-18.2538,28.5324,33.8718,0.6500,47.7436
60,1.9835,1598.6434,688.9589,12.0246,-2.0022,-32.5143,12.7138,34.9116,0.6500,46.9921
61,2.0165,1625.6392,683.6698,11.9323,-3.5140,-35.4230,-3.4978,35.5953,0.6500,46.2733
62,2.0496,1637.9816,679.6181,11.8616,-5.9850,-34.1278,-11.0767,35.8804,0.6500,45.7265
63,2.0826,1631.6601,675.6197,11.7918,-8.9594,-34.5539,-7.1307,35.2820,0.6500,45.1900
64,2.1157,1641.1875,669.3745,11.6828,-11.6783,-32.4178,-12.5659,34.7680,0.6500,44.3585
65,2.1488,1656.5097,657.8444,11.4816,-12.9305,-28.1716,-20.8532,35.0499,0.6500,42.8434
66,2.1818,1675.5611,639.3039,11.1580,-12.1464,-20.2400,-29.5167,35.7896,0.6500,40.4625
67,2.2149,1700.7424,613.1258,10.7011,-10.7124,-6.1070,-37.4668,37.9613,0.6500,37.2166
68,2.2479,1728.5143,587.2595,10.2496,-8.1845,12.9872,-38.7824,40.8992,0.6500,34.1427
69,2.2810,1756.8587,567.7995,9.9100,-4.8074,31.9373,-29.9296,43.7696,0.6500,31.9174
70,2.3140,1783.8024,558.4487,9.7468,-1.0582,43.0875,-12.5161,44.8686,0.6500,30.8748
71,2.3471,1806.1527,561.3329,9.7971,2.6888,43.4593,4.6849,43.7111,0.6500,31.1946
72,2.3802,1819.6360,576.8107,10.0672,6.0989,38.2003,13.6296,40.5589,0.6500,32.9386
73,2.4132,1828.3561,601.8663,10.5045,8.6620,31.4779,16.9889,35.7699,0.6500,35.8623
74,2.4463,1842.1037,632.9587,11.0472,10.3749,22.9712,20.7587,30.9612,0.6500,39.6633
75,2.4793,1857.1563,664.2437,11.5932,11.7195,14.7757,22.8890,27.2438,0.6500,43.6810
76,2.5124,1873.7184,686.9575,11.9897,13.4744,6.7918,23.2540,24.2255,0.6500,46.7195
77,2.5455,1893.6405,700.7716,12.2308,14.1234,-1.4382,22.6041,22.6498,0.6500,48.6173
78,2.5785,1913.4094,712.4898,12.4353,14.6912,-8.7556,20.2239,22.0379,0.6500,50.2569
79,2.6116,1918.0948,723.5114,12.6277,15.1263,-10.1985,19.1043,21.6560,0.6500,51.8238
80,2.6446,1938.2947,735.4067,12.8353,15.0205,-15.9258,14.1920,21.3318,0.6500,53.5418
81,2.6777,1968.2007,748.0511,13.0560,13.9752,-20.1292,4.2050,20.5637,0.6500,55.3988
82,2.7107,2003.8032,760.2817,13.2694,11.6251,-18.0897,-7.9797,19.7715,0.6500,57.2252
83,2.7438,2044.4721,770.4235,13.4464,7.7880,-8.2824,-17.3427,19.2189,0.6500,58.7621
84,2.7769,2088.1656,777.3131,13.5667,2.8572,5.8459,-17.8165,18.7510,0.6500,59.8178
85,2.8099,2127.2260,778.3870,13.5854,-2.4172,15.5997,-10.0433,18.5531,0.6500,59.9831
86,2.8430,2163.6481,771.9906,13.4738,-7.4615,18.6756,1.1907,18.7135,0.6500,59.0014
87,2.8760,2195.8013,759.2993,13.2523,-12.3033,16.1549,11.6518,19.9185,0.6500,57.0774
88,2.9091,2218.4388,741.4106,12.9401,-16.5984,11.6386,18.9469,22.2361,0.6500,54.4196
89,2.9421,2225.1433,715.5214,12.4882,-20.8434,10.7057,23.1091,25.4684,0.6500,50.6854
90,2.9752,2249.7014,687.2544,11.9949,-24.0517,0.1561,29.9556,29.9560,0.6500,46.7599
91,3.0083,2276.0004,660.1901,11.5225,-25.4107,-15.2952,31.3593,34.8905,0.6500,43.1495
92,3.0413,2301.8861,632.0421,11.0312,-23.4529,-31.2242,24.4952,39.6858,0.6500,39.5485
93,3.0744,2324.5779,608.1797,10.6147,-18.9089,-42.9404,11.8456,44.5443,0.6500,36.6186
94,3.1074,2342.0616,591.2599,10.3194,-12.6211,-48.2040,-1.7352,48.2353,0.6500,34.6095
95,3.1405,2354.1588,582.1517,10.1605,-5.4475,-48.2608,-12.1750,49.7728,0.6500,33.5514
96,3.1736,2365.8287,580.4769,10.1312,1.5065,-43.8101,-21.2057,48.6725,0.6500,33.3586
97,3.2066,2377.0338,585.0093,10.2103,7.1917,-35.2401,-26.5879,44.1450,0.6500,33.8816
98,3.2397,2387.2838,592.6104,10.3430,11.1741,-25.4128,-27.5239,37.4617,0.6500,34.7678
99,3.2727,2396.4241,599.8788,10.4699,12.8549,-16.0967,-24.2496,29.1057,0.6500,35.6258
100,3.3058,2407.6973,610.0706,10.6477,13.2767,-7.9119,-19.2887,20.8484,0.6500,36.8467
101,3.3388,2406.9815,621.4134,10.8457,13.0995,-5.6956,-13.4059,14.5657,0.6500,38.2296
102,3.3719,2421.3222,629.7631,10.9914,13.4990,-1.6364,-10.7220,10.8461,0.6500,39.2638
103,3.4050,2448.1867,640.2113,11.1738,13.4176,3.3785,-10.2839,10.8247,0.6500,40.5774
104,3.4380,2483.7944,651.9043,11.3779,12.3574,10.3677,-7.5896,12.8488,0.6500,42.0732
105,3.4711,2524.4008,664.4822,11.5974,10.2031,15.0912,1.1614,15.1358,0.6500,43.7124
106,3.5041,2565.7083,676.7670,11.8118,7.0503,11.6241,11.9151,16.6460,0.6500,45.3437
107,3.5372,2604.9065,686.9298,11.9892,3.1958,1.4407,16.1634,16.2275,0.6500,46.7157
108,3.5702,2637.5613,692.9987,12.0951,-0.9561,-6.9806,13.3747,15.0868,0.6500,47.5448
109,3.6033,2661.8805,691.1878,12.0635,-0.9561,-9.7550,7.6542,12.3994,0.6500,47.2966
110,3.6364,2678.3647,689.3770,12.0319,-0.9561,-9.7040,3.8490,10.4395,0.6500,47.0491
111,3.6694,2683.6440,687.5661,12.0003,-0.9561,-10.8534,3.1853,11.3112,0.6500,46.8023
112,3.7025,2702.6139,685.7552,11.9687,-0.9561,-15.0844,-0.6886,15.1001,0.6500,46.5561
113,3.7355,2724.4460,683.9443,11.9371,-0.9561,-19.9011,-9.0468,21.8609,0.6500,46.3105
114,3.7686,2748.6313,682.1334,11.9055,-0.9561,-19.6321,-22.2928,29.7050,0.6500,46.0656
115,3.8017,2773.1659,680.3225,11.8739,-0.9561,-10.8529,-35.8695,37.4754,0.6500,45.8213
116,3.8347,2792.7553,678.5117,11.8423,-0.9561,2.0409,-42.4062,42.4553,0.6500,45.5777
117,3.8678,2810.9446,676.7008,11.8107,-0.9561,16.7382,-43.7308,46.8247,0.6500,45.3348
118,3.9008,2827.7338,674.8899,11.7791,-0.9561,30.9568,-40.0046,50.5835,0.6500,45.0925
119,3.9339,2843.1229,673.0790,11.7474,-0.9561,42.9814,-32.2445,53.7318,0.6500,44.8508
120,3.9669,2857.1118,671.2681,11.7158,-0.9561,51.8393,-21.8852,56.2696,0.6500,44.6098
