frame,timestamp_sec,x_0,y_0,z_0,vis_0,x_1,y_1,z_1,vis_1,x_2,y_2,z_2,vis_2,x_3,y_3,z_3,vis_3,x_4,y_4,z_4,vis_4,x_5,y_5,z_5,vis_5,x_6,y_6,z_6,vis_6,x_7,y_7,z_7,vis_7,x_8,y_8,z_8,vis_8,x_9,y_9,z_9,vis_9,x_10,y_10,z_10,vis_10,x_11,y_11,z_11,vis_11,x_12,y_12,z_12,vis_12,x_13,y_13,z_13,vis_13,x_14,y_14,z_14,vis_14,x_15,y_15,z_15,vis_15,x_16,y_16,z_16,vis_16,x_17,y_17,z_17,vis_17,x_18,y_18,z_18,vis_18,x_19,y_19,z_19,vis_19,x_20,y_20,z_20,vis_20,x_21,y_21,z_21,vis_21,x_22,y_22,z_22,vis_22,x_23,y_23,z_23,vis_23,x_24,y_24,z_24,vis_24,x_25,y_25,z_25,vis_25,x_26,y_26,z_26,vis_26,x_27,y_27,z_27,vis_27,x_28,y_28,z_28,vis_28,x_29,y_29,z_29,vis_29,x_30,y_30,z_30,vis_30,x_31,y_31,z_31,vis_31,x_32,y_32,z_32,vis_32,angle_right_elbow,angle_right_elbow_smooth,angular_velocity_deg_s,angular_acceleration_deg_s2
0,0.00000000,0.49518296,0.21472776,-0.48424739,0.99999952,0.50039726,0.19760600,-0.46207801,0.99999774,0.50552994,0.19728717,-0.46242234,0.99999726,0.50922602,0.19731572,-0.46230122,0.99999762,0.48705313,0.19915250,-0.46631482,0.99999881,0.48314896,0.19954717,-0.46669510,0.99999905,0.47998291,0.19978696,-0.46684679,0.99999881,0.51263064,0.20283505,-0.32196474,0.99999774,0.47581163,0.20518833,-0.34026581,0.99999690,0.50371361,0.22921187,-0.42975476,0.99999833,0.48912838,0.22909445,-0.43679389,0.99999762,0.54742134,0.29305947,-0.21039018,0.99999702,0.44128376,0.28731138,-0.23599024,0.99998629,0.62491792,0.33238468,-0.19225220,0.99895358,0.36635685,0.30928129,-0.27548793,0.99860519,0.70377374,0.35033369,-0.30248040,0.99959964,0.29156089,0.32575619,-0.46668091,0.99935490,0.72532737,0.35170096,-0.32491452,0.99876046,0.26821429,0.33354408,-0.50933701,0.99806541,0.72925258,0.34807557,-0.37169272,0.99904877,0.26676661,0.33716744,-0.55343044,0.99841917,0.72087455,0.35104871,-0.32473260,0.99887317,0.27489495,0.33892316,-0.49204087,0.99789822,0.50156826,0.50127614,0.00042371,0.99996912,0.44859344,0.47321415,-0.00070660,0.99995875,0.46780500,0.65138572,0.00484531,0.99322069,0.34515989,0.45497286,-0.23678182,0.99670690,0.44301546,0.79903877,0.17342924,0.99728286,0.22100723,0.54864937,-0.09195270,0.99596488,0.43492547,0.82235765,0.18038319,0.98929822,0.22039673,0.57919598,-0.08318502,0.98155367,0.47199011,0.84048033,0.02989610,0.99719572,0.15431151,0.57928777,-0.21471533,0.99665868,138.59561958,131.55897835,-356.55609967,1895.34090590
1,0.03333333,0.49519944,0.18414344,-0.49914375,0.99999958,0.50050509,0.16869275,-0.48079214,0.99999791,0.50558352,0.16873205,-0.48109517,0.99999750,0.50929177,0.16863190,-0.48101288,0.99999779,0.48717543,0.16965317,-0.47972775,0.99999887,0.48334455,0.17038588,-0.48008764,0.99999911,0.48023674,0.17091070,-0.48020208,0.99999887,0.51285839,0.17468274,-0.34865889,0.99999791,0.47596428,0.17629822,-0.34138051,0.99999708,0.50367957,0.19765316,-0.44594690,0.99999845,0.48902673,0.19899855,-0.44545990,0.99999774,0.54742664,0.26057510,-0.24776438,0.99999708,0.44135559,0.25781046,-0.20893164,0.99998593,0.62173045,0.30048195,-0.23119578,0.99893987,0.36553836,0.29006726,-0.19428894,0.99860114,0.69161540,0.31675455,-0.35342231,0.99957472,0.28974071,0.31779036,-0.34573486,0.99923670,0.71359223,0.32993147,-0.38356811,0.99867636,0.26756349,0.33291012,-0.37521517,0.99765259,0.71614516,0.32897294,-0.42806008,0.99899143,0.26711461,0.33538204,-0.42552817,0.99809027,0.70577574,0.32691336,-0.37506714,0.99880809,0.27505243,0.33346581,-0.37202799,0.99760896,0.50303155,0.45895788,-0.02796195,0.99996585,0.44860587,0.44258145,0.02753685,0.99995077,0.46811807,0.60696673,-0.14516637,0.99283803,0.34611815,0.46352375,-0.04252039,0.97830725,0.45029289,0.77151165,-0.06469093,0.99520457,0.36489258,0.59194463,0.21279557,0.95651668,0.44362074,0.79017668,-0.06377391,0.97936004,0.37352373,0.60643148,0.23343469,0.93044907,0.46612102,0.82647955,-0.20744325,0.99538231,0.35163510,0.63101405,0.13418755,0.96612418,108.07827812,119.67377503,-293.37806947,2843.01135885
2,0.06666667,0.49502134,0.16994907,-0.41211444,0.99999958,0.50041950,0.15499967,-0.39458433,0.99999803,0.50539404,0.15533392,-0.39484826,0.99999762,0.50914150,0.15573521,-0.39477605,0.99999791,0.48710424,0.15506428,-0.39174342,0.99999893,0.48326287,0.15566586,-0.39207503,0.99999917,0.48020664,0.15634239,-0.39216644,0.99999893,0.51280850,0.16220212,-0.27483624,0.99999803,0.47610506,0.16214032,-0.25895244,0.99999708,0.50309783,0.18410240,-0.36408955,0.99999845,0.48852870,0.18501839,-0.36150289,0.99999774,0.54731011,0.24737552,-0.19746967,0.99999702,0.44138396,0.24503699,-0.13912235,0.99998456,0.61972308,0.29609898,-0.19430834,0.99886918,0.36446488,0.28378069,-0.13116696,0.99837315,0.68880457,0.31375787,-0.32553425,0.99952573,0.28812459,0.31516120,-0.29006001,0.99894840,0.70957536,0.32599542,-0.36299238,0.99853253,0.26628670,0.33279431,-0.31831190,0.99690193,0.71128178,0.32669905,-0.39639565,0.99889106,0.26710954,0.33537981,-0.36778843,0.99749428,0.70158470,0.32428604,-0.34395295,0.99869698,0.27502334,0.33303845,-0.31620270,0.99705571,0.50474751,0.44284770,-0.02800833,0.99996263,0.44890535,0.43023649,0.02758736,0.99994034,0.48592016,0.58893973,-0.24089208,0.98909622,0.35001642,0.46274495,-0.08700787,0.93985093,0.45253336,0.76067233,-0.19336319,0.98955464,0.41295984,0.58381027,0.15309234,0.87874365,0.44430232,0.77746201,-0.19514062,0.96275461,0.42498448,0.57504517,0.17418242,0.85587251,0.46525586,0.82146162,-0.34793156,0.99046695,0.41756800,0.61402190,0.08978450,0.89777988,112.08934625,112.00044039,-167.02200908,4992.83925546
3,0.10000000,0.49502367,0.16801946,-0.43407550,0.99999958,0.50047368,0.15282670,-0.41497129,0.99999815,0.50538701,0.15334794,-0.41524714,0.99999779,0.50917029,0.15444349,-0.41516650,0.99999803,0.48731574,0.15204105,-0.41197652,0.99999899,0.48328117,0.15227850,-0.41231599,0.99999923,0.48024321,0.15299869,-0.41241783,0.99999899,0.51284498,0.16115108,-0.28580910,0.99999815,0.47627592,0.15935092,-0.26752824,0.99999720,0.50297540,0.18345308,-0.38265428,0.99999851,0.48828635,0.18310386,-0.37964791,0.99999785,0.54726076,0.24812494,-0.19967622,0.99999702,0.44137442,0.24430344,-0.13560818,0.99998444,0.61928898,0.29532447,-0.19258921,0.99889022,0.36371854,0.28313729,-0.12840779,0.99840909,0.68730456,0.31118265,-0.32138512,0.99953210,0.28729495,0.31500652,-0.30100015,0.99894428,0.70776540,0.32454568,-0.35359508,0.99854517,0.26577097,0.33278599,-0.33225101,0.99687123,0.70904416,0.32638213,-0.39381555,0.99890399,0.26720431,0.33504340,-0.38237092,0.99747264,0.69960064,0.32416043,-0.34134522,0.99870819,0.27504358,0.33243549,-0.32771808,0.99706048,0.50467223,0.44843638,-0.03616923,0.99995762,0.44708592,0.43137765,0.03572306,0.99992973,0.48438078,0.59005821,-0.28794947,0.98842436,0.34611446,0.46214730,-0.04933945,0.92509705,0.45366907,0.76277769,-0.23275264,0.98803717,0.36544633,0.60502118,0.21484332,0.84584117,0.44700703,0.77974135,-0.23472355,0.95437276,0.37572041,0.61221546,0.23688300,0.81349385,0.46475628,0.82195592,-0.40520662,0.98932660,0.35246655,0.65329367,0.13532607,0.87272197,110.82672523,108.53897443,39.47788089,4716.06347333
4,0.13333333,0.49580637,0.16710255,-0.42284781,0.99999958,0.50063711,0.15187658,-0.40208796,0.99999815,0.50539309,0.15225692,-0.40234107,0.99999785,0.50925231,0.15345587,-0.40227729,0.99999809,0.48789772,0.15096772,-0.39994606,0.99999899,0.48351273,0.15117460,-0.40028408,0.99999923,0.48032287,0.15225479,-0.40037158,0.99999899,0.51280999,0.16041274,-0.26913673,0.99999815,0.47631025,0.15935631,-0.25549528,0.99999714,0.50298184,0.18191653,-0.37034139,0.99999857,0.48843682,0.18262602,-0.36843604,0.99999791,0.54703116,0.24815339,-0.18540849,0.99999702,0.44129819,0.24558145,-0.12539816,0.99998468,0.61894304,0.29479206,-0.18439595,0.99895728,0.36351883,0.28388816,-0.11900908,0.99847502,0.68678963,0.30994591,-0.31936812,0.99954933,0.28726366,0.31477034,-0.28340194,0.99895209,0.70691484,0.32455748,-0.35039157,0.99858212,0.26576385,0.33267507,-0.31281653,0.99687648,0.70840603,0.32670626,-0.39272302,0.99893373,0.26725939,0.33484590,-0.36223143,0.99747634,0.69912422,0.32399833,-0.34007081,0.99874449,0.27512214,0.33201307,-0.30962512,0.99709135,0.50462377,0.44982889,-0.03261580,0.99995548,0.44550639,0.43335316,0.03219723,0.99992746,0.47641903,0.58548677,-0.29576203,0.98906183,0.34017631,0.48106560,-0.09140947,0.92955792,0.45488364,0.76378900,-0.21734650,0.98763549,0.32544917,0.66836017,0.08816479,0.85673374,0.44821298,0.78037924,-0.21798658,0.94950104,0.33079010,0.69117075,0.10389154,0.81468511,0.46492830,0.82347828,-0.38740149,0.98903728,0.29609007,0.71180290,0.05006387,0.88099021,112.29804029,114.63229911,147.38222248,-483.97567574
5,0.16666667,0.49620569,0.16614340,-0.39803302,0.99999958,0.50088179,0.15057305,-0.37618509,0.99999815,0.50551951,0.15096469,-0.37642509,0.99999785,0.50957257,0.15224943,-0.37636721,0.99999809,0.48836014,0.14992437,-0.37358540,0.99999899,0.48377964,0.15022151,-0.37392345,0.99999923,0.48041943,0.15118062,-0.37400711,0.99999899,0.51280880,0.15921637,-0.24287368,0.99999815,0.47642821,0.15789893,-0.22727236,0.99999708,0.50298238,0.18085496,-0.34589171,0.99999857,0.48854995,0.18180923,-0.34340712,0.99999791,0.54676962,0.24869971,-0.16547516,0.99999696,0.44135123,0.24558410,-0.10233545,0.99998492,0.61883831,0.29353517,-0.17152137,0.99901867,0.36354792,0.28352582,-0.10383633,0.99852586,0.68668258,0.31027910,-0.31129870,0.99956095,0.28732675,0.31469303,-0.27387771,0.99895447,0.70612055,0.32462993,-0.34577945,0.99860221,0.26578584,0.33260337,-0.30405697,0.99687761,0.70764649,0.32675853,-0.38668999,0.99895036,0.26750651,0.33465427,-0.35251531,0.99747342,0.69878340,0.32400775,-0.33218378,0.99876624,0.27545109,0.33169910,-0.29994929,0.99710804,0.50413120,0.45217696,-0.03205811,0.99995416,0.44406080,0.43493360,0.03165150,0.99992692,0.47242403,0.58847010,-0.29908085,0.98966366,0.33532029,0.49917558,-0.11432710,0.93453479,0.45530432,0.76379019,-0.21587710,0.98713124,0.31212816,0.68666244,0.01737068,0.86827224,0.44829285,0.78056669,-0.21636808,0.94486064,0.31697887,0.71399105,0.02119544,0.82074225,0.46378735,0.82398999,-0.38517025,0.98859859,0.27588141,0.72728527,-0.12258192,0.88989806,116.77308359,118.36445592,7.21283584,-5325.03874791
6,0.20000000,0.49639022,0.16567530,-0.36078227,0.99999958,0.50100332,0.14996000,-0.33823001,0.99999815,0.50557190,0.15033366,-0.33845338,0.99999785,0.50974029,0.15162151,-0.33839554,0.99999809,0.48858735,0.14937164,-0.33551088,0.99999899,0.48389435,0.14967448,-0.33584645,0.99999923,0.48045707,0.15059960,-0.33591974,0.99999899,0.51280761,0.15862694,-0.20670274,0.99999815,0.47647315,0.15725033,-0.19047639,0.99999702,0.50296944,0.18030077,-0.30971047,0.99999857,0.48859456,0.18141285,-0.30704778,0.99999797,0.54671550,0.24878252,-0.13441335,0.99999690,0.44138432,0.24585062,-0.07469073,0.99998534,0.61897600,0.29315978,-0.14281531,0.99907011,0.36357579,0.28335041,-0.08134253,0.99857682,0.68716782,0.31100276,-0.28085983,0.99957132,0.28718832,0.31458041,-0.25260666,0.99897355,0.70618063,0.32475871,-0.31224468,0.99862075,0.26571366,0.33246607,-0.28222415,0.99693167,0.70785522,0.32683963,-0.35404021,0.99896538,0.26761192,0.33455357,-0.32981721,0.99751240,0.69920838,0.32419023,-0.30181649,0.99878603,0.27556631,0.33155531,-0.27829334,0.99716145,0.50403541,0.45413154,-0.03079795,0.99995297,0.44393349,0.43735516,0.03039209,0.99992675,0.47220173,0.59057266,-0.32958251,0.99015403,0.33389771,0.49863940,-0.12526074,0.93882698,0.45576623,0.76331234,-0.25495034,0.98603034,0.30630514,0.69089144,-0.03791165,0.87810427,0.44816798,0.78023320,-0.25612384,0.93913287,0.31083789,0.71927929,-0.03522535,0.82476038,0.46288663,0.82400084,-0.42388916,0.98766541,0.26873544,0.73013663,-0.18463889,0.89730453,120.07788944,115.11315484,-207.62036072,-5279.97393565
7,0.23333333,0.49557737,0.16362320,-0.38693002,0.99999952,0.50088477,0.14797240,-0.36746863,0.99999809,0.50539273,0.14857776,-0.36772341,0.99999779,0.50958347,0.14998792,-0.36760238,0.99999803,0.48836178,0.14703365,-0.36258775,0.99999893,0.48369828,0.14751366,-0.36290541,0.99999917,0.48042676,0.14845072,-0.36298355,0.99999893,0.51279902,0.15705606,-0.24035737,0.99999791,0.47647622,0.15476772,-0.21498145,0.99999684,0.50262636,0.17881723,-0.33731359,0.99999839,0.48781285,0.17898209,-0.33184940,0.99999774,0.54378170,0.24522461,-0.16552572,0.99999571,0.44111562,0.24280125,-0.09409408,0.99998283,0.60351354,0.29516441,-0.33521703,0.99531645,0.36702740,0.28439575,-0.08848517,0.99741620,0.64237249,0.31334955,-0.63137013,0.99729264,0.29414588,0.31755501,-0.25084713,0.99861354,0.65678275,0.32620651,-0.69687808,0.99567431,0.27545950,0.33524692,-0.28510916,0.99627125,0.64458650,0.32631278,-0.72143912,0.99653971,0.27769935,0.33538008,-0.33230305,0.99695212,0.63709700,0.32399058,-0.64930123,0.99521953,0.28517872,0.33229974,-0.27589819,0.99646378,0.50384182,0.44334805,-0.04114388,0.99994797,0.44442794,0.43105063,0.04071426,0.99991959,0.47355574,0.58762532,-0.27390131,0.98180729,0.33508849,0.46835798,-0.09198103,0.89647967,0.45706171,0.75747466,-0.23343940,0.98164630,0.40559894,0.60266956,0.20010661,0.80466473,0.45114049,0.77854967,-0.23623776,0.92027694,0.40764115,0.62125298,0.22788014,0.75823569,0.46106282,0.82020789,-0.40129304,0.98342282,0.40149170,0.64066482,0.15609840,0.82985818,112.37600218,104.52309854,-344.78542653,1349.81022448
8,0.26666667,0.48086068,0.16707979,-0.09987912,0.99999791,0.49042255,0.15157558,-0.09473439,0.99999762,0.49546295,0.15203914,-0.09499813,0.99999720,0.49979913,0.15318838,-0.09490207,0.99999774,0.47700980,0.15105836,-0.07082712,0.99999821,0.47310448,0.15148041,-0.07106084,0.99999797,0.47059143,0.15224399,-0.07108492,0.99999785,0.50681120,0.15994003,-0.04055129,0.99999750,0.47079763,0.15776622,-0.07653082,0.99998832,0.49008760,0.18113548,-0.07558137,0.99999356,0.47634345,0.18209225,-0.04751159,0.99998707,0.50260252,0.24857137,-0.10672279,0.99999511,0.45154798,0.24548459,0.06722129,0.99988335,0.54208562,0.30310807,-0.18778047,0.99508828,0.42025362,0.32123226,0.10731146,0.89845216,0.51441694,0.31511515,-0.22319750,0.99703741,0.38626664,0.35175892,0.24741399,0.90129441,0.50754245,0.32644922,-0.26320779,0.99512321,0.37802932,0.37154973,0.24542411,0.90175945,0.49560430,0.32666698,-0.24268848,0.99581939,0.37653955,0.36908447,0.21293041,0.90243566,0.49454237,0.32480425,-0.21157870,0.99317831,0.38040977,0.36393992,0.23122303,0.90208191,0.48520336,0.42857409,-0.08975837,0.99995208,0.44749665,0.43224290,0.08965714,0.99992204,0.47798681,0.58657914,-0.18161367,0.98162591,0.37771297,0.48868883,-0.00625147,0.86481458,0.46382952,0.75791144,-0.15565136,0.98159051,0.49598745,0.51193035,0.13602142,0.76400685,0.46187603,0.77309185,-0.14698239,0.91897446,0.50835669,0.52322668,0.15136802,0.72620624,0.46398371,0.82104319,-0.22640401,0.98168516,0.53306073,0.54887003,0.09774543,0.79306650,85.72153940,92.12745974,-117.63301242,9149.70338599
9,0.30000000,0.47648349,0.16809461,-0.10822107,0.99999696,0.48589411,0.15307797,-0.10245919,0.99999744,0.49136332,0.15350777,-0.10271644,0.99999696,0.49604249,0.15450969,-0.10262576,0.99999768,0.47355902,0.15298820,-0.07808097,0.99999785,0.47010374,0.15339530,-0.07831679,0.99999732,0.46741861,0.15402189,-0.07834227,0.99999726,0.50395751,0.16118643,-0.04481919,0.99999738,0.46963611,0.15927052,0.06191982,0.99998355,0.48645100,0.18141538,-0.08270866,0.99999088,0.47305012,0.18277420,-0.05425354,0.99998116,0.49278307,0.25041261,-0.10847218,0.99999464,0.47021487,0.24596114,0.22853665,0.99979424,0.45747960,0.30615121,-0.17125045,0.99503601,0.47511342,0.32353491,0.30310810,0.80927491,0.38274020,0.31604213,-0.20448379,0.99693078,0.47249347,0.38483053,0.22786613,0.81298620,0.36202541,0.32705590,-0.24249469,0.99484336,0.47247121,0.40549883,0.22343649,0.81537753,0.35990137,0.32655197,-0.22720975,0.99541843,0.46701425,0.40205947,0.19138394,0.81605607,0.36488810,0.32504904,-0.19521047,0.99194235,0.46766210,0.39492261,0.21121463,0.81586945,0.48075265,0.42354718,-0.09157077,0.99995601,0.45208761,0.43236181,0.09151959,0.99992615,0.47838396,0.57901746,-0.16589005,0.98207843,0.38465810,0.49874026,-0.03843143,0.85921884,0.46505269,0.75722903,-0.09013813,0.98172665,0.50061643,0.50906157,0.06848492,0.75562614,0.46479738,0.77082086,-0.08203477,0.91954744,0.51286232,0.53976411,0.07611191,0.71860754,0.46467638,0.81883383,-0.17864908,0.98058772,0.53812122,0.54622877,0.02303181,0.78475714,85.23438885,96.68089772,265.19479920,6769.20898605
