Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
0,0.0000,0.0000,3049.5167,53.2241,-65.4187,11.5272,0.0000,11.5272
1,0.0333,103.5573,2904.1207,50.6865,-102.7581,-2.4469,10.1474,10.4382
2,0.0667,195.2243,2685.7844,46.8758,-139.7667,-9.1209,-2.4822,9.4526
3,0.1000,275.0011,2394.5078,41.7920,-176.4445,0.7471,-8.5378,8.5704
4,0.1333,342.8876,2081.2719,36.3250,-234.2508,7.4466,-2.2926,7.7915
5,0.1667,418.5526,1553.7159,27.1175,-264.6537,3.7125,6.0708,7.1160
6,0.2000,468.0828,983.0742,17.1579,-232.5155,-2.0312,6.2207,6.5439
7,0.2333,477.7193,561.2709,9.7960,-128.2029,-2.8258,5.3779,6.0751
8,0.2667,482.8897,437.9237,7.6432,-10.9739,-2.9747,4.6001,5.4781
9,0.3000,508.7176,617.4631,10.7768,49.0305,-4.3631,2.6510,5.1053
10,0.3333,535.9893,787.4439,13.7435,41.1675,-4.8778,0.3420,4.8898
11,0.3667,562.0380,760.2937,13.2696,-3.1952,-4.4917,-1.8182,4.8457
12,0.4000,585.1917,661.1341,11.5390,-35.0453,-3.5217,-3.5453,4.9972
13,0.4333,605.4657,599.4699,10.4627,-31.4708,-2.2067,-4.8345,5.3143
14,0.4667,624.3401,567.7689,9.9094,-13.8448,-0.5641,-5.6920,5.7199
15,0.5000,643.0861,559.5962,9.7668,-4.6488,1.3677,-5.8839,6.0408
16,0.5333,661.9069,556.3402,9.7100,-4.6928,3.1955,-5.1325,6.0460
17,0.5667,680.4541,543.4868,9.4856,-8.9280,4.5691,-3.7726,5.9253
18,0.6000,698.2771,518.5847,9.0510,-13.9678,5.3134,-2.1169,5.7196
19,0.6333,715.0363,486.1289,8.4845,-17.4314,5.5216,-0.4795,5.5424
20,0.6667,730.5937,450.3827,7.8607,-19.6289,5.4927,1.0273,5.5880
21,0.7000,744.9467,412.0878,7.1923,-22.2334,5.3432,2.4855,5.8930
22,0.7333,758.0333,368.1668,6.4257,-26.2803,5.0209,3.9275,6.3745
23,0.7667,769.5893,314.4594,5.4884,-31.0514,4.5597,5.3556,7.0337
24,0.8000,779.1877,250.3028,4.3686,-34.1993,4.0055,6.7160,7.8198
25,0.8333,786.4498,181.6692,3.1707,-33.1656,3.4577,7.9331,8.6539
26,0.8667,791.3418,120.3426,2.1004,-26.7699,3.0134,8.9242,9.4193
27,0.9000,794.3580,79.0473,1.3796,-14.9338,2.6325,9.4020,9.7636
28,0.9333,796.4537,65.5777,1.1445,2.6193,2.2758,9.4458,9.7161
29,0.9667,798.7919,86.8091,1.5151,26.0408,1.8045,9.1069,9.2839
