Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
0,0.0000,0.0000,0.0000,0.0000,0.3849,2.9044,0.0000,2.9044
1,0.0333,-3.2333,6.1511,0.1074,41.6050,2.8657,-0.1619,2.8702
2,0.0667,-1.4456,138.0065,2.4087,68.9019,2.9035,-0.0733,2.9044
3,0.1000,5.3632,277.5454,4.8441,82.2758,2.9937,0.2810,3.0069
4,0.1333,17.1929,448.3306,7.8248,82.2284,3.0357,0.9393,3.1777
5,0.1667,34.4325,598.9573,10.4538,64.2665,2.8182,1.9320,3.4168
6,0.2000,57.2136,705.3217,12.3102,36.0442,2.0167,3.1310,3.7243
7,0.2333,82.7121,743.8662,12.9829,6.5821,0.5201,4.0670,4.1001
8,0.2667,107.8622,720.7196,12.5789,-9.4829,-1.4864,4.6125,4.8461
9,0.3000,130.8954,681.9451,11.9022,-6.7227,-3.7086,4.2821,5.6648
10,0.3333,152.3636,678.3543,11.8395,8.7828,-5.7178,2.9938,6.4542
11,0.3667,174.5613,721.3414,12.5898,21.1969,-7.0436,0.6706,7.0755
12,0.4000,199.8488,780.5255,13.6227,16.8058,-7.0025,-2.5278,7.4448
13,0.4333,227.4233,806.5609,14.0771,-5.2329,-5.0548,-5.5015,7.4711
14,0.4667,254.7107,765.1272,13.3540,-33.9019,-1.8556,-6.7880,7.0370
15,0.5000,279.1280,663.1371,11.5739,-55.7577,1.0122,-6.2996,6.3804
16,0.5333,298.9556,536.0080,9.3551,-63.5857,2.6939,-4.8687,5.5643
17,0.5667,314.1812,414.6886,7.2377,-59.3621,3.2720,-3.3669,4.6949
18,0.6000,326.0410,313.1633,5.4657,-49.9166,3.2111,-2.1625,3.8714
19,0.6333,335.1752,230.8461,4.0290,-40.2070,2.9007,-1.3418,3.1960
20,0.6667,341.6989,162.4359,2.8350,-31.3128,2.5649,-0.8483,2.7015
21,0.7000,345.9835,108.5098,1.8939,-22.7441,2.3473,-0.5860,2.4193
22,0.7333,348.7411,73.2213,1.2780,-14.6827,2.3643,-0.4707,2.4107
23,0.7667,350.7389,55.3719,0.9664,-7.9203,2.5052,-0.4085,2.5383
24,0.8000,352.5040,48.4553,0.8457,-1.7755,2.7539,-0.3624,2.7776
25,0.8333,354.2581,49.5015,0.8640,6.9047,3.0562,-0.3073,3.0716
26,0.8667,356.1416,67.8283,1.1838,21.3098,3.2530,-0.2194,3.2604
27,0.9000,358.7031,121.0308,2.1124,40.6891,3.3479,-0.0758,3.3488
28,0.9333,363.4998,219.1135,3.8243,58.8203,3.3564,0.2053,3.3626
29,0.9667,372.6023,351.8038,6.1401,67.2523,3.3041,0.7387,3.3857
30,1.0000,386.9296,488.8893,8.5327,61.2326,3.0433,1.5459,3.4134
31,1.0333,405.7487,595.8819,10.4001,43.3595,2.4484,2.5132,3.5087
32,1.0667,427.3107,654.7083,11.4268,22.0994,1.4487,3.4651,3.7557
33,1.1000,449.7913,671.4865,11.7196,6.2995,0.0152,4.1663,4.1663
34,1.1333,472.0879,668.1879,11.6621,-0.1489,-1.7701,4.3618,4.7072
