Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
0,0.0000,0.0000,3280.5526,57.2564,-336.8283,2.7330,0.0000,2.7330
1,0.0333,103.1183,2616.8827,45.6732,-333.2531,-0.9188,3.9427,4.0484
2,0.0667,186.4361,2030.0108,35.4304,-310.6539,-5.1594,-0.5820,5.1921
3,0.1000,249.9536,1519.9368,26.5279,-269.0305,-2.1130,-5.7907,6.1642
4,0.1333,292.9454,979.7430,17.0997,-209.2576,2.7152,-6.4136,6.9646
5,0.1667,305.0809,641.2641,11.1922,-126.6526,4.3642,-6.2140,7.5934
6,0.2000,329.6274,495.3438,8.6454,-34.0918,6.9457,-4.0706,8.0506
7,0.2333,348.2362,553.4179,9.6590,42.4855,8.1610,-1.6996,8.3361
8,0.2667,364.8764,682.0459,11.9039,82.9633,8.0916,0.6903,8.1210
9,0.3000,388.3880,839.7238,14.6559,77.4967,6.8439,3.6986,7.7794
10,0.3333,421.3816,1010.5322,17.6371,30.5786,3.6953,6.7726,7.7151
11,0.3667,458.9417,1029.3967,17.9664,-32.1857,-1.2287,7.8092,7.9052
12,0.4000,493.6248,867.8928,15.1476,-76.9118,-5.5338,5.8060,8.0207
13,0.4333,519.1028,652.8123,11.3937,-70.0824,-7.5270,2.8738,8.0569
14,0.4667,534.6558,540.7518,9.4379,-13.9953,-7.9603,0.7446,7.9950
15,0.5000,549.6734,599.4268,10.4620,46.5295,-7.7443,-1.3201,7.8560
16,0.5333,572.6987,774.0167,13.5091,65.8560,-6.5194,-4.1851,7.7471
17,0.5667,603.3837,921.5870,16.0847,32.3505,-3.5248,-7.0339,7.8677
18,0.6000,636.9550,927.8522,16.1941,-25.2452,0.9767,-8.0064,8.0657
19,0.6333,667.5475,794.8018,13.8719,-59.7486,5.0951,-6.6287,8.3606
20,0.6667,691.0974,632.3080,11.0359,-41.0749,7.1745,-3.9610,8.1953
21,0.7000,708.6635,581.8329,10.1549,21.0519,7.5165,-1.5069,7.6661
22,0.7333,725.5670,706.4653,12.3301,81.8525,7.1689,0.6987,7.2028
23,0.7667,752.0185,944.3337,16.4817,92.4950,6.1747,3.8611,7.2825
24,0.8000,789.7153,1144.0427,19.9673,40.5387,2.7195,7.3578,7.8443
25,0.8333,832.0643,1147.9837,20.0361,-39.5328,-3.1754,7.8340,8.4530
26,0.8667,870.3860,946.7016,16.5231,-95.4999,-7.6928,4.3726,8.8487
27,0.9000,897.3468,696.4479,12.1553,-94.7450,-9.0091,0.4175,9.0187
28,0.9333,912.6600,546.5873,9.5397,-45.7699,-8.9080,-2.0010,9.1300
29,0.9667,928.3688,541.3338,9.4481,13.0179,-8.2275,-4.4428,9.3504
30,1.0000,949.7450,639.2924,11.1578,50.6191,-6.2234,-7.3501,9.6309
31,1.0333,974.3152,760.3233,13.2701,62.0837,-2.7864,-9.9232,10.3070
32,1.0667,999.9605,858.3835,14.9816,50.7802,1.8351,-10.4495,10.6095
33,1.1000,1029.5363,934.3086,16.3068,13.9099,6.7319,-8.1559,10.5753
34,1.1333,1062.2605,958.4733,16.7285,-42.3407,9.4959,-3.0377,9.9699
35,1.1667,1094.6221,834.3647,14.5624,-89.5849,9.0402,2.3585,9.3428
36,1.2000,1121.6756,574.1842,10.0214,-89.2240,6.8064,6.0590,9.1125
37,1.2333,1138.0763,382.1332,6.6695,-19.8599,4.9054,7.8736,9.2767
38,1.2667,1141.4875,433.4827,7.5657,86.5793,4.5023,8.2880,9.4320
39,1.3000,1155.5410,738.6775,12.8924,151.1014,2.2914,8.8864,9.1770
40,1.3333,1190.8552,1139.0224,19.8797,123.8278,-3.1037,8.1469,8.7181
41,1.3667,1238.2343,1337.5033,23.3438,30.2160,-7.3899,2.9506,7.9571
42,1.4000,1285.8887,1213.1809,21.1740,-60.9199,-6.7460,-3.2740,7.4985
43,1.4333,1323.2352,965.1894,16.8457,-90.9433,-3.3409,-6.6239,7.4187
44,1.4667,1345.0898,798.8439,13.9425,-58.4590,-0.6541,-7.6144,7.6424
45,1.5000,1368.0712,772.6669,13.4856,-15.2856,2.5615,-7.8502,8.2576
46,1.5333,1397.9962,822.4437,14.3543,0.3980,6.2562,-5.6339,8.4191
47,1.5667,1428.3694,823.2573,14.3685,-2.8888,8.3141,-1.7113,8.4884
48,1.6000,1454.9692,764.2759,13.3391,1.2448,8.1490,2.1788,8.4352
49,1.6333,1477.3381,756.6764,13.2065,22.9186,6.9105,5.2717,8.6917
50,1.6667,1501.4466,847.3583,14.7892,41.3324,4.3767,8.0431,9.1568
51,1.7000,1532.5037,973.5249,16.9912,27.4152,-0.4208,9.6243,9.6335
52,1.7333,1568.4842,1016.7011,17.7448,-16.2523,-5.9700,7.5095,9.5934
53,1.7667,1603.6217,912.0921,15.9190,-54.0805,-8.8998,2.6157,9.2762
54,1.8000,1632.1153,741.3730,12.9394,-51.3318,-8.4524,-1.8144,8.6450
55,1.8333,1651.8311,649.7080,11.3395,-6.0945,-6.6879,-4.1517,7.8717
56,1.8667,1669.9289,708.8496,12.3718,44.6280,-4.6839,-5.5681,7.2762
57,1.9000,1696.1687,871.9991,15.2193,56.5956,-1.6172,-6.5687,6.7648
58,1.9333,1730.1803,997.6633,17.4125,16.8978,2.1913,-5.9621,6.3520
59,1.9667,1766.0671,963.9811,16.8246,-49.4840,4.6983,-3.1610,5.6626
60,2.0000,1796.8926,774.3790,13.5155,-101.2833,5.1763,-0.2810,5.1839
61,2.0333,1817.8351,526.4398,9.1881,-110.3056,4.9945,1.6069,5.2467
62,2.0667,1830.4086,324.8330,5.6694,-77.5813,4.9813,2.9235,5.7758
63,2.1000,1837.8540,229.5325,4.0061,-25.6702,5.4421,4.2296,6.8925
64,2.1333,1844.8407,240.9190,4.2048,19.4851,5.8079,5.7757,8.1909
65,2.1667,1853.8309,324.0300,5.6554,42.3016,5.5251,7.5576,9.3619
66,2.2000,1866.2731,421.6400,7.3590,41.2758,4.1110,9.3532,10.2168
67,2.2333,1882.3125,486.9608,8.4991,24.8174,1.4732,10.9140,11.0130
68,2.2667,1900.3773,509.8938,8.8993,5.7035,-2.1223,11.5894,11.7822
69,2.3000,1916.6661,498.5937,8.7021,-6.2861,-5.6256,11.2017,12.5349
70,2.3333,1932.5885,474.7373,8.2857,-9.7391,-8.8955,9.6777,13.1449
71,2.3667,1948.1526,459.6688,8.0227,-8.2117,-11.5098,7.1496,13.5496
72,2.4000,1963.3665,451.2826,7.8764,-5.7092,-13.0994,3.9134,13.6715
73,2.4333,1978.2381,441.1287,7.6991,-4.7638,-13.4137,0.4126,13.4200
74,2.4667,1992.7751,431.2033,7.5259,-4.9729,-13.2523,-3.0048,13.5887
75,2.5000,2006.9850,421.5012,7.3566,-5.2043,-12.5595,-6.3952,14.0939
76,2.5333,2020.8752,412.0175,7.1911,-5.0881,-11.0968,-9.6039,14.6757
77,2.5667,2034.4528,402.7471,7.0293,-4.0730,-8.7236,-12.2088,15.0052
78,2.6000,2047.7250,392.4878,6.8502,-3.1361,-5.5931,-13.6543,14.7554
79,2.6333,2060.6985,388.3068,6.7772,-4.7324,-2.2687,-13.8521,14.0366
80,2.6667,2073.3801,383.7471,6.6977,-9.6607,0.7615,-12.8932,12.9157
81,2.7000,2085.7764,361.4614,6.3087,-15.2120,3.2698,-11.5733,12.0263
82,2.7333,2098.7320,324.9625,5.6717,-13.0064,5.4461,-9.9343,11.3291
83,2.7667,2108.5602,298.0981,5.2028,5.7225,6.8266,-8.5637,10.9517
84,2.8000,2117.5973,318.7143,5.5626,36.5886,8.0699,-7.3696,10.9286
85,2.8333,2128.3890,423.7906,7.3965,60.7029,9.1304,-5.6195,10.7211
86,2.8667,2144.2233,580.5034,10.1317,57.8435,10.0200,-2.8310,10.4122
87,2.9000,2166.4754,690.7488,12.0558,21.8433,9.8739,1.1207,9.9373
88,2.9333,2192.9513,683.7652,11.9340,-29.6665,8.0809,5.2380,9.6300
89,2.9667,2215.3646,559.2332,9.7605,-64.8520,5.3575,7.7559,9.4264
90,3.0000,2230.1748,390.8535,6.8217,-64.0656,3.1633,8.7743,9.3271
91,3.0333,2239.2605,278.5327,4.8613,-33.8881,1.6365,8.6282,8.7820
92,3.0667,2246.8531,269.0332,4.6955,2.2350,0.4403,8.0089,8.0210
93,3.1000,2256.4577,322.9173,5.6360,22.4898,-0.7799,6.8899,6.9339
94,3.1333,2268.9984,377.9105,6.5958,20.9062,-1.9396,5.6336,5.9582
95,3.1667,2283.3024,402.2154,7.0200,7.8555,-3.0066,4.5767,5.4759
96,3.2000,2296.2238,395.5982,6.9045,-3.2909,-3.8777,3.7155,5.3704
97,3.2333,2308.8545,376.8358,6.5770,-7.4766,-5.0125,3.0292,5.8567
98,3.2667,2321.2010,364.6771,6.3648,-6.6583,-5.9956,2.0410,6.3335
99,3.3000,2333.2697,357.9873,6.2481,-4.6145,-6.3434,0.7486,6.3874
100,3.3333,2345.0668,349.9326,6.1075,-3.7897,-6.2089,-0.5505,6.2332
101,3.3667,2356.5985,342.0591,5.9701,-3.9639,-5.6234,-1.6763,5.8679
102,3.4000,2367.8708,334.3628,5.8357,-4.0231,-5.2157,-2.7582,5.9001
103,3.4333,2378.8894,326.8396,5.7044,-3.8948,-4.8080,-3.8781,6.1771
104,3.4667,2389.6601,319.4857,5.5761,-3.8072,-4.4306,-5.2170,6.8445
105,3.5000,2400.1884,312.2973,5.4506,-3.7215,-3.6818,-6.4257,7.4058
106,3.5333,2410.4799,305.2706,5.3280,-3.6378,-2.5498,-7.1923,7.6309
107,3.5667,2420.5398,298.4020,5.2081,-3.5559,-1.2367,-7.4219,7.5242
108,3.6000,2430.3734,291.6880,5.0909,-3.4759,0.0468,-7.1824,7.1826
109,3.6333,2439.9857,285.1250,4.9764,-3.3977,1.1906,-6.7622,6.8662
110,3.6667,2449.3817,278.7097,4.8644,-3.3211,2.2389,-6.3642,6.7466
111,3.7000,2458.5663,272.4387,4.7550,-3.2468,3.2588,-5.9854,6.8151
112,3.7333,2467.5443,266.3089,4.6480,-3.1749,4.1946,-5.4577,6.8834
113,3.7667,2476.3203,260.3169,4.5434,-3.0957,4.9180,-4.6964,6.8002
