Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
0,0.0000,0.0000,839.8860,14.6588,-11.7096,4.0267,0.0000,4.0267
1,0.0333,28.0693,818.0238,14.2772,-13.0044,3.4909,1.8616,3.9563
2,0.0667,54.8170,790.0884,13.7896,-15.3338,2.2837,3.2394,3.9634
3,0.1000,80.2431,756.0800,13.1961,-18.6980,0.6860,3.9896,4.0481
4,0.1333,104.3476,719.6153,12.5597,-23.7647,-1.0434,4.0791,4.2105
5,0.1667,128.5800,671.4508,11.7190,-29.5676,-2.7753,3.4790,4.4504
6,0.2000,150.1284,608.7004,10.6238,-33.3621,-4.1344,2.3747,4.7679
7,0.2333,168.9715,537.6530,9.3838,-32.2915,-5.0676,0.9877,5.1629
8,0.2667,185.5421,477.6498,8.3366,-26.0690,-5.9959,-0.5818,6.0240
9,0.3000,200.6166,439.6958,7.6741,-17.6034,-6.4920,-2.4423,6.9362
10,0.3333,214.8479,418.1090,7.2974,-7.0123,-6.2510,-4.3523,7.6170
11,0.3667,228.6100,409.8147,7.1526,6.1696,-5.3279,-6.0455,8.0582
12,0.4000,242.2057,414.4321,7.2332,7.7563,-3.9083,-7.4146,8.3816
13,0.4333,256.0746,455.6359,7.9523,-14.6811,-2.0532,-8.2808,8.5316
14,0.4667,270.7482,454.2831,7.9287,-40.9612,0.1130,-8.6498,8.6505
15,0.5000,286.4583,311.5642,5.4378,-30.7323,2.4649,-8.3438,8.7003
16,0.5333,302.7328,210.7088,3.6776,51.1043,4.6855,-7.2892,8.6653
17,0.5667,301.9768,404.1102,7.0531,198.7541,4.5607,-7.3052,8.6119
18,0.6000,309.7754,949.3504,16.5693,333.8518,5.5265,-6.6389,8.6381
19,0.6333,359.4475,1751.5225,30.5698,358.7333,8.7390,-0.0843,8.7394
20,0.6667,436.9150,2473.9808,43.1791,233.5126,1.9762,8.5021,8.7288
21,0.7000,528.4900,2750.8605,48.0116,-0.3617,-8.3742,1.7053,8.5461
22,0.7333,620.9207,2471.3320,43.1329,-234.0766,-1.2695,-7.9444,8.0451
23,0.7667,698.0062,1751.0280,30.5612,-358.0238,6.7923,-2.7434,7.3254
24,0.8000,747.6564,952.1856,16.6188,-329.6978,5.7469,3.0116,6.4883
25,0.8333,755.4422,415.5934,7.2535,-188.7330,4.5660,3.2500,5.6046
26,0.8667,755.8334,246.7297,4.3062,-33.5707,3.8974,2.8143,4.8073
27,0.9000,773.3860,390.5596,6.8166,55.2412,2.4470,3.2932,4.1028
28,0.9333,792.2517,587.4576,10.2531,68.8546,1.1086,3.4635,3.6366
29,0.9667,812.4440,641.7884,11.2013,40.0817,-0.1498,3.5087,3.5119
30,1.0000,834.1351,644.9159,11.2559,8.6273,-1.5624,3.4870,3.8210
31,1.0333,855.1763,660.7989,11.5331,-5.6036,-3.1982,3.1786,4.5091
32,1.0667,877.3602,653.6434,11.4082,-15.1531,-5.1171,2.1342,5.5443
33,1.1000,899.4087,614.2804,10.7212,-29.8553,-6.7208,0.0694,6.7211
34,1.1333,919.3250,539.0583,9.4083,-39.3003,-7.3157,-2.5655,7.7525
35,1.1667,935.7456,450.1277,7.8562,-34.1119,-6.9822,-5.0257,8.6029
