Frame,Time_s,Theta_continuous_deg,Omega_deg_s,Omega_rad_s,Alpha_rad_s2,CoM_X_clean_cm,CoM_Z_clean_cm,CoM_Radius_cm
0,0.0000,0.0000,526.3160,9.1859,-31.1316,18.7864,0.0000,18.7864
1,0.0333,16.6912,451.1302,7.8737,-41.7447,15.9747,4.7900,16.6773
2,0.0667,31.5526,390.4352,6.8144,-41.0063,12.7302,7.8171,14.9387
3,0.1000,44.5840,344.2311,6.0080,-28.9163,9.6652,9.5258,13.5704
4,0.1333,54.9327,276.9224,4.8332,-7.3696,7.2234,10.2904,12.5726
5,0.1667,63.7487,270.2434,4.7166,32.4668,5.2834,10.7131,11.9451
6,0.2000,72.0550,376.1935,6.5658,79.4335,3.6011,11.1195,11.6880
7,0.2333,85.4198,585.4943,10.2188,103.8997,0.9424,11.7637,11.8014
8,0.2667,109.5863,818.4935,14.2854,82.4213,-4.2510,11.9473,12.6811
9,0.3000,142.1591,954.6647,16.6620,23.9019,-11.1631,8.6718,14.1356
10,0.3333,176.5359,917.0278,16.0052,-38.0217,-15.7038,0.9506,15.7325
11,0.3667,205.8467,759.5635,13.2569,-67.1929,-15.5044,-7.5107,17.2278
12,0.4000,226.5367,606.9063,10.5925,-49.4203,-12.8137,-13.5202,18.6276
13,0.4333,242.8131,551.0226,9.6172,-2.7301,-9.0487,-17.6168,19.8048
14,0.4667,261.4026,612.8749,10.6967,39.2852,-3.0691,-20.2999,20.5306
15,0.5000,284.0677,737.1635,12.8659,52.4920,5.0209,-20.0367,20.6562
16,0.5333,311.0145,840.6488,14.6721,32.5657,12.9804,-14.9246,19.7796
17,0.5667,340.7770,871.9287,15.2180,-5.4362,17.0797,-5.9555,18.0883
18,0.6000,370.3395,817.2133,14.2631,-36.2837,15.4872,2.8255,15.7428
19,0.6333,396.6157,708.8984,12.3726,-40.6476,10.5372,7.8301,13.1279
20,0.6667,417.9523,624.4919,10.8994,-16.4902,5.7094,9.1200,10.7597
21,0.7000,436.1296,626.5471,10.9353,18.0119,2.0768,8.4105,8.6631
22,0.7333,456.8749,711.4954,12.4179,35.3383,-0.8381,6.9515,7.0018
23,0.7667,483.2656,806.7176,14.0799,19.1482,-3.2260,4.9176,5.8813
24,0.8000,512.7726,816.6331,14.2529,-25.5391,-4.6454,2.3902,5.2242
25,0.8333,540.2885,713.9377,12.4606,-70.8659,-5.1367,-0.0259,5.1368
26,0.8667,561.3549,536.3628,9.3613,-76.7029,-5.3199,-2.0800,5.7121
27,0.9000,575.4481,368.5656,6.4327,-21.3069,-5.6525,-4.0241,6.9386
