Frame,Time,FPS,Original_Frame,Landmark_ID,Visibility,Detection_OK,X_clean,Y_clean,Z_clean,X_raw,Y_raw,Z_raw
0,0.000000,30.000000,156,0,0.998998,1,,,-0.073561,-0.066841,0.134527,-0.535035
0,0.000000,30.000000,156,1,0.999190,1,,,1.031257,-0.073124,0.135453,-0.559946
0,0.000000,30.000000,156,2,0.999074,1,,,0.772447,-0.074199,0.133439,-0.543960
0,0.000000,30.000000,156,3,0.999243,1,,,0.869444,-0.073894,0.136547,-0.547388
0,0.000000,30.000000,156,4,0.999346,1,,,-0.336238,-0.059303,0.138007,-0.566732
0,0.000000,30.000000,156,5,0.999389,1,,,-0.524833,-0.060183,0.132512,-0.580708
0,0.000000,30.000000,156,6,0.999550,1,,,-0.547755,-0.068732,0.126371,-0.556529
0,0.000000,30.000000,156,7,0.999448,1,,,,-0.095921,0.069568,-0.525196
0,0.000000,30.000000,156,8,0.999076,1,,,-0.213153,-0.117540,0.133577,-0.525393
0,0.000000,30.000000,156,9,0.999029,1,,,,-0.066031,0.087570,-0.506318
0,0.000000,30.000000,156,10,0.999016,1,,,0.975780,-0.089046,0.101654,-0.538502
0,0.000000,30.000000,156,11,0.999963,1,,,1.299651,-0.049967,-0.002001,-0.294680
0,0.000000,30.000000,156,12,0.999775,1,,,,0.068785,0.126837,-0.333205
0,0.000000,30.000000,156,13,0.770480,1,,,,-0.120621,-0.222232,-0.232850
0,0.000000,30.000000,156,14,0.624523,1,,,,0.057114,0.062714,-0.260658
0,0.000000,30.000000,156,15,0.799884,1,,,,-0.256659,-0.384800,-0.149109
0,0.000000,30.000000,156,16,0.686277,1,,,0.234381,0.182206,0.052120,-0.178895
0,0.000000,30.000000,156,17,0.773544,1,,,,-0.237321,-0.409104,-0.147883
0,0.000000,30.000000,156,18,0.655253,1,,,-0.003260,0.253259,0.036306,-0.232816
0,0.000000,30.000000,156,19,0.773665,1,,,,-0.248354,-0.394049,-0.182711
0,0.000000,30.000000,156,20,0.656406,1,,,,0.286599,0.021147,-0.246214
0,0.000000,30.000000,156,21,0.745586,1,,,,-0.280182,-0.397388,-0.157279
0,0.000000,30.000000,156,22,0.623624,1,,,,0.196350,0.049882,-0.202975
0,0.000000,30.000000,156,23,0.999946,1,,,-1.390160,0.026441,-0.023994,0.043202
0,0.000000,30.000000,156,24,0.999956,1,,,1.203524,-0.019570,0.023903,-0.043345
0,0.000000,30.000000,156,25,0.727557,1,,,,0.023429,-0.220131,-0.021837
0,0.000000,30.000000,156,26,0.764933,1,,,,0.112106,-0.206871,0.040800
0,0.000000,30.000000,156,27,0.803232,1,,,,0.138716,-0.509959,0.049193
0,0.000000,30.000000,156,28,0.825085,1,,,,0.087158,-0.512454,0.172921
0,0.000000,30.000000,156,29,0.821389,1,,,,0.152589,-0.525000,0.060758
0,0.000000,30.000000,156,30,0.793156,1,,,-1.388059,0.095162,-0.532612,0.154014
0,0.000000,30.000000,156,31,0.757403,1,,,,0.197773,-0.509173,0.002529
0,0.000000,30.000000,156,32,0.807482,1,,,1.109667,0.129688,-0.570449,0.180205
1,0.033333,30.000000,157,0,0.998745,1,,,-0.073561,-0.038177,0.118621,-0.208655
1,0.033333,30.000000,157,1,0.998960,1,,,1.031257,-0.054060,0.124012,-0.220973
1,0.033333,30.000000,157,2,0.998847,1,,,0.772447,-0.057820,0.119745,-0.207481
1,0.033333,30.000000,157,3,0.999050,1,,,0.869444,-0.056512,0.121873,-0.212407
1,0.033333,30.000000,157,4,0.999219,1,,,-0.336238,-0.038043,0.129470,-0.239253
1,0.033333,30.000000,157,5,0.999321,1,,,-0.524833,-0.039071,0.126070,-0.248994
1,0.033333,30.000000,157,6,0.999468,1,,,-0.547755,-0.048152,0.119088,-0.229288
1,0.033333,30.000000,157,7,0.999338,1,,,,-0.065984,0.083863,-0.179013
1,0.033333,30.000000,157,8,0.998830,1,,,-0.213153,-0.092864,0.144437,-0.266912
1,0.033333,30.000000,157,9,0.998346,1,,,,-0.025478,0.081818,-0.187020
1,0.033333,30.000000,157,10,0.998505,1,,,0.975780,-0.053081,0.100827,-0.237361
1,0.033333,30.000000,157,11,0.999966,1,,,1.299651,-0.014135,-0.000974,-0.029250
1,0.033333,30.000000,157,12,0.999796,1,,,,0.078214,0.131621,-0.188605
1,0.033333,30.000000,157,13,0.701541,1,,,,-0.102385,-0.224568,0.041239
1,0.033333,30.000000,157,14,0.563653,1,,,,-0.068527,-0.112124,-0.252465
1,0.033333,30.000000,157,15,0.741758,1,,,,-0.259162,-0.386569,0.165046
1,0.033333,30.000000,157,16,0.625324,1,,,0.234381,-0.207474,-0.314457,-0.174965
1,0.033333,30.000000,157,17,0.716117,1,,,,-0.254197,-0.403347,0.194300
1,0.033333,30.000000,157,18,0.599403,1,,,-0.003260,-0.203042,-0.355941,-0.228260
1,0.033333,30.000000,157,19,0.715379,1,,,,-0.261213,-0.390002,0.166461
1,0.033333,30.000000,157,20,0.599874,1,,,,-0.182418,-0.386744,-0.235380
1,0.033333,30.000000,157,21,0.689352,1,,,,-0.283159,-0.401768,0.165848
1,0.033333,30.000000,157,22,0.567858,1,,,,-0.210136,-0.329445,-0.194004
1,0.033333,30.000000,157,23,0.999951,1,,,-1.390160,0.006719,-0.044341,0.053528
1,0.033333,30.000000,157,24,0.999960,1,,,1.203524,0.000302,0.044757,-0.051861
1,0.033333,30.000000,157,25,0.739637,1,,,,0.040897,-0.382568,-0.010236
1,0.033333,30.000000,157,26,0.770335,1,,,,0.272357,0.059038,-0.131471
1,0.033333,30.000000,157,27,0.819384,1,,,,0.131907,-0.713941,0.033883
1,0.033333,30.000000,157,28,0.831571,1,,,,0.507409,0.161305,-0.137543
1,0.033333,30.000000,157,29,0.836382,1,,,,0.138315,-0.735105,0.038569
1,0.033333,30.000000,157,30,0.804463,1,,,-1.388059,0.535815,0.176616,-0.181113
1,0.033333,30.000000,157,31,0.778775,1,,,,0.191530,-0.736218,0.014678
1,0.033333,30.000000,157,32,0.820755,1,,,1.109667,0.661077,0.187067,-0.213087
2,0.066667,30.000000,158,0,0.000000,0,,,-0.073561,,,
2,0.066667,30.000000,158,1,0.000000,0,,,1.031257,,,
2,0.066667,30.000000,158,2,0.000000,0,,,0.772447,,,
2,0.066667,30.000000,158,3,0.000000,0,,,0.869444,,,
2,0.066667,30.000000,158,4,0.000000,0,,,-0.336238,,,
2,0.066667,30.000000,158,5,0.000000,0,,,-0.524833,,,
2,0.066667,30.000000,158,6,0.000000,0,,,-0.547755,,,
2,0.066667,30.000000,158,7,0.000000,0,,,,,,
2,0.066667,30.000000,158,8,0.000000,0,,,-0.213153,,,
2,0.066667,30.000000,158,9,0.000000,0,,,,,,
2,0.066667,30.000000,158,10,0.000000,0,,,0.975780,,,
2,0.066667,30.000000,158,11,0.000000,0,,,1.299651,,,
2,0.066667,30.000000,158,12,0.000000,0,,,,,,
2,0.066667,30.000000,158,13,0.000000,0,,,,,,
