Frame,Time,FPS,Original_Frame,Landmark_ID,Visibility,Detection_OK,X_clean,Y_clean,Z_clean,X_raw,Y_raw,Z_raw
0,0.000000,30.000000,30,0,0.999458,True,0.023132,0.594441,-0.381185,0.022154,0.596388,-0.365961
0,0.000000,30.000000,30,1,0.999123,True,0.039355,0.608553,-0.368890,0.038774,0.609911,-0.353826
0,0.000000,30.000000,30,2,0.998988,True,0.038309,0.607918,-0.359194,0.037635,0.609276,-0.344120
0,0.000000,30.000000,30,3,0.999367,True,0.038130,0.608780,-0.361595,0.037454,0.610058,-0.346410
0,0.000000,30.000000,30,4,0.999402,True,0.017199,0.615453,-0.378176,0.017157,0.617035,-0.364433
0,0.000000,30.000000,30,5,0.999436,True,0.018408,0.615738,-0.389238,0.018081,0.617239,-0.375672
0,0.000000,30.000000,30,6,0.999557,True,0.020859,0.601072,-0.369539,0.020691,0.602610,-0.355754
0,0.000000,30.000000,30,7,0.999542,True,0.122008,0.576796,-0.269297,0.122103,0.577732,-0.255816
0,0.000000,30.000000,30,8,0.998626,True,-0.032840,0.534860,-0.245913,-0.030665,0.537058,-0.240244
0,0.000000,30.000000,30,9,0.998735,True,0.072465,0.570394,-0.334931,0.071553,0.572058,-0.320338
0,0.000000,30.000000,30,10,0.998632,True,0.030127,0.538766,-0.356251,0.029859,0.540955,-0.343459
0,0.000000,30.000000,30,11,0.999950,True,0.228285,0.423308,-0.137646,0.224965,0.424167,-0.130060
0,0.000000,30.000000,30,12,0.999684,True,-0.078816,0.473996,-0.062459,-0.074953,0.476134,-0.054350
0,0.000000,30.000000,30,13,0.863354,True,0.446076,0.383763,-0.117753,0.422874,0.387263,-0.127421
0,0.000000,30.000000,30,14,0.840586,True,-0.275938,0.295929,-0.058860,-0.254588,0.278492,-0.031741
0,0.000000,30.000000,30,15,0.876696,True,0.608108,0.296920,-0.108919,0.588151,0.319856,-0.135538
0,0.000000,30.000000,30,16,0.871771,True,-0.496059,0.214268,-0.166709,-0.468384,0.181075,-0.129728
0,0.000000,30.000000,30,17,0.868350,True,0.649291,0.291052,-0.097009,0.627678,0.319164,-0.128395
0,0.000000,30.000000,30,18,0.851581,True,-0.523421,0.202582,-0.195422,-0.493332,0.165776,-0.155802
0,0.000000,30.000000,30,19,0.873884,True,0.645419,0.291175,-0.136707,0.623266,0.321756,-0.164246
0,0.000000,30.000000,30,20,0.857207,True,-0.508213,0.234440,-0.238514,-0.479607,0.196692,-0.200633
0,0.000000,30.000000,30,21,0.863650,True,0.619184,0.275126,-0.128258,0.598777,0.300299,-0.153784
0,0.000000,30.000000,30,22,0.831230,True,-0.502612,0.216441,-0.194323,-0.474436,0.181650,-0.157308
0,0.000000,30.000000,30,23,0.999944,True,0.082427,-0.040661,0.006790,0.082303,-0.040399,0.002113
0,0.000000,30.000000,30,24,0.999855,True,-0.080017,0.045343,-0.004118,-0.079813,0.045148,0.000253
0,0.000000,30.000000,30,25,0.911041,True,0.004098,-0.464368,-0.083981,0.000201,-0.463233,-0.105247
0,0.000000,30.000000,30,26,0.767877,True,-0.340190,0.057329,-0.002100,-0.344482,0.035941,0.004752
0,0.000000,30.000000,30,27,0.943430,True,-0.058683,-0.808862,-0.001867,-0.044594,-0.808288,-0.036896
0,0.000000,30.000000,30,28,0.657899,False,-0.382083,-0.082806,0.280596,-0.186142,-0.084837,0.306552
0,0.000000,30.000000,30,29,0.850214,True,-0.086803,-0.838651,0.011747,-0.072855,-0.838234,-0.023716
0,0.000000,30.000000,30,30,0.577179,False,-0.201148,-0.082627,0.273014,-0.160603,-0.079365,0.302185
0,0.000000,30.000000,30,31,0.914593,True,-0.086325,-0.863149,-0.066637,-0.086382,-0.864067,-0.100991
0,0.000000,30.000000,30,32,0.670419,False,-0.185109,-0.125732,0.278358,-0.144152,-0.160793,0.330835
1,0.033333,30.000000,31,0,0.999512,True,0.028188,0.604745,-0.364873,0.024494,0.597159,-0.363141
1,0.033333,30.000000,31,1,0.999210,True,0.045813,0.617898,-0.352074,0.040605,0.610626,-0.350514
1,0.033333,30.000000,31,2,0.999087,True,0.044656,0.617326,-0.341461,0.039522,0.610216,-0.340344
1,0.033333,30.000000,31,3,0.999429,True,0.044281,0.617696,-0.343679,0.039346,0.610937,-0.342860
1,0.033333,30.000000,31,4,0.999461,True,0.022437,0.624903,-0.360602,0.018685,0.617825,-0.359750
1,0.033333,30.000000,31,5,0.999492,True,0.023433,0.624941,-0.371854,0.019643,0.618067,-0.370865
1,0.033333,30.000000,31,6,0.999601,True,0.025995,0.610365,-0.352173,0.022301,0.603642,-0.351356
1,0.033333,30.000000,31,7,0.999586,True,0.130154,0.585254,-0.250357,0.122877,0.578887,-0.248469
1,0.033333,30.000000,31,8,0.998761,True,-0.027411,0.544370,-0.225231,-0.029666,0.537855,-0.229726
1,0.033333,30.000000,31,9,0.998860,True,0.077331,0.578974,-0.317157,0.072197,0.573196,-0.316359
1,0.033333,30.000000,31,10,0.998767,True,0.033410,0.548206,-0.337716,0.030823,0.541904,-0.337876
1,0.033333,30.000000,31,11,0.999952,True,0.228849,0.428688,-0.136184,0.225696,0.423807,-0.126826
1,0.033333,30.000000,31,12,0.999696,True,-0.073070,0.474923,-0.038459,-0.073375,0.475015,-0.046731
1,0.033333,30.000000,31,13,0.876581,True,0.390424,0.412971,-0.161757,0.422043,0.383911,-0.121690
1,0.033333,30.000000,31,14,0.854468,True,-0.246785,0.265263,-0.033874,-0.244617,0.267107,-0.031344
1,0.033333,30.000000,31,15,0.888675,True,0.546496,0.398018,-0.167790,0.594406,0.320685,-0.121889
1,0.033333,30.000000,31,16,0.883351,True,-0.453680,0.165007,-0.136998,-0.456434,0.170910,-0.137842
1,0.033333,30.000000,31,17,0.880734,True,0.573659,0.406335,-0.163333,0.636863,0.323011,-0.112024
1,0.033333,30.000000,31,18,0.863790,True,-0.479948,0.149125,-0.164805,-0.481378,0.158547,-0.166792
1,0.033333,30.000000,31,19,0.885899,True,0.575653,0.410071,-0.190350,0.635010,0.325214,-0.147469
1,0.033333,30.000000,31,20,0.869320,True,-0.464363,0.177433,-0.204046,-0.467828,0.189667,-0.208814
1,0.033333,30.000000,31,21,0.876562,True,0.555842,0.380927,-0.182077,0.606738,0.301532,-0.139056
1,0.033333,30.000000,31,22,0.845966,True,-0.458747,0.165249,-0.161761,-0.462004,0.172346,-0.164505
1,0.033333,30.000000,31,23,0.999941,True,0.086113,-0.042518,-0.000249,0.084748,-0.040159,-0.000682
1,0.033333,30.000000,31,24,0.999848,True,-0.083785,0.047269,0.002548,-0.082106,0.044750,0.003099
1,0.033333,30.000000,31,25,0.914267,True,-0.004267,-0.460068,-0.090421,0.012849,-0.459775,-0.098597
1,0.033333,30.000000,31,26,0.750959,True,-0.350808,0.053080,0.001421,-0.350783,0.034983,-0.022782
1,0.033333,30.000000,31,27,0.945814,True,-0.046480,-0.810347,0.002575,-0.032416,-0.804344,-0.010452
1,0.033333,30.000000,31,28,0.602707,True,-0.349772,-0.090502,0.260172,-0.166827,-0.103260,0.277751
1,0.033333,30.000000,31,29,0.847266,True,-0.075405,-0.840639,0.018810,-0.061680,-0.832334,0.005149
1,0.033333,30.000000,31,30,0.536908,True,-0.255961,-0.090803,0.250501,-0.141264,-0.102902,0.273660
1,0.033333,30.000000,31,31,0.918371,True,-0.093561,-0.873212,-0.054404,-0.078950,-0.863190,-0.069424
1,0.033333,30.000000,31,32,0.620644,True,-0.245325,-0.122055,0.252233,-0.117553,-0.177426,0.292126
2,0.066667,30.000000,32,0,0.999557,True,0.033525,0.614610,-0.348313,0.025998,0.613461,-0.321234
2,0.066667,30.000000,32,1,0.999279,True,0.052853,0.626918,-0.335423,0.042454,0.627793,-0.312564
2,0.066667,30.000000,32,2,0.999165,True,0.051742,0.626410,-0.324012,0.041091,0.628024,-0.300659
2,0.066667,30.000000,32,3,0.999474,True,0.051166,0.626345,-0.326029,0.041347,0.628160,-0.303917
2,0.066667,30.000000,32,4,0.999511,True,0.028408,0.634229,-0.343276,0.019237,0.634548,-0.317174
2,0.066667,30.000000,32,5,0.999539,True,0.029121,0.634041,-0.354753,0.020675,0.634696,-0.327537
2,0.066667,30.000000,32,6,0.999638,True,0.031829,0.619610,-0.335062,0.023302,0.620399,-0.309283
2,0.066667,30.000000,32,7,0.999614,True,0.137924,0.593474,-0.231828,0.125594,0.595653,-0.217798
2,0.066667,30.000000,32,8,0.998875,True,-0.021094,0.554860,-0.205590,-0.025139,0.551709,-0.182964
2,0.066667,30.000000,32,9,0.998962,True,0.081967,0.587516,-0.299533,0.073282,0.588743,-0.276333
2,0.066667,30.000000,32,10,0.998877,True,0.036807,0.557811,-0.319439,0.031453,0.556330,-0.292129
2,0.066667,30.000000,32,11,0.999944,True,0.226686,0.433649,-0.132645,0.223169,0.439223,-0.115649
2,0.066667,30.000000,32,12,0.999692,True,-0.066955,0.479599,-0.014469,-0.071316,0.475663,0.000519
2,0.066667,30.000000,32,13,0.886050,True,0.331986,0.427970,-0.194125,0.406719,0.411642,-0.110626
2,0.066667,30.000000,32,14,0.863877,True,-0.220357,0.245907,-0.008479,-0.240230,0.260083,-0.004884
2,0.066667,30.000000,32,15,0.896355,True,0.467577,0.468339,-0.213105,0.542333,0.341569,-0.061920
2,0.066667,30.000000,32,16,0.893276,True,-0.415088,0.133115,-0.108210,-0.407412,0.146708,-0.122304
2,0.066667,30.000000,32,17,0.887183,True,0.483362,0.486496,-0.215208,0.577895,0.340652,-0.049721
2,0.066667,30.000000,32,18,0.874528,True,-0.439704,0.114701,-0.136571,-0.429228,0.130694,-0.154655
2,0.066667,30.000000,32,19,0.892925,True,0.486441,0.492652,-0.231996,0.572449,0.337161,-0.080168
2,0.066667,30.000000,32,20,0.879975,True,-0.423623,0.140182,-0.172695,-0.415252,0.156767,-0.192639
2,0.066667,30.000000,32,21,0.884064,True,0.474573,0.454618,-0.223357,0.552791,0.319636,-0.074084
2,0.066667,30.000000,32,22,0.858867,True,-0.418718,0.132183,-0.130848,-0.411850,0.146604,-0.147075
2,0.066667,30.000000,32,23,0.999941,True,0.089089,-0.042907,-0.007197,0.085482,-0.039853,-0.002245
2,0.066667,30.000000,32,24,0.999853,True,-0.086835,0.047601,0.009161,-0.082962,0.044437,0.005085
2,0.066667,30.000000,32,25,0.920411,True,-0.008157,-0.454062,-0.094931,0.013202,-0.457508,-0.095288
2,0.066667,30.000000,32,26,0.755221,True,-0.343857,0.024337,0.009509,-0.322429,0.028537,-0.035458
2,0.066667,30.000000,32,27,0.949758,True,-0.031410,-0.810124,0.008792,-0.021865,-0.800017,0.005973
2,0.066667,30.000000,32,28,0.573333,True,-0.325211,-0.122641,0.243840,-0.130301,-0.153805,0.239972
2,0.066667,30.000000,32,29,0.850071,True,-0.060528,-0.841034,0.027024,-0.050878,-0.827879,0.022617
2,0.066667,30.000000,32,30,0.514435,True,-0.299125,-0.124471,0.231627,-0.105555,-0.162386,0.231094
2,0.066667,30.000000,32,31,0.923774,True,-0.094103,-0.880837,-0.041985,-0.074203,-0.860952,-0.051817
2,0.066667,30.000000,32,32,0.596531,True,-0.295596,-0.142671,0.227266,-0.085345,-0.245603,0.233779
3,0.100000,30.000000,33,0,0.999552,True,0.037280,0.623521,-0.327327,0.027834,0.628820,-0.301998
3,0.100000,30.000000,33,1,0.999226,True,0.058544,0.635195,-0.315728,0.049554,0.639048,-0.295704
3,0.100000,30.000000,33,2,0.999093,True,0.057687,0.634766,-0.303720,0.048209,0.638328,-0.283486
3,0.100000,30.000000,33,3,0.999381,True,0.056964,0.634384,-0.305568,0.047580,0.637899,-0.285011
3,0.100000,30.000000,33,4,0.999492,True,0.034008,0.643124,-0.322748,0.029511,0.647580,-0.299946
3,0.100000,30.000000,33,5,0.999524,True,0.034368,0.642758,-0.334510,0.029908,0.647007,-0.312476
3,0.100000,30.000000,33,6,0.999626,True,0.037280,0.628558,-0.314762,0.032667,0.632691,-0.291964
3,0.100000,30.000000,33,7,0.999538,True,0.142596,0.601002,-0.213422,0.134399,0.602337,-0.215901
3,0.100000,30.000000,33,8,0.998878,True,-0.012993,0.566231,-0.185837,-0.001707,0.567982,-0.172237
3,0.100000,30.000000,33,9,0.998899,True,0.084077,0.595793,-0.279084,0.074342,0.598545,-0.261057
3,0.100000,30.000000,33,10,0.998846,True,0.039178,0.567388,-0.298166,0.034743,0.571709,-0.276681
3,0.100000,30.000000,33,11,0.999919,True,0.217050,0.438248,-0.126789,0.194694,0.441607,-0.161970
3,0.100000,30.000000,33,12,0.999662,True,-0.058349,0.489595,0.010430,-0.035574,0.487208,0.025901
3,0.100000,30.000000,33,13,0.893319,True,0.266974,0.421111,-0.208591,0.152901,0.469891,-0.325727
3,0.100000,30.000000,33,14,0.814126,True,-0.195521,0.244393,0.018363,-0.158284,0.236623,0.027941
3,0.100000,30.000000,33,15,0.899279,False,0.359951,0.486142,-0.234721,0.105626,0.597637,-0.372747
3,0.100000,30.000000,33,16,0.882607,True,-0.379206,0.128775,-0.079394,-0.349655,0.122676,-0.061650
3,0.100000,30.000000,33,17,0.884551,False,0.369189,0.506968,-0.241390,0.090042,0.636021,-0.388700
3,0.100000,30.000000,33,18,0.862487,True,-0.401067,0.110447,-0.110061,-0.371224,0.101917,-0.085255
3,0.100000,30.000000,33,19,0.889323,False,0.365481,0.513670,-0.251806,0.084394,0.650943,-0.379173
3,0.100000,30.000000,33,20,0.869292,True,-0.384852,0.134311,-0.144125,-0.357337,0.124094,-0.115431
3,0.100000,30.000000,33,21,0.876768,False,0.363863,0.473457,-0.242369,0.105159,0.590350,-0.373114
3,0.100000,30.000000,33,22,0.848083,True,-0.381784,0.127950,-0.100999,-0.354326,0.121724,-0.080026
3,0.100000,30.000000,33,23,0.999933,True,0.089163,-0.040783,-0.014230,0.078857,-0.042840,-0.022275
3,0.100000,30.000000,33,24,0.999852,True,-0.086974,0.045235,0.015941,-0.077004,0.047750,0.023831
3,0.100000,30.000000,33,25,0.924261,True,-0.005623,-0.446159,-0.096581,-0.032737,-0.453384,-0.092200
3,0.100000,30.000000,33,26,0.746443,True,-0.306835,-0.038857,0.025046,-0.333587,0.027642,0.074548
3,0.100000,30.000000,33,27,0.946966,True,-0.012352,-0.807755,0.015419,-0.022498,-0.817569,0.014503
3,0.100000,30.000000,33,28,0.595677,False,-0.302559,-0.190013,0.236595,-0.655333,-0.135665,0.239466
3,0.100000,30.000000,33,29,0.821950,True,-0.040634,-0.839445,0.034471,-0.051831,-0.852572,0.035697
3,0.100000,30.000000,33,30,0.524291,False,-0.314551,-0.194752,0.221417,-0.693080,-0.137147,0.219207
3,0.100000,30.000000,33,31,0.920923,True,-0.084184,-0.884864,-0.031822,-0.105156,-0.904372,-0.033328
3,0.100000,30.000000,33,32,0.617557,False,-0.319811,-0.200139,0.208773,-0.738615,-0.083993,0.191296
4,0.133333,30.000000,34,0,0.999583,True,0.035276,0.630976,-0.293277,0.028668,0.634484,-0.298290
4,0.133333,30.000000,34,1,0.999275,True,0.058167,0.642274,-0.285796,0.051511,0.644550,-0.291544
4,0.133333,30.000000,34,2,0.999150,True,0.057681,0.641971,-0.273424,0.050302,0.643688,-0.279146
4,0.133333,30.000000,34,3,0.999410,True,0.056988,0.641432,-0.275242,0.049389,0.642841,-0.280298
4,0.133333,30.000000,34,4,0.999527,True,0.036096,0.651108,-0.291303,0.032256,0.652575,-0.296798
4,0.133333,30.000000,34,5,0.999557,True,0.036132,0.650633,-0.303415,0.032206,0.651924,-0.309904
4,0.133333,30.000000,34,6,0.999651,True,0.039313,0.636743,-0.283568,0.035297,0.637711,-0.288795
4,0.133333,30.000000,34,7,0.999554,True,0.138840,0.607206,-0.193824,0.134916,0.606811,-0.213792
4,0.133333,30.000000,34,8,0.998960,True,-0.002315,0.577003,-0.162244,0.000394,0.573087,-0.172093
4,0.133333,30.000000,34,9,0.998947,True,0.079251,0.603374,-0.249143,0.074785,0.603228,-0.257517
4,0.133333,30.000000,34,10,0.998907,True,0.038097,0.576313,-0.266618,0.035173,0.577207,-0.274502
4,0.133333,30.000000,34,11,0.999901,True,0.193240,0.443144,-0.120405,0.185703,0.445907,-0.163053
4,0.133333,30.000000,34,12,0.999644,True,-0.043141,0.503275,0.037950,-0.029661,0.490654,0.021573
4,0.133333,30.000000,34,13,0.901364,True,0.190851,0.394877,-0.206887,0.146915,0.485915,-0.329063
4,0.133333,30.000000,34,14,0.794403,True,-0.166271,0.259447,0.047857,-0.144715,0.233040,0.018624
4,0.133333,30.000000,34,15,0.905813,True,0.222074,0.447012,-0.229099,0.085581,0.626794,-0.378857
4,0.133333,30.000000,34,16,0.886568,True,-0.339002,0.150418,-0.047387,-0.340506,0.125487,-0.066259
4,0.133333,30.000000,34,17,0.888738,True,0.230239,0.463171,-0.237238,0.063834,0.665763,-0.394918
4,0.133333,30.000000,34,18,0.866130,True,-0.356464,0.134574,-0.080749,-0.363160,0.106712,-0.091706
4,0.133333,30.000000,34,19,0.892712,True,0.212079,0.468762,-0.244824,0.056056,0.680616,-0.385026
4,0.133333,30.000000,34,20,0.873155,True,-0.341605,0.158138,-0.113364,-0.349516,0.129168,-0.120019
