Frame,Time,FPS,Original_Frame,Landmark_ID,Visibility,Detection_OK,X_clean,Y_clean,Z_clean,X_raw,Y_raw,Z_raw
0,0.0,30.0,30,0,0.99796,True,0.101362,0.415391,-0.260365,0.066751,0.425142,-0.405342
0,0.0,30.0,30,1,0.998331,True,0.101129,0.419454,-0.26196,0.085602,0.441543,-0.406189
0,0.0,30.0,30,2,0.998196,True,0.100982,0.421388,-0.249435,0.084606,0.441983,-0.394387
0,0.0,30.0,30,3,0.998719,True,0.099711,0.421704,-0.254066,0.082325,0.442212,-0.397028
0,0.0,30.0,30,4,0.998341,True,0.100872,0.434953,-0.288333,0.063725,0.458026,-0.429585
0,0.0,30.0,30,5,0.998554,True,0.102944,0.431771,-0.300225,0.068073,0.458513,-0.443356
0,0.0,30.0,30,6,0.998988,True,0.114251,0.427956,-0.278666,0.075842,0.448254,-0.420727
0,0.0,30.0,30,7,0.998689,True,0.054356,0.417051,-0.206598,0.076298,0.442637,-0.327145
0,0.0,30.0,30,8,0.995614,True,0.043344,0.381611,-0.256262,-0.013555,0.430356,-0.37091
0,0.0,30.0,30,9,0.995745,True,0.084681,0.418547,-0.219529,0.063548,0.427251,-0.35258
0,0.0,30.0,30,10,0.995458,True,0.086929,0.383962,-0.269711,0.047219,0.400704,-0.401455
0,0.0,30.0,30,11,0.999938,True,0.006671,0.373367,-0.118702,0.11869,0.388556,-0.200346
0,0.0,30.0,30,12,0.999858,True,-0.086816,0.430743,-0.10315,-0.197302,0.497389,-0.190581
0,0.0,30.0,30,13,0.65821,True,0.220017,0.353731,-0.053036,0.331655,0.3522,-0.164272
0,0.0,30.0,30,14,0.656853,True,-0.069111,0.368069,-0.228839,-0.255923,0.48655,-0.359591
0,0.0,30.0,30,15,0.707096,True,0.369364,0.403164,-0.041091,0.567075,0.369515,-0.121173
0,0.0,30.0,30,16,0.674701,True,0.121453,0.388126,-0.391626,-0.045405,0.480514,-0.538284
0,0.0,30.0,30,17,0.701995,True,0.393394,0.399319,-0.025879,0.612729,0.373767,-0.101813
0,0.0,30.0,30,18,0.661465,True,0.311514,0.413226,-0.514896,0.241895,0.489243,-0.612628
0,0.0,30.0,30,19,0.707502,True,0.384878,0.407582,-0.031871,0.60755,0.373471,-0.12344
0,0.0,30.0,30,20,0.663246,True,0.16251,0.474423,-0.456582,0.004004,0.54455,-0.61035
0,0.0,30.0,30,21,0.690965,True,0.387462,0.403633,-0.037428,0.591141,0.360479,-0.124465
0,0.0,30.0,30,22,0.62883,True,0.234747,0.406196,-0.402078,0.157205,0.491554,-0.551746
0,0.0,30.0,30,23,0.999907,True,0.00328,0.000961,0.051603,0.057724,0.003986,0.039606
0,0.0,30.0,30,24,0.99986,True,-0.004309,0.003378,-0.049183,-0.058224,0.000836,-0.03708
0,0.0,30.0,30,25,0.731752,True,0.037141,-0.356056,-0.046216,0.062812,-0.354923,-0.09792
0,0.0,30.0,30,26,0.671566,True,0.033633,0.06672,-0.160805,-0.059452,0.061451,-0.126656
0,0.0,30.0,30,27,0.814585,True,-0.004837,-0.668585,0.020861,0.000567,-0.672168,-0.084092
0,0.0,30.0,30,28,0.632281,False,0.170405,-0.105506,-0.132217,0.05389,-0.259107,-0.019717
0,0.0,30.0,30,29,0.782654,True,-0.033383,-0.707716,0.03423,-0.029199,-0.710959,-0.07531
0,0.0,30.0,30,30,0.629364,False,0.173836,-0.038593,-0.164748,0.064218,-0.274685,-0.048249
0,0.0,30.0,30,31,0.848645,True,-0.016785,-0.747887,0.027993,-0.016461,-0.746549,-0.129635
0,0.0,30.0,30,32,0.715686,False,0.203459,0.045661,-0.201863,0.121527,-0.297906,-0.0785
1,0.03333333333333333,30.0,31,0,0.998161,False,0.175908,0.400102,-0.002856342141174223,0.233608,0.404307,0.33126
1,0.03333333333333333,30.0,31,1,0.998496,False,0.171705,0.401446,-0.007818689763011963,0.208033,0.403561,0.329183
