Frame,Time,FPS,Original_Frame,Landmark_ID,Visibility,Detection_OK,X_clean,Y_clean,Z_clean,X_raw,Y_raw,Z_raw
0,0.0,30.0,180,0,0.0,False,0.231674,0.20607,0.090111,,,
0,0.0,30.0,180,1,0.0,False,0.226328,0.21637,0.274266,,,
0,0.0,30.0,180,2,0.0,False,0.230381,0.216273,0.285187,,,
0,0.0,30.0,180,3,0.0,False,0.23028,0.216117,0.27913,,,
0,0.0,30.0,180,4,0.0,False,0.243906,0.219132,0.246342,,,
0,0.0,30.0,180,5,0.0,False,0.244846,0.219842,0.232761,,,
0,0.0,30.0,180,6,0.0,False,0.248424,0.212866,0.252933,,,
0,0.0,30.0,180,7,0.0,False,0.172405,0.20084,0.285538,,,
0,0.0,30.0,180,8,0.0,False,0.222803,0.169234,0.211076,,,
0,0.0,30.0,180,9,0.0,False,0.20894,0.195789,0.097897,,,
0,0.0,30.0,180,10,0.0,False,0.226447,0.178783,0.049975,,,
0,0.0,30.0,180,11,0.0,False,0.113623,0.112209,0.116434,,,
0,0.0,30.0,180,12,0.0,False,0.21118,0.203481,0.038758,,,
0,0.0,30.0,180,13,0.0,False,0.220504,0.015279,0.075192,,,
0,0.0,30.0,180,14,0.0,False,0.389497,0.132237,-0.056951,,,
0,0.0,30.0,180,15,0.0,False,0.385673,-0.09828,0.175827,,,
0,0.0,30.0,180,16,0.0,False,0.440519,0.182639,-0.065237,,,
0,0.0,30.0,180,17,0.0,False,0.436711,-0.092118,0.191602,,,
0,0.0,30.0,180,18,0.0,False,0.467348,0.207109,-0.111115,,,
0,0.0,30.0,180,19,0.0,False,0.442542,-0.095798,0.190232,,,
0,0.0,30.0,180,20,0.0,False,0.46373,0.222202,-0.10343,,,
0,0.0,30.0,180,21,0.0,False,0.400975,-0.100621,0.148062,,,
0,0.0,30.0,180,22,0.0,False,0.433678,0.192088,-0.076066,,,
0,0.0,30.0,180,23,0.0,False,-0.039316,-0.033016,0.064624,,,
0,0.0,30.0,180,24,0.0,False,0.039766,0.036128,-0.062711,,,
0,0.0,30.0,180,25,0.0,False,0.262194,-0.269622,-0.018276,,,
0,0.0,30.0,180,26,0.0,False,0.273158,-0.221262,-0.161707,,,
0,0.0,30.0,180,27,0.0,False,0.231578,-0.547057,-0.098487,,,
0,0.0,30.0,180,28,0.0,False,0.381043,-0.486324,-0.222223,,,
0,0.0,30.0,180,29,0.0,False,0.022876,-0.570907,-0.093662,,,
0,0.0,30.0,180,30,0.0,False,0.391751,-0.51335,-0.272365,,,
0,0.0,30.0,180,31,0.0,False,0.232108,-0.607936,-0.096033,,,
0,0.0,30.0,180,32,0.0,False,0.440998,-0.511069,-0.353243,,,
1,0.03333333333333333,30.0,181,0,0.997206,True,0.20465,0.294499,0.026675,0.331115,0.367983,0.26884
1,0.03333333333333333,30.0,181,1,0.996024,True,0.19781,0.306089,0.106481,0.321907,0.384048,0.259645
1,0.03333333333333333,30.0,181,2,0.99617,True,0.199969,0.306071,0.118306,0.324319,0.384855,0.268937
1,0.03333333333333333,30.0,181,3,0.996577,True,0.200856,0.306661,0.11426,0.326832,0.383669,0.266275
1,0.03333333333333333,30.0,181,4,0.997823,True,0.219144,0.304637,0.085511,0.355116,0.378619,0.230023
1,0.03333333333333333,30.0,181,5,0.998485,True,0.221773,0.303867,0.073464,0.354792,0.376566,0.217688
1,0.03333333333333333,30.0,181,6,0.998751,True,0.220838,0.294295,0.094109,0.349496,0.365423,0.237299
1,0.03333333333333333,30.0,181,7,0.996504,True,0.152315,0.281628,0.092374,0.253485,0.379733,0.244533
1,0.03333333333333333,30.0,181,8,0.99692,True,0.194397,0.235571,0.049339,0.288006,0.324649,0.184636
1,0.03333333333333333,30.0,181,9,0.993128,True,0.190543,0.274322,0.031368,0.309057,0.346976,0.27115
1,0.03333333333333333,30.0,181,10,0.995357,True,0.197453,0.24885,-0.008674,0.305739,0.319123,0.227414
1,0.03333333333333333,30.0,181,11,0.999825,True,0.074901,0.178904,0.058653,0.130456,0.26793,0.283957
1,0.03333333333333333,30.0,181,12,0.99987,True,0.249238,0.241858,-0.000265,0.364312,0.320135,0.182482
1,0.03333333333333333,30.0,181,13,0.337099,True,0.08683,0.10906,0.067347,0.204123,0.247328,0.251142
1,0.03333333333333333,30.0,181,14,0.369291,True,0.39427,0.213717,-0.06172,0.41846,0.251866,0.137144
1,0.03333333333333333,30.0,181,15,0.353016,True,0.232493,0.037836,0.226053,0.340195,0.300629,0.351252
1,0.03333333333333333,30.0,181,16,0.390039,True,0.471916,0.258324,0.033096,0.397616,0.34854,0.224356
1,0.03333333333333333,30.0,181,17,0.346254,True,0.297943,0.053294,0.247899,0.377916,0.339138,0.36666
1,0.03333333333333333,30.0,181,18,0.37661,True,0.518341,0.280937,-0.00128,0.425811,0.371113,0.209073
1,0.03333333333333333,30.0,181,19,0.341813,True,0.30845,0.055924,0.24201,0.379179,0.36405,0.370148
1,0.03333333333333333,30.0,181,20,0.370229,True,0.527481,0.290752,0.001361,0.412443,0.382068,0.207351
1,0.03333333333333333,30.0,181,21,0.323438,True,0.02445729180021834,0.048009,0.096113,0.352385,0.297585,0.353705
1,0.03333333333333333,30.0,181,22,0.344145,True,0.47378,0.270313,0.025459,0.38355,0.364986,0.219488
1,0.03333333333333333,30.0,181,23,0.999871,True,-0.035873,-0.020606,0.05894,-0.062941,-0.031099,0.067942
1,0.03333333333333333,30.0,181,24,0.999885,True,0.039655,0.025433,-0.056335,0.067601,0.034983,-0.066602
1,0.03333333333333333,30.0,181,25,0.586361,True,0.16116,-0.292604,0.003905,0.053181,-0.304006,0.014936
1,0.03333333333333333,30.0,181,26,0.573923,True,0.179383,-0.181005,-0.115393,0.304094,-0.182281,-0.07673
1,0.03333333333333333,30.0,181,27,0.600197,True,0.136674,-0.599345,-0.039762,-0.053311,-0.59004,-0.105884
1,0.03333333333333333,30.0,181,28,0.606315,True,0.277412,-0.434492,-0.110956,0.522017,-0.426908,-0.139555
1,0.03333333333333333,30.0,181,29,0.694769,True,0.033732,-0.614775,-0.03689,-0.0806,-0.606141,-0.114144
1,0.03333333333333333,30.0,181,30,0.637977,True,0.285542,-0.456094,-0.151548,0.54565,-0.447156,-0.189476
1,0.03333333333333333,30.0,181,31,0.642987,True,0.167839,-0.637889,-0.046904,-0.056769,-0.636862,-0.112809
1,0.03333333333333333,30.0,181,32,0.649204,True,0.334713,-0.451153,-0.21397,0.653312,-0.411168,-0.232495
2,0.06666666666666667,30.0,182,0,0.997212,True,0.141405,0.349038,-0.052971,0.241693,0.418949,0.020527
2,0.06666666666666667,30.0,182,1,0.996308,True,0.133514,0.360905,-0.055565,0.226251,0.438608,0.006063
2,0.06666666666666667,30.0,182,2,0.996394,True,0.133868,0.36086,-0.042432,0.229569,0.439562,0.013308
2,0.06666666666666667,30.0,182,3,0.996808,True,0.135297,0.362112,-0.045659,0.229706,0.441031,0.019724
2,0.06666666666666667,30.0,182,4,0.997971,True,0.156756,0.357322,-0.070156,0.252941,0.424845,-0.022877
2,0.06666666666666667,30.0,182,5,0.998564,True,0.161274,0.355583,-0.08267,0.254011,0.421614,-0.025079
2,0.06666666666666667,30.0,182,6,0.998839,True,0.157101,0.344272,-0.060847,0.252503,0.409044,-0.004941
2,0.06666666666666667,30.0,182,7,0.996787,True,0.103127,0.332375,-0.094018,0.176873,0.377695,-0.012583
2,0.06666666666666667,30.0,182,8,0.997192,True,0.139889,0.276234,-0.104138,0.220796,0.30775,-0.065247
2,0.06666666666666667,30.0,182,9,0.99363,True,0.138187,0.32288,-0.051483,0.230974,0.377475,0.038679
2,0.06666666666666667,30.0,182,10,0.995724,True,0.138528,0.291373,-0.085157,0.22656,0.342954,0.000113
2,0.06666666666666667,30.0,182,11,0.9998,True,0.021589,0.220557,-0.026915,0.089883,0.243181,0.145082
2,0.06666666666666667,30.0,182,12,0.999881,True,0.263295,0.263076,-0.055771,0.284836,0.295566,0.028516
2,0.06666666666666667,30.0,182,13,0.30358,True,-0.057446,0.170737,0.009005,0.037691,0.179915,0.181203
2,0.06666666666666667,30.0,182,14,0.336387,True,0.39119,0.264319,-0.094988,0.42275,0.347222,0.064813
2,0.06666666666666667,30.0,182,15,0.317793,True,0.037222,0.128465,0.19632,0.162829,0.109794,0.514497
2,0.06666666666666667,30.0,182,16,0.356571,True,0.49916,0.302303,0.051043,0.557953,0.394331,0.287319
2,0.06666666666666667,30.0,182,17,0.311769,True,0.099982,0.152129,0.217478,0.315575,0.133177,0.573274
2,0.06666666666666667,30.0,182,18,0.344921,True,0.562242,0.323081,0.022759,0.642793,0.420585,0.256561
2,0.06666666666666667,30.0,182,19,0.307777,True,0.112866,0.160686,0.209459,0.350707,0.134922,0.550822
2,0.06666666666666667,30.0,182,20,0.338355,True,0.583901,0.333233,0.024532,0.67261,0.403785,0.276656
2,0.06666666666666667,30.0,182,21,0.291279,False,-0.284246524599345,0.144959,0.008824,0.15797,0.102384,0.51727
2,0.06666666666666667,30.0,182,22,0.31368,True,0.509316,0.317336,0.04412,0.573452,0.406159,0.282602
2,0.06666666666666667,30.0,182,23,0.999882,True,-0.03446,-0.010709,0.045897,-0.005369,-0.003042,0.07845
2,0.06666666666666667,30.0,182,24,0.999897,True,0.040428,0.017194,-0.04236,0.01464,0.009875,-0.077889
2,0.06666666666666667,30.0,182,25,0.564522,True,0.057458,-0.314904,0.012243,0.175455,-0.280332,0.074308
2,0.06666666666666667,30.0,182,26,0.615927,True,0.083364,-0.126939,-0.05942,0.058582,-0.323943,-0.22133
2,0.06666666666666667,30.0,182,27,0.593697,True,0.054765,-0.652025,-0.007149,0.302658,-0.567774,0.188444
2,0.06666666666666667,30.0,182,28,0.644278,False,0.150524,-0.352088,0.004369,-0.032226,-0.699963,-0.166961
2,0.06666666666666667,30.0,182,29,0.682186,True,0.027764,-0.663647,-0.007095,0.301548,-0.548761,0.20858
2,0.06666666666666667,30.0,182,30,0.664529,False,0.15368,-0.367929,-0.028491,-0.038889,-0.729654,-0.19277
2,0.06666666666666667,30.0,182,31,0.637232,True,0.096247,-0.679825,-0.025372,0.337909,-0.523449,0.221673
2,0.06666666666666667,30.0,182,32,0.678929,False,0.188912,-0.352221,-0.067246,0.021669,-0.781762,-0.258962
3,0.1,30.0,183,0,0.997488,True,0.031179,0.356036,-0.137857,-0.074808,0.334873,-0.172956
3,0.1,30.0,183,1,0.996676,True,0.022501,0.36678,-0.188027,-0.079673,0.340191,-0.226981
3,0.1,30.0,183,2,0.996753,True,0.021364,0.366628,-0.173311,-0.083383,0.339294,-0.206771
3,0.1,30.0,183,3,0.997125,True,0.022758,0.368314,-0.177225,-0.080099,0.341862,-0.217219
3,0.1,30.0,183,4,0.998172,True,0.045514,0.364043,-0.19687,-0.062775,0.343268,-0.215391
3,0.1,30.0,183,5,0.998706,True,0.051969,0.362035,-0.212501,-0.051845,0.341903,-0.234559
3,0.1,30.0,183,6,0.998955,True,0.046457,0.350206,-0.188605,-0.059961,0.329683,-0.21091
3,0.1,30.0,183,7,0.997106,True,0.016101,0.340698,-0.24903,-0.057273,0.306602,-0.307729
3,0.1,30.0,183,8,0.997471,True,0.052575,0.281292,-0.225471,-0.031333,0.254377,-0.236514
3,0.1,30.0,183,9,0.994258,True,0.041825,0.329455,-0.139912,-0.050869,0.312361,-0.189339
3,0.1,30.0,183,10,0.996141,True,0.041379,0.29568,-0.16908,-0.051698,0.276188,-0.20585
3,0.1,30.0,183,11,0.999819,True,-0.048822,0.225668,-0.135772,-0.122021,0.202188,-0.240803
3,0.1,30.0,183,12,0.999892,True,0.245471,0.262783,-0.120468,0.199588,0.231846,-0.153838
3,0.1,30.0,183,13,0.369101,False,-0.208244,0.185025,-0.108118,-0.341048,0.160722,-0.285268
3,0.1,30.0,183,14,0.399223,True,0.379667,0.271938,-0.153818,0.344714,0.263152,-0.257089
3,0.1,30.0,183,15,0.383605,False,-0.21197628181832245,0.155099,0.066421,-0.545853,0.096544,-0.18574
3,0.1,30.0,183,16,0.419944,False,0.520648,0.301426,-0.031385,0.523,0.243546,-0.317137
3,0.1,30.0,183,17,0.375466,False,-0.15015655389726296,0.185744,0.078751,-0.596061,0.122822,-0.209221
3,0.1,30.0,183,18,0.409529,False,0.595403,0.320271,-0.061059,0.595654,0.267557,-0.353756
3,0.1,30.0,183,19,0.370646,False,-0.13809791935173305,0.200007,0.071735,-0.594155,0.132985,-0.203761
3,0.1,30.0,183,20,0.403303,False,0.627974,0.338042,-0.054024,0.629295,0.289945,-0.390084
3,0.1,30.0,183,21,0.351986,True,-0.5171978868990175,0.169782,-0.113136,-0.570359,0.087203,-0.175844
3,0.1,30.0,183,22,0.38007,False,0.537735,0.319938,-0.041072,0.544169,0.261339,-0.33836
3,0.1,30.0,183,23,0.999893,True,-0.036728,-0.005379,0.023539,-0.040394,-0.000145,0.015788
3,0.1,30.0,183,24,0.999907,True,0.043182,0.013372,-0.018831,0.045743,0.008149,-0.007449
3,0.1,30.0,183,25,0.592887,False,-0.045402,-0.335048,0.001474,-0.230373,-0.335993,-0.008813
3,0.1,30.0,183,26,0.561425,True,-0.010616,-0.063997,0.004243,-0.090511,-0.028944,0.034059
3,0.1,30.0,183,27,0.628393,True,-0.006815,-0.700458,-0.011365,-0.064615,-0.744829,-0.037303
3,0.1,30.0,183,28,0.585768,False,-0.001248,-0.246191,0.113631,-0.150235,-0.075838,0.172423
