Frame,Time,FPS,Landmark_ID,Visibility,Detection_OK,X_raw,Y_raw,Z_raw,X_clean,Y_clean,Z_clean
0,0.000000,30.000000,0,0.999934,True,-0.374152,-0.205314,0.238892,-0.286977,-0.200476,0.250344
0,0.000000,30.000000,1,0.999954,True,-0.377273,-0.206865,0.237502,-0.293694,-0.195596,0.252709
0,0.000000,30.000000,2,0.999943,True,-0.379733,-0.207553,0.250960,-0.295487,-0.195036,0.266467
0,0.000000,30.000000,3,0.999960,True,-0.383572,-0.209228,0.243065,-0.300084,-0.197333,0.258026
0,0.000000,30.000000,4,0.999979,True,-0.409776,-0.204653,0.218539,-0.321274,-0.198446,0.235754
0,0.000000,30.000000,5,0.999980,True,-0.408022,-0.201566,0.210996,-0.321245,-0.194871,0.227946
0,0.000000,30.000000,6,0.999986,True,-0.403143,-0.193226,0.229043,-0.315606,-0.187395,0.246109
0,0.000000,30.000000,7,0.999922,True,-0.323640,-0.192402,0.237838,-0.267783,-0.162765,0.263039
0,0.000000,30.000000,8,0.999952,True,-0.349904,-0.148604,0.208847,-0.276311,-0.141616,0.251675
0,0.000000,30.000000,9,0.999860,True,-0.351029,-0.199502,0.246894,-0.276009,-0.187645,0.259241
0,0.000000,30.000000,10,0.999891,True,-0.342706,-0.167480,0.204973,-0.262667,-0.162477,0.220036
0,0.000000,30.000000,11,0.999970,True,-0.179391,-0.157648,0.202792,-0.149683,-0.128565,0.223822
0,0.000000,30.000000,12,0.999995,True,-0.388053,-0.205367,0.277198,-0.318268,-0.202213,0.307972
0,0.000000,30.000000,13,0.023150,False,-0.086827,-0.179057,0.154071,0.197542,-0.112062,-0.599041
0,0.000000,30.000000,14,0.072276,False,-0.435713,-0.368066,0.234125,-0.075876,0.182455,-0.555733
0,0.000000,30.000000,15,0.023046,False,-0.041919,-0.187798,0.267056,0.192215,-0.287223,-0.651733
0,0.000000,30.000000,16,0.197463,False,-0.449525,-0.524131,0.300981,-0.369112,-0.572979,0.228893
0,0.000000,30.000000,17,0.039070,False,-0.043961,-0.219359,0.279054,0.191394,-0.326720,-0.578500
0,0.000000,30.000000,18,0.215972,False,-0.488237,-0.559612,0.274065,-0.446924,-0.612932,0.190523
0,0.000000,30.000000,19,0.033853,False,-0.041993,-0.225238,0.270028,0.168925,-0.369791,-0.592887
0,0.000000,30.000000,20,0.195314,False,-0.492849,-0.552387,0.274361,-0.495775,-0.619383,0.145652
0,0.000000,30.000000,21,0.028592,False,-0.037837,-0.186596,0.271538,0.177189,-0.285003,-0.660563
0,0.000000,30.000000,22,0.189565,False,-0.445018,-0.544725,0.292249,-0.395967,-0.595181,0.204561
0,0.000000,30.000000,23,0.999995,True,-0.019080,-0.013445,-0.000073,-0.025273,-0.002252,0.004939
0,0.000000,30.000000,24,0.999999,True,0.012961,0.011371,0.003673,0.019287,-0.001075,-0.001000
0,0.000000,30.000000,25,0.907377,True,-0.075191,-0.131534,-0.110689,-0.053582,-0.076424,-0.148915
