Frame,Theta,Omega,Alpha,CoM_X_rel,CoM_Z_rel,L_pendulum,omega_0,XCoM_X,XCoM_Z,Tilt_deg
0,-3.2765971282604176,5.66943380131183,-63.76510632569099,0.5450577514395165,-0.03834958569334041,0.6551063063305038,3.869711727217109,-0.10805754667247491,-0.2923207230808756,56.51923244117872
1,-3.1352870744482613,3.5439302571221303,-63.76510632569099,0.4430574633985405,-0.09683291219619553,0.5390066954350584,4.266162792966026,-0.11156892740924057,-0.28893511011377837,57.28736941492533
2,-3.0617039799408268,1.4184267129324308,-63.76510632569099,0.3538649532116399,-0.13802387835390942,0.5027423252732156,4.41734967302973,-0.14527710702767144,-0.2865933732457723,49.07053795303126
3,-3.0558478447381137,-0.7070768312572693,-63.76510632569099,0.27634308230544036,-0.16402581333625615,0.5179258794340256,4.352118357136253,-0.19323136237270677,-0.27731031750285606,38.35032024787358
4,-3.1177186688401224,-2.8325803754469683,-63.76510632569099,0.20935471210656753,-0.1769420463130099,0.5365904989588703,4.275756989856782,-0.23089530895957266,-0.2540679754583327,30.7199236116807
5,-3.24731645224686,-4.958083919636607,-63.76510632569125,0.15176270404164727,-0.17887590645394463,0.5324863397433925,4.292203142660792,-0.24923431119363182,-0.2176708762136617,26.138343665879397
6,-3.4088031872381155,-6.966543712219002,-62.33261025227608,0.10242991953730507,-0.1719307229288346,0.49814530908657,4.437685099037315,-0.2490865036224139,-0.1726653518015706,23.687654557059687
7,-3.6733190265062436,-8.766379518668952,-56.28941979921581,0.06021922002016687,-0.15820982490745464,0.4492917770442857,4.672725494823838,-0.23910881429395509,-0.12396946816156701,22.13419881398897
8,-4.03580405695768,-10.240788344874629,-44.83473915272873,0.030419784060508152,-0.1414557243993344,0.42022854850486663,4.831608394139842,-0.2248958865829257,-0.0727751592135551,20.13978663483895
9,-4.474658631913358,-11.303778706627384,-28.69400044903034,0.00033356504375564935,-0.12492449996276707,0.4310343857749641,4.77066086835656,-0.22665786508303212,-0.025642100143712807,16.84753549082306
10,-4.951362667424941,-11.925809545403377,-10.229761917211576,-0.03314940186788379,-0.10940275839670363,0.4647809477080916,4.594204735319838,-0.23704460379741907,0.018602472502106893,14.238212576369124
11,-5.428637704350912,-12.130640130735006,7.34977192373826,-0.0686173308389309,-0.09256631426031933,0.48894405493643667,4.479246043293745,-0.24303908128542212,0.05874678094179622,13.630615631457266
12,-5.875626960979808,-11.913663396531948,19.22701264006791,-0.10193854388071018,-0.07100862165166436,0.4826251053724454,4.508473787042826,-0.2349641344360831,0.09433246470334666,14.916421184384212
13,-6.273348199515905,-11.394378179832698,24.543557998483465,-0.12929133904117107,-0.042791519967731645,0.44822701382885277,4.678272232124351,-0.20967023568578788,0.1266804936446361,17.68831043415324
