Frame,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_rel,CoM_Z_rel
0,2.3712343238737486,0.002897289073894972,-16.729411855536657,0.07016745581368415,-0.16492646353582072
1,2.92907675220571,-31.947925812871897,-16.729411855536657,0.0895638798780418,-0.04360690612872099
2,2.1073233585180016,-63.89874891481768,-16.729411855536657,0.09815110767637888,0.04631813276375463
3,-0.09402585718937645,-95.84957201676347,-16.729411855536657,0.09758744035482579,0.10852003516994149
4,-3.674970894916425,-127.80039511870926,-16.729411855536657,0.08953117905951295,0.14667018311817495
5,-8.635511754663165,-159.75121822065483,-16.729411855536647,0.07564062493657078,0.16443995863679037
6,-17.344062944911723,-190.55573845918119,-14.358963717427812,0.05757407913212974,0.1655007437541232
7,-24.397876904114835,-219.80310787047995,-12.92075956974766,0.03698984279232043,0.15352392049850927
8,-31.444487127237654,-249.80663207291343,-13.340925000591248,0.0192389026556456,0.13396967564596118
9,-39.315756594749445,-285.2944963340025,-17.060789175949555,0.002565069730738861,0.11141128862530299
10,-48.3973472401532,-325.981014373037,-22.688508132899273,-0.013121653329491835,0.09021904760837879
11,-58.61474367356893,-369.09021518075286,-27.914423056393357,-0.028413579175044584,0.07108845554133289
12,-70.33943958042225,-413.09310362252796,-27.603520912586937,-0.04300480261255331,0.05162718785447139
13,-84.56155228802142,-452.26537400532084,-23.107871994049205,-0.05479942785413042,0.02807812368071277
14,-103.27555773482787,-482.8938539135366,-15.63701886475787,-0.06049057732748769,-0.0025894485719158665
15,-123.42707616890979,-502.5493142276617,-6.457265019717916,-0.05743051436349647,-0.04103796532377108
16,-143.20148222237873,-509.7493093099264,3.023593081574546,-0.04541843086849135,-0.08502149261912843
17,-160.31978581926705,-503.3766318155391,11.080072195487475,-0.02695802605060215,-0.13016413070634883
18,-176.9079003998408,-483.33313254982437,16.228555067833405,-0.005755886923000721,-0.1714888426017821
19,-192.6885264832154,-451.6174600781515,18.144495579285994,0.015352667860975253,-0.2045935280412124
20,-207.44492995773027,-414.41347004569366,19.18316815988716,0.035484461353121596,-0.22584332370165078
21,-221.03884801914435,-374.74576064704274,20.643742356018315,0.05511800914872218,-0.23203290769176269
22,-233.35297923196558,-334.04050939416624,22.83118394893065,0.07448493181024574,-0.22048013791596524
23,-244.20572195644752,-291.04753338632304,23.994744430138198,0.09230952363755163,-0.19001690118121617
24,-253.35284949816423,-251.00073460842765,22.600542000745044,0.10591314989733935,-0.14242355933256198
25,-260.62953619278267,-217.4444196744594,18.429370434978466,0.11265473485070973,-0.08327145617527457
26,-266.1117822282671,-192.3429312376638,12.203670818342836,0.11166167990363035,-0.021229653691043945
27,-270.15857214954366,-176.12843878648107,5.31088187299158,0.1045165457483467,0.03431513680132089
28,-273.3303609984018,-165.783301189802,0.2668168910468296,0.09430680184192342,0.07630088805325033
29,-278.18726850616855,-159.96624239839207,-2.0838078479479805,0.08373199173639367,0.10195238682310463
30,-284.2660789795977,-157.42610339758915,-1.7964289074861028,0.07372013382726693,0.11251743114749405
31,-291.07411140738304,-156.74030475334592,0.32040116309737243,0.063556739886195,0.11128874785288263
32,-298.0043764130659,-156.9649357233446,2.706308083024865,0.05225832225571451,0.10166935482564007
33,-302.9247181964343,-158.91524591776258,3.030970086141849,0.03994483540498875,0.08656264280986568
34,-307.13636584381385,-166.59914649887605,-1.7368459806538112,0.02810932748682987,0.06871999331207446
35,-311.14901608433877,-185.04458717283103,-10.645036375418073,0.018726729514347982,0.050791743449939565
36,-315.3360749628419,-216.8732433575974,-21.421028564074945,0.013068839170234544,0.034572728042195966
37,-320.3663358580501,-261.2855923771982,-30.697894866929012,0.011138815356225323,0.02013887116380291
38,-327.62659677638203,-313.43630388409775,-34.69562806166827,0.011955145594481891,0.00584924314240886
39,-339.5186880333634,-366.7380282354577,-33.45835056300007,0.014233516737672017,-0.010579121135700907
40,-354.8198604991194,-414.98129998355853,-27.102308051121796,0.016863275280446177,-0.030641796337721613
41,-372.66616437085634,-452.10995934186246,-16.569980943872807,0.018949117121496786,-0.05425834165458509
42,-391.4045839479773,-472.9218097423153,-3.926596820818972,0.01965495464100486,-0.08004171331180193
43,-408.8291596066295,-474.3175080636168,7.919797499485952,0.018252292776237203,-0.10608569576282091
44,-425.93378219123764,-456.739516284979,16.41451424975068,0.014520752168934468,-0.13030550332727422
45,-441.77208590428637,-425.63190436455545,21.496583873500228,0.009224391584903326,-0.1500026211083772
46,-455.7333338752331,-385.7416812271265,23.738211354601745,0.004185149950847126,-0.1614503960211628
47,-467.6600668767842,-341.5390156970433,24.419399143290747,0.0016915612413499848,-0.16061905163897566
48,-477.8500406606117,-296.19538234060917,24.488006810931722,0.003461299869047714,-0.14509355000185586
49,-486.7204291125038,-250.8497888144143,23.344127033290448,0.009777739580300152,-0.11581172251298782
50,-494.3469646340405,-213.06774960486075,19.617235174334652,0.019382103012848227,-0.0770967106645222
51,-500.510631436132,-187.0112769806599,13.337254764144092,0.03018182377780884,-0.03484303151277675
52,-505.0707632228368,-173.82154738977135,5.3724637613949255,0.04024056797113789,0.005817406440054367
53,-508.2288697613635,-169.60875505801192,-1.8164762240171228,0.04835546136420696,0.0418293535381764
54,-510.6827986758337,-172.73090616091355,-7.333402060831489,0.05393562093084094,0.07190787843695914
55,-516.0745858870148,-182.64087134362111,-10.750686279057888,0.05651202809165215,0.09521145804737066
56,-523.6955309997708,-198.63498141012352,-11.896240352850583,0.055498401011102885,0.11029233950902834
57,-532.7623340114936,-219.03789213377104,-11.059620171341791,0.05053421871555425,0.1153437152738172
58,-540.4391417602459,-241.42385308326956,-9.244275404851066,0.04209778388016277,0.10961077841946242
59,-548.1459467150967,-264.00856462258275,-8.411027277025056,0.031722627871903344,0.09466211099744717
60,-556.538392108914,-291.06079645050835,-12.764252280612794,0.02147006396056566,0.07413414873774837
61,-565.8118483304684,-322.07785754871253,-18.53890118511947,0.01296815062628134,0.05190535356767416
62,-575.9415453891505,-356.15266052794505,-22.5572025960561,0.00667150846095076,0.030230223942929506
63,-587.0098068679991,-389.98616752432605,-21.736511268776667,0.001816735804179004,0.009426742119080357
64,-599.7536381833307,-419.6759106827793,-17.664834244036086,-0.002939678831334454,-0.010872786011749812
65,-618.3900587153422,-442.85486601102747,-11.508612317550615,-0.008624506100666833,-0.03035237888186828
66,-636.3689075346973,-457.69318505282916,-4.177129602662603,-0.015311649187889392,-0.04781436977819905
67,-653.5249817750145,-462.4685862049201,3.417346660226599,-0.022057853638132965,-0.06205707700822958
68,-668.433757928571,-455.6595696985548,10.09102521854453,-0.02736586036458878,-0.07267391929021537
69,-683.3171132656703,-436.7893135676206,14.307938907138123,-0.029822714921689954,-0.0798758349440025
70,-697.8699638787838,-408.4971001643333,14.664110981932424,-0.028495677623110213,-0.08359208970363155
71,-711.6273662288797,-375.98161012699944,16.523381123765347,-0.022942906569806062,-0.08284712437378525
72,-724.1375404678865,-340.0933545766335,19.283173611768802,-0.013094576870712304,-0.07602261774788946
73,-735.1518028087501,-301.7713417336233,22.35093545149934,0.0006555993116465039,-0.06173787021246149
74,-744.8670314600346,-259.8374294696238,23.98135986317675,0.017172165991928993,-0.039719963762039165
75,-754.2364434669847,-220.54691770402914,22.51171853002066,0.034529219586123004,-0.01131667755261812
76,-759.6722303536678,-188.20638741870323,17.94573684404307,0.05051739069143472,0.020398847246793278
77,-763.880684721883,-165.2125070682025,11.206854920772628,0.06347758876182318,0.05106341438348476
78,-767.0109957230004,-149.8150403388698,4.551542529503138,0.07281166427167444,0.07610967162111867
79,-769.1689408862712,-142.11938543089258,-1.3853768228724448,0.07875259554297605,0.0921004738470855
80,-773.3944447721221,-142.76228616174754,-6.121414200264724,0.08164542099056898,0.09754948173283498
81,-779.0431434232067,-153.37714201513026,-8.203031728698733,0.08142188338718433,0.09287041880515232
82,-785.6231064641813,-169.26367605843288,-9.168273732409375,0.0777345356839132,0.07982896760192568
83,-790.980748746623,-188.93540363131845,-9.468563458220558,0.07055801265588482,0.061110925457853064
84,-796.780270928995,-211.4279909727007,-10.2578872934767,0.0606157685174509,0.04012100678136314
85,-803.5626309733132,-237.97960104649104,-14.07402536058484,0.04917802516039625,0.020572087624915955
86,-811.3712235574818,-270.5983768937484,-19.227167891262667,0.037374391925350615,0.005654811412729223
87,-820.1411326508364,-309.0735824548347,-23.566656115848502,0.025606953928370618,-0.0028233913461028493
88,-829.960576456773,-350.30577030551154,-24.51750227767397,0.01359726342907211,-0.0049722401068558525
89,-841.4888120993073,-390.5254381546916,-23.252947475710926,0.001095904658876882,-0.0030880977619363995
90,-856.7714578490766,-427.1171741588577,-20.02356132166338,-0.011288431271046513,-0.0015455311630391574
91,-873.6706114791591,-457.54668612294097,-14.868845099312239,-0.021852721282100054,-0.005686238196500114
92,-891.242121562739,-479.16502404860125,-8.13771855303537,-0.028417654137031036,-0.019562713730884335
93,-907.8077485538429,-489.4679285463321,-0.7209680166942292,-0.029356748982927228,-0.04374264749405865
94,-925.0729915650809,-486.61295433718516,6.056030922035831,-0.024280289775263874,-0.07478882801842271
95,-942.2715301569154,-470.60682539374557,11.082571526337915,-0.013956887356629772,-0.10678663427357232
96,-958.7119856532573,-445.8690302753136,15.252359846738102,0.000312328935541537,-0.13370347413636885
97,-973.9100178600669,-414.7473060113718,18.802229060915465,0.01728114256040575,-0.1509682485323153
98,-987.5959012947437,-378.67924765045717,21.89812647346477,0.03589648865538562,-0.15576246346743472
99,-999.6544114046908,-336.925740077695,23.602375177754084,0.05505557838363077,-0.14677734112979798
