Frame,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_rel,CoM_Z_rel
0,-1.1529320658828908,-73.8186216376717,-12.571537259782323,0.11258924535950586,-0.0023518483473703826
1,-4.632646064272928,-97.82848920357127,-12.571537259782323,0.1052832522582248,-0.025966357966523985
2,-8.718663523094312,-121.83835676947082,-12.571537259782323,0.0971723194662701,-0.029378203322361036
3,-13.410984442347047,-145.84822433537042,-12.571537259782323,0.08821945257588329,-0.01806888141177459
4,-18.70960882203113,-169.85809190126997,-12.571537259782323,0.0783876571793059,0.0024801107683423314
5,-24.614536662146627,-193.867959467169,-12.57153725978234,0.0676399388687795,0.026787276221096622
6,-29.361867267713563,-215.07082990989204,-12.443606774436539,0.055939303236545584,0.04937111794959531
7,-37.3874769316635,-235.30192231642835,-11.579890868679044,0.04324875587484592,0.06475013895694592
8,-47.19775085024436,-253.33379556739507,-9.735545542287777,0.025935258645807733,0.047895962111138765
9,-57.59311480267231,-266.6894122506908,-6.357897999732412,0.006394241784615606,0.005441209469979235
10,-66.14589293660129,-276.99711412126067,-2.9177572694028804,-0.012925013837009544,-0.05884668617398005
11,-75.95034805267153,-286.25169812422394,-0.683057680985943,-0.029042309678861806,-0.13529815841969606
12,-86.02153722542427,-294.8477772606683,-2.7268451107352085,-0.03973774419582065,-0.21171772131538996
13,-95.78333379298454,-304.9218552739512,-6.139914186933904,-0.044242875782454144,-0.27680664511086406
14,-104.13622792756726,-314.77102749315117,-7.739476329989223,-0.04295042378769355,-0.32198531051858686
15,-113.68778983965808,-319.29517013656374,-4.761392685529152,-0.03662133440794617,-0.3416519390804825
16,-124.82522619880007,-314.1276933607859,0.6842728783449843,-0.025857451643300375,-0.3330247093864256
17,-138.6876638106699,-300.29154442521013,8.110525539326588,-0.011224209265845407,-0.2966107442983422
18,-152.00595736553615,-278.4447650026869,16.260798828707188,0.006237271344898564,-0.2373988036249477
19,-162.9923938343529,-249.24342186293973,23.324378038071956,0.024708928021550204,-0.16560128995338866
20,-169.77186399935027,-212.22749373484132,26.395275745274958,0.0418848131211456,-0.09518132749892705
21,-174.8370925038981,-171.64015005291364,24.576786156179764,0.055713320959693335,-0.039601337514870584
22,-178.45296002755475,-136.85258331445027,16.796346239850514,0.06511583538607518,-0.00663310765193775
23,-180.99359305813329,-116.9951437269072,6.155545838284887,0.07025467795165281,0.004557342342833325
24,-182.8805016176385,-111.90886085427465,-3.254108554418586,0.07224013222294984,0.002005750640071141
25,-184.54576656294577,-120.36990222939775,-9.814254144049528,0.07249921234642728,-0.0038724101861674245
26,-186.54676192270432,-138.24407661885132,-14.520593162474974,0.07213726572850887,-0.005324189980574216
27,-192.00680246688353,-167.2955739095382,-18.654284426787804,0.07150727368168854,0.00040042440118129036
28,-199.7569524969315,-202.62429867633125,-20.720985924951634,0.07010352332011842,0.011973124123127623
29,-206.82103955927852,-240.45157844289537,-20.560827029331215,0.0668621429703726,0.02661646659609978
30,-214.53503668380117,-277.9053822795324,-18.91830606110721,0.060800450788517646,0.0423931440503161
31,-223.611165266203,-313.5412214342975,-17.39391214263771,0.0516195338829454,0.05877726454752186
32,-236.49745477502046,-348.69120648788925,-18.457608037374584,0.03981342807091929,0.07522573046581608
33,-249.0937863500016,-385.009845744334,-19.75176378206762,0.02622204489870828,0.08892854867882505
34,-262.00546564429555,-420.8093466966093,-18.558369929579307,0.011493744707586781,0.09402545666963412
35,-275.66966754150843,-453.69955907708515,-16.598392417083048,-0.003999354743380851,0.08385847252056698
36,-290.8960086918745,-483.15454107828066,-15.08521118299008,-0.019714797643150126,0.05524429781131175
37,-309.4085696784228,-509.9577768107133,-14.825700336781821,-0.034421720420524354,0.011541240265883122
38,-328.28589565864365,-532.3429526460969,-11.44335879538258,-0.04616742331764491,-0.03824786614362916
39,-345.86083283788054,-545.6346027220645,-5.40470625212717,-0.052863736875784204,-0.08401440009000954
40,-364.4712261452677,-545.5919816641649,2.6379166815127064,-0.05313126411325349,-0.11934788440832783
41,-384.2252979682328,-528.905551726318,11.694482941098144,-0.046869608785414074,-0.14308971310998583
42,-405.3273819958108,-494.9006685125328,20.736356977533617,-0.03522168620065012,-0.15700799574790877
43,-422.96716733998215,-448.0829246821677,29.95113876423183,-0.019965056598730452,-0.16209828416968972
44,-438.4769264060921,-391.2719517187905,37.55519157488598,-0.0027132310961102218,-0.15679676164351303
45,-451.08107376598804,-326.5890728660378,40.37297777627221,0.015523188425776258,-0.1385717590077537
46,-460.2936932683764,-261.0352875283576,37.444214411241205,0.03411745578527506,-0.1074695561071931
47,-466.2466899642895,-202.87678302448725,29.395947415646148,0.05226148069308087,-0.06833155707013013
48,-469.7056552494224,-163.9824773047575,17.90314745711487,0.0687038951318688,-0.02928374489001536
49,-471.7839131564818,-145.57746925837802,3.9841190356314513,0.08208955086518727,0.002636524694237579
50,-473.62086105542295,-147.35107143322813,-9.112693964540071,0.09155130592450036,0.025165468672038428
51,-476.20172997445354,-164.96273026990957,-18.290987749678393,0.09698148376063827,0.040876982861730034
52,-480.2661504975264,-191.05749109449306,-21.536522028496165,0.09879081725141392,0.05402210777292772
53,-488.2788992786613,-216.96463091667542,-18.317697780901597,0.09748843551614214,0.0672422732850285
54,-498.72694528268227,-234.58359073493816,-9.54375503162241,0.09345757285390607,0.08067418036604851
55,-510.06483748745893,-237.910022964922,2.6960638989707064,0.0869023545339555,0.09295230843409204
56,-520.8720177572002,-221.70471363442812,16.41622818260383,0.07773588803939141,0.1017774802892801
57,-529.9960046103714,-188.34244230131895,27.25613497709874,0.06546376300653471,0.1031255229746707
58,-536.6552821085808,-146.77344259020896,30.14906915727299,0.049413491935583496,0.09083085968438534
59,-540.5082435257378,-108.55614289281603,25.019702798088545,0.029442605736194193,0.058680605150742304
60,-541.6936647944592,-83.50781820219466,13.275262461904546,0.006695921576242798,0.0045207023180980944
61,-539.1480004989747,-78.34110102347225,-2.442505322493119,-0.016270371324487064,-0.06681365798204739
62,-536.5746135495973,-95.64752615346165,-18.67730509253002,-0.0362671676614132,-0.1445043229482889
63,-537.7536181597378,-133.39470094820484,-31.717360910694822,-0.05068248688939092,-0.21621583802149308
64,-542.0937264982107,-185.04602939831648,-38.25148324643331,-0.05829852632011623,-0.2726920475277541
65,-549.9762850755947,-240.30832005529192,-36.02091882837918,-0.05922433005981168,-0.30933554382990863
66,-561.2005278971708,-286.3741824466541,-24.31309553355065,-0.054158793477378175,-0.32450847852890874
67,-574.9393540151456,-312.5830213503984,-8.14000125688193,-0.043664769719152556,-0.31708068738084016
68,-589.7939201304157,-314.75548500080026,7.757548566996945,-0.028044373920713923,-0.28601717267373894
69,-603.9587495838433,-296.2838583123547,20.78738516856123,-0.007858087848383695,-0.2326069677668821
70,-615.4439283300075,-261.7054603020189,28.535709484750868,0.015429297184537916,-0.16327976270076078
71,-622.2645123736129,-217.59480690496275,30.104952371491976,0.03933014487805364,-0.0899435298654155
72,-626.8716618197718,-174.87182993869502,24.798163248580295,0.061013099957811415,-0.02632159932295701
73,-629.8777832373997,-141.92168159669885,14.618236848558467,0.0784297087522334,0.01797839048416102
74,-631.9846120609699,-123.62547171668271,3.078167538801125,0.09113504103470368,0.04155890017810332
75,-633.8110485323297,-118.68532708497075,-5.371758961683099,0.1002217777731087,0.05040640773923963
76,-635.7051220293642,-124.5666851145001,-9.19959516141688,0.10739334890306132,0.0529228193943023
77,-640.3994274168053,-135.73364255104383,-9.885807346724278,0.1137491529353358,0.054795275030176435
78,-646.9193569702945,-150.08409702750527,-8.559935773559857,0.11899538999413654,0.057374380190899014
79,-654.2360997617855,-166.64155340722257,-6.836001545054501,0.12151757866601934,0.05984799088431218
80,-659.921188192703,-185.72567997672303,-6.449278707487622,0.11923410164901913,0.06214175870095823
81,-665.2672300373215,-208.97748091782324,-9.058464783098742,0.11071037204543957,0.06527383248902675
82,-670.9232957582682,-240.15250600404696,-16.68408960297316,0.09592970777676114,0.06890420865822003
83,-677.4610375957485,-282.8302717002376,-26.593722560924533,0.07638090966050663,0.0688771401162846
84,-685.5900351121775,-336.8927844902965,-35.14983852780185,0.05450267959238045,0.05768734453000636
85,-696.0571823713567,-397.6532087853358,-38.450951961468235,0.03283692350549136,0.028184286550096367
86,-709.7362672069758,-458.1352269287694,-36.549602325218046,0.013345898495201413,-0.02197705773304086
87,-728.4587871185538,-511.546800424001,-29.546170987130893,-0.0028240777462609362,-0.08827374627894857
88,-749.8116967854381,-551.4865179871256,-18.299167389374958,-0.015152214884165596,-0.1608653995329449
89,-772.2190497304811,-572.7624672942592,-4.5722482731996195,-0.023356100526943077,-0.2282957389966323
90,-793.4106987030486,-572.069076428189,9.370413688036194,-0.02712136750579286,-0.28076352671689153
91,-814.2193478630223,-548.4300009592987,21.280435433317365,-0.02616657331471514,-0.3114712323532041
92,-833.4787368415296,-504.05958537197546,29.526247892525276,-0.02056132508081798,-0.3164481847371055
93,-850.4543983203569,-446.59669796869144,34.6831783214609,-0.01097199708821928,-0.2942789909248365
94,-864.8285652400712,-382.70435220387196,36.90641014240771,0.0014137270295593242,-0.24680498213202626
