Frame,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_rel,CoM_Z_rel
0,-5.759321991217267,250.7572974471465,9.194791493363802,0.09602014801378661,-0.16282831286956895
1,0.48231906316404377,268.3180556495644,9.194791493363802,0.014423030232336473,0.03012072561436019
2,7.97544017795952,285.87881385198233,9.194791493363802,-0.05344218771615855,0.15141954883950864
3,16.72004135316916,303.43957205440023,9.194791493363802,-0.10779014471276083,0.21178573450214433
4,26.716122588792974,321.00033025681813,9.194791493363802,-0.1488354796385326,0.22193686029853527
5,37.96368388483106,338.5610884592353,9.194791493363835,-0.17679283137453633,0.19259050392494959
6,54.079360041331505,344.8965110020085,0.2990241307587631,-0.19187683880183432,0.1344642430776551
7,69.68044222639821,343.19898725253216,-7.016521426705747,-0.19430214080149003,0.058275655452920676
8,80.51298941679352,336.2553338087692,-11.048108136014388,-0.18190507396421848,-0.01124489347028491
9,90.42960663656208,326.3494280053454,-11.058673148112177,-0.14841488690873444,-0.07724146176785515
10,100.38164210373773,314.76605838393954,-7.399796304844404,-0.10065429680789073,-0.12982336636167946
11,107.39362802113247,301.7409766833766,-1.3854555992963284,-0.05131455175484374,-0.16038430180728425
12,116.64342147736185,293.5949388058025,1.8847029592579858,-0.013376281523456636,-0.16241372324030975
13,127.0367348466366,288.2716711529755,-0.015863452419786483,0.005408928795422165,-0.13446782339966698
14,138.1831539730358,285.2021431147255,-1.787644090099107,0.004610837458198373,-0.08295869443366682
15,149.2503388810738,285.7144001802189,-2.2248703643422374,-0.010766894510323838,-0.02143631397710504
16,159.20285305956887,290.69052998902913,-1.792834676091573,-0.03386930974379763,0.03435637406483173
17,167.68984097690785,294.736408475503,1.1951337745322093,-0.058511532013890165,0.07273871870099918
18,173.76067004009096,299.14035636006287,4.6558803638984045,-0.07973096797053478,0.0895602236899494
19,183.23040135837823,303.18278442025775,6.6825809064227855,-0.09334625809164879,0.08705160859151934
20,194.50058549238474,304.17359892569795,5.015501248383636,-0.09587107916268697,0.06988573023471799
21,206.6458453813708,305.83595083041234,1.4976487573585686,-0.08539965799279665,0.04218437202004179
22,218.80211863297706,308.3492821146252,-2.482116730602783,-0.06302374457688394,0.007734508918092105
23,230.24664883313383,310.4059435411279,-5.298163596551696,-0.03347672516807752,-0.02777896694612237
24,240.2302037232908,309.8017131037323,-3.4675988710220267,-0.0038972567511688016,-0.05582427508564794
25,247.25534460678924,308.1796503337383,-0.12172669006644554,0.018902877085952455,-0.06747238291417597
26,256.28162160336205,303.7738706652454,1.64413263716078,0.03093011888497027,-0.05816164158647054
27,266.3689126785912,290.97821649622045,-1.568210013878172,0.03179589383166603,-0.031302179599362316
28,277.28284787260134,270.547721829855,-8.67713049184863,0.023787684888992983,0.0024382501860996005
29,289.96513367572834,243.39830243798033,-17.78848725537253,0.010316132497455225,0.030346603049219965
30,301.0959384436722,210.31887949943362,-26.10474251996436,-0.005251344475945342,0.044105015677398766
31,309.10343250769074,176.49855798593833,-26.635587262553756,-0.020179493318413788,0.04306799220469215
32,311.2971154102451,149.08769884138363,-19.765376814799566,-0.03262155650627207,0.03238319865238272
33,312.04095848270936,131.96797214886004,-7.52500847268837,-0.0415544097661634,0.018127683391995716
34,312.0280787470943,124.46025517183806,5.595241027683443,-0.04633587017317811,0.0037767201088723715
35,312.05542959413845,132.15779680317866,15.932970313906608,-0.046232654246767375,-0.009560815820954992
36,317.446980086481,153.05764100307374,20.54679730876589,-0.040434212883419744,-0.020425291729459432
37,325.3540471904216,179.97295516883443,17.652090782816472,-0.02864802319990001,-0.025076980767829153
38,334.6106134823813,202.587191557119,10.627109115355509,-0.011860774836053068,-0.01859921121352735
39,342.2110385350284,213.26562011394023,0.39138879464479714,0.007302437633833966,0.0015368139776572283
40,351.1284566832273,208.88459331165745,-9.637329699784885,0.024992612939311362,0.032256438237884766
41,359.6858441134678,195.35544594236282,-12.88882192164074,0.03730539993598292,0.06469741586937576
42,366.2061770122396,181.97916680484892,-10.928145424865477,0.04169973411281277,0.0876185829727303
43,371.8401827266014,172.43830436424534,-6.045824497745741,0.037878017096753876,0.09260761161508357
44,374.3032587598426,167.17142288874155,-1.3002417300077411,0.027617559342599032,0.07790431323961106
45,375.7275739013311,164.69419529391084,3.8063580803692787,0.013792498289047491,0.04813880116427377
46,381.72603016658337,166.7832648157627,6.982986824869684,-0.0005860622668787674,0.010308809143480988
47,389.3023930602338,175.50671950903558,8.020117433934416,-0.012672433536554707,-0.03028226231979894
48,396.99763404132307,187.28710217210394,6.839723986449229,-0.0195998332693972,-0.07069583351670175
49,403.3527245688918,197.55513398091614,2.315609592215253,-0.0185727215434433,-0.10813341421638029
50,410.0263829021773,201.6670920062868,-1.984603133476682,-0.007762992906147875,-0.13821635841374072
51,416.23716788333587,197.5404043082372,-3.1423068763560877,0.012357664042740213,-0.1561672733877203
52,423.85526099944445,191.29963833709016,-3.2197129446294923,0.03832563533466186,-0.15991999832194098
53,431.10649207596333,185.89811382114337,-3.064104260149122,0.06450122693491901,-0.15185470222783767
54,436.21669093835294,181.93168363440753,-3.1183647831655037,0.08518588555276886,-0.13698801207127356
55,441.62184723295695,176.58594070385058,-3.035823186761519,0.09677959539780183,-0.11911471842960039
56,447.3347132272853,172.49931883366202,-2.119358531391356,0.09863279522131371,-0.09862765530397039
57,452.90766950723514,175.31950143897348,2.2268845602115306,0.09227227406342423,-0.07407891862740937
58,458.6678056367985,186.41705455860392,7.085039303546495,0.07994375696026787,-0.04589927800377122
59,464.35900148289227,204.0565112477406,10.600671828632045,0.06376589571724584,-0.018565071577449535
60,469.19367032598853,225.19980152721524,13.74604185030195,0.04593711663963959,0.0013161915870705532
61,475.27682492173506,246.59490233128452,14.762629103555355,0.02926896388834773,0.00988744309704117
62,485.9389612969567,264.53965689172986,12.312416320815444,0.016978901077098082,0.009675156684200884
63,496.8076799508508,277.8083809555287,7.416564647850123,0.011448220204887866,0.008375152343852669
64,507.49408240028066,286.92011088958066,1.587128424841083,0.01278410782797871,0.013383072489630988
65,519.2088397965248,291.94179505758336,-3.5074306543542235,0.018433808517331805,0.026451549787587653
66,529.5057430660032,295.02956423493316,-3.9940618387216915,0.02436833065982184,0.04268542033431551
67,537.696829127428,300.13981938729955,1.36795988091977,0.027143691208057662,0.054388496792548806
68,545.6526157406423,310.8067712841854,7.471823289504712,0.025495897771220806,0.05646041594274335
69,554.2409792700337,323.04106708090114,11.457889161299633,0.02047918433061619,0.04908062714531729
70,563.5268120862653,336.576822847327,13.28330859227627,0.014206207305028074,0.03584411373114863
71,576.1405672687457,350.1178677323318,10.6796401639143,0.008284715452679036,0.01937935275376529
72,591.7133175240799,360.8046668096084,4.61922795564135,0.0032556953906842366,-0.0014093232736546515
73,606.2809633402638,366.222750217206,-1.7521761582394504,-0.0005956354075940368,-0.02988684491534071
74,618.4562868907946,365.2102858891984,-6.7384849199883945,-0.0020371059076813424,-0.06733169640798867
75,630.9167293172549,355.33692419511846,-10.2156979937958,0.0012489178044350832,-0.10964253655848952
76,641.5474285121142,340.2258741832511,-9.459395299299075,0.011232330924676993,-0.1481037122028683
77,651.5657487395245,324.8014643301678,-6.265515459108627,0.02758907415692688,-0.17367421901979854
78,662.2847217760874,316.6835149051683,-2.580451992054151,0.046941472798593446,-0.1814918783091773
79,672.939621363852,310.9432635455228,-1.265835336227667,0.06400288160294508,-0.1726833174797659
80,681.5929948514375,307.1066196577043,-0.1430478378189548,0.07382055723818952,-0.15315722275399773
81,692.0794271551964,309.7653091565262,1.3713057641347177,0.0737886628103585,-0.1308227377897821
82,702.4236467331147,321.3583302502287,5.510034306603018,0.06460736067609071,-0.11263094732048856
83,714.3510333001816,340.46904379284547,11.197721608297002,0.04974483966526361,-0.1024386433388468
84,723.1410467239078,361.7427789217953,14.264505495723483,0.033141744294036324,-0.10046660295787546
85,733.2986539526728,378.4364327813349,12.077098317364289,0.016019659421348656,-0.10440434935188792
86,746.0778409368324,380.06909464659157,4.837166701984614,-0.004684372377367231,-0.11111380337902346
87,762.905067396496,364.5571067473116,-7.722073459059175,-0.03407573534219008,-0.1174409304765414
88,780.667585363017,331.70028790471633,-22.285124727409766,-0.07430944032648179,-0.11964650244168482
89,795.2114008738174,282.24827616807926,-38.14287957542251,-0.1209550756773349,-0.11274874994125136
90,805.652130923812,216.76495714930388,-48.026706651561994,-0.16413378087599326,-0.09153941429368909
91,810.7658571882273,143.89690082234688,-48.24410217338033,-0.19374444680570005,-0.053363171682224236
92,811.4439677304146,79.49604633686332,-36.43268930005328,-0.2045991550462148,-0.0007597691510140151
93,810.1842696601915,39.369560650819686,-16.301153050105484,-0.19775991026627798,0.0581247938033601
94,805.2537222428286,27.89031936977374,4.744313317232013,-0.1778621886537145,0.1119073951220625
95,801.129951915986,46.39917180683626,23.534301434046967,-0.14898337730065295,0.1499401158531791
96,799.1231302538838,87.4297176344041,35.357442041169236,-0.11195044224124125,0.16589087743809208
97,803.1622824835479,141.16861748097807,39.001412692405864,-0.06503225260537635,0.15926085530830525
98,812.1877028275504,194.82024242031625,33.95513441022209,-0.008268046573697344,0.13439557079461814
99,821.7371875842674,238.8581606792034,20.672565123749706,0.05123151253470905,0.09797475269614804
100,834.4897981421705,262.8662135988145,4.429635877614373,0.09799761723945523,0.0568006074781335
101,846.3325100222179,261.1697559214787,-11.74568904195246,0.11408294187431621,0.017301345484787678
102,857.6515739385385,234.55819267031012,-23.4314325885492,0.08932446267147288,-0.013691796693594467
103,866.1509830393371,188.8910289027262,-31.180257148645154,0.02857633517399873,-0.029066312060728048
104,871.5539722197248,131.61393293804662,-36.06325341302761,-0.0498523331463125,-0.023751599760611412
105,875.0560017169978,71.2043406300687,-34.583890035881296,-0.12352040523613206,0.0022844423087578646
106,875.1150075662815,23.34402161440273,-26.632963167547615,-0.1761312510581703,0.04317139884079661
107,874.0491272700531,-5.322166623223166,-13.05072091165087,-0.2021841189770815,0.08935886305824217
108,870.2132369523184,-11.74965766182109,2.1503016284890464,-0.20457363139881513,0.1310768319983508
109,864.2789731553995,2.6839056383420896,16.367990410998715,-0.18865128566590966,0.16050139816809472
110,860.9406815278234,32.63371838341577,26.85504513611184,-0.15760295919801676,0.17207290606959116
111,862.6810480614124,70.24418517601805,29.789384993340605,-0.11213303557961025,0.16241358503589112
112,868.1837396931006,108.0095217623028,25.941434965908485,-0.054123599606387025,0.1309993252777273
113,875.2794868736461,141.53955995969432,15.981138217812742,0.009295072667118678,0.08114491740972365
114,883.9038850548006,163.70663017462203,3.329511902772282,0.06631804473619424,0.014322838832592655
115,892.349461367696,167.98795375721517,-7.251614387718291,0.11294631183587928,-0.053841397172100056
116,897.9239367687508,154.13839045480975,-7.251614387720079,0.14418721651355149,-0.11698518111154894
117,902.5402879419937,140.28882715238626,-7.251614387720079,0.15504810131658842,-0.1687459034929477
118,906.1985148874228,126.43926384996277,-7.251614387720079,0.1405363087923679,-0.2027609548234891
119,908.8986176050379,112.58970054753927,-7.251614387720079,0.09565918148826796,-0.21266772561036765
120,910.640596094839,98.74013724511576,-7.251614387720079,0.01542406195166618,-0.19210360636077667
