Frame,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_rel,CoM_Z_rel
0,-1.3655416029693734,115.1951656618115,-39.04459033796617,-0.004402259282894204,-0.013748984713308168
1,2.232190218096205,40.62549102238703,-39.04459033796617,0.020327824145408933,0.03329443532868229
2,3.0920749438704527,-33.94418361703744,-39.04459033796617,0.031179349948247028,0.06107546093020469
3,1.214112574353369,-108.5138582564619,-39.04459033796617,0.03089543343373957,0.07191968446407276
4,-3.401696890455045,-183.08353289588638,-39.04459033796617,0.022219189910006026,0.06815269830310026
5,-10.755353450554807,-257.6532075353104,-39.04459033796611,0.007893734685165875,0.0521000948201009
6,-21.970862213454392,-316.9732843070907,-30.968337545185364,-0.00933781693266134,0.02608746638788842
7,-35.87495551645079,-362.19202897909247,-20.894731996629822,-0.026732349635356305,-0.007559594620723439
8,-51.53539596807211,-394.27982693045675,-10.997646057113863,-0.03879240355221235,-0.05361811330715516
9,-67.73694531152891,-415.1996683585123,-3.2937361131813425,-0.0425241987118045,-0.10300939375400636
10,-83.00997585707672,-427.10869364285406,0.8983546153911419,-0.03448655170221786,-0.14538449289032968
11,-95.68520952392427,-431.6194876226649,1.3366271105181369,-0.01483391020109799,-0.17198021441166245
12,-108.525444420223,-431.3153073701199,0.02418263352321759,0.01276921330118755,-0.17880081109099577
13,-122.0794720903485,-426.5510479695523,-0.6063883125876544,0.04299931080262435,-0.16730537078277963
14,-136.670391870012,-416.3127669999646,1.757784728719038,0.07109269161853177,-0.14259112686435843
15,-152.10038956239157,-398.61961659752865,8.318234236636172,0.09401934843337582,-0.11074808264880463
16,-167.5903706013365,-371.17138477711825,18.093025891017653,0.11026095619625964,-0.07715610467787509
17,-181.9677824122857,-335.1844263684545,25.64262100362359,0.11893815651790116,-0.04622847395006463
18,-194.01152977990643,-292.7413295275057,29.359568852799917,0.11936908154588302,-0.021814634692591508
19,-202.83203360670387,-250.51973252688688,27.31016214531588,0.11161649909096494,-0.007090462800980743
20,-208.18259767152662,-216.6977467602855,19.05058074604726,0.09752404159946208,-0.003403364278851083
21,-210.79036511568756,-198.2416278626062,6.182079698946154,0.08098764695086771,-0.008793721309550508
22,-214.8744297358069,-202.28883137692955,-9.465574667145276,0.0666343496295482,-0.017722773819574465
23,-218.5694903856157,-228.82488486403665,-23.80550100527563,0.05753816014218976,-0.022917194922199607
24,-224.47589959078582,-269.5135176522905,-31.760939698380373,0.05368887280537132,-0.01861151888841314
25,-233.60579626022312,-315.72422212250956,-31.77670426567275,0.052467550481143224,-0.003297760685434661
26,-245.74518227795267,-359.051817971157,-25.320456178727454,0.05070065432994457,0.019667448103497267
27,-262.3886000097995,-393.4838905678019,-16.273391312451295,0.04656038502790889,0.04380564282046146
28,-280.58717503172784,-414.0162168080667,-4.199879543812543,0.03991374447309992,0.06227050182091136
29,-296.2371148686458,-417.5973498382327,6.899568185965222,0.031331318970824945,0.06987245166912731
30,-310.14714652767793,-406.22694900741146,14.388306151753483,0.02119914912310967,0.06357332246517945
31,-323.0752125782662,-385.8253338440504,16.547431753423794,0.010020597684762652,0.04199378222168001
32,-336.401030908486,-365.59711142456496,11.880332382583617,-0.000531734124711288,0.005200590421200221
33,-346.42913919489024,-353.7979014601165,4.090504549990797,-0.007255369463701441,-0.04445146735993715
34,-355.8751332861973,-353.04678864245733,-2.872741308422789,-0.006581932284637501,-0.10109688850320264
35,-365.28411265538546,-362.42334164291805,-9.275865718786193,0.0034220588157429736,-0.15541146965589528
36,-375.86698875445154,-379.55562965750505,-14.366827069560713,0.021770630252091503,-0.19690600978498496
37,-389.8791187108637,-400.413712565987,-16.471364382199425,0.04499793340427581,-0.21759998280259152
38,-404.9150805195902,-420.976038054315,-12.751297507696108,0.06890248149125774,-0.2149273303392621
39,-419.68402450287977,-430.47954662934524,-4.211141620965776,0.09021492602269267,-0.19216862277509095
40,-436.1504215260965,-422.5109050367013,7.981648308496091,0.10713358422797346,-0.15645118095063656
41,-453.12858387710753,-393.73435907266264,21.108803275867828,0.11873410340957787,-0.11584361788224887
42,-468.9434416751438,-346.23457718716725,31.808268514646514,0.12404730256582025,-0.0772308134956352
43,-481.9092167234759,-289.89794696791427,38.1580567738426,0.1217505499994754,-0.04563457769784064
44,-490.86732487303715,-234.45740354681237,37.432915788323356,0.11094202072490045,-0.024400396634409863
45,-495.60685897613706,-188.64501041207131,27.512639817378016,0.09249869497644075,-0.015160453507201606
46,-497.003298998743,-165.91671680620777,9.177333781901197,0.06973128533535843,-0.017096771485330266
