Frame,Theta_deg,Omega_deg_s,Alpha_rad_s2,CoM_X_rel,CoM_Z_rel
0,3.6992609560328953,248.25046317596372,11.12849444298072,-0.18218036122298914,-0.37609922441462595
1,12.535157058885105,269.5043219732165,11.12849444298072,-0.1471402692314285,-0.34065519580110626
2,21.986944411300037,290.7581807704694,11.12849444298072,-0.10734221845356895,-0.30613740332870715
3,32.0546230132777,312.01203956772224,11.12849444298072,-0.06417351702083307,-0.2739579840953636
4,42.73819286481808,333.26589836497504,11.12849444298072,-0.019021473064643468,-0.24552907519901063
5,54.03765396592134,354.51975716222677,11.128494442980804,0.026726605283577176,-0.22226281373758336
6,65.12713154548699,370.2833950146528,9.161636632208069,0.0716834098924064,-0.2055713368090168
7,79.41343281529292,379.6764553980402,5.229385052043657,0.11446163263042224,-0.1968667815112467
8,93.40585674677546,382.0898253624234,0.0871494536545967,0.14739727077450981,-0.2011307760230504
9,107.15705372831255,379.17122916421414,-4.644512718086844,0.1786664442517011,-0.2271902483695903
10,121.71023981456632,368.1737107095912,-9.563987457612903,0.20976429196351526,-0.2632844817755501
11,133.89399732867372,351.4574299707982,-12.954861060650394,0.2375167126500385,-0.2921027069069468
12,144.65811246915086,330.7484283338411,-12.686511648312461,0.25372842004257823,-0.30199802844278373
13,154.62211908770303,313.6006321543196,-10.0677496755779,0.24954312277419077,-0.293209359211234
14,165.157831181376,303.1802631355007,-4.85250930619145,0.2215959738829416,-0.27548765128512653
15,173.03364600511046,297.5295353870329,0.5319702635794101,0.17485029807516805,-0.2606950381730852
16,181.3396243034536,293.7256354369773,1.9380217965616708,0.11965379577215929,-0.25691681116276377
17,190.56464995016103,286.9146270802079,-0.31749319047501245,0.06543420594632857,-0.2674383173549045
18,201.12014277611473,275.20740740159545,-4.918188990097036,0.016053210036517582,-0.29270315499857213
19,213.60402263501524,254.6874820526951,-11.80405269458619,-0.029937705660617337,-0.3313335712977556
20,224.63995636640956,228.43860681562646,-19.61015740393421,-0.0751112356652126,-0.3785603885197496
21,232.02705397602668,196.1133942266127,-24.092685308286192,-0.11885536670997293,-0.42410802405206466
22,237.26469495979978,163.4572318351536,-22.90710097045892,-0.15612704567667537,-0.453102782769406
23,241.43134134810086,138.21168439765506,-14.93834275366843,-0.17970873970968657,-0.45136518537839304
24,242.36652835675045,128.65723359853828,-1.1827123757860534,-0.18401333343290993,-0.41237448261528636
25,243.07132578016228,142.59210930770848,14.403598568323723,-0.16771508212620556,-0.3410542396636833
26,244.7470661866784,180.20528410755642,28.406034678415338,-0.1335808752667261,-0.25137435097915684
27,248.87987974318702,235.11398649329215,38.84180095591658,-0.08616155692360214,-0.1593140057731458
28,256.75235102132245,301.5554955862865,43.97971925198095,-0.029706898256710253,-0.07643369885124868
29,268.83010404589015,371.05638235025083,41.23454401859944,0.03183816569933509,-0.008688806758093666
30,284.6169465752418,434.780530591004,33.50560548150242,0.09314742842996529,0.039914320845124356
31,302.94049688544425,485.93706684119906,22.560556322400018,0.1462607473521568,0.06388356816371539
32,322.41947475402844,519.7881953019485,10.742923833615677,0.18153009686814145,0.05748498448291991
33,342.6701813144241,535.4036481856027,0.4742568243196672,0.19062758344837177,0.020019657000931692
34,360.99484654476566,535.7801474375841,-6.528789951223189,0.16983402162470929,-0.03997160809284308
35,379.5490482566977,529.3383491836615,-8.475287454661569,0.12170787947407179,-0.1063472104031851
36,396.92354653551695,521.2346961402992,-6.5847534151186125,0.05440551643119542,-0.16262274469494445
37,412.992469819842,513.2020731156334,-3.422987113198559,-0.02085292953348087,-0.1995060789626811
38,428.3093455221277,502.2482664456076,-2.25474030946296,-0.09298867628973317,-0.21711565596628177
39,443.5730404809266,488.2510337372084,-4.496699002947196,-0.15348595019659142,-0.22093793478783666
40,461.4437899057033,468.3639051946352,-8.72714740915059,-0.19705209821854758,-0.21561782559217108
41,479.8036225301882,443.1977249872432,-14.7958824422481,-0.22085828250424933,-0.2020976236875846
42,496.90478602931165,411.4520678068037,-21.48598950537773,-0.2237004423264092,-0.18049674260327694
43,510.18066907585376,375.4224067740469,-25.655304833060953,-0.20603151994914096,-0.15573706402651075
44,521.2002143062703,338.037681429429,-25.07792510222282,-0.1705641981448136,-0.13983096305045595
45,530.5973656831686,302.1272559050564,-19.186669578755073,-0.1223160444602111,-0.14719068874375626
46,538.3815229023301,273.90325434395453,-10.980803602116609,-0.06734486338479431,-0.18544818081018696
47,544.4736701166389,256.6308425187576,-3.2562347799527203,-0.010736900205709759,-0.24860898957249103
48,551.5593840666402,249.512273460079,1.4350087707035044,0.04451200523518907,-0.31814077983216393
49,559.8988022445591,250.1795619206469,4.313961119027724,0.09646675080425281,-0.3718120218061753
50,568.9814128399996,256.5186242749142,5.537981042041309,0.1417295427855822,-0.3944116569673447
51,578.2548989084808,268.8426145451633,6.1811943675015755,0.1738589728323814,-0.3835846235133098
52,587.6164873659848,284.8193398177126,6.680857615178411,0.18487268422436592,-0.34827262222638056
53,596.1038154963095,299.02869600573774,7.330271452446453,0.16945945783691574,-0.3022913386827026
54,605.7221905813059,310.2087297826704,7.335495758912117,0.1288812901743649,-0.2575414150813607
55,615.7663414612759,316.2921663233936,5.210396737204292,0.07131304189908294,-0.2202235754717908
56,627.7919323783857,318.593002940931,1.6928525432037418,0.008107064164249146,-0.1909550114201174
57,640.5685293894558,317.27450043450017,-2.4965817794149814,-0.051228643100274224,-0.1674426430627145
58,652.3992833677257,312.8164373092502,-6.4427705301050935,-0.10174077290484505,-0.1474989294072419
59,663.2600461764739,305.4233151338218,-7.9182980281453865,-0.14202586582133098,-0.1307249100296623
60,671.8553721450511,299.5894658471142,-5.971176658622738,-0.17114054140877039,-0.1183055984742921
61,680.5736468002842,300.4738980916329,0.7012083886977507,-0.18647443682822,-0.11155214801664945
62,689.1097282859207,311.3214247995383,9.22173436172585,-0.18451747041151415,-0.11063935051724799
63,697.7444435586032,334.43856993858634,17.318903462325068,-0.1638126831984228,-0.11474598177765341
64,707.4328644039397,367.4885326991866,23.108128075433882,-0.1273027984742082,-0.12352373026785698
65,719.3000908685317,406.9240631355964,25.102898938091897,-0.0815356873433116,-0.13856301989081735
66,734.8894296595788,445.74148603205356,23.60497258988329,-0.03285072356746457,-0.16324005307660813
67,751.5896074718582,479.58201555741357,18.229306167672064,0.01635151513362807,-0.20018058952119164
68,770.0149462601062,504.13064580914147,10.043241800340525,0.06767932741182055,-0.24740245665481547
69,788.9913911161174,516.7723052482637,1.3353341423336076,0.12255581402790044,-0.29601639531274965
70,807.9596469242254,517.1187526238895,-5.656982027718499,0.1771791085294386,-0.3321526766899695
71,826.1318970488508,506.498293984144,-9.915643248996872,0.221242812871366,-0.34301522590878847
72,842.8755506378598,488.92931316484453,-12.603157950330228,0.24200453847260117,-0.3238452673996213
73,858.2785741552807,465.71375504097097,-13.561715539469873,0.23080776015692622,-0.28158524901516385
74,873.0189064060231,433.76342715124,-16.047650869912502,0.18729821245913597,-0.23283188440967312
75,887.4312051145396,398.5406086593146,-18.190157968556917,0.11875108991068928,-0.19711070760676913
76,901.1478037545432,363.5542644584883,-19.419035502908145,0.035892329770192286,-0.18912672073850445
77,913.714556850816,328.123210511216,-20.492191352943024,-0.05124526113648878,-0.21370716043225713
78,925.2985455576402,293.8024999393279,-20.221964576296642,-0.13495492616670862,-0.26523367962271677
79,931.5244288006039,263.18041084945617,-17.30840984058537,-0.209089502474638,-0.33103192919259417
80,938.6547650398809,239.62206140700172,-11.536772875202274,-0.26770374190358365,-0.39646154102143183
81,945.9989473350435,229.00369038626394,-2.7916996192460317,-0.30488564459709877,-0.44910112434042937
