Kategorija,Sportista / Model,Početni nagib θ₀ [°],Ugaona brzina ω,Vreme pada,model obrnutog klatna,stvaran broj okreta,Stvarni nagib osobe,Lott & Laws Ref. (Tabela 3)
Umetničko klizanje,TRUSOVA,3.76°,2.06 rev/s (742.5°/s),0.66 s,1.36 ± 0.20,8.29,3.78°,"1.1 ± 0.1 okr (θ₀=3.0°, ω=1.7)"
Umetničko klizanje,LIU,2.83°,2.18 rev/s (783.9°/s),0.76 s,1.66 ± 0.18,8.68,4.45°,"1.1 ± 0.1 okr (θ₀=3.0°, ω=1.7)"
Umetničko klizanje,SCEREBAKOVA,3.56°,2.18 rev/s (785.1°/s),0.66 s,1.44 ± 0.18,8.65,4.13°,"1.1 ± 0.1 okr (θ₀=3.0°, ω=1.7)"
Umetničko klizanje,VALIEVA,10.51°,1.77 rev/s (636.7°/s),0.00 s,0.00 ± 0.15,7.04,5.09°,"0.0 ± 0.1 okr (θ₀>9.3°, ω=1.7)"
Balet,KHOREVA,1.37°,1.23 rev/s (442.6°/s),1.09 s,1.34 ± 0.12,4.95,4.17°,"1.8 ± 0.2 okr (θ₀=1.0°, ω=1.7)"
Balet,MARIANELA,4.40°,1.50 rev/s (539.3°/s),0.60 s,0.89 ± 0.15,6.11,3.92°,"0.8 ± 0.1 okr (θ₀≈4.6°, ω=1.7)"
Balet,KAPITONOVA,9.03°,1.23 rev/s (443.7°/s),0.13 s,0.16 ± 0.18,4.80,4.84°,"0.0 ± 0.1 okr (θ₀>9.3°, ω=1.7)"
Lott & Laws (2012),Ref Model (θ₀=0.1°),0.10°,1.70 rev/s (612.0°/s),1.94 s,3.30 ± 0.20,— (Teorijski),—,3.3 ± 0.2 (Referenca)
Lott & Laws (2012),Ref Model (θ₀=1.0°),1.00°,1.70 rev/s (612.0°/s),1.06 s,1.80 ± 0.20,— (Teorijski),—,1.8 ± 0.2 (Referenca)
Lott & Laws (2012),Ref Model (θ₀=3.0°),3.00°,1.70 rev/s (612.0°/s),0.65 s,1.10 ± 0.10,— (Teorijski),—,1.1 ± 0.1 (Referenca)
